Carrera;Lugar;Partida;Caballo;Padrillo;Stud;PF (Kg);Jinete;Jinete_Kg;Preparador;Distancia;Índice;Div.
10;6;6;NIHUIL;CLASSIC EMPIRE (USA);DON SIMON;489;RODRIGO PAINEN;57;JOSE M. ALVAREZ D.;15 1/2 cpos.;-;32.1
10;7;10;NAMRUD TIGER;HANDSOME TIGER;EL CEDRO;478;RAFAEL CISTERNAS;57;JUAN CAVIERES;18 1/4 cpos.;-;14.7
10;8;2;LEEVAN CLEFF;LOOKIN AT LUCKY;MANOJITOS;476;KEVIN ESPINA;57;PATRICIO BAEZA A.;24 1/2 cpos.;-;33.4
10;9;8;YO Y DIEZ MAS;PALM SPRINGS (USA);VIEJO YOU;468;NICOLAS MOLINA;57;FRANCISCO FAUNDEZ LL;35 3/4 cpos.;-;56.9
10;RT;3;SORRENTO;FLAMEAWAY (CAN);LOS PATOS;-;N.N.;57;PATRICIO BAEZA A.;RETIRADO;-;-
11;1;2;JOHNNY DOGS;ZAWRAQ (IRE);ANDONI CONCHA;437;NICOLAS RAMIREZ;57;RODRIGO SILVA S.;Ganador;42;1.5
11;2;5;CLASSIC CAT;CLASSIC EMPIRE (USA);VENDAVAL;482;JORGE ZUÑIGA;52;JUAN C. SILVA S.;1 1/2 cpos.;36;5.3
11;3;1;CARLITOS YUSTI;FORWARD MARCH;MASAIVA;484;HUGO OCHOA;52;OLIVERIO MARTINEZ;1 1/2 cpos.;35;9.5
11;4;9;CAPITAN ROBLES;THE LUMBER GUY;LAS TRES DAMAS;520;WLADIMIR QUINTEROS;57;RODRIGO MUÑOZ;1 1/2 cpos.;46;28
11;5;3;PALTOCITO;CUPID;CHARITO;493;RODOLFO FUENZALIDA;53;CRISTOBAL GONZALEZ M.;3 cpos.;36;27
11;6;15;SAHARA PRINCESS;SAHARA SPIRIT;CASTILLO S. HECTOR;461;AXEL ALVAREZ;50;SERGIO ALVARADO P.;5 cpos.;31;22.5
11;7;7;HERNEST;ERNEST HEMINGWAY;VIEJA POLLA;497;GERARD RODRIGUEZ;58;RODRIGO MUÑOZ;5 3/4 cpos.;48;14.6
11;8;10;JAZZ ROCK;HOOTENANNY (USA);FELIPE JESUS;515;RODOLFO S. DORES;55;DOMINGO MATTE;5 3/4 cpos.;49;12.5
11;9;6;MAHALO;FLAMEAWAY (CAN);DON SIMON;454;JOAQUIN HERRERA;54;JOSE M. ALVAREZ D.;6 cpos.;42;10
11;10;8;DOORSTEP;ROBERT BRUCE;ROMANO;505;NICOLAS MOLINA;51;DOMINGO MATTE;6 3/4 cpos.;33;33.6
11;11;13;KAPICHU (ARG);ENDORSEMENT;MONITO;485;BENJAMIN TRONCOSO;54;OSCAR SILVA S.;7 1/2 cpos.;50;52.1
11;12;4;CASTOR TROY;CLOUD COMPUTING;RENAICO;541;SEBASTIAN GONZALEZ;55;JOSE ARAYA B.;10 cpos.;45;42.3
11;13;11;ENEO;PRACTICAL JOKE;ARNALDO PIZARRO R.;464;JESUS TORO;51;ALDO PARRA D.;11 cpos.;34;34.4
11;14;14;FLOREADOR;MR SPEAKER;VIGALU;479;DIEGO CARRASCO;50;JUAN RODRIGUEZ R.;13 3/4 cpos.;33;45.9
11;15;12;COMO DORMISTE;MO TOWN;GUERRERO DE LA VIDA;428;WILBERT LEON;54;RAUL MONTESINO;16 cpos.;42;41.5
12;1;15;TRES PRINCIPES;FLAMEAWAY (CAN);MUNDO FUTURO H.;467;NICOLAS MOLINA;57;HERNAN ULLOA;Ganador;-;22.1
12;2;2;EN CHATEAUROUX;DUBAI SKY;BENGO;447;BENJAMIN TRONCOSO;53;JOSE ARAYA B.;pczo.;-;2.1
12;3;12;KILAN;VISCOUNT NELSON;SAGARDIA HNOS.;459;JOSE SOLANO;57;OSCAR SILVA G.;3/4 cpos.;-;12.9
12;4;8;REY RANGNAR;PALM SPRINGS (USA);EL GRAN JOSE;426;GONZALO ULLOA;57;WALESKA PEÑA;3 cpos.;-;5.4
12;5;6;LINDO RECUERDO;THE LUMBER GUY;STUD HARAS LIZZIE;426;HUGO OCHOA;57;RODRIGO SANCHEZ;4 1/4 cpos;-;5.3
12;6;3;POETA GRIEGO (ARG);LUCULLAN;VIGALU;421;RONALD FOURNET;53;JUAN RODRIGUEZ R.;4 1/2 cpos.;-;51.4
12;7;7;ALPAQUITAY;KINGLY (USA);EL RAUDAL;463;JAIME MEDINA;57;PATRICIO BAEZA A.;6 1/2 cpos.;-;5.1
12;8;11;SIEMPRE ESTOY;INTERNATIONAL STAR (USA);COMO LO QUERI;487;JORGE ZUÑIGA;57;JOSE T. ALLENDE;7 cpos.;-;8.4
12;9;9;BIRD RITAN;GOOD SAMARITAN (USA);IDENTIC;477;RODOLFO FUENZALIDA;57;PATRICIO BAEZA A.;8 1/4 cpos.;-;17.5
12;10;13;KINTSUGI;EL FARRERO;JOTABE;419;WLADIMIR QUINTEROS;57;RODRIGO SILVA S.;8 1/2 cpos.;-;86.2
12;11;14;TATUN;SPUN TO RUN (USA);DON FEÑA;402;FABIAN MEDINA;53;JOAO CASTILLO L.;8 3/4 cpos;10;140.6
12;12;10;GRAN SAM;FLAMEAWAY (CAN);EL VEINTITRES;420;GERARD RODRIGUEZ;57;CLAUDIO BERNAL;9 1/2 cpos.;-;25.7
12;13;5;RAYMI;INTERNATIONAL STAR (USA);SHOT MENZEL;429;BASTIAN SOTO;57;JOSE ARAYA B.;16 cpos.;-;88.1
12;14;4;FLORO CHICO;EL MANU;MACKAY;445;JOSE VILLABLANCA;57;EUGENIO SWITT;Lejos;-;84
12;RT;1;PRIMAZO;YA PRIMO;LA PACITA;-;N.N.;57;GUILLERMO AGUIRRE;RETIRADO;-;-
13;1;5;MI TIO POLO;SUMERIO;EL GANCHITO;468;DARIEN CHEUQUE;53;ENRIQUE CARREÑO;Ganador;-;19
13;2;7;BRUNO SPIDERMAN;ROBERT BRUCE;BRUNO ALONSO;447;BENJAMIN TRONCOSO;53;RODRIGO SANCHEZ;3 cpos.;-;6.7
13;3;1;MACRON;TICKET TO RUN;ROSA PATRICIA;483;NICOLAS RAMIREZ;57;MARIO RABAJILLE D.;3 1/4 cpos.;-;4.7
13a;4;10;DEJALO AHI;NEWFOUNDLAND;PIA;449;KEVIN ESPINA;57;PATRICIO BAEZA A.;7 3/4 cpos.;-;1.9
13;5;6;FRENCH CANDY;SEÑOR CANDY;MONTESINO S. RAUL;448;JAIME MEDINA;57;RAUL MONTESINO;8 1/2 cpos.;10;11.2
13;6;12;ERKAN;FLAMEAWAY (CAN);SHOT MENZEL;427;BASTIAN SOTO;57;JOSE ARAYA B.;10 1/4 cpos.;-;36.4
13;7;9;CANELO DORADO;FLAMEAWAY (CAN);CHARITO;453;GUSTAVO AROS;57;CRISTOBAL GONZALEZ M.;10 1/2 cpos.;-;3.4
13;8;8;PARA BIEN;KINGLY (USA);LOS NANITOS;484;RODRIGO PAINEN;57;SERGIO MORALES;11 1/2 cpos.;-;23.9
13;9;4;CRUZA EL RIO;KINGLY (USA);MARIO NICOLAS;502;JOSE CUETO;56;ROBERTO TOLEDO M.;14 cpos.;10;19.6
13;10;13;FLOTT JOEL;DANGEROUS MIDGE;TATA CHAGO;446;WILBERT LEON;57;HECTOR MANRIQUEZ;15 1/2 cpos.;-;33.5
13;11;3;LIAM;FLAMEAWAY (CAN);SHOT MENZEL;451;WLADIMIR QUINTEROS;57;JUAN RODRIGUEZ R.;17 1/2 cpos.;-;24.4
13;12;2;CATANZARO;GOOD SAMARITAN (USA);EL MERO MERO;412;FELIPE HENRIQUEZ;57;JOSE ARAYA B.;19 3/4 cpos.;-;32.1
13;RT;11;SLOVAK;PAPELON;MONIN;-;PIERO REYES P.;57;FERNANDO SOLAR;RETIRADO;-;-
14;1;3;VILLAMARE;HOOTENANNY (USA);FERNANDEZ L ALVARO;460;JESUS TORO;57;ALVARO FERNANDEZ;Ganador;10;8.1
14;2;5;BAMBO LUKAS;COMMEMORATIVE;TATA CARLOS;518;RAFAEL CISTERNAS;56;DOMINGO MATTE;Nariz;9;16.3
14;3;2;DULCE DIABLA;GOOD SAMARITAN (USA);SANCHEZ Q. RODRIGO;-;HUGO OCHOA;57;RODRIGO SANCHEZ;1 cpo.;10;1.8
14;4;12;MI JOYA;KATMAI;HERMANOS DIAZ;469;BENJAMIN SANCHO;57;RAUL MONTESINO;3 3/4 cpos.;10;4.4
14;5;1;VUELA EL AMOR;GEMOLOGIST;MONIQUE;477;MIGUEL GUTIERREZ;57;ANGEL JAQUE S.;5 1/4 cpos.;10;8.6
14;6;4;GRAND CASABLANCA;GRAND DADDY;KDM;500;JESUS PIMENTEL;57;GABRIEL MELEJ;6 1/4 cpos.;10;7.9
14;7;9;ACHAPLINA;SEEKING THE DIA;PEÑA P. WALESKA;406;BASTIAN SOTO;57;WALESKA PEÑA;6 1/2 cpos.;10;65.2
14;8;15;TOWN OF TREBBI;MO TOWN;EL MERO MERO;480;FELIPE HENRIQUEZ;56;SERGIO MORALES;7 1/4 cpos.;9;8.3
14;9;13;PRIMA TOWN;MO TOWN;HECTOR MANRIQUEZ F.;412;VICTOR BRACETTI;57;HECTOR MANRIQUEZ;8 cpos.;10;5.7
14;10;14;MUY TEMPERADA;DISTORTED ECONOMY;PANADERO;414;DARIEN CHEUQUE;56;FELIPE GONZALEZ S.;8 3/4 cpos;9;21.4
14;11;11;FLEDGE;COMPETITIVE EDGE;EL JEI;424;NICOLAS MOLINA;56;FELIPE GONZALEZ S.;11 1/2 cpos.;9;58.2
14;12;7;A TODO CORAZON;INDY DANCER;EL TORO BAYO;443;BENJAMIN AYALA;57;MIGUEL MEDINA;15 cpos.;10;45
14;13;10;LIDIA POR SIEMPRE;STATE OF PLAY;HERMANOS DIAZ;482;GERARD RODRIGUEZ;57;RAUL MONTESINO;23 3/4 cpos.;10;16
14;14;6;SCROOGE;LOOKIN AT LUCKY;LOS CASTILLO;486;RODOLFO FUENZALIDA;57;JOAO CASTILLO L.;Lejos;10;109.3
14;RT;8;BOMBASTICO;CLASSIC EMPIRE (USA);LOS ALQUIMISTAS;-;JONATHAN A. CASTILLO;56;ALDO PARRA D.;RETIRADO;9;-
15;1;13;CAMELOT;INTERNATIONAL STAR (USA);CHARITO;437;AXEL ALVAREZ;56;CRISTOBAL GONZALEZ M.;Ganador;6;7.9
15;2;7;BERGERAC (ARG);ROMAN RULER (P);MADINAT;466;BENJAMIN AYALA;57;MIGUEL MEDINA;1 cpo.;7;7.1
15;3;6;EL APARECIDO;ARABIAN SPIRIT;TITAN;452;BENJAMIN SANCHO;56;RODRIGO QUIROZ;1 3/4 cpos.;6;10.6
15;4;15;KOLETTE;EXAGGERATOR;PREEMINENCIA;402;WLADIMIR QUINTEROS;55;RAUL MONTESINO;3 1/2 cpos.;5;69.9
15;5;5;NONA BLANCA;KATMAI;ROGER WELLMANN H.;457;JESUS TORO;56;JOSE ARAYA B.;4 3/4 cpos.;6;39.1
15;6;8;VOLANTE MIXTO;LAYMAN;FRANCISCO FAUNDEZ;464;RODRIGO PAINEN;56;FRANCISCO FAUNDEZ LL;5 cpos.;6;6
15;7;10;TE DIGO ALGO;EXAGGERATOR;MAR Y SOL;457;NICOLAS MOLINA;57;CLAUDIO BERNAL;5 cpos.;7;48
15;8;3;HIER ANCORE;MENDELSSOHN (USA);KIÑEUKELEIÑ;391;JESUS PIMENTEL;56;CARLOS GARCIA;7 1/2 cpos.;6;51
15;9;1;LA SIGUIENTE;EXAGGERATOR;CINCAR;465;SEBASTIAN GONZALEZ;56;HECTOR MANRIQUEZ;8 cpos.;6;3.7
15;10;9;LATEN GOOD;GOOD SAMARITAN (USA);PERALTA P GUILLERMO;444;RONALD FOURNET;57;GUILLERMO PERALTA;10 3/4 cpos.;7;10
15;11;2;MARRAKECH;EL MILAGRITO;LA CORINA;442;RODRIGO COVARRUBIAS;57;GENARO COVARRUBIAS;13 1/4 cpos.;7;30.9
15;12;4;SIN MIEDO;GRAND DADDY;SEGUIR SOÑANDO;538;LESLY C. GONZALEZ;57;JUAN C. PICHARA;14 cpos.;7;19.1
15;13;12;TESORITO MIO;ANNUAL REPORT;MELANY;413;BASTIAN SOTO;57;JOSE ARAYA B.;14 1/2 cpos.;9;3.5
15;14;14;BRINDO POR ELLA;FATHER OF SCIENCE;TATA CARLOS;491;RAFAEL CISTERNAS;55;DOMINGO MATTE;16 cpos.;5;13.3
15;RT;11;BENVENUTO CELLINI;RYDILLUC;MONIN;-;N.N.;55;FERNANDO SOLAR;RETIRADO;5;-
16;1;1;YO PAGO TODO;HOLD ME BACK;FRANCISCO FAUNDEZ;484;WLADIMIR QUINTEROS;56;FRANCISCO FAUNDEZ LL;Ganador;14;3.4
16;2;7;HIJA DEL PAN;GOOD SAMARITAN (USA);ENERGIA;462;NICOLAS MOLINA;57;SERGIO ALVARADO P.;3 1/2 cpos.;15;23.1
16;3;14;FLOWER POWER;ROBERT BRUCE;LOS JEQUES;434;VICTOR MIRANDA;55;GUILLERMO PERALTA;7 1/2 cpos.;13;3.5
16;4;4;SE PREPARO;SEEKING THE DIA;MARITA;514;JESUS TORO;57;ALDO PARRA D.;8 1/4 cpos.;15;13.4
16;5;2;PETIROSSA;IVAN DENISOVICH;MONTESINO S. RAUL;442;BENJAMIN SANCHO;57;RAUL MONTESINO;9 1/2 cpos.;15;30.9
16;6;11;EL SOM CENTAURO;IRON CLAD;MIS DOS AMORES;468;RODRIGO COVARRUBIAS;55;SERGIO ALVARADO P.;11 3/4 cpos.;13;15.3
16;7;3;TEJEDOR DE SUEÑOS;STAR DABBLER;MILLAR M PATRICIO;505;PEDRO ROBLES;56;JOHN PINOCHET;12 1/4 cpos.;14;30.4
