Carrera;Lugar;Partida;Caballo;Padrillo;Stud;PF (Kg);Jinete;Jinete_Kg;Preparador;Distancia;Índice;Div.
19;2;4;EN VECES;FANTASMAGORICO;CHAMO CANDELA;454;GERARD RODRIGUEZ;57;RICARDO ROJAS;4 1/4 cpos;18;7
19;3;8;HENAO;GOOD SAMARITAN (USA);MATRIARCA;443;SEBASTIAN GONZALEZ;55;MARIO RABAJILLE D.;5 1/4 cpos.;16;11.3
19;4;14;SALTO DE LUZ;EXAGGERATOR;LAS TRES DAMAS;483;NICOLAS RAMIREZ;55;RODRIGO MUÑOZ;5 1/4 cpos.;16;10.3
19;5;6;MISTER MINNION;EXAGGERATOR;BENVIC;458;BASTIAN SOTO;56;JOSE ARAYA B.;6 cpos.;17;9.6
19;6;7;AMARTE A TI;AWESOME PATRIOT;EL COTELO;448;JAIME MEDINA;58;RAUL MONTESINO;6 cpos.;19;3.5
19a;7;1;ZULEMA ZAHIR;WAR COMMAND;EL MERO MERO;413;JUAN M. SOTO;56;JOSE ARAYA B.;7 cpos.;17;62.6
19;8;11;PALACETE;TICKET TO RUN;MARITA;484;JONATHAN A. CASTILLO;55;ALDO PARRA D.;9 1/2 cpos.;16;4.6
19;9;13;MISTER HEAD;DYLAN THOMAS;MARITA;539;AXEL ALVAREZ;56;ALDO PARRA D.;9 1/2;178.3
19;10;9;GRANDE TUZA;ANNUAL REPORT/EL GANCHITO;440;LESLY C. GONZALEZ;58;FELIPE GONZALEZ S.;10;1926
19;11;13;TODAS MIENTEN;CROSS TRAFFIC/EL MERO MERO;399;JOSE PAREDES;56;JOSE ARAYA B.;13;1720.3
19;12;12;GRAN KURU;EXAGGERATOR/SANTICO;503;BENJAMIN SANCHO;56;ALDO PARRA D.;15 1/4;1725.5
19;13;2;RIO SAN JUAN;CONSTITUTION/MAR Y SOL;441;VICTOR MIRANDA;58;CLAUDIO BERNAL;20 1/4;1915.9
19;14;15;TINTA ETERNA;DYLAN THOMAS/MIS DOS AMORES;513;RODRIGO COVARRUBIAS;55;SERGIO ALVARADO P.;23 1/4;1631.3
19;RT;10;LA CHAMBEKA;PATTERNRECOGNITION/SAGARDIA HNOS.;-;N.N.;57;OSCAR SILVA G.;-;20
