fecha,hipodromo,nro_carrera,hora,distancia,superficie,numero,caballo,jinete,preparador,posicion,tiempo,dividendo,peso
24/02/2026,Club Hípico de Concepción,1,13:30,1000,Arena,11,Small Shy,C. Cordero,Carlos Córdova A.,1°,57.68,11.10,53k
24/02/2026,Club Hípico de Concepción,1,13:30,1000,Arena,12,Teatro Griego,J. Olate,Armando Navarrete B.,2°,57.68,7.30,57k
24/02/2026,Club Hípico de Concepción,1,13:30,1000,Arena,10,Olimpic Blue,G. Pereda,Evaristo Alarcon J.,3°,57.68,4.30,53k
24/02/2026,Club Hípico de Concepción,1,13:30,1000,Arena,5,Tren Bala,B. Diaz,Luis G. Soto E.,4°,57.68,39.40,54k
24/02/2026,Club Hípico de Concepción,1,13:30,1000,Arena,1,Te Andan Buscando,A. Pereda,Francisco Acevedo R.,5°,57.68,2.90,53k
24/02/2026,Club Hípico de Concepción,1,13:30,1000,Arena,6,Tio Salchicha,J. Moya,Francisco Acevedo R.,6°,57.68,10.10,57k
24/02/2026,Club Hípico de Concepción,1,13:30,1000,Arena,2,El Perro Negro,D. Sánchez,Hector Arteaga Ch.,7°,57.68,7.50,57k
24/02/2026,Club Hípico de Concepción,1,13:30,1000,Arena,7,Seven Points,J.A. Inostroza,Alex Cea S.,8°,57.68,8.00,53k
24/02/2026,Club Hípico de Concepción,1,13:30,1000,Arena,4,Like Son,M. Urzúa,Ercira Alarcón J.,9°,57.68,60.10,53k
24/02/2026,Club Hípico de Concepción,1,13:30,1000,Arena,8,Arantes,J.A. Campos,Ercira Alarcón J.,10°,57.68,67.70,55k
24/02/2026,Club Hípico de Concepción,1,13:30,1000,Arena,9,Viaje A Carmel,G. Vera,Julio Espinosa N.,11°,57.68,11.90,57k
24/02/2026,Club Hípico de Concepción,1,13:30,1000,Arena,3,Fuera De mi,R.S. Dores,Alex Cea S.,12°,57.68,29.70,57k
24/02/2026,Club Hípico de Concepción,1,13:30,1000,Arena,13,Rapid,A. Soto,Luis G. Soto E.,13°,57.68,179.60,56k
24/02/2026,Club Hípico de Concepción,1,13:30,1000,Arena,14,Black Manta,V. Mardones,Alex Cea S.,U°,57.68,10.10,53k
24/02/2026,Club Hípico de Concepción,2,14:00,1000,Arena,7,Lanna,G. Pereda,Alex Cea S.,1°,58.54,1.90,53k
24/02/2026,Club Hípico de Concepción,2,14:00,1000,Arena,4,La Schiffer,V. Mardones,Alex Cea S.,2°,58.54,5.20,51k
24/02/2026,Club Hípico de Concepción,2,14:00,1000,Arena,6,Pimienta Negra,J. Olate,Armando Navarrete B.,3°,58.54,9.80,55k
24/02/2026,Club Hípico de Concepción,2,14:00,1000,Arena,1,Mi Toñita,C. Pavez,Alex Cea S.,4°,58.54,30.60,55k
24/02/2026,Club Hípico de Concepción,2,14:00,1000,Arena,9,Videl,P. Robles,Francisco Acevedo R.,5°,58.54,3.60,55k
24/02/2026,Club Hípico de Concepción,2,14:00,1000,Arena,5,Princesa Laura,M. Urzúa,Ercira Alarcón J.,6°,58.54,39.70,51k
24/02/2026,Club Hípico de Concepción,2,14:00,1000,Arena,8,Doña Haydee,C. Cordero,Carlos Córdova A.,U°,58.54,43.90,52k
24/02/2026,Club Hípico de Concepción,3,14:30,1000,Arena,4,Giocatore,G. Pereda,Hector Arteaga Ch.,1°,55.48,1.30,57k
24/02/2026,Club Hípico de Concepción,3,14:30,1000,Arena,6,Cambucha,A. Soto,Luis G. Soto E.,2°,55.48,5.90,54k
24/02/2026,Club Hípico de Concepción,3,14:30,1000,Arena,3,Jouma,D. Sánchez,Evaristo Alarcon J.,3°,55.48,10.30,58k
24/02/2026,Club Hípico de Concepción,3,14:30,1000,Arena,1,Gano Y Vuelvo,C. Pavez,Evaristo Alarcon J.,4°,55.48,6.80,55k
24/02/2026,Club Hípico de Concepción,3,14:30,1000,Arena,7,Don Pachalo,G. Vera,Eduardo González S.,5°,55.48,6.30,55k
24/02/2026,Club Hípico de Concepción,3,14:30,1000,Arena,5,Joventurfman,A. Pereda,Luis G. Soto E.,6°,55.48,10.20,53k
24/02/2026,Club Hípico de Concepción,4,15:00,1300,Arena,8,Stroke Of Luck,J. Olate,Raul Vasquez O.,1°,1.16.50,4.70,60k
24/02/2026,Club Hípico de Concepción,4,15:00,1300,Arena,4,Kosanta,B. Cordero,Francisco Acevedo R.,2°,1.16.50,15.40,58k
