Carrera,Hora,Numero,Ejemplar,Peso,Jinete
9,16:21,2,JACINTA GOOD,55,CLAUDIO JORQUERA
9,16:21,3,NOVAK,57,RAFAEL CISTERNAS
9,16:21,4,HERE I GO AGAIN,57,BENJAMIN AYALA
9,16:21,5,CHINITA TRAVIESA,56,PIERO REYES P.
9,16:21,6,CIAO JUANITA,54,LUIS D. MENGHINI
9,16:21,7,PETIROSSA,55,BENJAMIN SANCHO
9,16:21,8,FLOWER POWER,56,VICTOR MIRANDA
9,16:21,9,IVY QUEEN,56,GUSTAVO AROS
9,16:21,10,EL KING,54,DARIEN CHEUQUE
9,16:21,11,LA DOPINHUE,54,RODOLFO S. DORES
9,16:21,12,GRAN KURU,57,LESLY C. GONZALEZ
9,16:21,13,MISTER HEAD,57,AXEL ALVAREZ
10,16:50,1,REY SALOMON,57,GUSTAVO AROS
10,16:50,2,NYQUISTER,57,JAIME MEDINA
10,16:50,3,REY RANGNAR,57,GERARD RODRIGUEZ
10,16:50,4,AL AMIR,57,BENJAMIN TRONCOSO
10,16:50,5,EL SALVADOR,57,RODOLFO FUENZALIDA
10,16:50,6,SIEMPRE ESTOY,57,DARIEN CHEUQUE
10,16:50,7,CAREMECHE,57,JORGE VERA
10,16:50,8,LEEVAN CLEFF,57,OSCAR ULLOA
10,16:50,9,NAMRUD TIGER,57,RAFAEL CISTERNAS
10,16:50,10,YO Y DIEZ MAS,57,JOAQUIN HERRERA
11,17:20,1,MI GIGANTE,57,RODOLFO FUENZALIDA
11,17:20,2,LUPO VELOCE,57,DARIEN CHEUQUE
11,17:20,3,MACHINE HEAD,57,PEDRO ROBLES
11,17:20,4,ARRUMACO,57,NICOLAS MOLINA
11,17:20,5,ELSEBAAHORRATODO,57,BENJAMIN TRONCOSO
11,17:20,6,REY DE ASTURIAS,57,GUSTAVO AROS
11,17:20,7,CATAPOS,57,JESUS TORO
11,17:20,8,FLOTT JOEL,57,WILBERT LEON
11,17:20,9,GO SUNSHINE GO,57,JOAQUIN HERRERA
11,17:20,10,TIO SALCHICHA,57,SEBASTIAN GONZALEZ
11,17:20,11,VAMOS A BAILAR,57,JORGE VERA
11,17:20,12,ALFONSO EL GRANDE,57,GERARD RODRIGUEZ
11,17:20,13,CANELO DORADO,57,RONALD FOURNET
11,17:20,14,VOY A PALERMO,57,BENJAMIN SANCHO
12,17:49,1,MI PRECIOSO,57,AXEL ALVAREZ
12,17:49,2,JALONADO,57,JOSE SOLANO
12,17:49,3,JAMES BRUCE,57,HUGO OCHOA
12,17:49,4,CAPOLAVORO,57,KEVIN ESPINA
12,17:49,5,DIAMOND BLUE,57,NICOLAS RAMIREZ
12,17:49,6,MISTER WATSON,57,HECTOR BERRIOS
12,17:49,7,CORDON DEL CAULLE,57,ANYELO RIVERA
12,17:49,8,EL GRIEGO,57,JAIME MEDINA
12,17:49,9,HARMONY OF THE SEA,57,JOAQUIN HERRERA
12,17:49,10,SALTO ETERNO,57,JORGE A. GONZALEZ
12,17:49,11,SEA WARRIOR,57,OSCAR ULLOA
12,17:49,12,A MI MODO,57,LUIS TORRES
12,17:49,13,CINCINNATUS,57,IGNACIO VALDIVIA
13,18:19,1,CHANGE FORADOLLAR,54,RAFAEL CISTERNAS
13,18:19,2,DIAMOND ONE,56,JOAQUIN HERRERA
13,18:19,3,NO PASO AGOSTO,56,RODOLFO S. DORES
13,18:19,4,INDHIRA,59,FRANCISCO MORALES
13,18:19,5,SATOSHI,58,VICTOR MIRANDA
13,18:19,6,KANDOZI,54,SEBASTIAN GONZALEZ
13,18:19,7,CRANS MONTANA,58,LUIS TORRES
13,18:19,8,TRES PALABRAS,57,GERARD RODRIGUEZ
13,18:19,9,COCHERO DEL DIABLO,56,OSCAR ULLOA
13,18:19,10,MAGUIRE,54,RODRIGO PAINEN
14,18:51,1,DI LA VERDAD ROSA,56,ANDRES CASTILLO
14,18:51,2,VAI BENE COSI,57,RODOLFO FUENZALIDA
14,18:51,3,VITA KC,57,BENJAMIN SANCHO
14,18:51,4,DOLCE AMARENA,57,JESUS PIMENTEL
14,18:51,5,LADY OF MERCIA,57,MAURICIO CHAMORRO
14,18:51,6,EL NENE,56,AXEL ALVAREZ
14,18:51,7,KOLETTE,57,JORGE VERA
14,18:51,8,MERCI MON DIEU,57,WLADIMIR QUINTEROS
14,18:51,9,NUTCRACKER,57,JUAN MUÑOZ
14,18:51,10,MI TATA SAMBUKA,56,RODRIGO COVARRUBIAS
14,18:51,11,MISTER VILLAGRA,56,JESUS TORO
14,18:51,12,BRINDO POR ELLA,57,RAFAEL CISTERNAS
14,18:51,13,GRAN SAMIR,57,GUSTAVO AROS
14,18:51,14,MY RICHARD,56,PIERO REYES P.
14,18:51,15,MUCHO VERSO,56,GERARD RODRIGUEZ
15,19:22,1,AMPAWAN,55,BASTIAN SOTO
15,19:22,2,MARIA SUREÑA,56,BENJAMIN TRONCOSO
15,19:22,3,SEÑOR TRONCOSO,56,RODOLFO FUENZALIDA
15,19:22,4,CINABRIO,57,RONALD FOURNET
15,19:22,5,CASUAL VISION,56,RODOLFO S. DORES
15,19:22,6,CROCKED,55,HUGO OCHOA
15,19:22,7,BAMBO LUKAS,56,RAFAEL CISTERNAS
15,19:22,8,CHARLES ATLAS,56,JOAQUIN HERRERA
15,19:22,9,LA PUPPE,56,OSCAR ULLOA
15,19:22,10,MI JOYA,55,BENJAMIN SANCHO
15,19:22,11,MORINGA,55,NICOLAS RAMIREZ
15,19:22,12,BOY SCOUT,57,JONATHAN A. CASTILLO
15,19:22,13,ARTHUR SHELBY,56,RODRIGO PAINEN
15,19:22,14,SULTAN GUERRERO,55,FRANCISCO MORALES
16,19:53,1,SPES,54,DIEGO CARRASCO
16,19:53,2,LA JIBARITA,54,DARIEN CHEUQUE
16,19:53,3,SALTO DEL GUAPO,54,FELIPE HENRIQUEZ
16,19:53,4,STRONG DAIKIRI,61,LUIS TORRES
16,19:53,5,DOORSTEP,57,RODOLFO S. DORES
16,19:53,6,DESENFRENADO,53,RAFAEL CISTERNAS
16,19:53,7,EL CURANDERO,59,PEDRO ROBLES
16,19:53,8,FLOREADOR,57,BENJAMIN TRONCOSO
16,19:53,9,STOP PLAYING,56,AXEL ALVAREZ
16,19:53,10,CORRER NORTINO,52,HUGO OCHOA
16,19:53,11,INDIAN POET,52,JAIME MEDINA
16,19:53,12,COMO DORMISTE,61,FRANCISCO MORALES
16,19:53,13,EL CARRIL,60,GERARD RODRIGUEZ
17,20:26,1,BEL FIOR,55,RODRIGO PAINEN
17,20:26,2,SISI STAR,56,ROBERTO AVILA
17,20:26,3,TE DIGO ALGO,56,NICOLAS MOLINA
17,20:26,4,INTRIGANT,57,RODOLFO FUENZALIDA
17,20:26,5,TAKE A NAP,57,HUGO OCHOA
17,20:26,6,BENVENUTO CELLINI,55,BASTIAN SOTO
17,20:26,7,MAKINEN,57,RONALD FOURNET
17,20:26,8,LATEN GOOD,56,BENJAMIN SANCHO
17,20:26,9,SEE YOU AGAIN,56,LESLY C. GONZALEZ
17,20:26,10,LA ESCUDERA,55,NICOLAS RAMIREZ
17,20:26,11,LA SIGUIENTE,55,SEBASTIAN GONZALEZ
17,20:26,12,GUSTO A POCO,57,MAURICIO CHAMORRO
17,20:26,13,JARDIN OLVIDADO,57,MOISES A. DONOSO
17,20:26,14,VOLANTE MIXTO,55,FELIPE HENRIQUEZ
17,20:26,15,NONA BLANCA,55,JESUS TORO
18,20:58,1,SCROOGE,56,JORGE VERA
18,20:58,2,EL VISIR,56,BASTIAN SOTO
18,20:58,3,HUACARNECO,56,SEBASTIAN GONZALEZ
18,20:58,4,JUNO,57,BENJAMIN TRONCOSO
18,20:58,5,EL CURICANO,57,GERARD RODRIGUEZ
18,20:58,6,VUELA EL AMOR,56,BENJAMIN SANCHO
18,20:58,7,ACHAPLINA,56,LESLY C. GONZALEZ
18,20:58,8,BERGERAC (ARG),56,BENJAMIN AYALA
18,20:58,9,DEAR SISTER,56,DARIEN CHEUQUE
18,20:58,10,NEOLIBERAL,55,FRANCISCO MORALES
18,20:58,11,SIR WALLANCE,55,VICTOR MIRANDA
18,20:58,12,ASTRO SOL,56,JESUS TORO
18,20:58,13,UNDER THE LIGHT,57,MARCO MORALES
18,20:58,14,TOWN OF TREBBI,55,FELIPE HENRIQUEZ
19,21:30,1,OBRA DE ARTE,55,DARIEN CHEUQUE
19,21:30,2,COLOR DE SUEÑO,55,NICOLAS MOLINA
19,21:30,3,CONGOBELGA,55,GERARD RODRIGUEZ
19,21:30,4,BENIBLU,58,GUSTAVO AROS
19,21:30,5,KUAI MA,57,NICOLAS RAMIREZ
19,21:30,6,PUNTA ITATA,55,FELIPE HENRIQUEZ
19,21:30,7,CAROLITO,57,MIGUEL GUTIERREZ
19,21:30,8,ALE GUAPA,56,RODOLFO S. DORES
19,21:30,9,BESO AL CIELO,55,RODRIGO PAINEN
19,21:30,10,SEÑOR GOMEZ,55,JORGE VERA
19,21:30,11,TENGO UN SUEÑO,55,BENJAMIN SANCHO
19,21:30,12,BABY YODA,58,PEDRO ROBLES
19,21:30,13,SCALPING,58,JAIME MEDINA
19,21:30,14,MR NUTS,54,JOAQUIN HERRERA
