Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
6,7,18:00,1000,3,6,Linda La Gringa,Megliore Di Tutti,453,58,J. Barril,Eduardo González S.,Guillermón,4.50
6,7,18:00,1000,4,5,Mirada De Angel,Flyer,485,54,I. Carcamo,Eduardo González S.,Guillermón,31.30
6,7,18:00,1000,5,3,Corazon Penquista,Ahora II,473,59,C. Pavez,Eduardo González S.,Guillermón,7.50
6,7,18:00,1000,6,8,Judge Room,California Chrome,438,55,A. Pereda,Carlos Norambuena B.,Los Psiquicos,16.00
6,7,18:00,1000,7,2,Assadi,Grand Daddy,504,58,G. Pereda,Hector Arteaga Ch.,Lubrishell,10.00
6,7,18:00,1000,8,4,El Regento,Forward March,492,57,L. Rojas,Hector Arteaga Ch.,Rosario del Alamo,4.60
6,7,18:00,1000,9,9,Fresco,Mayakovsky,484,54,J.A. Campos,Francisco Acevedo R.,Carlos Y Diana,16.30
6,7,18:00,1000,10,7,Vela Azul,Annual Report,441,54,V. Mardones,Carlos Norambuena B.,Primo Giancarlo,27.90
6,8,18:30,1000,1,2,Arrancate Tata,The Mighty Tiger,459,57,J. Olate,Francisco Acevedo R.,Fernanda y sus Primos,6.30
6,8,18:30,1000,2,8,Raymi,International Star,428,57,L. Rojas,Evaristo Alarcon J.,Seba y Maty,6.40
6,8,18:30,1000,3,3,Gran Manuel,Mayakovsky,465,55,A. Pereda,Carlos Córdova A.,Danpoch,1.70
6,8,18:30,1000,4,7,Miss Spring,Palm Springs,468,51,V. Mardones,Carlos Córdova A.,Doña Elena,8.70
6,8,18:30,1000,5,6,La Lete,International Star,403,58,A. Soto,Gerardo Melo M.,Vitacare,8.50
6,8,18:30,1000,6,5,Simone Bull,Flameaway,447,57,J. Barril,Evaristo Alarcon J.,Mariangel,15.90
6,8,18:30,1000,7,1,Yerko,Mendelssohn,424,61,G. Vera,Eduardo González S.,Guillermón,3.70
6,9,19:00,1100,1,2,Patron De Muskiz,Lookin At Lucky,505,57,L. Rojas,Nelson Norambuena B.,Vitacare,1.70
6,9,19:00,1100,2,8,Sensei De Franklin,Ivan Denisovich,455,57,G. Vera,Francisco Saavedra C.,Jose Schulz,5.60
6,9,19:00,1100,3,1,Gran Taita,Grand Daddy,511,53,A. Pereda,Francisco Acevedo R.,Matoto Tomitomi,9.50
6,9,19:00,1100,4,6,Olimpic Blue,El Milagrito,442,56,J.P. Torres,Evaristo Alarcon J.,Olimpic Blue,19.40
6,9,19:00,1100,5,5,Tapito,Tapitdoro,446,53,G. Pereda,Hector Arteaga Ch.,El Manzano,5.90
6,9,19:00,1100,6,10,Claveria,Van Nistelrooy,485,57,J. Barril,Ercira Alarcón J.,San Vicente,10.30
6,9,19:00,1100,7,9,Small Shy,El Piñon,490,54,C. Cordero,Carlos Córdova A.,La Heredera,40.00
6,9,19:00,1100,8,7,Tren Bala,El Manu,473,57,J. Olate,Luis G. Soto E.,Curepto,4.80
6,9,19:00,1100,9,4,Rapid,Father of Science,480,56,A. Soto,Luis G. Soto E.,Anyelo Soto G.,53.00
6,10,19:30,1100,1,5,Roger Red,Awesome Patriot,490,56,J.P. Torres,Eduardo González S.,Como Lo Queri,5.30
6,10,19:30,1100,2,4,Jasper Park,Lookin At Lucky,501,56,C. Pavez,Ercira Alarcón J.,Ercira Alarcon J.,13.00
6,10,19:30,1100,3,10,Bombastico,Classic Empire,482,56,J. Barril,Ercira Alarcón J.,Coronel San Agustin,3.00
6,10,19:30,1100,4,11,Desert Win,Grand Daddy,463,55,G. Pereda,Hector Arteaga Ch.,Los Cuatro H,5.30
6,10,19:30,1100,5,12,Gitana Guapa,State Of Play,495,55,J. Vera,Evaristo Alarcon J.,Celestial,8.60
6,10,19:30,1100,6,7,Tromboncito,Viscount Nelson,471,55,G. Vera,Luis G. Soto E.,Los de Hualpen,4.90
6,10,19:30,1100,7,1,Che Nova,Dubai Sky,458,56,M. Urzúa,Evaristo Alarcon J.,Mariangel,66.30
6,10,19:30,1100,8,3,El Gran Tornado,Newfoundland,442,56,B. Cordero,Francisco Acevedo R.,Matoto Tomitomi,52.90
6,10,19:30,1100,9,8,Mano De Bronce,Cunco,404,56,J.A. Miño,Mario A. Apablaza G.,Mario Apablaza G.,9.00
6,10,19:30,1100,10,6,Gran Amor Eterno,Dubai Sky,480,56,C. Cordero,Raul Vasquez O.,Calalo,10.30
6,10,19:30,1100,11,9,Perla Invasora,Exaggerator,422,56,I. Carcamo,Alex Cea S.,El Mijo,41.00
6,10,19:30,1100,12,2,Il Imperatore,Mayakovsky,474,56,J. Olate,Carlos Córdova A.,Teigenes,69.60
6,10,19:30,1100,13,13,Kasclarito,Mayakovsky,515,56,A. Pereda,Francisco Acevedo R.,Matoto Tomitomi,16.80
6,11,20:00,1100,1,3,El Barrero,Buzzword,515,56,B. Cordero,Carlos Córdova A.,Danpoch,17.90
6,11,20:00,1100,2,1,Checoman,Mastercraftsman,508,56,J. Olate,Raul Vasquez O.,Raul Vasquez Ogalde,10.80
