fecha,hipodromo,nro_carrera,hora,premio,distancia,superficie,numero,caballo,padrillo,peso,jinete,preparador
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,1,MECEDOR,Hold Me Back,55,M.Gutierrez,A.JaqueS.
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,2,CONOCIENDOTE,Tourist,55,L.Menghini,E.SwittV.
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,3,PUERTO CLOCKER,Scat Royal,56,,E.SwittV.
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,4,YA MAGICO,Viscount Nelson,56,N.Ramirez,
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,5,VIVIMOS SONANDO,Dylan Thomas,56,Jo.A.Gonzalez,G.CovarrubiasE.
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,6,BENVENUTO CELLINI,Rydilluc,55,Seb.Gonzalez,J.PicharaJ.
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,7,PATMAHO,Grand Daddy,55,M.Morales,F.SolarS.
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,8,BEAUTIFUL MOON,Exaggerator,55,H.Jimenez,J.HirmasR.
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,9,POMBITO,Constitution,56,R.Painen,J.PicharaJ.
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,10,LA RUMBERA,Competitive Edge,56,L.Vargas,R.BernalG.
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,11,LA FLAMBEE,Flameaway,55,R.Fuenzalida,E.LabR.
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,12,MESTIZA FLOR,Midshipman,55,T.Seith,I.MicheaF.
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,13,CUANDO LLEGO GANO,El Distinto,55,Js.VeraB.,Jn.GonzalezM.
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,14,CITY BLUE,Seeking The Dia,56,F.Moreno,J.VenegasP.
14-02-2026,Hipódromo Chile,1,12:30,Jacobo,1200,Arena,15,LADY BAY,Neko Bay,55,B.Rubilar,J.LastraB.
14-02-2026,Hipódromo Chile,2,12:55,Junot,1000,Arena,1,SEVEN POINTS,Dubai Sky,57,N.Molina,R.QuirozS.
14-02-2026,Hipódromo Chile,2,12:55,Junot,1000,Arena,2,REY OLIMPUS,Del Pacifico,57,L.Vargas,O.DonateS.
