Carrera,Lugar,Partida,Caballo,Padrillo,Stud,PF,Jinete,Peso Jinete,Preparador,Distancia (cpos.),Índice,Dividendo
15,2º,4,CHICA DEL LUCERO,STAR DABBLER,EL VEINTITRES,"430Kg",NICOLAS MOLINA,55 Kg,CLAUDIO BERNAL,pczo.,6,53
15,3º,11,KANDOZI,IVAN DENISOVICH,MONTESINO S. RAUL,"468Kg",SEBASTIAN GONZALEZ,60 Kg,RAUL MONTESINO,"1 cpo.",9,3.1
15,4º,1,SCANDINAVA,DYLAN THOMAS,JUAN PATRICIO,"452Kg",RODOLFO S. DORES,55 Kg,ANDRES BERNAL,"5 cpos.",6,4.6
15,5º,6,LA PALA,FLAMEAWAY (CAN),BOTAFOGO,"500Kg",NICOLAS RAMIREZ,54 Kg,OSCAR SILVA S.,"5 1/2 cpos.",5,36
15,6º,9,KOLETTE,EXAGGERATOR,PREEMINENCIA,"403Kg",JORGE VERA,56 Kg,RAUL MONTESINO,"6 3/4 cpos.",7,50.2
15,7º,8,MUY TEMPERADA,DISTORTED ECONOMY,PANADERO,"412Kg",DARIEN CHEUQUE,58 Kg,ALBERTO GONZALEZ,"10 cpos.",8,28.4
15,8º,10,TARUGUITA,EXAGGERATOR,COMO LO QUERI,"455Kg",RODOLFO FUENZALIDA,56 Kg,JOSE T. ALLENDE,"10 cpos.",8,6.9
15,RT,5,BEL FIOR,CONSTITUTION,BAEMAR,"-",RODRIGO PAINEN,56 Kg,JOSE ARAYA B.,-,-7
15,RT,3,QUEEN ANY,CLOUD COMPUTING,QUE RECUERDOS,"-",N.N.,55 Kg,RAUL MONTESINO,-,-6
15,RT,2,CAPITANA MARVEL,INTERNATIONAL STAR (USA),LO CAMPO,"-",WLADIMIR QUINTEROS,57 Kg,OLIVERIO MARTINEZ,-,-8
16,1º,5,BREGO,BAD DADDY,SHOT MENZEL,"464Kg",BASTIAN SOTO,56 Kg,JOSE ARAYA B.,Ganador,16,19.2
16,2º,4,GRIEZMANN,MASTERCRAFTSMAN,MATTE D. DOMINGO,"454Kg",RODOLFO S. DORES,56 Kg,DOMINGO MATTE,pczo.,16,7
16,3º,7,ROSY L'AMORE,FLAMEAWAY (CAN),ESMIRNA,"472Kg",KEVIN ESPINA,58 Kg,PATRICIO BAEZA A.,"1 3/4 cpos.",18,6.7
16,4º,3,MATE AMARGO,AHORA II,MI CHICA MAÑOSA,"433Kg",RODRIGO PAINEN,55 Kg,JOSE ARAYA B.,"2 cpos",15,13.1
16,5º,11,SIETE DE ABRIL,CONSTITUTION,SUPER SUPER,"447Kg",JONATHAN A. CASTILLO,60 Kg,RODRIGO SANCHEZ,"2 1/4 cpos",22,4.2
16,6º,1,SATOSHI,KINGLY (USA),DOSSETTO,"467Kg",VICTOR MIRANDA,59 Kg,GENARO COVARRUBIAS,"3 cpos.",15,4.6
16,7º,8,BARBIE DREAMS,LAYMAN,VIEJA POLLA,"463Kg",NICOLAS RAMIREZ,57 Kg,RODRIGO MUÑOZ,"4 cpos.",17,7.4
16,8º,9,DOBLE NEGRO,LOOKIN AT LUCKY,ABUELA OCA,"534Kg",NICOLAS SANTIBAÑEZ,56 Kg,DANIEL CONTRERAS,"4 cpos.",16,7.8
16,9º,2,RAIRET,DYLAN THOMAS,CHARITO,"431Kg",JAIME MEDINA,58 Kg,CRISTOBAL GONZALEZ M.,"4 cpos.",18,5.8
16,10º,6,ALTO FOREVER,IVAN DENISOVICH,PALESTINA,"484Kg",SEBASTIAN GONZALEZ,54 Kg,JOAO CASTILLO L.,"4 1/4 cpos",14,24.5
16,11º,14,TODAS MIENTEN,CROSS TRAFFIC,EL MERO MERO,"400Kg",JOSE PAREDES,58 Kg,JOSE ARAYA B.,"9 cpos.",17,49.5
16,12º,10,GRAN ROBERT,GRAND DADDY,VIEJA POLLA,"459Kg",RODOLFO FUENZALIDA,56 Kg,RODRIGO MUÑOZ,"10 1/4 cpos.",17,25.8
16,13º,13,NOTORIOUS LOVER,CUPID,MATTE D. DOMINGO,"448Kg",NICOLAS MOLINA,54 Kg,DOMINGO MATTE,"18 1/4 cpos.",14,33.4
16,RT,12,ZULEMA ZAHIR,WAR COMMAND,EL MERO MERO,"-",JESUS REYES,57 Kg,JOSE ARAYA B.,-,-18
16,RT,15,LA ALU,FLAMEAWAY (CAN),BOTAFOGO,"-",IGNACIO VALDIVIA,56 Kg,OSCAR SILVA S.,-,-16
17,1º,2,BALDER EL NORUEGO,STEVIE WONDERBOY,SOL DE NORUEGA,"481Kg",RODOLFO FUENZALIDA,57 Kg,ANDRES BERNAL,Ganador,13,10.6
17,2º,12,CLAU THE GOLD,DUBAI SKY,LADY MANCHAS NEGRAS,"485Kg",NICOLAS RAMIREZ,57 Kg,JOSE ARAYA B.,"1 cpo.",13,4
17,3º,11,ARTHUR SHELBY,GRAND DADDY,EL MERO MERO,"446Kg",RODRIGO PAINEN,57 Kg,JOSE ARAYA B.,"4 cpos.",13,8.7
17,4º,5,MI NIETO FRANK,FRANK CONVERSATION (USA),LOS MAGUITOS,"441Kg",RAFAEL CISTERNAS,56 Kg,RAUL MONTESINO,"4 cpos.",12,5.7
17,5º,6,EL LEGENDARIO,MO TOWN,LOS KAROL'S,"445Kg",NICOLAS SANTIBAÑEZ,54 Kg,CLAUDIO BERNAL,"4 cpos.",10,16.2
17,6º,9,UNDER THE LIGHT,MENDELSSOHN (USA),PROFEPABLO,"430Kg",BASTIAN SOTO,56 Kg,RAUL MONTESINO,"4 cpos.",12,23.8
17,7º,7,CALOCHITA,IVAN DENISOVICH,PALESTINA,"488Kg",SEBASTIAN GONZALEZ,57 Kg,JOAO CASTILLO L.,"5 1/4 cpos.",13,4.8
17,8º,3,SORELLA DEL KING,DUBAI SKY,ALVIDAL,"441Kg",JAIME MEDINA,55 Kg,RODRIGO SANCHEZ,"5 3/4 cpos.",11,6.9
17,9º,4,PETIROSSA,IVAN DENISOVICH,MONTESINO S. RAUL,"441Kg",JORGE VERA,59 Kg,RAUL MONTESINO,"5 3/4 cpos.",11,22.2
17,10º,10,CROCKED,FLAMEAWAY (CAN),TOTAL G,"446Kg",HUGO OCHOA,56 Kg,RODRIGO SANCHEZ,"9 cpos.",12,7.2
17,11º,1,CRYSTALITA,SEEKING THE DIA,LABRADOR,"441Kg",NICOLAS MOLINA,54 Kg,JOSE ARAYA B.,"9 3/4 cpos.",10,7.7
17,12º,8,SULTAN GUERRERO,VAN NISTELROOY,YAYITA,"468Kg",LUIS GONZALEZ,56 Kg,RAUL MONTESINO,"12 cpos.",13,92.9
17,13º,13,SISI STAR,MENDELSSOHN (USA),LOS CABEZAS ALVAREZ,"423Kg",JESUS REYES,54 Kg,RAUL MONTESINO,"12 cpos.",10,95.7
17,14º,14,DEAR SISTER,MO TOWN,SOBARZO DE G MONICA,"444Kg",DARIEN CHEUQUE,55 Kg,ALBERTO GONZALEZ,"12 3/4 cpos.",12,61.4
18,1º,11,ACHAPLINA,SEEKING THE DIA,PEÑA P. WALESKA,"402Kg",BASTIAN SOTO,56 Kg,WALESKA PEÑA,Ganador,6,8.2
18,2º,7,EL SOM CENTAURO,IRON CLAD,MIS DOS AMORES,"461Kg",JAVIER I. GUAJARDO,60 Kg,SERGIO ALVARADO P.,"1 cpo.",6,1.7
18,3º,13,QUARTARELLA,EXAGGERATOR,YAYITA,"437Kg",RAFAEL CISTERNAS,52 Kg,RAUL MONTESINO,"3 cpos.",4,32.6
18,4º,3,VOLANTE MIXTO,LAYMAN,FRANCISCO FAUNDEZ,"462Kg",NICOLAS SANTIBAÑEZ,56 Kg,FRANCISCO FAUNDEZ LL,"3 cpos.",3,4.9
18,5º,1,VUELVE LA FARRA,EL FARRERO,JOTABE,"443Kg",HUGO OCHOA,57 Kg,RODRIGO SILVA S.,"4 cpos.",4,5.8
18,6º,8,RODELINDO CRACK,EXAGGERATOR,CARREÑO R. ENRIQUE,"-",JOSE VILLABLANCA,54 Kg,ENRIQUE CARREÑO,"4 cpos.",4,32
18,7º,2,DOLCE AMARENA,ROBERT BRUCE,EL TORO BAYO,"444Kg",JESUS PIMENTEL,57 Kg,MIGUEL MEDINA,"4 cpos.",4,26.7
18,8º,12,PACIFICADOR,DANGEROUS MIDGE,LO CAMPO,"412Kg",WLADIMIR QUINTEROS,57 Kg,OLIVERIO MARTINEZ,"7 1/2 cpos.",4,25.5
18,9º,5,AKISI,DANCE BRIGHTLY,FRITZI,"476Kg",MIGUEL GUTIERREZ,55 Kg,ANGEL JAQUE S.,"7 3/4 cpos.",5,10.4
18,10º,10,TAO PRIZE,PURE PRIZE,SOBARZO DE G MONICA,"511Kg",DARIEN CHEUQUE,56 Kg,ALBERTO GONZALEZ,"9 3/4 cpos.",6,58.1
18,11º,15,TANGO,INTERNATIONAL STAR (USA),SAGARDIA HNOS.,"473Kg",JOSE SOLANO,56 Kg,OSCAR SILVA G.,"11 1/4 cpos.",6,8.6
18,12º,6,TORNADO DE BULI,DISTORTED ECONOMY,PANADERO,"384Kg",JUAN M. SOTO,53 Kg,ALBERTO GONZALEZ,"25 1/2 cpos.",3,131.9
18,RT,14,HAMM GOOD,GOOD SAMARITAN (USA),TETITO IGNACIO,"-",RODRIGO PAINEN,55 Kg,SERGIO MORALES,-,-5
18,RT,9,DI LA VERDAD ROSA,LAYMAN,FRANCISCO FAUNDEZ,"-",RICARDO SOLORZA,55 Kg,FRANCISCO FAUNDEZ LL,-,-4
18,RT,4,JAVIVALETU,EXAGGERATOR,LLEGO EL TALENTO,"-",N.N.,54 Kg,GENARO COVARRUBIAS,-,-3
