Carrera,Lugar,Partida,Caballo,Padrillo,Stud,PF,Jinete,Peso Jinete,Preparador,Distancia (cpos.),Índice,Dividendo
4,3º,12,GUACHACA,ROBERT BRUCE,ABUELA OCA,"414Kg",MAURICIO GALAZ,57 Kg,DANIEL CONTRERAS,Cbza.,-6.9
4,4º,2,ELON,FLAMEAWAY (CAN),TIM BERO,"438Kg",FABIAN MEDINA,53 Kg,HERNAN ULLOA,"1 1/2 cpos.",-4.7
4,5º,5,LIKE A PRAYER,ALFONSO (USA),HARAS CASABLANCA,"453Kg",DARIEN CHEUQUE,53 Kg,JOSE T. ALLENDE,"3 cpos.",-30.9
4,6º,9,LINDO RECUERDO,THE LUMBER GUY,STUD HARAS LIZZIE,"426Kg",HUGO OCHOA,57 Kg,RODRIGO SANCHEZ,"4 cpos.",-36.1
4,7º,8,IL MERLINO,PATTERNRECOGNITION,LAS TRES DAMAS,"436Kg",RODOLFO FUENZALIDA,57 Kg,RODRIGO MUÑOZ,"4 3/4 cpos.",-115.9
4,8º,13,TIO SALCHICHA,IMPERIA II,MANOLITO MATIAS,"448Kg",JESUS PIMENTEL,57 Kg,OSCAR SILVA S.,"5 cpos.",-98.2
4,9º,10,KINTSUGI,EL FARRERO,JOTABE,"417Kg",WLADIMIR QUINTEROS,57 Kg,RODRIGO SILVA S.,"7 cpos.",-90.6
4,10º,6,REY DE ASTURIAS,HIRABOKU DEEP (JAP),EL TORO BAYO,"451Kg",RONALD FOURNET,53 Kg,MIGUEL MEDINA,"7 1/2 cpos.",-19.7
4,11º,1,PARA TI DOCTOR,NEKO BAY,LOS QUE SABEN,"413Kg",PEDRO ROBLES,57 Kg,JOHN PINOCHET,"7 3/4 cpos.",-25.3
4,12º,4,LUPO VELOCE,VISCOUNT NELSON,EL GANCHITO,"453Kg",JOAQUIN HERRERA,57 Kg,ENRIQUE CARREÑO,"10 cpos.",-50.6
4,13º,3,OLIVETTO,IVAN DENISOVICH,I NONNI DI PIAMONTE,"436Kg",SEBASTIAN GONZALEZ,57 Kg,JOSE INDA DE LA C.,"11 cpos.",-1.6
5,1º,4,TENTADERO,MIDSHIPMAN,TONLEMO,"507Kg",IGNACIO VALDIVIA,56 Kg,PATRICIO BAEZA A.,Ganador,25,1.8
5,2º,5,MITOU,GOOD SAMARITAN (USA),MATRIARCA,"497Kg",NICOLAS RAMIREZ,56 Kg,MARIO RABAJILLE D.,V.P.,25,6.1
5,3º,6,RED DIAMOND,DIAMOND TYCOON,SOL DE NORUEGA,"501Kg",JORGE ZUÑIGA,51 Kg,ANDRES BERNAL,"1/2 cpo.",20,5.7
5,4º,3,VIVIR LA VIDA,FANTASMAGORICO,BUREO,"460Kg",GERARD RODRIGUEZ,56 Kg,ROBERTO TOLEDO M.,"5 1/2 cpos.",25,16
5,5º,2,STATE OF GRACE,STATE OF PLAY,CHARITO,"525Kg",KEVIN ESPINA,58 Kg,CRISTOBAL GONZALEZ M.,"6 1/4 cpos.",26,6.2
5,6º,1,REMARKABLE,ROBERT BRUCE,HARAS CONVENTO VIEJO,"495Kg",JAIME MEDINA,55 Kg,PATRICIO BAEZA A.,"6 1/2 cpos.",24,2.9
6,1º,5,FLYNG HEARTS,CONSTITUTION,STUD LA NONNA LTDA.,"515Kg",JOAQUIN HERRERA,56 Kg,CARLOS RABY,Ganador,32,2.7
6,2º,3,AMOR CLANDESTINO,FLAMEAWAY (CAN),PAOLA,"507Kg",JAIME MEDINA,53 Kg,PATRICIO BAEZA A.,"1 cpo.",32,6.2
6,3º,2,LUCA PAGURO,ROBERT BRUCE,EL CEDRO,"505Kg",RAFAEL CISTERNAS,57 Kg,JUAN CAVIERES,"1 1/4 cpos.",19,1.7
6,4º,1,SETANTA,MENDELSSOHN (USA),SCOTLAND,"499Kg",IGNACIO VALDIVIA,51 Kg,PATRICIO BAEZA A.,"2 1/4 cpos",25,6.5
6,5º,4,SOBERANO REY,MIDSHIPMAN,STUD DROPE,"461Kg",ANYELO RIVERA,55 Kg,JULIO ORELLANA,"3 1/4 cpos.",26,5.4
7,1º,8,VITRUVIUS,ROBERT BRUCE,ODISEA,"502Kg",SEBASTIAN GONZALEZ,57 Kg,JORGE A. INDA DE LA C.,Ganador,-,2.3
7,2º,3,VAMOS A BAILAR,PATTERNRECOGNITION,ALONMATE,"512Kg",JORGE VERA,56 Kg,MANUEL VELARDE,"1 1/4 cpos.",-27.1
7,3º,1,KILAN,VISCOUNT NELSON,SAGARDIA HNOS.,"455Kg",JOSE SOLANO,57 Kg,OSCAR SILVA G.,"3 cpos.",-7.6
7,4º,10,LUQUITAS,SPUN TO RUN (USA),CHINIGUE,"418Kg",JOSE VILLABLANCA,57 Kg,CLAUDIO BERNAL,"4 1/2 cpos.",-40.6
7,5º,5,NO SE NA,THE LUMBER GUY,STUD HARAS LIZZIE,"445Kg",JORGE ZUÑIGA,57 Kg,JOSE M. ALVAREZ D.,"6 3/4 cpos.",-3.2
7,6º,7,CATANZARO,GOOD SAMARITAN (USA),EL MERO MERO,"411Kg",RODRIGO PAINEN,57 Kg,JOSE ARAYA B.,"7 cpos.",-24.1
7,7º,14,MANO DE PIEDRA,INTERNATIONAL STAR (USA),KDM,"508Kg",PEDRO ROBLES,57 Kg,JOHN PINOCHET,"7 cpos.",-3.5
7,8º,2,ALFONSO EL GRANDE,ALFONSO (USA),TATA MENGHINI,"466Kg",FABIAN MEDINA,53 Kg,CLAUDIO BERNAL,"7 cpos.",-45.7
7,9º,9,PAR DE VIDAS,FELIZ DE LA VIDA,BOTAFOGO,"420Kg",VICTOR MIRANDA,57 Kg,OSCAR SILVA S.,"10 1/2 cpos.",-13.6
7,10º,6,VOY A PALERMO,FORWARD MARCH,MASAIVA,"-",RONALD FOURNET,53 Kg,JORGE INDA M.,"10 1/2 cpos.",-18.7
7,11º,11,TE ANDAN BUSCANDO,PALM SPRINGS (USA),DON SANTIAGO,"462Kg",JESUS REYES,56 Kg,MIGUEL MEDINA,"11 1/2 cpos.",-170.4
7,12º,13,WILWITON,FALLEN FROM HEAVEN,CHOTOMORO,"385Kg",JUAN M. SOTO,57 Kg,ALBERTO GONZALEZ,"14 3/4 cpos.",10,380.8
7,13º,4,TE FUISTE,FORWARD MARCH,MASAIVA,"427Kg",WLADIMIR QUINTEROS,57 Kg,OLIVERIO MARTINEZ,"16 cpos.",11,64.6
7,RT,12,HOVLAND,DUBAI SKY,EL ROSARINO,"-",DARIEN CHEUQUE,53 Kg,MARIO RABAJILLE D.,-,-,-
8,1º,3,PEDERNERA,FLAMEAWAY (CAN),ANY,"487Kg",JAIME MEDINA,59 Kg,RODRIGO SANCHEZ,Ganador,39,6.8
8,2º,2,KNESEET,PRACTICAL JOKE,LAS TRES DAMAS,"465Kg",NICOLAS RAMIREZ,61 Kg,RODRIGO MUÑOZ,"2 1/4 cpos",44,4
8,3º,1,SEE ME,CLOUD COMPUTING,MILLAR M PATRICIO,"514Kg",JESUS PIMENTEL,51 Kg,HERNAN ULLOA,"3 1/2 cpos.",29,7.4
8,4º,7,SALTO DEL CEREZO,MENDELSSOHN (USA),POR TI NEGRITA,"456Kg",JORGE A. GONZALEZ,61 Kg,SERGIO MORALES,"4 3/4 cpos.",42,3.1
8,5º,6,STRAY KIDS,TOURIST,ALDEDO,"474Kg",IGNACIO VALDIVIA,51 Kg,ALDO PARRA D.,"6 1/4 cpos.",29,8.9
8,6º,8,QUMRAM,SWEET SORREL,LOS BAMBINOS,"494Kg",JORGE ZUÑIGA,52 Kg,SERGIO MORALES,"6 1/2 cpos.",30,4.4
8,7º,4,MALANDRO,MENDELSSOHN (USA),CARNES OLY,"442Kg",JESUS TORO,51 Kg,GENARO COVARRUBIAS,"9 1/2 cpos.",30,22.9
8,8º,9,NA NI NA,COMPETITIVE EDGE,BARROS NEGROS,"477Kg",RODOLFO S. DORES,58 Kg,DOMINGO MATTE,"10 3/4 cpos.",37,6.9
8,9º,5,TINTO DE VERANO,VAN NISTELROOY,MILLAR M PATRICIO,"439Kg",RAFAEL CISTERNAS,59 Kg,CRISTIAN URBINA,"16 1/4 cpos.",39,27.4
9,1º,7,CABIN CASSIA,LOOKIN AT LUCKY,STUD LA NONNA LTDA.,"466Kg",JAIME MEDINA,55 Kg,PATRICIO BAEZA A.,Ganador,14,10.1
9,2º,5,DOÑA SAURI,LOOKIN AT LUCKY,LEGACY,"461Kg",HUGO OCHOA,55 Kg,JOSE ARAYA B.,"1 3/4 cpos.",24,1.7
9,3º,1,ODESSA,FLYER,ETIQUETA NEGRA,"462Kg",RODOLFO S. DORES,55 Kg,GUILLERMO AGUIRRE,"3 1/4 cpos.",15,25.8
9,4º,6,PODEROSA NOBLEZA,ALFONSO (USA),EL GRAN JOSE,"447Kg",GONZALO ULLOA,56 Kg,WALESKA PEÑA,"6 cpos.",15,11.6
9,5º,2,SKY ARMY,DUBAI SKY,IDENTIC,"491Kg",OSCAR ULLOA,56 Kg,PATRICIO BAEZA A.,"8 3/4 cpos",24,2.8
9,6º,3,MI MAMA INES,CLASSIC EMPIRE (USA),BOTAFOGO,"438Kg",IGNACIO VALDIVIA,55 Kg,GUILLERMO AGUIRRE,"9 cpos.",18,5.5
9,7º,4,LA MATEA,ROBERT BRUCE,KDM,"460Kg",PEDRO ROBLES,55 Kg,JOHN PINOCHET,"23 cpos.",20,15.3
9,8º,8,CRISTAL GINGER,HINZ,BUCAREST,"466Kg",SEBASTIAN GONZALEZ,55 Kg,JORGE A. INDA DE LA C.,"31 1/4 cpos.",15,26.8
10,1º,6,RED DADDY,GRAND DADDY,MILLAR M PATRICIO,"500Kg",NICOLAS MOLINA,53 Kg,ANDRES BERNAL,Ganador,10,27.9
10,2º,12,FLIGHT OF ICARUS,MIDSHIPMAN,TETITO IGNACIO,"456Kg",GERARD RODRIGUEZ,57 Kg,SERGIO MORALES,"1/2 cpo.",14,48
10,3º,11,DIAMOND ONE,MENDELSSOHN (USA),JOHN JOHN,"470Kg",JOAQUIN HERRERA,58 Kg,RODRIGO SANCHEZ,"1/2 cpo.",17,2.1
10,4º,8,MR YO,MR SPEAKER,CHARITO,"454Kg",MIGUEL GUTIERREZ,57 Kg,CRISTOBAL GONZALEZ M.,"1 cpo.",14,6.3
10,5º,1,KILIMANJARO (ARG),SOUTHERN CAT,LOS PINCHEIRA,"422Kg",NICOLAS RAMIREZ,55 Kg,CARLOS MELERO,"2 cpos",12,9.6
10,6º,2,RIO DE LAS MINAS,TOURIST,MAR Y SOL,"479Kg",AXEL ALVAREZ,58 Kg,CLAUDIO BERNAL,"4 cpos.",15,10
10,7º,4,ZULEIMAN (ARG),MASTERCRAFTSMAN,SAPNET STABLE,"472Kg",SEBASTIAN GONZALEZ,56 Kg,WALESKA PEÑA,"7 1/4 cpos.",13,31.2
10,8º,5,KORPER,MIDSHIPMAN,JOSE LUIS,"481Kg",RODOLFO FUENZALIDA,56 Kg,RAUL MONTESINO,"8 1/2 cpos.",13,28
10,9º,10,PATMAHO,GRAND DADDY,BENVIC,"523Kg",JORGE ZUÑIGA,56 Kg,JOSE ARAYA B.,"8 3/4 cpos",14,10.3
10,10º,9,SCAR,INTERNATIONAL STAR (USA),KAROLO,"479Kg",RODOLFO S. DORES,56 Kg,JOSE M. ALVAREZ D.,"9 1/2 cpos.",13,6
