Carrera,Hora,Premio,Distancia,Tipo,Bolsa_Premios,Pista,Posicion,Numero,Ejemplar,Padre,Edad,Peso,Distancia_Ganador,Peso_Jinete,Jinete,Preparador,Stud,Dividendo,Tiempo,Favorito
1,12:15,Norte Sur,1200m,Handicap (Hd) 4 al 2,CLP $3.069.000,Arena (Normal),1,1,Cuatro De Copas,Dylan Thomas,4,474k,,54k,J. Zúñiga,José Bravo M.,Sultan Cra,4.10,1.10.36,(13)First Classic
1,12:15,Norte Sur,1200m,Handicap (Hd) 4 al 2,CLP $3.069.000,Arena (Normal),2,6,Red Knight,Ivan Denisovich,6,489k,2¾,55k,J. Vera,Claudio Bernal G.,Mario Y Elodia,6.90,1.10.36,(13)First Classic
1,12:15,Norte Sur,1200m,Handicap (Hd) 4 al 2,CLP $3.069.000,Arena (Normal),3,9,Good Chief,Good Samaritan,4,426k,7,55k,F. Medina,Isaac Michea F.,Lgs Generadores,19.00,1.10.36,(13)First Classic
1,12:15,Norte Sur,1200m,Handicap (Hd) 4 al 2,CLP $3.069.000,Arena (Normal),4,13,First Classic,Classic Empire,4,472k,8½,55k,S. González,Eugenio Switt V.,Los Garrido,3.30,1.10.36,(13)First Classic
1,12:15,Norte Sur,1200m,Handicap (Hd) 4 al 2,CLP $3.069.000,Arena (Normal),5,10,Lord Commander,Mastercraftsman,9,453k,9,56k,N. Santibañez,Eduardo Lab R.,Mami Chela,7.20,1.10.36,(13)First Classic
2,12:40,Nasty Boy,1000m,Condicional (Cd),CLP $2.660.000,Arena (Normal),1,6,Nieto Español,Spun to Run,3,447k,,53k,F. Medina,Eduardo Lab R.,Cristian Manuel,3.00,58.49,(6)Nieto Español
2,12:40,Nasty Boy,1000m,Condicional (Cd),CLP $2.660.000,Arena (Normal),2,13,Hey Dj,Imperia II,3,441k,1½,57k,I. Valdivia,Cristián Urbina R.,Morat,3.80,58.49,(6)Nieto Español
2,12:40,Nasty Boy,1000m,Condicional (Cd),CLP $2.660.000,Arena (Normal),3,9,Indian Blitz,Indian Trail,3,460k,1½,53k,R. Fournet,Oscar Donate S.,Tata Beto,5.30,58.49,(6)Nieto Español
2,12:40,Nasty Boy,1000m,Condicional (Cd),CLP $2.660.000,Arena (Normal),4,12,Guachaca,Robert Bruce,3,407k,2,57k,M. Galáz,Daniel Contreras A.,Abuela Oca,6.30,58.49,(6)Nieto Español
2,12:40,Nasty Boy,1000m,Condicional (Cd),CLP $2.660.000,Arena (Normal),5,8,Pedernales,Bad Daddy,3,424k,4¾,57k,F. Henríquez,Manuel Norambuena Ch.,Dejenme Sonar,10.00,58.49,(6)Nieto Español
