fecha,hipodromo,nro_carrera,hora,distancia,superficie,numero,caballo,jinete,preparador,posicion,tiempo,dividendo,peso
26/02/2026,Hipódromo Chile,1,13:00,1000,Arena,3,Marulina,J. González,Genaro J. Covarrubias E.,1°,59.16,16.10,421k
26/02/2026,Hipódromo Chile,1,13:00,1000,Arena,1,Nanverqui,J. Villablanca,Maritza Pérez A.,2°,59.16,6.70,414k
26/02/2026,Hipódromo Chile,1,13:00,1000,Arena,7,Beautiful Moon,N. Rojas,Jaime Hirmas R.,3°,59.16,13.80,417k
26/02/2026,Hipódromo Chile,1,13:00,1000,Arena,15,Teruka,P. Galáz,Victor Moris L.,4°,59.16,3.60,417k
26/02/2026,Hipódromo Chile,1,13:00,1000,Arena,6,Rucia De Oro,J. Toro,Juan C. Pichara J.,5°,59.16,8.40,440k
26/02/2026,Hipódromo Chile,1,13:00,1000,Arena,9,Betone,R. Covarrubias,Patricio Valderrama C.,6°,59.16,9.90,430k
26/02/2026,Hipódromo Chile,1,13:00,1000,Arena,5,Julia Domna,J. Solano,José Venegas P.,7°,59.16,69.90,479k
26/02/2026,Hipódromo Chile,1,13:00,1000,Arena,8,Sasuke,A. Apablaza,Juan C. Pichara J.,8°,59.16,11.70,431k
26/02/2026,Hipódromo Chile,1,13:00,1000,Arena,10,Good Morning Red,F. Taun,Juan Gonzalez M.,9°,59.16,83.60,421k
26/02/2026,Hipódromo Chile,1,13:00,1000,Arena,14,Vine Vide Vinci,N. Molina,Rodrigo Quiroz S.,10°,59.16,21.10,456k
26/02/2026,Hipódromo Chile,1,13:00,1000,Arena,12,Varese,R. Fuenzalida,Marcos Contreras,11°,59.16,3.80,382k
26/02/2026,Hipódromo Chile,1,13:00,1000,Arena,4,Satisfy My Soul,J. Castillo,Luis Toledo C.,12°,59.16,8.10,424k
26/02/2026,Hipódromo Chile,1,13:00,1000,Arena,11,Kepka,W. Quinteros,Oscar Donate S.,13°,59.16,13.40,467k
26/02/2026,Hipódromo Chile,1,13:00,1000,Arena,13,John Wayne,L.P. Silva,Genaro J. Covarrubias E.,14°,59.16,24.50,471k
26/02/2026,Hipódromo Chile,2,13:26,1000,Arena,2,Je Suis Pret,G. Rodríguez,Mario Covarrubias,1°,57.89,2.50,433k
26/02/2026,Hipódromo Chile,2,13:26,1000,Arena,3,Jets Daddy,R. Fuenzalida,Aldo Castagneto U.,2°,57.89,7.30,466k
