fecha,hipodromo,nro_carrera,hora,distancia,superficie,numero,caballo,jinete,preparador,posicion,tiempo,dividendo,peso
09-03-2026,Club Hípico de Santiago,1,13:00,1000,Pasto,7,CABLE A TIERRA,MAURICIO CHAMORRO,ROBERTO TOLEDO M.,1,Ganador,14.3,56
09-03-2026,Club Hípico de Santiago,1,13:00,1000,Pasto,10,YA MAGICO,JOHAN GONZALEZ,GENARO COVARRUBIAS,2,3/4 cpos.,26.3,58
09-03-2026,Club Hípico de Santiago,1,13:00,1000,Pasto,8,NIETA DEL MONTY,RAFAEL CISTERNAS,DOMINGO MATTE,3,2 1/4 cpos,28.3,57
09-03-2026,Club Hípico de Santiago,1,13:00,1000,Pasto,5,RUCIA DEL DOC,JESUS TORO,ALVARO FERNANDEZ,4,2 1/2 cpos.,113.1,56
09-03-2026,Club Hípico de Santiago,1,13:00,1000,Pasto,6,NUTCRACKER,JESUS PIMENTEL,GABRIEL MELEJ,5,6 cpos.,29.9,57
09-03-2026,Club Hípico de Santiago,1,13:00,1000,Pasto,14,GRAN LALITO,VICTOR MIRANDA,JUAN C. PICHARA,6,6 1/2 cpos.,119.3,56
09-03-2026,Club Hípico de Santiago,1,13:00,1000,Pasto,12,DOMINGO ISLEÑO,DIEGO CARRASCO,GABRIEL MELEJ,7,7 1/4 cpos.,124.2,56
09-03-2026,Club Hípico de Santiago,1,13:00,1000,Pasto,9,SOBRAO DE CARIÑO,CARLOS ORTEGA,ANDRES BERNAL,8,7 1/4 cpos.,177,56
09-03-2026,Club Hípico de Santiago,1,13:00,1000,Pasto,11,MAGNUS AURELIUS,RODOLFO FUENZALIDA,CLAUDIO NAVARRO A.,9,8 cpos.,162,56
09-03-2026,Club Hípico de Santiago,1,13:00,1000,Pasto,2,MY FLORENCE,LESLY C. GONZALEZ,ALEXIS PEREZ,10,8 cpos.,26.5,57
09-03-2026,Club Hípico de Santiago,1,13:00,1000,Pasto,13,MESTIZA FLOR,JOSE EYZAGUIRRE,ISAAC MICHEA,11,8 cpos.,16.2,56
09-03-2026,Club Hípico de Santiago,1,13:00,1000,Pasto,3,ANTIOCO,WLADIMIR QUINTEROS,RAUL MONTESINO,12,10 1/4 cpos.,112.3,56
09-03-2026,Club Hípico de Santiago,1,13:00,1000,Pasto,1,ROM TALE (USA),RODOLFO S. DORES,ALBERTO FERRERO,13,10 1/4 cpos.,14.3,56
09-03-2026,Club Hípico de Santiago,2,13:26,1100,Arena,4,RICONDITA,NELSON ROJAS,PATRICIO BAEZA A.,1,Ganador,283.7,54
09-03-2026,Club Hípico de Santiago,2,13:26,1100,Arena,6,GOOD DECISIONS,JOAQUIN HERRERA,MARIO RABAJILLE D.,2,3 3/4 cpos.,191.4,58
09-03-2026,Club Hípico de Santiago,2,13:26,1100,Arena,1,MARY QUEEN,DARIEN CHEUQUE,PATRICIO BAEZA A.,3,8 1/2 cpos.,192.9,54
09-03-2026,Club Hípico de Santiago,2,13:26,1100,Arena,2,LA POLITO,RAFAEL CISTERNAS,JUAN CAVIERES,4,17 cpos.,1015.6,55
09-03-2026,Club Hípico de Santiago,2,13:26,1100,Arena,8,TEA AND MILK,AGUSTIN VILLAGRA,RAUL MONTESINO,5,19 cpos.,1430.2,54
09-03-2026,Club Hípico de Santiago,2,13:26,1100,Arena,3,KALANIT,HUGO OCHOA,PATRICIO BAEZA A.,6,27 3/4 cpos.,20,54
