Fecha,Reunion,Carrera,Lugar,Numero,Ejemplar,Jinete,Preparador,Stud,Dividendo
10/01/2026,2,20,5,4,Cuatro De Copas,J. Herrera,José Bravo M.,Sultan Cra,6.40
10/01/2026,2,20,6,15,El Pollo Dorado,A. Apablaza,Alejandro Padovani E.,Chiu Chiu,5.10
10/01/2026,2,20,7,12,Nougatini Flower,R. Cisternas,Marco Pavez O.,Haras Sumaya,9.10
10/01/2026,2,20,8,13,Nob,N. Ramirez,Juan C. Pichara J.,Juan Jaque,14.60
10/01/2026,2,20,9,9,Bruno El Terrible,R. Painen,Juan C. Pichara J.,Bruno Alonso,12.40
10/01/2026,2,20,10,8,Gold Daddy,J. González,Juan C. Pichara J.,Cori,6.40
10/01/2026,2,20,11,5,Orizzonti,J. Soto,Luis Machulas G.,Juan Manriquez Q.,65.50
10/01/2026,2,20,12,3,Vida Sabrosa,M. Gutiérrez,Rafael Bernal G.,Gran Xime,74.80
10/01/2026,2,20,13,14,Tirrel,I. Valdivia,Pedro Diaz S.,Los Jeques,14.50
10/01/2026,2,20,14,6,Angela Clasica,D. Carvacho,Rodrigo Quiroz S.,Escobar Hnos.,37.40
10/01/2026,2,21,1,10,Elegant Champion,G. Rodríguez,Juan C. Pichara J.,Juan Jaque,3.00
10/01/2026,2,21,2,7,Papito Alfredo,I. Valdivia,Pedro Diaz S.,Vida Nueva,6.10
10/01/2026,2,21,3,15,El Ferroviario,J. Herrera,Claudio Bernal G.,Curepto,3.60
10/01/2026,2,21,4,11,Enseñame,R. Cisternas,Eugenio Switt V.,Los Garrido,11.30
10/01/2026,2,21,5,1,Pancho Malo,G. Covarrubias,Julio Castillo D.,Corral Hipico,18.30
10/01/2026,2,21,6,12,Quintila,M. Gutiérrez,Isaac Michea F.,Bruno Alonso,11.60
10/01/2026,2,21,7,14,Zambian River,M. Morales,Marco Pavez O.,Haras Sumaya,6.30
10/01/2026,2,21,8,8,Payback,D. Sánchez,Leopoldo Parra G.,El Vetero,44.00
10/01/2026,2,21,9,3,Stop Loss,N. Rojas,Juan C. Pichara J.,Mamita Ines,22.00
10/01/2026,2,21,10,6,Bowser,S. González,Daniel Contreras A.,Bracortrak,7.50
10/01/2026,2,21,11,9,Medio Banca,N. Ramirez,Carlos Urbina H.,Xeneixe,18.70
10/01/2026,2,21,12,5,Pharaon,J. Soto,Luis Machulas G.,Los Husares,45.40
