fecha,hipodromo,nro_carrera,hora,premio,distancia,superficie,numero,caballo,padrillo,peso,jinete,preparador,pozo
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,1,18:00,LAGO DE PLATA,1000,ARENA,1,NUNCA VIGILANTE,Seeking The Dia,57,J. Moya,A. Cea,5000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,1,18:00,LAGO DE PLATA,1000,ARENA,2,ONE SHOT,International Star,57,A. Pereda,C. Norambuena,5000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,1,18:00,LAGO DE PLATA,1000,ARENA,3,EL TATUADO,Exaggerator,57,B. Díaz,J. Espinosa,5000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,1,18:00,LAGO DE PLATA,1000,ARENA,4,FRESCO,Mayakovsky,56,G. Vera,F. Acevedo,5000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,1,18:00,LAGO DE PLATA,1000,ARENA,5,DESTELLO FUGAZ,Destello Del Alma,55,M. Urzúa,R. Vásquez,5000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,1,18:00,LAGO DE PLATA,1000,ARENA,6,FLASH STREAK,Grand Daddy,55,C. Pavez,E. Alarcón,5000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,1,18:00,LAGO DE PLATA,1000,ARENA,7,BITTER BATIDO,Competitive Edge,57,C.A. Rojas,H. Arteaga,5000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,1,18:00,LAGO DE PLATA,1000,ARENA,8,FURIA DE TROYA,Stevie Wonderboy,57,A. Navarrete,J. Olate,5000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,2,18:30,LAFITE,1300,ARENA,1,VICTORY DAVID,Line Of David,58,G. Vera,F. Acevedo,2000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,2,18:30,LAFITE,1300,ARENA,2,GIANNI,Seeking The Dia,57,B. Díaz,G. Melo,2000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,2,18:30,LAFITE,1300,ARENA,3,MY HERO,Sahara Spirit,58,I. Pimentel,N. Norambuena,2000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,2,18:30,LAFITE,1300,ARENA,4,SPIRIT ROAD,Indian Trail,57,E. González,J. Olate,2000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,2,18:30,LAFITE,1300,ARENA,5,MY BJORK,Gstaad II,56,I. Moya,C. Córdova,2000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,2,18:30,LAFITE,1300,ARENA,6,PUMARA,Good Samaritan,54,C.A. Rojas,A. Cea,2000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,2,18:30,LAFITE,1300,ARENA,7,DESER CAT,Newfoundland,58,G. Pereda,C. Norambuena,2000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,3,19:00,LADY FOX,1100,ARENA,1,EL PERRO NEGRO,Exaggerator,57,G. Pereda (4),H. Arteaga,1000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,3,19:00,LADY FOX,1100,ARENA,2,FUERA DE MI,Exaggerator,57,J. Moya,A. Cea,1000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,3,19:00,LADY FOX,1100,ARENA,3,CORAZON PURO,Dylan Thomas,57,C.A. Rojas,V. Gallardo,1000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,3,19:00,LADY FOX,1100,ARENA,4,REY DEL PUEBLO,Mayakovsky,57,J.A. Inostroza (2),C. Córdova,1000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,3,19:00,LADY FOX,1100,ARENA,5,DOÑA HAYDEE,Mayakovsky,55,M. Urzúa (4),C. Córdova,1000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,3,19:00,LADY FOX,1100,ARENA,6,PIMIENTA NEGRA,Good Samaritan,55,J. Olate,A. Navarrete,1000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,3,19:00,LADY FOX,1100,ARENA,7,BLACK MANTA,Caesarion,57,V. Mardones (4),A. Cea,1000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,4,19:30,LITTLE PRINCE,1100,ARENA,1,MAGICO SECRETO,Ivan Denisovich,57,G. Pereda,C. Norambuena,7000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,4,19:30,LITTLE PRINCE,1100,ARENA,2,CINEMA PARADISO,Grand Daddy,56,C.A. Rojas,A. Cea,7000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,4,19:30,LITTLE PRINCE,1100,ARENA,3,GULFO,Caesarion,58,J.A. Inostroza,A. Cea,7000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,4,19:30,LITTLE PRINCE,1100,ARENA,4,GOLDEN WARRIOR,Ecliptic,56,A. Pereda,H. Arteaga (AP),7000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,4,19:30,LITTLE PRINCE,1100,ARENA,5,MAL MIRADA,Il Rey Ivan,55,G. Vera,G. Melo,7000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,4,19:30,LITTLE PRINCE,1100,ARENA,6,SAFAT,Dylan Thomas,55,J. Olate,H. Arteaga,7000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,4,19:30,LITTLE PRINCE,1100,ARENA,7,ROJO JAMAS,Mayakovsky,58,A. Vega,G. Melo,7000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,4,19:30,LITTLE PRINCE,1100,ARENA,8,SCHNELLER,Gemologist,58,B. Díaz,R. Bello,7000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,4,19:30,LITTLE PRINCE,1100,ARENA,9,EL BARRERO,Buzzword,56,V. Mardones,C. Córdova,7000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,4,19:30,LITTLE PRINCE,1100,ARENA,10,GRAN DREAMER,Aragorn II,57,M. Urzúa,J. Espinosa,7000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,5,20:00,LEFIPAN,1000,ARENA,1,HEY NINA,Seeking The Dia,56,J.A. Inostroza,R. Bello,2000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,5,20:00,LEFIPAN,1000,ARENA,2,IL IMPERATORE,Mayakovsky,56,V. Mardones,C. Córdova,2000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,5,20:00,LEFIPAN,1000,ARENA,3,CHECOMAN,Mastercraftsman,56,I. Olate,R. Vásquez,2000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,5,20:00,LEFIPAN,1000,ARENA,4,PREFIERO CALLAR,Grand Daddy,56,I. Cárcamo,H. Arteaga (AP),2000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,5,20:00,LEFIPAN,1000,ARENA,5,SOY ECONOMICO,Distorted Economy,56,A. Soto,L.G. Soto,2000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,5,20:00,LEFIPAN,1000,ARENA,6,ULTRASONIDO,Court Vision,56,G. Vera,F. Acevedo,2000000
12/03/2026,CLUB HÍPICO DE CONCEPCIÓN,5,20:00,LEFIPAN,1000,ARENA,7,BUMPY,Dylan Thomas,56,J. Pimentel,N. Norambuena,2000000
