Carrera,Lugar,Partida,Ejemplar,Padrillo,Stud,Peso_Fisico,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
4,1,7,PESO COMPLETO,INTERNATIONAL STAR (USA),CITRAL,497,BERNARDO LEON,56,JOSE T. ALLENDE,Ganador,35,2.3
4,2,3,RUSIO NO ES,GRAND DADDY,VIEJA POLLA,483,RODOLFO FUENZALIDA,60,RODRIGO MUÑOZ,1/2 cpo.,42,4.1
4,3,5,NA NI NA,COMPETITIVE EDGE,BARROS NEGROS,480,RODOLFO S. DORES,57,DOMINGO MATTE,5 3/4 cpos.,37,5
4,4,2,EL PIRI,TOURIST,QUARTER DOLLAR,453,WILBERT LEON,54,GENARO COVARRUBIAS,6 1/2 cpos.,34,25.8
4,5,1,STRONG DAIKIRI,STRONG MANDATE,LEGACY,510,MARCO A. BUSTAMANTE,56,JOSE ARAYA B.,6 1/2 cpos.,36,10.2
4,6,8,GRAND SMILE,GRAND DADDY,R.A.C.,505,JOHAN GONZALEZ,53,OLIVERIO MARTINEZ,11 3/4 cpos.,33,6.9
4,7,4,DEMBO,PRACTICAL JOKE,JULIO JUAREZ,508,LUIS TORRES,61,JOSE ARAYA B.,Lejos,44,3.4
4,RT,6,GRAN RAI,PRACTICAL JOKE,SUPER SUPER,-,HUGO OCHOA,59,RODRIGO SANCHEZ,-,41,-
5,1,10,DARLING,FLAMEAWAY (CAN),HARAS SANTA SARA,451,MARCO MORALES,55,JOHN PINOCHET,Ganador,-,2
5,2,12,YULITZKA,KINGLY (USA),P Y P,532,FABIAN MEDINA,51,ALEXIS PEREZ,pczo.,-,6.5
5,3,3,LA MORITA,THE LUMBER GUY,STUD HARAS LIZZIE,447,HUGO OCHOA,55,RODRIGO SANCHEZ,1 1/2 cpos.,-,11.8
5,4,9,EUSKERA,FLAMEAWAY (CAN),VIEJO ZORRO,421,BENJAMIN TRONCOSO,55,ALDO PARRA D.,6 3/4 cpos.,-,5
5,5,11,BRONT LUCKY,LOOKIN AT LUCKY,TETITO IGNACIO,477,FELIPE HENRIQUEZ,55,SERGIO MORALES,9 3/4 cpos.,-,4.7
5,6,7,MI NIETA AGUSTINA,FLAMEAWAY (CAN),VIGALU,434,BENJAMIN SANCHO,55,THEODORE CACHELY,9 3/4 cpos.,-,12.6
5,7,2,PAMPITA ALEGRE,ROBERT BRUCE,EL JEI,435,ALVARO APABLAZA,55,FELIPE GONZALEZ S.,10 3/4 cpos.,6,116.2
5,8,5,MADRE PATRIA,GET JETS,STUD ASTURIAS,439,CARLOS ORTEGA,55,ANDRES BERNAL,11 cpos.,-,7.6
5,9,4,DAMA DE LA LUZ,IL REY IVAN,JAQUE S ANGEL,451,AGUSTIN VILLAGRA,52,ANGEL JAQUE S.,13 1/4 cpos.,-,102.6
5,10,8,PRINCESS THAI,DISTORTED ECONOMY,ALONMATE,413,JOSE VILLABLANCA,55,MANUEL VELARDE,16 3/4 cpos.,-,139.3
5,11,6,LIVIA DRUSA,RYDILLUC,EL GRAN JOSE,408,NICOLAS SANTIBAÑEZ,55,WALESKA PEÑA,17 1/2 cpos.,-,108.5
5,12,1,MI JARDIN,ROBERT BRUCE,BARTI,412,JOHAN GONZALEZ,55,FRANCISCO PINOCHET,44 3/4 cpos.,-,17.4
6,1,8,WALK EASY,GOOD SAMARITAN (USA),GARAGE JCS,446,LESLY C. GONZALEZ,55,FELIPE GONZALEZ S.,Ganador,8,14.2
6,2,1,MARIA SUREÑA,GOOD SAMARITAN (USA),MORALES O VERONICA,443,ALVARO APABLAZA,56,CRISTOBAL GONZALEZ M.,4 cpos.,9,2.3
6,3,7,PETIROSSA,IVAN DENISOVICH,MONTESINO S. RAUL,434,FRANCISCO MORALES,56,RAUL MONTESINO,5 1/4 cpos.,9,6.4
6,4,11,CIAO JUANITA,GOOD SAMARITAN (USA),SAGARDIA HNOS.,456,JOSE SOLANO,57,OSCAR SILVA G.,5 1/4 cpos.,10,6.7
6,5,6,BERGERAC (ARG),ROMAN RULER (P),MADINAT,461,BENJAMIN TRONCOSO,56,MIGUEL MEDINA,5 1/2 cpos.,9,4.5
6,6,10,ELMITA,CALIFORNIA CHROME,JADADIE,486,CARLOS ORTEGA,57,ANDRES BERNAL,8 1/2 cpos.,10,5.7
6,7,4,BULLA BLUE,PATTERNRECOGNITION,LOS POLLITOS,441,MARCO MORALES,57,JOHN PINOCHET,9 3/4 cpos.,10,46.5
6,8,5,KOLETTE,EXAGGERATOR,PREEMINENCIA,398,ROBERTO AVILA,56,RAUL MONTESINO,11 cpos.,9,38
6,9,2,DI ALBA,IVAN DENISOVICH,DON ANDRES,382,WILBERT LEON,55,GENARO COVARRUBIAS,13 1/2 cpos.,8,26.4
6,10,3,PARA SIEMPRE,GOOD SAMARITAN (USA),VELARDE B MANUEL A,381,NICOLAS MOLINA,57,MANUEL VELARDE,17 cpos.,10,7.1
6,11,9,NEOLIBERAL,PRACTICAL JOKE,GUERRERO DE LA VIDA,434,DIEGO CARRASCO,57,RAUL MONTESINO,17 1/4 cpos.,10,71.5
7,1,7,PRIVATE COLLECTION,MENDELSSOHN (USA),HARAS JOCKEY,463,JORGE ZUÑIGA,54,PATRICIO BAEZA A.,Ganador,13,1.9
7,2,9,ANDESITA,BAD DADDY,VENDAVAL,505,JOAQUIN HERRERA,54,THEODORE CACHELY,5 cpos.,14,2.3
7,3,4,LA ITALIA MIA,MENDELSSOHN (USA),STUD EL MIRADOR,426,FABIAN MEDINA,51,JULIO ORELLANA,5 3/4 cpos.,15,3.1
7,4,3,BLUE FOR EVER,CLASSIC EMPIRE (USA),SUPER SUPER,436,WILBERT LEON,54,RODRIGO SANCHEZ,10 3/4 cpos.,12,24.4
7,5,6,CITLALLI,SEEKING THE DIA,STUD MARENGA,491,BERNARDO LEON,56,PATRICIO BAEZA A.,17 cpos.,16,9.6
7,6,5,CRISTAL GINGER,HINZ,BUCAREST,463,BASTIAN SOTO,54,JORGE A. INDA DE LA C.,34 1/2 cpos.,13,46.2
7,RT,1,EYWA,THE LUMBER GUY,STUD HARAS LIZZIE,-,HUGO OCHOA,58,RODRIGO SANCHEZ,-,15,-
7,RT,2,RANI,KINGLY (USA),FAROLITO,-,MARCO MORALES,54,JOHN PINOCHET,-,14,-
7,RT,8,TAUHERE,MENDELSSOHN (USA),STUD MARENGA,-,AXEL ALVAREZ,54,JORGE A. INDA DE LA C.,-,11,-
8,1,3,PARTNER QUERIDO,GET JETS,MASAIVA,433,BENJAMIN SANCHO,57,CLAUDIO BERNAL,Ganador,9,8.3
8,2,4,EL COMEDIANTE,CUNCO (IRE),EL GANCHITO,449,RONALD FOURNET,53,ENRIQUE CARREÑO,2 1/4 cpos,-,8.1
8,3,9,MI GIGANTE,GET JETS,JOSE T. ALLENDE F.,519,FABIAN MEDINA,53,JOSE T. ALLENDE,2 3/4 cpos.,-,9.6
8,4,13,JULIO PARDO,DYLAN THOMAS,CHARITO,478,KEVIN ESPINA,58,CRISTOBAL GONZALEZ M.,4 cpos.,-,12.6
8,5,10,KILAN,VISCOUNT NELSON,SAGARDIA HNOS.,458,JOSE SOLANO,57,OSCAR SILVA G.,6 3/4 cpos.,-,12.7
8,6,15,CARTAO PRETO,THE LUMBER GUY,MONIN,485,BASTIAN SOTO,57,FERNANDO SOLAR,7 cpos.,12,7
8,7,6,REY DE ASTURIAS,HIRABOKU DEEP (JAP),EL TORO BAYO,450,JESUS PIMENTEL,57,MIGUEL MEDINA,8 3/4 cpos,9,94.5
8,8,7,TORO DEL MONTE,MONTHIR,BERNAL G. ANDRES,444,RODOLFO FUENZALIDA,57,ANDRES BERNAL,9 cpos.,-,100.4
8,9,12,YO Y DIEZ MAS,PALM SPRINGS (USA),VIEJO YOU,472,JORGE VERA,57,FRANCISCO FAUNDEZ LL,10 cpos.,-,136.9
8,10,1,TIO SALCHICHA,IMPERIA II,MANOLITO MATIAS,457,AGUSTIN VILLAGRA,53,OSCAR SILVA S.,14 1/4 cpos.,-,113.6
8,11,8,VINCERO,THE LUMBER GUY,KAROLO,459,JOAQUIN HERRERA,57,JOSE M. ALVAREZ D.,15 cpos.,11,10.3
8,12,5,SALTO DE AMISTAD,GRAND DADDY,POR TI NEGRITA,472,RODOLFO S. DORES,57,SERGIO MORALES,16 cpos.,-,1.6
8,13,14,SLOVAK,PAPELON,MONIN,440,JESUS TORO,57,FERNANDO SOLAR,16 3/4 cpos.,-,110.8
8,14,11,ELSEBAAHORRATODO,KATMAI,ROBLEDO'S,430,NICOLAS MOLINA,57,THEODORE CACHELY,19 cpos.,-,23.7
8,15,2,TRASCATRASCA,BAD DADDY,MUNDO FUTURO H.,486,PIERO REYES P.,57,JOSE INDA DE LA C.,21 1/2 cpos.,-,95.5
9,1,10,HIER ANCORE,MENDELSSOHN (USA),KIÑEUKELEIÑ,403,RICARDO SOLORZA,58,CARLOS GARCIA,Ganador,4,6.9
9,2,9,LITTLE GASPI,WAR COMMAND,ROXANITA,501,FRANCISCO MORALES,58,RAUL MONTESINO,4 1/2 cpos.,4,3.7
9,3,8,VALLTTERI,WAR COMMAND,MONTESINO S. RAUL,455,JOHAN GONZALEZ,55,RAUL MONTESINO,5 1/2 cpos.,1,24.6
9,4,1,AGUILA DE FUEGO,GOOD SAMARITAN (USA),GUERRERO DE LA VIDA,398,BASTIAN SOTO,55,RAUL MONTESINO,6 1/2 cpos.,1,11.7
