Carrera,Lugar,Partida,Ejemplar,Padrillo,Stud,Peso_Fisico,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
12,11,8,SAHOURIYE,LOOKIN AT LUCKY,MANUELITO,395,BASTIAN SOTO,54,JOSE ARAYA B.,13 cpos.,6,70.2
12,12,2,PACIFICADOR,DANGEROUS MIDGE,LO CAMPO,411,JOHAN GONZALEZ,54,OLIVERIO MARTINEZ,17 1/4 cpos.,6,10
13,1,3,LIMATOWN,MO TOWN,LOS MAGUITOS,451,BERNARDO LEON,59,ALDO PARRA D.,Ganador,27,8.2
13,2,9,GALWAY GIRL,SEEKING THE DIA,SANCHEZ Q. RODRIGO,450,PIERO REYES P.,59,RODRIGO SANCHEZ,1 1/4 cpos.,26,14.8
13,3,10,CAROLITO,CLASSIC EMPIRE (USA),CHARITO,450,MIGUEL GUTIERREZ,60,CRISTOBAL GONZALEZ M.,1 1/2 cpos.,29,6.6
13,4,6,ALAIN DELON,DIAMOND TYCOON,MATTE D. DOMINGO,479,RODOLFO S. DORES,57,DOMINGO MATTE,2 cpos,23,1.8
13,5,5,BADBOY,BAD DADDY,ALTAMIRA,458,JORGE ZUÑIGA,56,RICARDO ROJAS,3 1/4 cpos.,22,21.1
13,6,4,STRAY KIDS,TOURIST,ALDEDO,469,DAVID SANCHEZ,61,ALDO PARRA D.,4 1/4 cpos,30,13.7
13,7,7,SIETE DE ABRIL,CONSTITUTION,SUPER SUPER,439,JOAQUIN HERRERA,56,RODRIGO SANCHEZ,5 cpos.,22,7.2
13,8,1,GRANDE TUZA,ANNUAL REPORT,EL GANCHITO,444,LESLY C. GONZALEZ,56,FELIPE GONZALEZ S.,6 3/4 cpos.,22,24.7
13,9,2,TRES PRINCIPES,FLAMEAWAY (CAN),MUNDO FUTURO H.,465,NICOLAS MOLINA,55,HERNAN ULLOA,6 3/4 cpos.,21,3.9
13,RT,8,SATOSHI,KINGLY (USA),DOSSETTO,-,BENJAMIN TRONCOSO,53,ALEJANDRO PADOVANI E.,-,-19,-
14,1,3,ALCABONTA,PATTERNRECOGNITION,KDM,514,JOAQUIN HERRERA,57,GABRIEL MELEJ,Ganador,17,3
14,2,11,HARRY GO,CUNCO (IRE),LOS LAURELES,480,MARCO MORALES,58,JOHN PINOCHET,3/4 cpos.,18,18.1
14,3,4,VERSE BIEN,ADMIRAL,EL GANCHITO,473,CARLOS ORTEGA,57,ENRIQUE CARREÑO,3/4 cpos.,17,15
14,4,1,JUNO,CLASSIC EMPIRE (USA),C.H.C.,470,BENJAMIN SANCHO,55,HERNAN ULLOA,3/4 cpos.,15,5.9
14,5,10,MR NUTS,MR SPEAKER,POR TI PAPA,466,JORGE ZUÑIGA,58,JUAN C. SILVA S.,2 1/4 cpos,19,8.1
14,6,14,GENIUS,EXAGGERATOR,MONTE OLIMPO,400,NICOLAS SANTIBAÑEZ,58,CRISTIAN URBINA,2 1/2 cpos.,18,28.6
14,7,8,SE PREPARO,SEEKING THE DIA,MARITA,511,JESUS TORO,55,ALDO PARRA D.,2 3/4 cpos.,15,63.5
14,8,13,KASHGAR,SAHARA SPIRIT,FRENCH POTATO,507,ALVARO APABLAZA,58,LUIS MACHULAS G.,3 3/4 cpos.,18,4.7
14,9,12,SIN PREJUICIOS,GOOD SAMARITAN (USA),LOS CABEZAS ALVAREZ,456,RODOLFO S. DORES,55,RAUL MONTESINO,4 3/4 cpos.,15,31.7
14,10,2,SAIKOU,LOOKIN AT LUCKY,JAQUE S ANGEL,466,RODOLFO FUENZALIDA,55,ANGEL JAQUE S.,6 cpos.,15,17.8
14,11,7,PROFESSIONALS,GRAND DADDY,SANTA VERONICA,475,RONALD FOURNET,55,PATRICIO VALDERRAMA C.,8 cpos.,15,90.4
14,12,6,HIJA DEL PAN,GOOD SAMARITAN (USA),ENERGIA,452,NICOLAS MOLINA,57,ALEXIS PEREZ,9 3/4 cpos.,17,25.2
14,13,9,PLUMA DE MAR,MENDELSSOHN (USA),MV JR.,391,RICARDO SOLORZA,58,CARLOS GARCIA,11 3/4 cpos.,18,93.7
14,14,5,PEGASUS FANTASIS,MENDELSSOHN (USA),SAGARDIA HNOS.,462,PIERO REYES P.,57,OSCAR SILVA G.,21 cpos.,17,3.5
15,1,8,MR MISTER,IVAN DENISOVICH,EL GANCHITO,490,LESLY C. GONZALEZ,54,FELIPE GONZALEZ S.,Ganador,4,15.5
15,2,4,A MI EDAD DIFICIL,PATTERNRECOGNITION,LOS PRIMOS TARIFEÑO,519,RODRIGO COVARRUBIAS,57,ALEXIS PEREZ,2 1/2 cpos.,7,5.1
15,3,12,VOLANTE MIXTO,LAYMAN,FRANCISCO FAUNDEZ,458,ALVARO APABLAZA,54,FRANCISCO FAUNDEZ LL,4 cpos.,4,5.6
15,4,9,PRIMA TOWN,MO TOWN,HECTOR MANRIQUEZ F.,411,VICTOR BRACETTI,57,HECTOR MANRIQUEZ,6 cpos.,7,9.8
15,5,6,SEÑOR TRONCOSO,FORWARD MARCH,BERNAL G CLAUDIO,424,RODOLFO FUENZALIDA,57,CLAUDIO BERNAL,7 1/2 cpos.,7,8.8
15,6,7,JAVIVALETU,EXAGGERATOR,LLEGO EL TALENTO,445,BENJAMIN TRONCOSO,57,ALEJANDRO PADOVANI E.,9 3/4 cpos.,7,7.7
15,7,1,AMPAWAN,KATMAI,ROGER WELLMANN H.,436,BASTIAN SOTO,55,JOSE ARAYA B.,11 1/4 cpos.,5,5.7
15,8,10,MECEDOR,HOLD ME BACK,NANAO,475,CRISTIAN FUENZALIDA,57,ANGEL JAQUE S.,11 1/2 cpos.,7,6.8
15,9,5,RUCIA DEL DOC,EXAGGERATOR,FERNANDEZ L ALVARO,419,JESUS TORO,56,ALVARO FERNANDEZ,13 1/4 cpos.,6,51.9
15,10,11,ACLIS,EXAGGERATOR,BUREO,471,JOSE PAREDES,57,ROBERTO TOLEDO M.,14 1/4 cpos.,7,76.9
15,11,13,GRAND CASABLANCA,GRAND DADDY,KDM,502,JESUS PIMENTEL,55,GABRIEL MELEJ,14 3/4 cpos.,5,4.3
15,12,3,SCROOGE,LOOKIN AT LUCKY,LOS CASTILLO,488,JOHAN GONZALEZ,57,JOAO CASTILLO L.,18 3/4 cpos.,7,19.6
15,13,2,SOBRAO DE CARIÑO,VAN NISTELROOY,BERNAL G. ANDRES,499,CARLOS ORTEGA,55,ANDRES BERNAL,21 3/4 cpos.,5,57.8
16,1,10,KORPER,MIDSHIPMAN,JOSE LUIS,483,MARCO MORALES,57,RAUL MONTESINO,Ganador,9,2.7
