Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador,Fecha
20,21:00,Gumercindo,1200,Arena,15,MERCENARIA,56,F.Henriquez,M.Norambuena Ch.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,1,EASY PEASY,56,F.Soto,R.Pulgar A.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,2,NATURAL MYSTIC,56,S.Munoz,J.Pichara J.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,3,DALEMITA,53,H.Barrera,R.Quiroz S.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,4,SOUK,55,N.Molina,T.Cachely C.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,5,YERI STAR,55,V.Miranda,A.Padovani E.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,6,NOB,56,R.Painen,J.Pichara J.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,7,LADY MANU,56,J.Herrera,A.Martinez C.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,8,AFRICAN SPIRIT,54,B.Troncoso,M.Pavez O.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,9,DABKE,55,F.Morales,R.Lopez B.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,10,SILENE,56,J.Medina,J.Pichara J.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,11,PACHEKIN,56,J.Zuniga,Jn.Gonzalez M.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,12,AMBROSE,53,G.Aros,A.Padovani E.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,13,KAZAJO,57,N.Santibanez,R.Quiroz S.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,14,BRUNO EL TERRIBLE,57,B.Sancho,J.Pichara J.,2026-01-31
21,21:30,Gito Go Go,1200,Arena,15,PETIMETRE,56,H.Ochoa,R.Pulgar A.,2026-01-31
