Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador
1,13:00,Ferrol,1000,Arena,1,PALABRAS SERENAS,55,J.Eyzaguirre,L.Machulas G.
1,13:00,Ferrol,1000,Arena,2,NO ME CANSO,56,A.Morales,G.Covarrubias E.
1,13:00,Ferrol,1000,Arena,3,QUEEN ANY,57,F.Morales,R.Montesino S.
1,13:00,Ferrol,1000,Arena,4,BLESS WHITE LEGS,55,V.Miranda,A.Padovani E.
1,13:00,Ferrol,1000,Arena,5,FABRANA,56,R.Fuenzalida,R.Rojas S.
1,13:00,Ferrol,1000,Arena,6,AMAR AZUL,55,L.Menghini,E.Switt V.
1,13:00,Ferrol,1000,Arena,7,DIFFERENZA,56,N.Rojas,J.Venegas P.
1,13:00,Ferrol,1000,Arena,8,RODELINDO CRACK,55,Seb.Gonzalez,E.Carreno R.
1,13:00,Ferrol,1000,Arena,9,TIA MARTA,56,J.Cueto,J.Ubilla P.
1,13:00,Ferrol,1000,Arena,10,MAMITA PININA,56,L.Vargas,D.Contreras A.
1,13:00,Ferrol,1000,Arena,11,SIN MIEDO,55,Jo.A.Gonzalez,J.Pichara J.
1,13:00,Ferrol,1000,Arena,12,AZALEA INDIA,55,R.Cisternas,O.Donate S.
1,13:00,Ferrol,1000,Arena,13,MARULINA,55,M.Galaz,G.Covarrubias E.
1,13:00,Ferrol,1000,Arena,14,MARKINABIZKAIA,57,M.Herrera,D.Contreras A.
2,13:26,Fantasmagorica,1200,Arena,1,SOGNA CON ME,55,N.Ramirez,J.Venegas P.
2,13:26,Fantasmagorica,1200,Arena,2,LA JESHU,55,R.Fuenzalida,D.Contreras A.
2,13:26,Fantasmagorica,1200,Arena,3,BELLA CHICHI,55,P.Galaz,H.Pacheco P.
2,13:26,Fantasmagorica,1200,Arena,4,SIBILA RED,55,J.Herrera,O.Donate S.
2,13:26,Fantasmagorica,1200,Arena,5,GUAGUA FELIZ,55,N.Rojas,R.Sanchez Q.
2,13:26,Fantasmagorica,1200,Arena,6,REGIA PIBA,55,F.Henriquez,M.Norambuena Ch.
2,13:26,Fantasmagorica,1200,Arena,7,DIOSA KALI,55,I.Vargas,J.Bravo M.
2,13:26,Fantasmagorica,1200,Arena,8,SONG SONG BLUE,55,J.Villablanca,C.Quiroz E.
2,13:26,Fantasmagorica,1200,Arena,9,LA UNIVERSITARIA,55,D.Carvacho,R.Quiroz S.
2,13:26,Fantasmagorica,1200,Arena,10,LA CIA,55,M.Gutierrez,O.Donate S.
2,13:26,Fantasmagorica,1200,Arena,11,WIELKA,55,B.Leon,J.P.Baeza J.
2,13:26,Fantasmagorica,1200,Arena,12,SERKET,55,N.Santibanez,M.Apablaza G.
2,13:26,Fantasmagorica,1200,Arena,13,SINAG,55,J.Cueto,R.Quiroz S.
2,13:26,Fantasmagorica,1200,Arena,14,ANTONIA FRANCISCA,55,C.Munoz,R.Quiroz S.
2,13:26,Fantasmagorica,1200,Arena,15,RAGAZZA VIZIATA,55,F.Medina,C.A.Urbina R.
3,13:52,Favorecido,1000,Arena,1,CALLAHAN,54,W.Leon,G.Covarrubias E.
