Carrera,Lugar,Partida,Caballo,Padrillo,Stud,Peso_kg,Jinete,Peso_Jinete_kg,Preparador,Distancia,Indice,Dividendo
15,2,7,BAMBO LUKAS,COMMEMORATIVE,TATA CARLOS,516,RAFAEL CISTERNAS,56,DOMINGO MATTE,pczo.,11,16.1
15,3,9,LA PUPPE,GRAND DADDY,SAN JOSE,477,OSCAR ULLOA,56,PATRICIO BAEZA A.,2 3/4 cpos.,15,5.4
15,4,12,BOY SCOUT,HINZ,BUCAREST,431,JONATHAN A. CASTILLO,57,ALDO PARRA D.,2 3/4 cpos.,12,8.1
15,5,6,CROCKED,FLAMEAWAY (CAN),TOTAL G,440,HUGO OCHOA,55,RODRIGO SANCHEZ,3 cpos.,10,26.9
15,6,5,CASUAL VISION,VISION AND VERSE,MATTE D. DOMINGO,440,RODOLFO S. DORES,56,DOMINGO MATTE,3 3/4 cpos.,11,16.5
15,7,11,MORINGA,SEEKING THE DIA,LOS CALERANOS,443,NICOLAS RAMIREZ,55,JOAO CASTILLO L.,3 3/4 cpos.,10,15.8
15,8,2,MARIA SUREÑA,GOOD SAMARITAN (USA),MORALES O VERONICA,435,BENJAMIN TRONCOSO,56,CRISTOBAL GONZALEZ M.,3 3/4 cpos.,11,20.9
15,9,14,SULTAN GUERRERO,VAN NISTELROOY,YAYITA,467,FRANCISCO MORALES,55,RAUL MONTESINO,4 cpos.,10,41.8
15,10,13,ARTHUR SHELBY,GRAND DADDY,EL MERO MERO,449,RODRIGO PAINEN,56,JOSE ARAYA B.,4 cpos.,11,47.1
15,11,1,AMPAWAN,KATMAI,ROGER WELLMANN H.,433,BASTIAN SOTO,55,JOSE ARAYA B.,4 1/4 cpos,10,69.8
15,12,3,SEÑOR TRONCOSO,FORWARD MARCH,BERNAL G CLAUDIO,439,RODOLFO FUENZALIDA,56,CLAUDIO BERNAL,5 1/2 cpos.,11,23.2
15,13,10,MI JOYA,KATMAI,HERMANOS DIAZ,466,BENJAMIN SANCHO,56,RAUL MONTESINO,11 1/4 cpos.,10,16.6
16,1,10,CORRER NORTINO,CONSTITUTION,BENITO CH BORIL,449,HUGO OCHOA,52,DOMINGO MATTE,Ganador,27,4.9
16,2,2,LA JIBARITA,ZAWRAQ (IRE),EL GANCHITO,468,SEBASTIAN GONZALEZ,54,ENRIQUE CARREÑO,3/4 cpos.,29,16
16,3,13,EL CARRIL,GRAN VILLANO,PAULA INES,477,GERARD RODRIGUEZ,60,JOAO CASTILLO L.,1 1/2 cpos.,37,3.1
16,4,7,EL CURANDERO,FLAMEAWAY (CAN),HARAS SANTA SARA,448,PEDRO ROBLES,59,JOHN PINOCHET,1 3/4 cpos.,35,6.2
16,5,4,STRONG DAIKIRI,STRONG MANDATE,LEGACY,506,VICTOR MIRANDA,61,JOSE ARAYA B.,2 1/4 cpos,40,39.7
16,6,11,INDIAN POET,CONSTITUTION,BRUNO ALONSO,517,JAIME MEDINA,52,RAUL MONTESINO,2 3/4 cpos.,27,6.4
16,7,5,DOORSTEP,ROBERT BRUCE,ROMANO,501,RODOLFO S. DORES,57,DOMINGO MATTE,4 1/2 cpos.,32,3.8
16,8,1,SPES,MR SPEAKER,DON MANUEL,432,RONALD FOURNET,54,JUAN RODRIGUEZ R.,4 3/4 cpos.,29,9.8
16,9,3,SALTO DEL GUAPO,GRAND DADDY,POR TI NEGRITA,465,FELIPE HENRIQUEZ,54,SERGIO MORALES,6 3/4 cpos.,29,11.4
16,10,12,COMO DORMISTE,MO TOWN,GUERRERO DE LA VIDA,429,FRANCISCO MORALES,61,RAUL MONTESINO,11 3/4 cpos.,41,29.1
16,11,8,FLOREADOR,MR SPEAKER,VIGALU,476,BENJAMIN TRONCOSO,57,JUAN RODRIGUEZ R.,19 3/4 cpos.,32,48.9
17,1,10,LA ESCUDERA,LOOKIN AT LUCKY,REY ARTURO,435,NICOLAS RAMIREZ,55,JOSE ARAYA B.,Ganador,5,4.4
17,2,4,INTRIGANT,BOBOMAN,FRENCH FRIES,459,RODOLFO FUENZALIDA,57,SERGIO ALVARADO P.,2 1/2 cpos.,7,13.1
17,3,1,BEL FIOR,CONSTITUTION,BAEMAR,440,RODRIGO PAINEN,55,JOSE ARAYA B.,2 1/2 cpos.,5,13.8
17,4,14,VOLANTE MIXTO,LAYMAN,FRANCISCO FAUNDEZ,463,FELIPE HENRIQUEZ,55,FRANCISCO FAUNDEZ LL,2 1/2 cpos.,5,5.7
