Carrera,Lugar,Partida,Caballo,Padrillo,Stud,Peso_kg,Jinete,Peso_Jinete_kg,Preparador,Distancia,Indice,Dividendo
6,12,10,TE ANDAN BUSCANDO,PALM SPRINGS (USA),DON SANTIAGO,469,BENJAMIN AYALA,55,MIGUEL MEDINA,16 1/4 cpos.,-,319.2
6,13,1,SALTARIN,LOOKIN AT LUCKY,VELARDE B MANUEL A,509,NICOLAS MOLINA,57,MANUEL VELARDE,16 1/2 cpos.,-,35.9
7,1,6,TOQUE Y DESPEGUE,CONSTITUTION,CHARRUA,451,HECTOR BERRIOS,60,JULIO ORELLANA,Ganador,50,1.5
7,2,1,TENTADERO,MIDSHIPMAN,TONLEMO,498,IGNACIO VALDIVIA,60,PATRICIO BAEZA A.,6 3/4 cpos.,28,6.3
7,3,3,SOY INVENCIBLE,MENDELSSOHN (USA),DOÑA SOFIA,533,OSCAR ULLOA,60,PATRICIO BAEZA A.,8 cpos.,47,4.5
7,4,4,AMOR CLANDESTINO,FLAMEAWAY (CAN),PAOLA,517,JAIME MEDINA,60,PATRICIO BAEZA A.,10 1/4 cpos.,32,4.5
7,5,5,FLACO TITO,MO TOWN,HUACHIPERRY,468,JOAQUIN HERRERA,60,RODRIGO SANCHEZ,10 3/4 cpos.,40,18.3
7,6,2,ON THE MUSIC,CALIFORNIA CHROME,ITA MARIA,507,ALVARO APABLAZA,60,FRANCISCO FAUNDEZ LL,12 3/4 cpos.,42,6.7
8,1,13,YO PAGO TODO,HOLD ME BACK,FRANCISCO FAUNDEZ,484,LUIS TORRES,58,FRANCISCO FAUNDEZ LL,Ganador,20,4.7
8,2,10,SALTO DE LUZ,EXAGGERATOR,LAS TRES DAMAS,486,NICOLAS RAMIREZ,54,RODRIGO MUÑOZ,4 1/2 cpos.,16,4.4
8,3,8,AMARTE A TI,AWESOME PATRIOT,EL COTELO,453,MAURICIO CHAMORRO,56,RAUL MONTESINO,5 cpos.,18,9.1
8,4,11,TODAS MIENTEN,CROSS TRAFFIC,EL MERO MERO,406,JOSE PAREDES,54,JOSE ARAYA B.,6 1/4 cpos.,16,64.3
8,5,2,HIJA DEL PAN,GOOD SAMARITAN (USA),ENERGIA,464,NICOLAS MOLINA,55,SERGIO ALVARADO P.,6 3/4 cpos.,17,13.9
8,6,4,EN VECES,FANTASMAGORICO,CHAMO CANDELA,449,GERARD RODRIGUEZ,58,RICARDO ROJAS,8 cpos.,20,5.5
8,7,3,DOMENICO,IVAN DENISOVICH,JULIO JUAREZ,481,RODRIGO PAINEN,54,JOSE ARAYA B.,9 1/4 cpos.,16,22
8,8,9,RIO SAN JUAN,CONSTITUTION,MAR Y SOL,442,JORGE VERA,56,CLAUDIO BERNAL,9 1/2 cpos.,18,46.2
8,9,12,DONDE RAUL,MALAGACY,TRANSPORTES MENDEZ,544,VICTOR MIRANDA,58,ALEJANDRO PADOVANI E.,11 cpos.,20,3
8,10,6,PATMAHO,GRAND DADDY,BENVIC,528,BASTIAN SOTO,54,JOSE ARAYA B.,11 cpos.,16,9.7
8,11,7,SABIONDO,PATTERNRECOGNITION,MAMAJELU,480,JONATHAN A. CASTILLO,57,ALDO PARRA D.,12 1/2 cpos.,19,15.5
8,12,5,ULTIMO BRINDIS,COMMEMORATIVE,TATA CARLOS,469,RAFAEL CISTERNAS,57,DOMINGO MATTE,12 1/2 cpos.,19,17.8
9,1,3,NOVAK,GEMOLOGIST,LO ESPINOZA,470,RAFAEL CISTERNAS,57,SERGIO ALVARADO P.,Ganador,15,3
9,2,4,HERE I GO AGAIN,TOURIST,PREMIUM,490,BENJAMIN AYALA,57,MIGUEL MEDINA,1 1/4 cpos.,17,16.4
9,3,5,CHINITA TRAVIESA,GOOD SAMARITAN (USA),LOS BRUJOS,457,PIERO REYES P.,56,ALEJANDRO PADOVANI E.,3 1/4 cpos.,14,16.5
9,4,13,MISTER HEAD,DYLAN THOMAS,MARITA,536,AXEL ALVAREZ,57,ALDO PARRA D.,4 3/4 cpos.,15,3.5
9,5,8,FLOWER POWER,ROBERT BRUCE,LOS JEQUES,435,VICTOR MIRANDA,56,GUILLERMO PERALTA,5 1/2 cpos.,14,4.4
9,6,6,CIAO JUANITA,GOOD SAMARITAN (USA),SAGARDIA HNOS.,457,LUIS D. MENGHINI,54,OSCAR SILVA G.,6 cpos.,12,17.5
9,7,10,EL KING,MEGLIORE DI TUTTI,AJSA,438,DARIEN CHEUQUE,54,HERNAN ULLOA,7 cpos.,12,58.3
9,8,7,PETIROSSA,IVAN DENISOVICH,MONTESINO S. RAUL,442,ROBERTO AVILA,55,RAUL MONTESINO,8 1/4 cpos.,13,11
9,9,9,IVY QUEEN,EXAGGERATOR,MAMITA QUERIDA,446,GUSTAVO AROS,56,JUAN RODRIGUEZ R.,8 1/4 cpos.,14,4.6
9,10,2,JACINTA GOOD,GOOD SAMARITAN (USA),GARAGE JCS,403,CLAUDIO JORQUERA,55,OSCAR SILVA S.,8 3/4 cpos,13,63.9
9,11,12,GRAN KURU,EXAGGERATOR,SANTICO,497,LESLY C. GONZALEZ,57,ALDO PARRA D.,9 cpos.,15,25.4
9,12,11,LA DOPINHUE,PALM SPRINGS (USA),LA COPA,413,RODOLFO S. DORES,54,DOMINGO MATTE,14 cpos.,12,23.8
10,1,3,REY RANGNAR,PALM SPRINGS (USA),EL GRAN JOSE,426,GERARD RODRIGUEZ,57,WALESKA PEÑA,Ganador,-,10
10,2,4,AL AMIR,GET JETS,C.H.C.,494,BENJAMIN TRONCOSO,53,HERNAN ULLOA,pczo.,-,6.7
10,3,9,NAMRUD TIGER,HANDSOME TIGER,EL CEDRO,482,RAFAEL CISTERNAS,57,JUAN CAVIERES,1 cpo.,-,18.1
10,4,2,NYQUISTER,NYQUIST,LUIGI,470,JAIME MEDINA,57,PATRICIO BAEZA A.,1 3/4 cpos.,-,1.3
10,5,1,REY SALOMON,DUBAI SKY,EL TORO BAYO,458,GUSTAVO AROS,57,MIGUEL MEDINA,4 1/2 cpos.,9,6.5
10,6,8,LEEVAN CLEFF,LOOKIN AT LUCKY,MANOJITOS,470,OSCAR ULLOA,57,PATRICIO BAEZA A.,10 cpos.,-,11.7
10,7,6,SIEMPRE ESTOY,INTERNATIONAL STAR (USA),COMO LO QUERI,479,DARIEN CHEUQUE,53,JOSE T. ALLENDE,13 1/2 cpos.,-,12.5
10,8,10,YO Y DIEZ MAS,PALM SPRINGS (USA),VIEJO YOU,467,JOAQUIN HERRERA,57,FRANCISCO FAUNDEZ LL,15 cpos.,-,26
10,9,7,CAREMECHE,IL REY IVAN,BUFALOS MOJADOS,436,JORGE VERA,56,RAUL MONTESINO,23 cpos.,-,143.1
10,10,5,EL SALVADOR,INTERNATIONAL STAR (USA),FLECHAS DORADAS,442,RODOLFO FUENZALIDA,57,OLIVERIO MARTINEZ,25 3/4 cpos.,-,56.7
11,1,11,VAMOS A BAILAR,PATTERNRECOGNITION,ALONMATE,520,JORGE VERA,56,MANUEL VELARDE,Ganador,-,7.8
11,2,13,CANELO DORADO,FLAMEAWAY (CAN),CHARITO,442,RONALD FOURNET,53,CRISTOBAL GONZALEZ M.,1/2 cpo.,-,4.6
11,3,9,GO SUNSHINE GO,SPUN TO RUN (USA),AMIGOS,459,JOAQUIN HERRERA,57,JOSE M. ALVAREZ D.,3 1/4 cpos.,-,2.1
11,4,1,MI GIGANTE,GET JETS,JOSE T. ALLENDE F.,527,RODOLFO FUENZALIDA,57,JOSE T. ALLENDE,4 1/4 cpos,12,3.8
11,5,3,MACHINE HEAD,PALM SPRINGS (USA),MAGDALENA,482,PEDRO ROBLES,57,JOHN PINOCHET,6 cpos.,-,4.8
11,6,5,ELSEBAAHORRATODO,KATMAI,ROBLEDO'S,441,BENJAMIN TRONCOSO,53,JUAN RODRIGUEZ R.,7 1/4 cpos.,-,33.4
11,7,14,VOY A PALERMO,FORWARD MARCH,MASAIVA,-,BENJAMIN SANCHO,57,JORGE INDA M.,12 1/4 cpos.,-,37.3
11,8,2,LUPO VELOCE,VISCOUNT NELSON,EL GANCHITO,448,DARIEN CHEUQUE,53,ENRIQUE CARREÑO,13 1/4 cpos.,-,99.6
11,9,7,CATAPOS,IVAN DENISOVICH,MARITA,433,JESUS TORO,57,ALDO PARRA D.,15 1/2 cpos.,-,28.5
11,10,4,ARRUMACO,ZAWRAQ (IRE),VELARDE B MANUEL A,452,NICOLAS MOLINA,57,MANUEL VELARDE,16 1/2 cpos.,10,78.4
