Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
6,1,12:30,,1,14,ANTUMBRA,DISTORTED ECONOMY,420,59,RODRIGO PAINEN,RAUL MONTESINO,MONTESINO S. RAUL,24.2
6,1,12:30,,2,3,VUELVE LA FARRA,EL FARRERO,442,56,HUGO OCHOA,RODRIGO SILVA S.,JOTABE,14.3
6,1,12:30,,3,2,SULTAN GUERRERO,VAN NISTELROOY,474,57,FRANCISCO MORALES,RAUL MONTESINO,YAYITA,3.2
6,1,12:30,,4,7,RUCIA DEL DOC,EXAGGERATOR,409,55,JESUS TORO,ALVARO FERNANDEZ,FERNANDEZ L ALVARO,18.7
6,1,12:30,,5,11,NEGRITO CUMBA,GET JETS,453,57,CARLOS ORTEGA,OSCAR DONATE,REDBROS,10.3
6,1,12:30,,6,4,TORNADO DE BULI,DISTORTED ECONOMY,377,54,ALVARO APABLAZA,FELIPE GONZALEZ S.,PANADERO,68.8
6,1,12:30,,7,13,MUY TEMPERADA,DISTORTED ECONOMY,429,55,JOHAN GONZALEZ,FELIPE GONZALEZ S.,PANADERO,12.6
6,1,12:30,,8,6,PRAIA DO FORTE,GSTAAD II,458,56,RICARDO SOLORZA,CARLOS GARCIA,JUAN DE ORO,8.2
6,1,12:30,,9,8,MAGNUS AURELIUS,GRAND DADDY,410,55,BENJAMIN AYALA,CLAUDIO NAVARRO A.,JAVIERA JOSEFA,24.9
6,1,12:30,,10,1,FERNANDOIS,STEVIE WONDERBOY,518,54,RODOLFO FUENZALIDA,CLAUDIO NAVARRO A.,JAVIERA JOSEFA,38.6
6,1,12:30,,11,15,AMAYNA,THE LUMBER GUY,443,54,LESLY C. GONZALEZ,FELIPE GONZALEZ S.,ITA MARIA,6.3
6,1,12:30,,12,10,CHURCHILL,CLASSIC EMPIRE (USA),435,55,RONALD FOURNET,CLAUDIO NAVARRO A.,DOÑA CONSUELO,105.6
