fecha,hipodromo,nro_carrera,hora,distancia,superficie,numero,caballo,jinete,preparador,posicion,tiempo,dividendo,peso
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,12,FELIPHON,DANIEL ALVARADO,ALVARO FERNANDEZ,1,,1.9,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,11,DI LA VERDAD ROSA,JOSE CUETO,FRANCISCO FAUNDEZ LL,2,,7.3,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,9,MICCA,BENJAMIN SANCHO,WALESKA PEÑA,3,,6.1,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,13,NIETA DEL MONTY,RAFAEL CISTERNAS,DOMINGO MATTE,4,,26.6,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,4,REPUBLIC ANA,RODOLFO S. DORES,ROBERTO TOLEDO M.,5,,11.7,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,14,EL KICHAN,JOSE VILLABLANCA,MANUEL VELARDE,6,,30.5,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,15,THOTHO,RODRIGO COVARRUBIAS,ROBERTO TOLEDO M.,7,,99.8,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,3,DANITA FIRST,LESLY C. GONZALEZ,CARLOS GARCIA,8,,8.8,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,2,DIMITRA,JOHAN GONZALEZ,JULIO SILVA B.,9,,9.9,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,5,VAN DER SAR,SEBASTIAN GONZALEZ,GABRIEL MELEJ,10,,3.8,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,6,ANTIOCO,CARLOS ORTEGA,RAUL MONTESINO,11,,9.5,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,10,NEGRO APAPUCHI,CLAUDIO JORQUERA,GUILLERMO PERALTA,12,,126.6,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,8,PACIENCIA ETERNA,JESUS PIMENTEL,GABRIEL MELEJ,13,,75.6,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,7,MANCHITA DEL ÑUBLE,RODOLFO FUENZALIDA,CARLOS MELERO,14,,10.7,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,1,13:00,,,1,PASAPALABRA,VICTOR MIRANDA,FELIPE GONZALEZ S.,15,,3.4,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:28,,,1,PERFIDE,VICTOR MIRANDA,RICARDO ROJAS,1,,2.8,55
09-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:28,,,2,MI JARDIN,FABIAN MEDINA,FRANCISCO PINOCHET,2,,3.1,51
09-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:28,,,11,LIORA,DIEGO CARRASCO,THEODORE CACHELY,3,,41.6,55
09-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:28,,,9,MY MITTLE GIRL,BASTIAN SOTO,OSCAR SILVA G.,4,,9.2,55
09-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:28,,,4,SEÑORA RITA,RODOLFO FUENZALIDA,MANUEL VELARDE,5,,12.4,55
09-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:28,,,10,NORITA ROMATICA,RAFAEL CISTERNAS,CRISTIAN URBINA,6,,4.1,55
09-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:28,,,6,INARI,NICOLAS MOLINA,THEODORE CACHELY,7,,59.6,55
09-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:28,,,7,MINX,JOSE VILLABLANCA,MANUEL VELARDE,8,,31.6,55
09-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:28,,,8,NUEVA ACTRICE,GERARD RODRIGUEZ,HECTOR MANRIQUEZ,9,,10.5,55
09-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:28,,,5,TE RECUERDO MADRE,DARIEN CHEUQUE,FELIPE GONZALEZ S.,10,,54.2,51
09-02-2026,CLUB HÍPICO DE SANTIAGO,2,13:28,,,3,LADY LUMBERJACK,HUGO OCHOA,RODRIGO SANCHEZ,11,,6.9,56
09-02-2026,CLUB HÍPICO DE SANTIAGO,3,13:56,,,6,GOLD DADDY,SEBASTIAN GONZALEZ,JUAN C. PICHARA,1,,13.3,58
09-02-2026,CLUB HÍPICO DE SANTIAGO,3,13:56,,,4,THE DIFFERENT,HUGO OCHOA,RODRIGO SANCHEZ,2,,3.5,54
09-02-2026,CLUB HÍPICO DE SANTIAGO,3,13:56,,,8,SALTO DE AMISTAD,NICOLAS RAMIREZ,SERGIO MORALES,3,,13.9,54
09-02-2026,CLUB HÍPICO DE SANTIAGO,3,13:56,,,7,PIBE CANTINA,BENJAMIN SANCHO,JOSE INDA DE LA C.,4,,9.6,56
09-02-2026,CLUB HÍPICO DE SANTIAGO,3,13:56,,,5,THE LAWYER,IGNACIO VALDIVIA,CRISTIAN URBINA,5,,2.6,58
09-02-2026,CLUB HÍPICO DE SANTIAGO,3,13:56,,,1,TAMBERI,FABIAN MEDINA,JOSE M. ALVAREZ D.,6,,29,54
09-02-2026,CLUB HÍPICO DE SANTIAGO,3,13:56,,,3,GUACHACA,DARIEN CHEUQUE,DANIEL CONTRERAS,7,,1.6,50
09-02-2026,CLUB HÍPICO DE SANTIAGO,3,13:56,,,2,NAMRUD TIGER,RAFAEL CISTERNAS,JUAN CAVIERES,8,,4.3,54
09-02-2026,CLUB HÍPICO DE SANTIAGO,4,14:24,,,2,LADY IN BLACK,RAFAEL CISTERNAS,CARLOS RABY,1,,1.7,58
09-02-2026,CLUB HÍPICO DE SANTIAGO,4,14:24,,,3,KANDOZI,FELIPE HENRIQUEZ,RAUL MONTESINO,2,,7.7,58
09-02-2026,CLUB HÍPICO DE SANTIAGO,4,14:24,,,6,ESTRELLA DEL SOL,NICOLAS SANTIBAÑEZ,JULIO ORELLANA,3,,2.2,59
09-02-2026,CLUB HÍPICO DE SANTIAGO,4,14:24,,,5,BLUE FOR EVER,HUGO OCHOA,RODRIGO SANCHEZ,4,,11.7,53
09-02-2026,CLUB HÍPICO DE SANTIAGO,4,14:24,,,4,NO PASO AGOSTO,NICOLAS MOLINA,JOSE M. ALVAREZ D.,5,,10.8,54
09-02-2026,CLUB HÍPICO DE SANTIAGO,4,14:24,,,8,TIGRO (ARG),TOMAS SEITH,CRISTOBAL GONZALEZ M.,6,,26.4,59
09-02-2026,CLUB HÍPICO DE SANTIAGO,4,14:24,,,1,A TODO VAPOR,VICTOR MIRANDA,ALVARO FERNANDEZ,7,,12.7,55
09-02-2026,CLUB HÍPICO DE SANTIAGO,4,14:24,,,7,A MI MODO,JAIME MEDINA,PATRICIO BAEZA A.,RT,,-,56
09-02-2026,CLUB HÍPICO DE SANTIAGO,5,14:54,,,1,QUEQUIERENLOSPARAM,GERARD RODRIGUEZ,HERNAN ULLOA,1,,3.1,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,5,14:54,,,7,ELSEBAAHORRATODO,DARIEN CHEUQUE,THEODORE CACHELY,2,,35.4,53
09-02-2026,CLUB HÍPICO DE SANTIAGO,5,14:54,,,14,CHARLY CHARLY,SEBASTIAN GONZALEZ,JULIO SILVA B.,3,,7.4,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,5,14:54,,,4,TEN PLUS ONE,JOSE CUETO,MARIO RABAJILLE D.,4,,18.3,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,5,14:54,,,8,LUQUITAS,BENJAMIN SANCHO,CLAUDIO BERNAL,5,,4.8,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,5,14:54,,,13,KILAN,MOISES A. DONOSO,FRANCISCO PINOCHET,6,,5.7,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,5,14:54,,,2,CATANZARO,BASTIAN SOTO,JOSE ARAYA B.,7,,17.3,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,5,14:54,,,9,ERKAN,NICOLAS MOLINA,THEODORE CACHELY,8,,3.4,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,5,14:54,,,6,BIG CARBONCILLO,FABIAN MEDINA,RAUL MONTESINO,9,,59.9,53
09-02-2026,CLUB HÍPICO DE SANTIAGO,5,14:54,,,5,TRASCATRASCA,JOHAN GONZALEZ,JOSE INDA DE LA C.,10,,64.2,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,5,14:54,,,3,BRIAN JOHNSON,BRYAN RUBILAR,RAFAEL BERNAL G.,11,,94.9,55
09-02-2026,CLUB HÍPICO DE SANTIAGO,5,14:54,,,10,FLY STELLAS,LESLY C. GONZALEZ,OLIVERIO MARTINEZ,12,,21.2,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,5,14:54,,,11,CAREMECHE,WLADIMIR QUINTEROS,RAUL SERRANO,13,,157.8,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,5,14:54,,,12,EL SALVADOR,N.N.,ALEJANDRO PADOVANI E.,RT,,-,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,6,15:21,,,8,EL GRIEGO,JAIME MEDINA,PATRICIO BAEZA A.,1,,1.6,56
09-02-2026,CLUB HÍPICO DE SANTIAGO,6,15:21,,,4,LA MARRE,SEBASTIAN GONZALEZ,JOSE ARAYA B.,2,,3.6,54
09-02-2026,CLUB HÍPICO DE SANTIAGO,6,15:21,,,7,MR YO,RODOLFO S. DORES,CRISTOBAL GONZALEZ M.,3,,8.7,59
09-02-2026,CLUB HÍPICO DE SANTIAGO,6,15:21,,,2,BEST PLAYER,RODOLFO FUENZALIDA,RODRIGO SILVA S.,4,,13.4,59
09-02-2026,CLUB HÍPICO DE SANTIAGO,6,15:21,,,5,SACANNE,RAFAEL CISTERNAS,JULIO ORELLANA,5,,9,53
09-02-2026,CLUB HÍPICO DE SANTIAGO,6,15:21,,,3,MILTEO,NICOLAS SANTIBAÑEZ,CRISTIAN URBINA,6,,48.7,60
09-02-2026,CLUB HÍPICO DE SANTIAGO,6,15:21,,,1,FLIGHT OF ICARUS,LESLY C. GONZALEZ,SERGIO MORALES,7,,10.4,54
09-02-2026,CLUB HÍPICO DE SANTIAGO,6,15:21,,,9,SOY DEL CICLON (ARG),JESUS TORO,JOSE ARAYA B.,8,,35.1,58
09-02-2026,CLUB HÍPICO DE SANTIAGO,6,15:21,,,6,INDIAN POET,MAURICIO CHAMORRO,RAUL MONTESINO,RT,,-,61
09-02-2026,CLUB HÍPICO DE SANTIAGO,6,15:21,,,10,HARRY GO,PEDRO ROBLES,JOHN PINOCHET,RT,,-,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,7,15:48,,,5,DEMIR,IGNACIO VALDIVIA,JOHN PINOCHET,1,,2.5,54
09-02-2026,CLUB HÍPICO DE SANTIAGO,7,15:48,,,2,NA NI NA,RODOLFO S. DORES,DOMINGO MATTE,2,,9.6,58
09-02-2026,CLUB HÍPICO DE SANTIAGO,7,15:48,,,7,SOS DE BOCA,LUIS TORRES,CRISTOBAL GONZALEZ M.,3,,3.7,58
09-02-2026,CLUB HÍPICO DE SANTIAGO,7,15:48,,,4,CELTIC DAD,JAIME MEDINA,PATRICIO BAEZA A.,4,,6.8,54
09-02-2026,CLUB HÍPICO DE SANTIAGO,7,15:48,,,8,FREUD WISH,WLADIMIR QUINTEROS,CARLOS GARCIA,5,,17,56
09-02-2026,CLUB HÍPICO DE SANTIAGO,7,15:48,,,9,STATE OF GRACE,MIGUEL GUTIERREZ,CRISTOBAL GONZALEZ M.,6,,6.2,57
09-02-2026,CLUB HÍPICO DE SANTIAGO,7,15:48,,,3,DON MATIAS,TOMAS SEITH,OLIVERIO MARTINEZ,7,,24.4,58
09-02-2026,CLUB HÍPICO DE SANTIAGO,7,15:48,,,1,LARRYKANE,JAIME A. MIÑO,WILLIAM ARA D.,8,,21.2,55
09-02-2026,CLUB HÍPICO DE SANTIAGO,7,15:48,,,6,ZALAVERRY,VICTOR MIRANDA,ALEJANDRO PADOVANI E.,9,,4.7,60
09-02-2026,CLUB HÍPICO DE SANTIAGO,8,16:15,,,3,EL RECTOR,PEDRO ROBLES,JOHN PINOCHET,1,,5.6,58
09-02-2026,CLUB HÍPICO DE SANTIAGO,8,16:15,,,7,JAZZ ROCK,RODOLFO S. DORES,DOMINGO MATTE,2,,19.9,53
09-02-2026,CLUB HÍPICO DE SANTIAGO,8,16:15,,,4,LA DICHA,IGNACIO VALDIVIA,GUILLERMO AGUIRRE,3,,4.1,52
09-02-2026,CLUB HÍPICO DE SANTIAGO,8,16:15,,,9,SETANTA,JORGE ZUÑIGA,PATRICIO BAEZA A.,4,,4,50
09-02-2026,CLUB HÍPICO DE SANTIAGO,8,16:15,,,6,HIJO DEL TUTO,LUIS TORRES,JOSE ARAYA B.,5,,3.4,59
09-02-2026,CLUB HÍPICO DE SANTIAGO,8,16:15,,,1,MITOU,NICOLAS RAMIREZ,MARIO RABAJILLE D.,6,,4,53
09-02-2026,CLUB HÍPICO DE SANTIAGO,8,16:15,,,8,KAREV,JAIME MEDINA,PATRICIO BAEZA A.,7,,7,53
09-02-2026,CLUB HÍPICO DE SANTIAGO,8,16:15,,,5,ANALOGO,ALBERTO VASQUEZ,MARITZA PEREZ A.,8,,28.6,51
09-02-2026,CLUB HÍPICO DE SANTIAGO,8,16:15,,,2,AMIGOS POR SIEMPRE,N.N.,CLAUDIO BERNAL,RT,,-,56
09-02-2026,CLUB HÍPICO DE SANTIAGO,9,16:45,,,15,KOLETTE,WLADIMIR QUINTEROS,RAUL MONTESINO,1,,10.8,56
09-02-2026,CLUB HÍPICO DE SANTIAGO,9,16:45,,,1,MANKIND,IGNACIO VALDIVIA,HECTOR MANRIQUEZ,2,,7.4,56
09-02-2026,CLUB HÍPICO DE SANTIAGO,9,16:45,,,6,DI ALBA,JOHAN GONZALEZ,GENARO COVARRUBIAS,3,,26.8,60
09-02-2026,CLUB HÍPICO DE SANTIAGO,9,16:45,,,10,NIÑO SEXY,RICARDO SOLORZA,JUAN CAVIERES,4,,5.6,57
