Reunion,Fecha,Carrera,Lugar,Numero,Ejemplar,Padrillo,Edad,Peso_Caballo,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
88,20-12-2025,19,5,8,Isidora Mia,Cunco,5,501,55,B. Troncoso,Alejandro Padovani E.,Florencia Paz,12.50
88,20-12-2025,19,6,1,Horcon Dorado,Dylan Thomas,5,470,54,B. León,Cristián Urbina R.,Los Pege,6.60
88,20-12-2025,19,7,5,Esterios,Boboman,8,548,56,M. Morales,Alejandro Padovani E.,Gaona Hermanos,90.00
88,20-12-2025,19,8,4,Okui,Imperia II,6,484,58,L. Torres,Claudio Bernal G.,Malcib,14.50
88,20-12-2025,19,9,7,Gran Alaska,Patternrecognition,5,449,57,A. Vásquez,Maritza Pérez A.,Blanca Adelaida,27.00
88,20-12-2025,19,10,3,Stanafuera,Monthir,5,513,54,R. Painen,Maritza Pérez A.,Morautos,45.70
88,20-12-2025,19,11,6,Piter Alfonso,Scat Royal,5,430,54,G. Rodríguez,Claudio Bernal G.,Maitenal,10.60
88,20-12-2025,19,12,2,Un Guarito,Tourist,7,459,55,L. González,Genaro J. Covarrubias E.,El Mero Mero,23.60
88,20-12-2025,19,13,11,Beniblu,Classic Empire,4,471,53,N. Molina,Alejandro Padovani E.,Veintiseis,34.50
88,20-12-2025,19,U,10,Lucky Benni,Mendelssohn,4,496,58,B. Sancho,Claudio Bernal G.,Mar Y Sol,50.90
88,20-12-2025,20,1,9,Muzan,International Star,4,486,56,A. Vásquez,Oscar Donate S.,Llego El Talento,1.90
88,20-12-2025,20,2,11,Laburador,Goldencents,6,488,50,J. Soto,Isaac Michea F.,Bruno Alonso,16.40
88,20-12-2025,20,3,7,Platon,Grand Daddy,4,542,58,V. Miranda,Juan C. Pichara J.,Vasquez Retamales,5.80
88,20-12-2025,20,4,4,Kino,Aragorn II,9,492,60,O. Meneses,Ricardo Rojas S.,Camilo Osses,26.50
88,20-12-2025,20,5,3,Indian Pirate,Indian Trail,3,508,51,J.A. Miño,Oscar Donate S.,Llego El Talento,12.80
88,20-12-2025,20,6,10,Sawyer,Practical Joke,6,562,59,R. Covarrubias,Mario Covarrubias,Laly,63.20
88,20-12-2025,20,7,8,Ke Pacquiao,International Star,4,458,54,B. Troncoso,Rodrigo Pulgar A.,Luis Benjamin,12.80
88,20-12-2025,20,8,15,Jarum,Cupid,5,495,58,M. Morales,Alejandro Padovani E.,Anita María,9.30
88,20-12-2025,20,9,6,Luz Oculta,Mendelssohn,4,462,51,L. González,Mario Covarrubias,Quarter Dollar,19.30
88,20-12-2025,20,10,14,Sugar Light,Hiraboku Deep,4,440,50,J. Zúñiga,Claudio Bernal G.,Sverige,8.10
88,20-12-2025,20,11,5,Guena Petete,Layman,4,464,54,C. C. Bustos,Eduardo Lab R.,Los Reyes,11.80
88,20-12-2025,20,12,12,Jerezano,Ivan Denisovich,6,469,54,R.S. Dores,Pedro Diaz S.,Los Jeques,31.90
88,20-12-2025,20,13,2,Sea Of Gold,Goldencents,6,486,54,P. Zúñiga,Rodrigo López B.,Bruce,39.80
88,20-12-2025,20,14,13,El Piri,Tourist,6,454,54,J. González,Genaro J. Covarrubias E.,Quarter Dollar,37.10
88,20-12-2025,20,U,1,Chichilo,Viscount Nelson,6,443,53,R. Cisternas,Alberto Aviles L.,El Secreto,48.10
88,20-12-2025,21,1,15,Cuatro De Copas,Dylan Thomas,4,474,55,J. Herrera,José Bravo M.,Sultan Cra,6.30
88,20-12-2025,21,2,2,Native Spirit,Sahara Spirit,3,490,55,R. Cisternas,Marco Pavez O.,Haras Sumaya,3.00
88,20-12-2025,21,3,4,Petimetre,Competitive Edge,6,484,56,B. Troncoso,Rodrigo Pulgar A.,Galiano,7.70
88,20-12-2025,21,4,3,Solo Amigos,Hootenanny,5,461,54,L. Silva,Alejandro Padovani E.,Alevuk,17.60
88,20-12-2025,21,5,8,Maxiwario,Viscount Nelson,7,467,57,J. Villablanca,Genaro J. Covarrubias E.,La Corina,32.80
88,20-12-2025,21,6,10,Negra Perla,Robert Bruce,3,464,56,R. Painen,Cristobal. Gonzalez M.,Charito,10.80
88,20-12-2025,21,7,5,La Vegana,Practical Joke,3,490,55,G. Rodríguez,Juan Pablo Baeza J.,Cristian Manuel,4.50
88,20-12-2025,21,8,14,Terrible Bruno,Ya Primo,3,446,55,N. Ramirez,Juan C. Pichara J.,Bruno Alonso,16.90
88,20-12-2025,21,9,11,Spellbound,Patternrecognition,4,403,55,J.A. Miño,Carlos García V.,Mv Jr.,41.60
88,20-12-2025,21,10,1,No Me Pilla,Seeking The Dia,7,420,56,N. Molina,Rodrigo Quiroz S.,Los Quirsan,12.20
88,20-12-2025,21,11,9,Dubai Wind,Dubai Sky,5,425,55,J. González,Genaro J. Covarrubias E.,Don Andres,42.00
88,20-12-2025,21,12,12,Lo Franco,Seeking The Dia,5,430,55,B. Sancho,Rodrigo Quiroz S.,El Kaiser,40.40
88,20-12-2025,21,13,6,Seeking The Soul,Seeking The Dia,7,438,55,V. Miranda,Alejandro Padovani E.,Los Lokolopulus,17.20
88,20-12-2025,21,14,13,Embajadora Harris,Newfoundland,3,435,55,B. León,Luis Urbina H.,Los Conejos,8.60
88,20-12-2025,21,U,7,Soy Pipo,Dubai Sky,3,473,56,R. Fuenzalida,Aldo Castagneto U.,La Reina,38.50
