Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador
1,13:00,PRINCE RIVER (277),1200,ARENA,1,VUELVE LA FARRA,57,CL. Jorquera,R. Silva S.
1,13:00,PRINCE RIVER (277),1200,ARENA,2,PUMBA,57,V. Bracetti,N. Ramirez
1,13:00,PRINCE RIVER (277),1200,ARENA,3,DISPARO LETAL,57,A. Perez D.,J. Castillo L.
1,13:00,PRINCE RIVER (277),1200,ARENA,4,TORNADO DE BULI,57,R. Solorza,F. Gonzalez S.
1,13:00,PRINCE RIVER (277),1200,ARENA,5,MY CLAUDIA,57,B. Troncoso,W. Peña P.
1,13:00,PRINCE RIVER (277),1200,ARENA,6,NO HAY ADIOS,57,T. Seith,R. Montesino S.
1,13:00,PRINCE RIVER (277),1200,ARENA,7,TICKET GOOD,57,R. Painen,Js. Araya B.
1,13:00,PRINCE RIVER (277),1200,ARENA,8,AGUILA DE FUEGO,57,N. Molina,R. Montesino S.
1,13:00,PRINCE RIVER (277),1200,ARENA,9,NUTCRACKER,57,Jn. Muñoz M.,G. Melej R.
1,13:00,PRINCE RIVER (277),1200,ARENA,10,JOLTIN JOE,57,A. Jaque S.,CJ. Toro
1,13:00,PRINCE RIVER (277),1200,ARENA,11,EL KICHAN,57,G. Rodriguez,M. Velarde B.
1,13:00,PRINCE RIVER (277),1200,ARENA,12,GRAN SAMIR,57,Gvo. Aros,W. Peña P.
1,13:00,PRINCE RIVER (277),1200,ARENA,13,ANTIOCO,57,C. Ortega,R. Montesino S.
1,13:00,PRINCE RIVER (277),1200,ARENA,14,SEE YOU AGAIN,57,L. C. Gonzalez,F. Gonzalez S.
1,13:00,PRINCE RIVER (277),1200,ARENA,15,WILLIAM FAULKNER,57,Joh. Gonzalez,Fco. Pinochet P.
2,13:29,PALMITO (278),1200,PASTO,1,CHECO IS A LEGEND,59,G. Rodriguez,H. E. Ulloa P.
2,13:29,PALMITO (278),1200,PASTO,2,L' PURA FE,58,Js. Cueto,R. Silva S.
2,13:29,PALMITO (278),1200,PASTO,3,FUEGO Y HIERRO,58,Jr. Zuñiga,O. Martinez L.
2,13:29,PALMITO (278),1200,PASTO,4,BICHOTA,58,L. Torres,A. Perez D.
2,13:29,PALMITO (278),1200,PASTO,5,REY DEL ESTERO,59,B. Troncoso,H. E. Ulloa P.
2,13:29,PALMITO (278),1200,PASTO,6,MANKIND,54,R. Painen,H. Manriquez F.
2,13:29,PALMITO (278),1200,PASTO,7,MONARCA,53,A. Alvarez,G. Peralta P.
2,13:29,PALMITO (278),1200,PASTO,8,SPELLBOUND,59,J. A. Miño,C. Garcia V.
2,13:29,PALMITO (278),1200,PASTO,9,MOMENT OF GET,58,B. Leon,M. Covarrubias
3,13:58,PABETTE (279),1200,PASTO,1,ALAIN DELON,60,R. S. Dores,D. Matte D.
3,13:58,PABETTE (279),1200,PASTO,2,CRISTALINO,56,B. Sancho,A. Parra D.
3,13:58,PABETTE (279),1200,PASTO,3,CALIFORNIA KING,58,N. Ramirez,Js. Araya B.
3,13:58,PABETTE (279),1200,PASTO,4,MAGUIRE,60,R. Painen,Js. Araya B.
3,13:58,PABETTE (279),1200,PASTO,5,BY THE CLIFF,60,A. Alvarez,Cr. Urbina R.
3,13:58,PABETTE (279),1200,PASTO,6,KANDOZI,55,F. Henriquez,R. Montesino S.
3,13:58,PABETTE (279),1200,PASTO,7,NO PASO AGOSTO,53,A. Rivera,Js. Alvarez D.
3,13:58,PABETTE (279),1200,PASTO,8,JALISCO,60,P. Robles,J. Pinochet P.
3,13:58,PABETTE (279),1200,PASTO,9,CRANS MONTANA,56,J. Herrera,Cl. Bernal G.
4,14:30,PALAY (280),1200,ARENA,1,CONOCIENDOTE,56,G. Rodriguez,W. Peña P.
4,14:30,PALAY (280),1200,ARENA,2,DOMINGO ISLEÑO,57,Js. Villablanca,G. Melej R.
4,14:30,PALAY (280),1200,ARENA,3,SAHOURIYE,57,B. Soto,Js. Araya B.
4,14:30,PALAY (280),1200,ARENA,4,MUY TEMPERADA,57,Joh. Gonzalez,F. Gonzalez S.
4,14:30,PALAY (280),1200,ARENA,5,PATTY NENA,57,N. Molina,T. Cachely
4,14:30,PALAY (280),1200,ARENA,6,FELIPHON,58,A. Varas,A. Fernandez L
4,14:30,PALAY (280),1200,ARENA,7,RAYO VELOZ,57,B. Ayala,L. Machulas G.
4,14:30,PALAY (280),1200,ARENA,8,POWER MARINE,57,R. Fuenzalida,Cl. Navarro A.
4,14:30,PALAY (280),1200,ARENA,9,ANTUMBRA,56,R. Painen,R. Montesino S.
4,14:30,PALAY (280),1200,ARENA,10,SOBRAO DE CARIÑO,57,N. Santibañez,A. Bernal G.
4,14:30,PALAY (280),1200,ARENA,11,AKISI,56,J. Reyes,A. Jaque S.
4,14:30,PALAY (280),1200,ARENA,12,LITTLE GASPI,57,B. Sancho,R. Montesino S.
