Reunion;Fecha;Carrera_Nro;Tiempo;Premio;Bolsa_Premios;Distancia;Condiciones;Nro_Caballo;Ejemplar;Padrillo;Haras_Stud;Edad;Peso;Jinete;Preparador;Campaña_Total;Ultimos_Resultados;L_o;IR
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;1;Roman War;War Command;Haras Don Alberto - Stud La Corina;9;56;José Villablanca;Genaro J. Covarrubias E.;235-25-31-21-26;4° 1° 13° 12° 9°;5°;13,4
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;2;Mestiza Flor;Midshipman;Haras Don Alberto - Stud Bruno Alonso;6;55;Luis D. Menghini;Isaac Michea F.;113-6-9-14-6;11° 1° 11° 10° 10°;2°;17,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;3;The Grunge;Exaggerator;Haras Doña Icha - Stud Redbros;4;55;José Rodríguez;Oscar Donate S.;20-1-0-0-1;6° 4° 11° 10° 10°;8°;12,4
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;4;Me Veras Caer;Iron Clad;Haras Santa Aurora - Stud Carlos Cavieres;4;56;Darien Cheuque;Julio Castillo D.;13-0-1-1-1;U° 14° U° U° 2°;11°;10,7
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;5;Francoli;Seeking The Dia;Agricola Santa Eliana Spa - Stud Lucaraste;5;55;Jorge Vera;Rodrigo Quiroz S.;123-5-3-9-7;3° 7° 3° 8° 3°;7°;12,7
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;6;Beautiful Moon;Exaggerator;Jaime Hirmas R. - Stud Los Aviadores;4;55;Lesly C. González;Jaime Hirmas R.;53-2-1-2-6;7° 1° 7° 13° 8°;10°;10,8
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;7;First Classic;Classic Empire;Haras Paso Nevado - Stud Los Garrido;4;56;Sebastián González;Eugenio Switt V.;16-0-5-2-2;2° 2° 3° 3° 4°;1°;18,8
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;8;Vine Vide Vinci;Tumblebrutus;Haras Santa Marta - Stud Lusugo;11;56;Diego Carvacho;Rodrigo Quiroz S.;336-20-31-29-39;5° 6° 2° 4° 4°;9°;10,8
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;9;Vicaria Amelia;California Chrome;Haras Sumaya - Stud Lcg;6;56;Jaime A. Miño;Mario A. Apablaza G.;116-3-7-11-9;6° 6° 6° 2° 6°;12°;8,5
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;10;Kirsch Royal;Leading The Parade;Haras Las Camelias - Stud Quarter Dollar;11;55;Boris González;Mario Covarrubias;273-17-27-24-29;4° 3° 11° 6° 6°;13°;7,5
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;11;Meme;Good Samaritan;Haras San Ignacio - Stud Sema;4;56;Joaquín Herrera;Rafael Bernal G.;46-3-3-2-1;6° 6° 9° 2° 6°;3°;15,8
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;12;La Tostadora;Cupid;Haras Convento Viejo - Stud Grande Tio Kiko;5;56;Andrés Covarrubias;Hernán Pacheco P.;39-1-2-3-5;5° 4° 3° 4° 3°;6°;13,2
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;13;Juntitos Siempre;Grand Daddy;Haras Mocito Guapo - Stud Patito;4;55;Jorge L. Vergara;Rodrigo López B.;21-0-0-0-0;5° 7° 12° 9° 7°;15°;5,0
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;14;Queen Any;Cloud Computing;Haras Doña Icha - Stud Los Cabezas Alvarez;5;56;Benjamin Sancho;Raúl Montesino S.;78-1-6-4-3;11° U° 9° 10° 11°;4°;14,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;1ª;10:45 hrs.;Momento;CLP $3.069.000;1200m;Handicap (Hd) 3 al 2 | Caballos 3 años y más (3a+) (Serie 6) Arena;15;Su Merci;Sumerio;Criadero Morat - Stud Don Ismael;4;56;Ariel Zúñiga;Daniel Contreras A.;38-1-1-3-8;3° 10° 3° 7° 13°;14°;6,2
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;1;La Salchi;Shampoo Silver;Pedro Espinoza P. - Stud Oxiper;3;55;Patricio Galáz;Hernán Pacheco P.;16-0-2-1-0;8° 7° 3° 2° 5°;8°;10,5
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;2;Sogna Con Me;Ya Primo;Haras Don Alberto - Stud Jose Venegas P.;3;55;Fabian Medina;José Venegas P.;19-0-4-3-6;U° 5° 4° 3° 2°;2°;21,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;3;Valkiria;Classic Empire;- Stud Luigi;3;55;Nicolás Santibañez;Luis Urbina H.;5-0-1-1-0;6° 7° 3° 2° U°;10°;9,9
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;4;Diosa Kali;Spun to Run;Haras Porta Pía - Stud José Bravo M.;3;55;Daniel Medina;José Bravo M.;18-0-0-2-2;7° 4° 3° 3° 4°;7°;11,4
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;5;Perfide;Ivan Denisovich;Haras Don Alberto - Stud Chamo Candela;3;55;Rodolfo S. Dores;Jaime Hirmas R.;9-0-1-2-2;6° 4° U° 4° 2°;5°;15,4
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;6;Old City;Dubai Sky;Haras Las Araucarias - Stud Las Araucarias;3;55;Nicolás Molina;Rodrigo Quiroz S.;19-0-2-1-2;8° 10° U° 2° 8°;9°;10,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;7;Bacancita;Lookin At Lucky;Haras Don Alberto - Stud Stud Dona Lili;3;56;Jorge A. González;Carlos Raby V.;0-0-0-0-0;N/A;1°;21,5
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;8;Me Das Otro Beso;Patternrecognition;Haras Santa Olga - Stud Matias Hector;3;55;Gerard Rodríguez;Pedro Molina I.;13-0-1-2-1;4° 8° 8° 7° 7°;4°;17,3
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;9;La Trotona;Robert Bruce;Haras Convento Viejo - Stud Haras Convento Viejo;3;55;Sebastián González;Jorge Andrés Inda D.;2-0-0-0-0;11° 5°;3°;19,0
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;10;Sibila Red;Get Jets;Haras San Ignacio - Stud Redbros;3;55;Darien Cheuque;Oscar Donate S.;4-0-0-0-0;6° 6° 7° 9°;11°;9,9
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;2ª;11:10 hrs.;Amani;CLP $4.340.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;11;La morita;The Lumber Guy;Haras Lizzie - Stud Haras Lizzie;3;55;Hugo Ochoa;Rodrigo Sánchez Q.;2-0-0-0-0;10° 11°;6°;13,7
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;3ª;11:35 hrs.;Hall Wallis;CLP $5.270.000;1900m;Handicap (Hd) 23 al 14 | Caballos 3 años y más (3a+) (Serie 3) Arena;1;Alcides;Midshipman;Haras Don Alberto - Stud Charrúa;4;57;Anyelo Rivera;Julio Orellana R.;24-3-3-3-7;3° 2° 6° 4° 1°;1°;53,5
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;3ª;11:35 hrs.;Hall Wallis;CLP $5.270.000;1900m;Handicap (Hd) 23 al 14 | Caballos 3 años y más (3a+) (Serie 3) Arena;2;El Florito;Ascot Prince;Haras Don Luis - Stud Alto Las Piedras;7;50;Héctor Barrera;Rafael Bernal G.;172-12-18-15-15;6° 6° 1° 1° 4°;6°;11,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;3ª;11:35 hrs.;Hall Wallis;CLP $5.270.000;1900m;Handicap (Hd) 23 al 14 | Caballos 3 años y más (3a+) (Serie 3) Arena;3;Roce Secreto;Good Samaritan;Haras Viejo Perro - Stud Viejo Perro;4;50;Jesus Toro;Juan C. Pichara J.;28-1-5-8-4;4° 3° 6° 3° 3°;2°;16,7
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;3ª;11:35 hrs.;Hall Wallis;CLP $5.270.000;1900m;Handicap (Hd) 23 al 14 | Caballos 3 años y más (3a+) (Serie 3) Arena;4;Siete Del Nueve;Good Samaritan;Haras San Ignacio - Stud Crisval;5;58;Luis Torres;Eduardo Lab R.;81-8-5-10-16;4° 9° U° 4° 10°;5°;15,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;3ª;11:35 hrs.;Hall Wallis;CLP $5.270.000;1900m;Handicap (Hd) 23 al 14 | Caballos 3 años y más (3a+) (Serie 3) Arena;5;Pajoma;Bad Daddy;Haras Santa Isabel - Stud Bruno Alonso;5;51;Hugo Ochoa;Isaac Michea F.;49-6-4-6-3;U° 11° 11° 3° 1°;4°;15,4
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;3ª;11:35 hrs.;Hall Wallis;CLP $5.270.000;1900m;Handicap (Hd) 23 al 14 | Caballos 3 años y más (3a+) (Serie 3) Arena;6;A Quien Saliste;Distorted Economy;Haras Lizzie - Stud Titan;4;56;Ignacio Valdivia;Rodrigo Quiroz S.;25-3-2-2-3;6° 7° 4° 3° 3°;3°;16,0
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;4ª;12:01 hrs.;Baalbek;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;1;El Duke;Lookin At Lucky;Haras Don Alberto - Stud El Duke;7;56;Gerard Rodríguez;Daniel Contreras A.;128-7-4-7-7;4° 5° 5° 9° 11°;2°;13,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;4ª;12:01 hrs.;Baalbek;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;2;Vasca Brava;International Star;Haras Porta Pía - Stud Jaime Espiñeira C.;4;56;Wilbert León;Jaime Espineira C.;33-2-0-2-3;8° 12° 9° 7° 4°;7°;9,5
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;4ª;12:01 hrs.;Baalbek;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;3;Zigeuner;Ivan Denisovich;Haras Don Alberto - Stud Felipe Jesus;6;56;Jaime A. Miño;Mario Covarrubias;129-7-8-11-8;8° 13° 10° 8° 10°;8°;9,2
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;4ª;12:01 hrs.;Baalbek;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;4;Bordoneo;El Facha;Vicente Meza V. - Stud El Gallito;10;56;Darien Cheuque;Julio Castillo D.;154-6-5-12-7;11° 10° 10° U° 10°;12°;7,4
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;4ª;12:01 hrs.;Baalbek;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;5;Natalino;Seeking The Dia;Lionel Soffia G. - Stud Chamo Candela;10;56;Ariel Zúñiga;Ricardo Rojas S.;199-13-12-18-20;14° 12° 12° 8° 14°;14°;6,0
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;4ª;12:01 hrs.;Baalbek;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;6;Monte Hua;Seeking The Dia;Haras Don Alberto - Stud Bruno Alonso;9;56;Wladimir Quinteros;Oscar Donate S.;254-14-16-12-16;2° U° U° 8° 10°;1°;13,6
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;4ª;12:01 hrs.;Baalbek;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;7;Alajja;Indian Trail;Haras Sumaya - Stud Matias Aravena;5;56;Patricio Galáz;Juan Aravena M.;76-2-0-1-3;8° 9° 7° 12° 11°;6°;10,2
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;4ª;12:01 hrs.;Baalbek;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;8;India Adorada;Exaggerator;Haras Doña Icha - Stud Florence;5;56;Luis D. Menghini;Eugenio Switt V.;66-1-1-4-1;6° 8° 10° 13° 12°;10°;8,4
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;4ª;12:01 hrs.;Baalbek;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;9;El Gran Tornado;Newfoundland;Haras Sumaya - Stud Albino;8;56;Nicolás Molina;Mario A. Apablaza G.;176-10-10-14-14;11° 7° 5° 13° 6°;4°;11,0
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;4ª;12:01 hrs.;Baalbek;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;10;Sahara Chrome;California Chrome;Haras Sumaya - Stud Misacrisei;6;56;Nicolás Santibañez;Eugenio Switt V.;126-5-4-8-10;10° 13° 4° 6° 4°;11°;7,8
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;4ª;12:01 hrs.;Baalbek;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;11;Carita De Culpable;Iron Clad;Haras San Martin - Stud Pequeño Matias;4;56;Mauricio Galáz;Ricardo Rojas S.;8-0-0-0-0;13° 13° 10° 9° 9°;13°;6,3
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;4ª;12:01 hrs.;Baalbek;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;12;Beautiful Champion;Sonoma Band; - Stud Don Alamiro;5;56;Jorge Vera;Rodrigo Quiroz S.;76-1-3-15-1;6° 10° 6° 12° 6°;5°;10,6
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;4ª;12:01 hrs.;Baalbek;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;13;Peluka;Frank Conversation;Haras Villa Rosa - Stud Seguir Soñando;4;56;Marco Bustamante;Juan C. Pichara J.;36-1-2-1-0;6° 12° 9° 8° 7°;9°;9,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;4ª;12:01 hrs.;Baalbek;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;14;City Blue;Seeking The Dia;Haras Don Alberto - Stud Jose Venegas P.;6;56;Felipe Moreno;José Venegas P.;101-7-4-2-7;6° 5° 10° 12° 12°;3°;11,4
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;1;Hi Fly;Flyer;Haras San Ignacio - Stud Grande Tio Kiko;3;55;Patricio Galáz;Hernán Pacheco P.;8-0-0-1-1;7° 8° 10° 12° 3°;5°;11,7
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;2;Tiguarda;Dylan Thomas;Haras Don Alberto - Stud Grande Tio Kiko;3;56;Jorge Vera;Hernán Pacheco P.;9-0-0-0-0;8° 12° 8° 9° 6°;11°;5,6
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;3;Tu Mi Cunca;Cunco;Haras Don Alberto - Stud Pedro Diaz S.;3;55;Daniel Medina;Pedro Diaz S.;6-0-0-0-0;7° 11° 10° 5° 12°;8°;9,5
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;4;Bernoulli;Distorted Economy;Haras Lizzie - Stud Kekita;3;55;Fabian Medina;Cristián Urbina R.;9-0-0-1-0;6° 7° 7° 6° 6°;4°;12,6
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;5;Princess Thai;Distorted Economy;Haras Lizzie - Stud Alonmate;3;55;José Villablanca;Manuel Velarde B.;12-0-0-0-1;9° 7° 4° 10° 7°;10°;7,6
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;6;Mixed Emotions;Grand Daddy;Haras Santa Mónica - Stud De Quiva's;3;55;Ariel Zúñiga;Cristian Quiroz E.;7-0-0-0-0;9° 10° 11° 10° 8°;15°;2,5
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;7;Bad Romance;Newfoundland;Haras Dadinco - Stud Don German;3;55;Diego Carvacho;Rafael Bernal G.;14-0-0-1-0;3° 7° 5° 10° 7°;13°;4,3
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;8;Mi Porteña;Good Samaritan;Haras San Ignacio - Stud Rodrigo Sanchez Q.;3;55;Hugo Ochoa;Rodrigo Sánchez Q.;12-0-0-1-4;6° 6° 3° 5° 4°;2°;16,4
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;9;Mas Amor;Ya Primo;Haras Don Alberto - Stud Forza Al Canut;3;55;Geovanni Acevedo;Juan Ubilla P.;14-0-0-0-0;12° 10° 12° 7° 10°;12°;4,4
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;10;Sinag;Good Samaritan;Haras Santa Sara - Stud Malcib;3;55;Benjamin Sancho;Rodrigo Quiroz S.;19-0-0-1-5;4° 7° 7° U° 6°;6°;10,3
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;11;Clasua;Classic Empire;Haras Santa Loreto - Stud Haras Santa Loreto;3;55;Darien Cheuque;Juan Pablo Baeza J.;4-0-2-0-1;4° 5° 2° 2°;1°;20,9
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;12;Bella Chichi;Distorted Economy;Haras Lizzie - Stud Margal;3;55;Andrés Covarrubias;Hernán Pacheco P.;10-0-0-0-0;9° U° 8° 6° 7°;14°;3,0
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;13;Regia Piba;Robert Bruce;Haras Convento Viejo - Stud Verónica Morales O.;3;55;Marco Bustamante;Cristobal Gonzalez M.;9-0-0-1-1;10° 3° 7° 6° 9°;9°;7,8
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;14;Emperifollada;Seeking The Dia;Haras Macul - Stud Chamo Candela;3;55;Agustin Villagra;Ricardo Rojas S.;12-0-0-0-1;8° 6° 6° 4° 6°;7°;10,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;5ª;12:26 hrs.;Cuan Linda;CLP $3.150.000;1200m;Condicional (Cd) | Hembras 3 años no ganadoras (h3ap) Arena;15;Karmelia;Kingly;Haras Mocito Guapo - Stud Haras Mocito Guapo;3;55;Rodolfo Fuenzalida;Juan Pablo Baeza J.;4-0-0-1-1;4° 7° 3° 8°;3°;12,7
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;6ª;12:51 hrs.;Geologo;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;1;Mago De Naipes;Felíz de Vivir;Luis Eugenio Gana - Stud Artigas;7;56;Benjamin Sancho;Rodrigo Quiroz S.;163-11-12-7-7;13° 11° 9° U° 14°;5°;13,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;6ª;12:51 hrs.;Geologo;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;2;Soy Enriqueta;State Of Play;Haras Mocito Guapo - Stud Mameza;9;56;Axel Alvarez;Alejandro Padovani E.;266-21-21-5-18;8° 11° 12° 7° 13°;1°;20,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;6ª;12:51 hrs.;Geologo;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;3;Western Film;Annual Report;Haras Puerta de Hierro - Stud Francisca Ignacia;6;56;Marcelo Cordero;Eduardo Lab R.;73-5-4-4-4;12° 11° 13° 10° 7°;13°;7,6
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;6ª;12:51 hrs.;Geologo;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;4;Du Plesis;Sky Mesa;Haras Matriarca - Stud Di Giorgio Dicone;4;56;Jorge Vera;Claudio Bernal G.;11-0-0-0-0;5° 13° 10° 9° 9°;10°;9,0
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;6ª;12:51 hrs.;Geologo;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;5;Salma Alegre;Gstaad II;Haras Dadinco - Stud Gallo;6;56;Wladimir Quinteros;Eugenio Switt V.;124-8-10-8-9;3° 11° 5° 9° 5°;9°;9,1
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;6ª;12:51 hrs.;Geologo;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;6;Redquiver;Hootenanny;Haras San Ignacio - Stud Lost Vera;5;56;Diego Carvacho;Rodrigo Quiroz S.;29-1-1-2-1;6° 12° U° 9° 8°;11°;7,9
Reunión 84, Hipódromo Chile Chile;Sábado 6 de Diciembre del 2025;6ª;12:51 hrs.;Geologo;CLP $2.650.500;1200m;Handicap (Hd) 1 | Caballos 3 años y más (3a+) (Serie 6) Arena;7;Demoov;Newfoundland;Haras Sumaya - Stud Bruno Alonso;9;56;Miguel Gutiérrez;Julio Castillo D.;111-10-8-10-10;8° 9° 9° 12° 10°;4°;13,9
