Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador,Pozo
14,19:15,TOP MOVIE,1000,PASTO,1,JOHN COOPER,54,D. Carrasco,R. Montesino S.,"DOBLE / MEGA SPF / MEGATRIP N°4 ETP 3"
14,19:15,TOP MOVIE,1000,PASTO,2,REINA EGIPCIA,57,Joh. Gonzalez,Fco. Pinochet P.,"DOBLE / MEGA SPF / MEGATRIP N°4 ETP 3"
14,19:15,TOP MOVIE,1000,PASTO,3,PLUMA DE MAR,58,W. Quinteros,C. Garcia V.,"DOBLE / MEGA SPF / MEGATRIP N°4 ETP 3"
14,19:15,TOP MOVIE,1000,PASTO,4,TEA AND MILK,54,G. Rodriguez,R. Montesino S.,"DOBLE / MEGA SPF / MEGATRIP N°4 ETP 3"
14,19:15,TOP MOVIE,1000,PASTO,5,TINTA ETERNA,54,R. Covarrubias,A. Perez D.,"DOBLE / MEGA SPF / MEGATRIP N°4 ETP 3"
14,19:15,TOP MOVIE,1000,PASTO,6,FANTASTIC DREAM,58,Js. Cueto,R. Silva S.,"DOBLE / MEGA SPF / MEGATRIP N°4 ETP 3"
14,19:15,TOP MOVIE,1000,PASTO,7,WONDERFUL STAR,56,V. Miranda,R. Pulgar A.,"DOBLE / MEGA SPF / MEGATRIP N°4 ETP 3"
14,19:15,TOP MOVIE,1000,PASTO,8,SAMARITAN CAT,55,P. Robles,D. E. Silva G.,"DOBLE / MEGA SPF / MEGATRIP N°4 ETP 3"
14,19:15,TOP MOVIE,1000,PASTO,9,BARBIE DREAMS,55,Seb. Gonzalez,J. Silva B.,"DOBLE / MEGA SPF / MEGATRIP N°4 ETP 3"
14,19:15,TOP MOVIE,1000,PASTO,10,DOMENICO,55,B. Soto,Js. Araya B.,"DOBLE / MEGA SPF / MEGATRIP N°4 ETP 3"
14,19:15,TOP MOVIE,1000,PASTO,11,LEYSKA,57,R. Fournet,Js. Araya B.,"DOBLE / MEGA SPF / MEGATRIP N°4 ETP 3"
14,19:15,TOP MOVIE,1000,PASTO,12,BALDER EL NORUEGO,56,R. Fuenzalida,A. Bernal G.,"DOBLE / MEGA SPF / MEGATRIP N°4 ETP 3"
15,19:50,TIFONE,1400,ARENA,1,QUIEN ME PILLO,54,F. Sanchez,S. Morales G.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
15,19:50,TIFONE,1400,ARENA,2,RED DADDY,58,Jon. A. Castillo,A. Bernal G.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
15,19:50,TIFONE,1400,ARENA,3,PEGASUS FANTASIS,58,M. A. Donoso,Cl. Bernal G.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
15,19:50,TIFONE,1400,ARENA,4,TANGERINE TANGO,53,I. Valdivia,Fco. Pinochet P.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
15,19:50,TIFONE,1400,ARENA,5,POWER MARINE,51,L. C. Gonzalez,H. Manriquez F.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
15,19:50,TIFONE,1400,ARENA,6,MAXIWARIO,58,L. P. Silva,Cl. Navarro A.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
15,19:50,TIFONE,1400,ARENA,7,RIO DE LAS MINAS,57,R. Cisternas,G. Covarrubias E.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
