reunion,fecha,hipodromo,carrera,hora,distancia,tipo_carrera,num,caballo,padre,madre_abuelo,stud,edad,peso,jinete,preparador,campana_anio,ultimas_carreras,dias_sin_correr,ultimo_lugar,indice_proyectado
87,2025-12-18,Hipódromo Chile,20,21:30,1000m,Handicap,4,Puros Cents,Goldencents,,Stud Mar Y Sol,6,56,Felipe Henríquez,Claudio Bernal G.,119-8-8-12-16,11° U° 10° 11° 11°,7,12°,14.3
87,2025-12-18,Hipódromo Chile,20,21:30,1000m,Handicap,5,El Whisky Cuando,Mayakovsky,,Stud El Gallito,6,54,Fabian Medina,Julio Castillo D.,93-7-3-9-8,4° 4° 7° 5° 5°,5,13°,10.8
87,2025-12-18,Hipódromo Chile,20,21:30,1000m,Handicap,6,Koccia,Mendelssohn,,Stud Antonio Aida,4,56,Marco Morales,Oscar Donate S.,15-3-2-2-1,10° 3° U° 11° 1°,7,1°,21.7
87,2025-12-18,Hipódromo Chile,20,21:30,1000m,Handicap,7,Indhira,War Command,,Stud Con Tanto Esfuerzo,5,56,Nicolás Molina,Ricardo Rojas S.,24-4-2-5-2,9° 3° 3° 4° U°,7,8°,17.6
87,2025-12-18,Hipódromo Chile,20,21:30,1000m,Handicap,8,Ambrose,Dylan Thomas,,Stud Matías Alfonso,4,56,Nicolás Ramirez,Alejandro Padovani E.,57-6-5-5-3,1° 7° 2° 1° 1°,7,6°,19.8
87,2025-12-18,Hipódromo Chile,20,21:30,1000m,Handicap,9,The Arion,Indian Trail,,Stud Tata Tito,3,54,Luis Silva,Mario A. Apablaza G.,10-1-4-3-0,3° 9° 3° 2° 2°,21,5°,20.0
87,2025-12-18,Hipódromo Chile,20,21:30,1000m,Handicap,10,Rica Elegante,Classic Empire,,Stud Joaquin Andres,4,55,Gerard Rodríguez,Eduardo Lab R.,28-3-5-5-2,12° 9° 6° 8° 9°,2,13°,20.6
87,2025-12-18,Hipódromo Chile,20,21:30,1000m,Handicap,11,Mister Stress,Mendelssohn,,Stud Abuela Oca,4,56,Rafael Cisternas,Daniel Contreras A.,14-3-0-2-1,1° 4° 13° 3° 11°,33,7°,17.6
87,2025-12-18,Hipódromo Chile,20,21:30,1000m,Handicap,12,Gold Daddy,Grand Daddy,,Stud Cori,3,56,Sebastián González,Juan C. Pichara J.,22-2-1-3-0,7° 2° 1° 3° 3°,7,4°,20.5
87,2025-12-18,Hipódromo Chile,20,21:30,1000m,Handicap,13,Blessed,Good Samaritan,,Stud C.V.D.,5,57,Benjamin Sancho,Rodrigo Quiroz S.,60-5-11-2-4,10° 10° 12° 12° 2°,7,2°,20.7
87,2025-12-18,Hipódromo Chile,20,21:30,1000m,Handicap,14,Professionals,Grand Daddy,,Stud Santa Veronica,5,55,Nelson Rojas,Patricio Valderrama C.,66-5-6-6-8,2° 2° 6° 4° 10°,7,15°,5.0
87,2025-12-18,Hipódromo Chile,20,21:30,1000m,Handicap,15,Mountain Monarch,Sahara Spirit,,Stud Francisco Alexandra,3,55,Rodrigo Painen,Oscar Donate S.,22-2-0-2-3,7° 7° 6° 6° 4°,7,9°,16.2
