fecha,hipodromo,nro_carrera,hora,distancia,superficie,numero,caballo,jinete,preparador,posicion,tiempo,dividendo,peso
06-03-2026,Club Hípico de Santiago,1,13:00,,Pasto,11,VIVIR CONTENTA,JONATHAN A. CASTILLO,ALEXIS PEREZ,1º,,13.9,57
06-03-2026,Club Hípico de Santiago,1,13:00,,Pasto,7,THOTHO,BENJAMIN TRONCOSO,ROBERTO TOLEDO M.,2º,,43.1,57
06-03-2026,Club Hípico de Santiago,1,13:00,,Pasto,13,MISIA GOGUITA,RICARDO SOLORZA,FRANCISCO FAUNDEZ,2º,,16.8,57
06-03-2026,Club Hípico de Santiago,1,13:00,,Pasto,1,ANTIOCO,WLADIMIR QUINTEROS,RAUL MONTESINO,4º,,13.9,57
06-03-2026,Club Hípico de Santiago,1,13:00,,Pasto,9,MANCHITA DEL ÑUBLE,VICTOR MIRANDA,CARLOS MELERO,5º,,25.1,57
06-03-2026,Club Hípico de Santiago,1,13:00,,Pasto,5,SPECIAL MACHINE,ROBERTO AVILA,RAUL MONTESINO,6º,,7.2,57
06-03-2026,Club Hípico de Santiago,1,13:00,,Pasto,3,AHMAKIL,BENJAMIN SANCHO,ALEXIS PEREZ,7º,,12.4,57
06-03-2026,Club Hípico de Santiago,1,13:00,,Pasto,10,GEROMILO,DANIEL ALVARADO,CLAUDIO BERNAL,8º,,2.9,57
06-03-2026,Club Hípico de Santiago,1,13:00,,Pasto,6,BRINDO POR ELLA,RAFAEL CISTERNAS,DOMINGO MATTE,9º,,9.5,57
06-03-2026,Club Hípico de Santiago,1,13:00,,Pasto,2,WALKA,DARIEN CHEUQUE,CARLOS MELERO,10º,,11.8,57
06-03-2026,Club Hípico de Santiago,1,13:00,,Pasto,14,NEGRO APAPUCHI,JOHAN GONZALEZ,GUILLERMO PERALTA,11º,,35.7,57
06-03-2026,Club Hípico de Santiago,1,13:00,,Pasto,4,GRAND CASABLANCA,JESUS PIMENTEL,GABRIEL MELEJ,12º,,10.4,57
06-03-2026,Club Hípico de Santiago,1,13:00,,Pasto,8,PACIENCIA ETERNA,REINALDO LOYOLA,GABRIEL MELEJ,13º,,39.7,57
06-03-2026,Club Hípico de Santiago,1,13:00,,Pasto,12,LOVE TOUCH,DANIEL MEDINA,JUAN ARAVENA,14º,,162.4,57
06-03-2026,Club Hípico de Santiago,2,13:29,,Pasto,7,REINA SIGRUN,JORGE ZUÑIGA,OLIVERIO MARTINEZ,1º,,3.9,55
06-03-2026,Club Hípico de Santiago,2,13:29,,Pasto,4,NORITA ROMATICA,RAFAEL CISTERNAS,CRISTIAN URBINA,2º,,13.6,55
06-03-2026,Club Hípico de Santiago,2,13:29,,Pasto,1,LIORA,NICOLAS MOLINA,THEODORE CACHELY,3º,,2.2,55
06-03-2026,Club Hípico de Santiago,2,13:29,,Pasto,5,PRINCESS THAI,DARIEN CHEUQUE,MANUEL VELARDE,4º,,12.5,51
06-03-2026,Club Hípico de Santiago,2,13:29,,Pasto,3,DULCITA,WLADIMIR QUINTEROS,ALEXIS PEREZ,5º,,10.5,55
06-03-2026,Club Hípico de Santiago,2,13:29,,Pasto,2,SIRENA SOLITARIA,BENJAMIN SANCHO,CLAUDIO BERNAL,6º,,2.8,55
06-03-2026,Club Hípico de Santiago,2,13:29,,Pasto,6,MINX,AGUSTIN VILLAGRA,MANUEL VELARDE,7º,,15.5,52
06-03-2026,Club Hípico de Santiago,2,13:29,,Pasto,9,NUEVA ACTRICE,JOHAN GONZALEZ,HECTOR MANRIQUEZ,8º,,17.1,55
06-03-2026,Club Hípico de Santiago,3,13:57,,Pasto,2,RAMHE,ALBERTO VASQUEZ,MARITZA PEREZ A.,1º,,20.9,55
06-03-2026,Club Hípico de Santiago,3,13:57,,Pasto,4,GUNDOGAN,DARIEN CHEUQUE,ALDO PARRA D.,2º,,6.5,53
06-03-2026,Club Hípico de Santiago,3,13:57,,Pasto,7,KAULA,NICOLAS SANTIBAÑEZ,JULIO ORELLANA,3º,,24,55
06-03-2026,Club Hípico de Santiago,3,13:57,,Pasto,8,MURCOTT,RAFAEL CISTERNAS,ANDRES BERNAL,4º,,8.8,57
06-03-2026,Club Hípico de Santiago,3,13:57,,Pasto,5,GAMBITTA,JOAQUIN HERRERA,JULIO ORELLANA,5º,,3.3,55
06-03-2026,Club Hípico de Santiago,3,13:57,,Pasto,6,ENTRE LOS DOS,JONATHAN A. CASTILLO,ALEXIS PEREZ,6º,,18.1,57
06-03-2026,Club Hípico de Santiago,3,13:57,,Pasto,1,EDDIE,JAIME MEDINA,PATRICIO BAEZA A.,7º,,1.5,57
06-03-2026,Club Hípico de Santiago,3,13:57,,Pasto,3,DJOCOVIC,DANIEL ALVARADO,CARLOS RABY,8º,,36.7,57
06-03-2026,Club Hípico de Santiago,4,14:27,,Pasto,1,CRYSTAL BEACH,VICTOR MIRANDA,CRISTIAN URBINA,1º,,7.2,55
06-03-2026,Club Hípico de Santiago,4,14:27,,Pasto,9,KANDAN,BASTIAN SOTO,JOSE ARAYA B.,2º,,5.1,55
06-03-2026,Club Hípico de Santiago,4,14:27,,Pasto,6,CUFFINA,DANIEL ALVARADO,CARLOS RABY,3º,,31,55
06-03-2026,Club Hípico de Santiago,4,14:27,,Pasto,11,ZHENG SHI,RODOLFO S. DORES,MARIO RABAJILLE D.,4º,,24.4,55
06-03-2026,Club Hípico de Santiago,4,14:27,,Pasto,7,WILLKOMMEN,JORGE ZUÑIGA,JUAN C. SILVA S.,5º,,1.5,55
06-03-2026,Club Hípico de Santiago,4,14:27,,Pasto,4,GUN SHOOT,DARIEN CHEUQUE,ALDO PARRA D.,6º,,66.3,51
06-03-2026,Club Hípico de Santiago,4,14:27,,Pasto,2,ZIP ZAP,JOHAN GONZALEZ,JUAN C. PICHARA,7º,,23.7,55
06-03-2026,Club Hípico de Santiago,4,14:27,,Pasto,5,UNA Y OTRA COPA,HUGO OCHOA,RODRIGO SANCHEZ,8º,,5.7,55
06-03-2026,Club Hípico de Santiago,4,14:27,,Pasto,8,LA RINCONERA,RICARDO SOLORZA,CARLOS GARCIA,9º,,17.1,55
06-03-2026,Club Hípico de Santiago,4,14:27,,Pasto,10,FIN DE UNA ERA,BENJAMIN TRONCOSO,ALDO PARRA D.,10º,,9.9,55
06-03-2026,Club Hípico de Santiago,5,14:53,,Pasto,7,TORNADO DE BULI,DAVID SANCHEZ,ALBERTO GONZALEZ,1º,,15.3,56
06-03-2026,Club Hípico de Santiago,5,14:53,,Pasto,6,PASION POR ELLA,MIGUEL GUTIERREZ,CRISTOBAL GONZALEZ M.,2º,,2.6,58
06-03-2026,Club Hípico de Santiago,5,14:53,,Pasto,1,MOLINO DE VIENTO,GUSTAVO AROS,JUAN C. PICHARA,3º,,2.4,58
06-03-2026,Club Hípico de Santiago,5,14:53,,Pasto,9,NIÑITA POR DIOS,WLADIMIR QUINTEROS,RAUL MONTESINO,4º,,5.5,57
06-03-2026,Club Hípico de Santiago,5,14:53,,Pasto,4,DON BRUNO,BASTIAN SOTO,JOSE ARAYA B.,5º,,9.2,57
06-03-2026,Club Hípico de Santiago,5,14:53,,Pasto,5,SALE DE MIS OJOS,DANIEL ALVARADO,FERNANDO SOLAR,6º,,11.2,56
06-03-2026,Club Hípico de Santiago,5,14:53,,Pasto,8,PRAIA DO FORTE,JAIME A. MIÑO,CARLOS GARCIA,7º,,40.3,57
06-03-2026,Club Hípico de Santiago,5,14:53,,Pasto,10,QUEEN ANY,DIEGO CARRASCO,RAUL MONTESINO,8º,,10.5,58
06-03-2026,Club Hípico de Santiago,5,14:53,,Pasto,2,UNO CERO,DARIEN CHEUQUE,ALBERTO GONZALEZ,9º,,27.2,56
06-03-2026,Club Hípico de Santiago,5,14:53,,Pasto,3,LA SIGUIENTE,RODRIGO PAINEN,HECTOR MANRIQUEZ,10º,,20.7,58
06-03-2026,Club Hípico de Santiago,6,15:18,,Pasto,7,BELATOR,HUGO OCHOA,CLAUDIO BERNAL,1º,,5.5,51
06-03-2026,Club Hípico de Santiago,6,15:18,,Pasto,3,EL RECTOR,PEDRO ROBLES,JOHN PINOCHET,2º,,3.2,60
06-03-2026,Club Hípico de Santiago,6,15:18,,Pasto,2,LE KOPPERS,JORGE ZUÑIGA,PATRICIO BAEZA A.,3º,,8.7,50
06-03-2026,Club Hípico de Santiago,6,15:18,,Pasto,1,HEY JOKE,OSCAR ULLOA,CRISTOBAL GONZALEZ M.,4º,,4.1,60
06-03-2026,Club Hípico de Santiago,6,15:18,,Pasto,5,AMOR CLANDESTINO,JAIME MEDINA,PATRICIO BAEZA A.,5º,,5.4,52
06-03-2026,Club Hípico de Santiago,6,15:18,,Pasto,4,JAZZ ROCK,RODOLFO S. DORES,DOMINGO MATTE,6º,,19.1,53
06-03-2026,Club Hípico de Santiago,6,15:18,,Pasto,6,ALCIDES,ANYELO RIVERA,JULIO ORELLANA,7º,,2.8,55
06-03-2026,Club Hípico de Santiago,7,15:48,,Pasto,9,IL MERLINO,VICTOR MIRANDA,JULIO SILVA B.,1º,,3,57
06-03-2026,Club Hípico de Santiago,7,15:48,,Pasto,4,ELSEBAAHORRATODO,BENJAMIN TRONCOSO,THEODORE CACHELY,2º,,4.5,57
06-03-2026,Club Hípico de Santiago,7,15:48,,Pasto,3,ALFIE SOLOMONS,HUGO OCHOA,JOSE ARAYA B.,3º,,5.8,57
06-03-2026,Club Hípico de Santiago,7,15:48,,Pasto,5,LUQUITAS,DANIEL ALVARADO,CLAUDIO BERNAL,4º,,2.2,57
06-03-2026,Club Hípico de Santiago,7,15:48,,Pasto,1,AMIT,BENJAMIN SANCHO,THEODORE CACHELY,5º,,2.8,57
