reunion,carrera,lugar,partida,ejemplar,padre,stud,peso_fisico,jinete,peso_jinete,preparador,distancia,indice,dividendo
87,17,11,4,BEL FIOR,CONSTITUTION,BAEMAR,441,RODRIGO PAINEN,55,JOSE ARAYA B.,10 3/4 cpos.,5,18.9
87,17,12,10,ANTIOCO,CLASSIC EMPIRE,LOS CABEZAS ALVAREZ,489,SEBASTIAN GONZALEZ,55,RAUL MONTESINO,13 cpos.,4,14.4
87,17,13,2,CONOCIENDOTE,TOURIST,SWITT V. EUGENIO,452,GONZALO ULLOA,56,WALESKA PEÑA,13 cpos.,5,24.2
87,18,1,2,RUSTY,LOOKIN AT LUCKY,EL GRAN JOSE,507,GONZALO ULLOA,56,WALESKA PEÑA,Ganador,12,4.4
87,18,2,9,SWEET CHILD,MENDELSSOHN,MAR Y SOL,410,BENJAMIN SANCHO,55,CLAUDIO BERNAL,1 cpo.,11,11.6
87,18,3,4,MR YO,MR SPEAKER,CHARITO,462,MIGUEL GUTIERREZ,56,CRISTOBAL GONZALEZ M.,2 1/2 cpos.,12,4.6
87,18,4,8,KILIMANJARO,SOUTHERN CAT,LOS PINCHEIRA,427,NICOLAS RAMIREZ,55,CARLOS MELERO,3 cpos.,11,6.8
87,18,5,6,GRAN PIOLA,CONSTITUTION,BARTI,531,SEBASTIAN GONZALEZ,57,FRANCISCO PINOCHET,6 1/4 cpos.,13,6.5
87,18,6,10,KORPER,MIDSHIPMAN,JOSE LUIS,480,NICOLAS MOLINA,55,RAUL MONTESINO,7 1/4 cpos.,11,7.5
87,18,7,12,GRAN KURU,EXAGGERATOR,SANTICO,494,LESLY C. GONZALEZ,56,ALDO PARRA D.,7 1/4 cpos.,13,23
87,18,8,1,SASSI,CONSTITUTION,MV JR.,429,BENJAMIN TRONCOSO,53,CARLOS GARCIA,7 3/4 cpos.,9,9.3
87,18,9,7,FUEGO Y HIERRO,HINZ,BUCAREST,470,VICTOR MIRANDA,53,ALEJANDRO PADOVANI E.,11 1/2 cpos.,9,6.9
87,18,10,5,EL NANY,FLAMEAWAY,DAMYANTO,438,PEDRO ROBLES,57,JOHN PINOCHET,16 1/4 cpos.,13,13.4
87,18,11,3,GENESIS,CUNCO,EL MERO MERO,487,JUAN M. SOTO,55,JOSE ARAYA B.,19 3/4 cpos.,12,59.1
87,18,12,13,CONDESSA LAK,GSTAAD II,ALONMATE,490,RODRIGO PAINEN,56,MANUEL VELARDE,26 1/2 cpos.,12,11.5
87,18,RT,11,NAMRUD TIGER,HANDSOME TIGER,EL CEDRO,0,N.N.,53,JUAN CAVIERES,Retirado,-9,0
