reunion,carrera,lugar,partida,ejemplar,padre,stud,peso_fisico,jinete,peso_jinete,preparador,distancia,indice,dividendo
87,7,3,3,GUNDOGAN,ANNUAL REPORT,CARILLON,469,NICOLAS RAMIREZ,57,MARIO RABAJILLE D.,2 1/2 cpos.,0,2.6
87,7,4,4,LUQUITAS,SPUN TO RUN,CHINIGUE,419,JOSE VILLABLANCA,57,CLAUDIO BERNAL,3 cpos.,0,275
87,7,5,12,ELSEBAAHORRATODO,KATMAI,ROBLEDO'S,437,NICOLAS MOLINA,57,JUAN RODRIGUEZ R.,3 1/2 cpos.,0,31.6
87,7,6,2,MACHINE HEAD,PALM SPRINGS,MAGDALENA,464,PEDRO ROBLES,57,JOHN PINOCHET,3 1/2 cpos.,0,7.8
87,7,7,11,TIO SALCHICHA,IMPERIA II,MANOLITO MATIAS,448,VICTOR MIRANDA,57,OSCAR SILVA S.,6 3/4 cpos.,0,131.8
87,7,8,1,VOY A PALERMO,FORWARD MARCH,MASAIVA,0,BENJAMIN SANCHO,57,JORGE INDA M.,6 3/4 cpos.,0,39.3
87,7,9,8,MI GIGANTE,GET JETS,JOSE T. ALLENDE F.,526,RODOLFO FUENZALIDA,57,JOSE T. ALLENDE,9 3/4 cpos.,0,4.6
87,7,10,10,PARA TI DOCTOR,NEKO BAY,LOS QUE SABEN,414,RONALD FOURNET,53,JOHN PINOCHET,10 cpos.,0,175.7
87,7,11,7,SENSEI DE FRANKLIN,IVAN DENISOVICH,CARNES OLY,470,GUSTAVO AROS,57,ALEJANDRO PADOVANI E.,10 1/2 cpos.,0,29.7
87,7,12,6,FLY STELLAS,FLYER,LOS PICKLES,420,JOAQUIN HERRERA,57,OLIVERIO MARTINEZ,16 cpos.,9,16.2
87,8,1,8,SEE ME,CLOUD COMPUTING,MILLAR M PATRICIO,515,JOAQUIN HERRERA,55,HERNAN ULLOA,Ganador,29,3.4
87,8,2,6,VAMOS AL NOA NOA,GSTAAD II,LOS BRUJOS,454,BERNARDO LEON,60,JUAN RODRIGUEZ R.,pczo.,36,4.3
87,8,3,9,STRAY KIDS,TOURIST,ALDEDO,467,JONATHAN A. CASTILLO,55,ALDO PARRA D.,pczo.,29,9.3
