Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,1,12,"Indy Jets","Get Jets",442,55,"L. González","Rodrigo Muñoz M.","Savka Hermanos",5.50
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,2,6,"Marrakech","El Milagrito",454,54,"B. González","Genaro J. Covarrubias E.","La Corina",2.60
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,3,10,"Me Veras Caer","Iron Clad",418,55,"F. Henríquez","Julio Castillo D.","Carlos Cavieres",15.40
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,4,7,"India Terca","Gemologist",484,54,"S. González","Eugenio Switt V.","Florence",4.00
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,5,9,"Me Lo Llevo","Grand Daddy",516,54,"N. Santibañez","Julio Castillo D.","Corral Hipico",28.50
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,6,2,"Lady Bay","Neko Bay",380,55,"A. Covarrubias","José Lastra B.","Viejo Querido",25.20
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,7,3,"Vita Kc","Newfoundland",426,54,"J. Toro","Andrés Bernal G.","Pichon",8.90
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,8,13,"La Tostadora","Cupid",487,55,"C. C. Bustos","Hernán Pacheco P.","Grande Tio Kiko",27.30
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,9,8,"Josie Girl","El Facha",419,54,"L. Silva","Alejandro Padovani E.","Maria Dolores",25.20
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,10,11,"Palabra Cierta","Gemologist",485,54,"R.S. Dores","Rodrigo Quiroz S.","Peter Ecso",13.40
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,11,15,"Hacer Por Hacer","Fantasmagorico",417,54,"J. Zúñiga","Eduardo Lab R.","Mami Chela",12.20
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,12,14,"Salud Compadre","Van Nistelrooy",504,56,"J. Solano","José Venegas P.","Lor Kedimar",10.80
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,13,4,"Beautiful Champion","Sonoma Band",419,54,"N. Venegas","Rodrigo Quiroz S.","Don Alamiro",24.10
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,14,5,"Mago De Naipes","Felíz de Vivir",434,54,"P. Zúñiga","Rodrigo Quiroz S.","Artigas",16.50
"Hipódromo Chile 03-01-2026",1,"11:45",1200m,U,1,"No Me Canso","Goldencents",464,56,"J. González","Genaro J. Covarrubias E.","El Mero Mero",4.60
"Hipódromo Chile 03-01-2026",2,"12:10",1000m,1,13,"El Orador","Spun to Run",499,57,"B. Sancho","Claudio Bernal G.","Curepto",3.00
"Hipódromo Chile 03-01-2026",2,"12:10",1000m,2,1,"Aston","Ivan Denisovich",472,57,"J. Soto","Rodrigo Muñoz M.","Cabritis",10.10
"Hipódromo Chile 03-01-2026",2,"12:10",1000m,3,6,"Nihuil","Classic Empire",483,57,"S. González","Juan C. Pichara J.","Don Simon",2.60
"Hipódromo Chile 03-01-2026",2,"12:10",1000m,4,10,"Hey Dj","Imperia II",448,57,"J. Herrera","Cristián Urbina R.","Morat",4.00
"Hipódromo Chile 03-01-2026",2,"12:10",1000m,5,4,"Hugo El Terrible","California One",390,57,"A. Zúñiga","Oscar Donate S.","Bruno Alonso",12.80
"Hipódromo Chile 03-01-2026",2,"12:10",1000m,6,9,"Pedernales","Bad Daddy",420,57,"H. Jiménez","Manuel Norambuena Ch.","Dejenme Sonar",61.10
"Hipódromo Chile 03-01-2026",2,"12:10",1000m,7,12,"El Gagui","Distorted Economy",422,57,"J. Medina","Patricio Valderrama C.","Haras Santa Marta",11.60
"Hipódromo Chile 03-01-2026",2,"12:10",1000m,8,2,"Floro Chico","El Manu",449,57,"B. González","Eugenio Switt V.","Mackay",107.90
"Hipódromo Chile 03-01-2026",2,"12:10",1000m,9,7,"Mi Nieto Facundo","Flameaway",463,57,"R. Fuenzalida","Aldo Castagneto U.","Jamb",22.00
"Hipódromo Chile 03-01-2026",2,"12:10",1000m,10,8,"Miguel Angel Nomas","Dubai Sky",458,53,"G. Givovich","Rodrigo Quiroz S.","Arturo Y Cecilia",102.50
"Hipódromo Chile 03-01-2026",2,"12:10",1000m,11,15,"King Eolo","Kingly",416,57,"M. Morales","Hernán Pacheco P.","Oxiper",95.10
"Hipódromo Chile 03-01-2026",2,"12:10",1000m,12,5,"Monel Hait","Washington",474,57,"D. D. Medina","Hernán Pacheco P.","Dos E",178.40
"Hipódromo Chile 03-01-2026",2,"12:10",1000m,U,11,"Rey Olimpus","Del Pacifico",453,57,"M. Gutiérrez","Oscar Donate S.","Don Alfonso",9.40
"Hipódromo Chile 03-01-2026",3,"12:35",1000m,1,10,"Cambiar De Vida","Flyer",428,55,"C. Ortega","Luis Machulas G.","Los Cuarenta Y Dos",27.70
"Hipódromo Chile 03-01-2026",3,"12:35",1000m,2,2,"Ahora Quizas","Patternrecognition",453,55,"J. Zúñiga","Pedro Molina I.","Matias Hector",2.60
"Hipódromo Chile 03-01-2026",3,"12:35",1000m,3,6,"La Vegana","Practical Joke",487,55,"B. León","Juan Pablo Baeza J.","Cristian Manuel",5.20
"Hipódromo Chile 03-01-2026",3,"12:35",1000m,4,4,"Classic Form","Mendelssohn",395,55,"R. Avila","Mario Covarrubias","Doña Ester",3.50
"Hipódromo Chile 03-01-2026",3,"12:35",1000m,5,7,"Cotillard","Gran Villano",455,55,"M. Morales","Rodrigo López B.","Guarani",10.40
