Fecha,Reunion,Carrera,Distancia,Lugar,Numero,Ejemplar,Padrillo,Jinete,Preparador,Stud,Dividendo
18-12-2025,87,18,1000m,8°,8,Querido Golden,Star Dabbler,B. Sancho,Juan Rodriguez R.,Don Chato,2.20
18-12-2025,87,18,1000m,9°,14,Show Paint,Show Card,J. Cueto,Eugenio Switt V.,Los Garrido,67.40
18-12-2025,87,18,1000m,10°,7,Cambiar De Vida,Flyer,R.S. Dores,Luis Machulas G.,Los Cuarenta Y Dos,17.80
18-12-2025,87,18,1000m,11°,6,Compadre Cristian,Gstaad II,J. Villablanca,Genaro J. Covarrubias E.,Janira Elgueta,21.40
18-12-2025,87,18,1000m,12°,9,Arte De Magia,Van Nistelrooy,V. Miranda,Alejandro Padovani E.,Los Lokolopulus,8.20
18-12-2025,87,18,1000m,13°,4,Iron Swim,Admiral,F. Henríquez,Manuel Norambuena Ch.,Verónica Morales O.,51.00
18-12-2025,87,18,1000m,14°,11,El Mestizo,Distorted Economy,J. Zúñiga,Eduardo Lab R.,Medio Oriente,49.50
18-12-2025,87,19,1000m,1°,2,Leviño,Seahenge,F. Henríquez,Manuel Norambuena Ch.,Charito,3.60
18-12-2025,87,19,1000m,2°,1,Friday,Kingly,S. González,Rodrigo Quiroz S.,Mantagua,4.50
18-12-2025,87,19,1000m,3°,14,Famosa Luz,Midshipman,W. León,Genaro J. Covarrubias E.,Don Andres,44.90
18-12-2025,87,19,1000m,4°,13,Fast Pattern,Patternrecognition,C. Weilby,Patricio Valderrama C.,Chispita,51.10
18-12-2025,87,19,1000m,5°,8,Zoboomafoo,Forever Thing,R.S. Dores,Aldo Castagneto U.,Ivja,15.50
18-12-2025,87,19,1000m,6°,6,Cicarelli,Constitution,J. González,Genaro J. Covarrubias E.,La Corina,17.10
18-12-2025,87,19,1000m,7°,10,First Point's,Hootenanny,R. Fournet,Rodrigo Quiroz S.,Don Quijote,11.70
18-12-2025,87,19,1000m,8°,5,Mente Brillante,Mo Town,N. Molina,Juan C. Pichara J.,Callasis For Ever,7.70
18-12-2025,87,19,1000m,9°,11,Costamia,Fortify,R. Painen,Maritza Pérez A.,Don Amadeo,4.60
18-12-2025,87,19,1000m,10°,4,Lucia De Siracusa,Good Samaritan,B. Troncoso,Alejandro Padovani E.,Mameza,8.70
18-12-2025,87,19,1000m,11°,3,Top Model,Mo Town,R. Avila,José Venegas P.,Jose Venegas P.,22.50
18-12-2025,87,19,1000m,12°,15,Romanini,Good Samaritan,N. Rojas,Hernán Pacheco P.,Mosqueteros De Lis,63.40
18-12-2025,87,19,1000m,13°,12,Amor De Chocolate,Awesome Patriot,G. Rodríguez,Eduardo Lab R.,Stud Mauro,8.80
18-12-2025,87,19,1000m,14°,9,Merengada,Competitive Edge,P. Galáz,Mario A. Apablaza G.,Inefable,19.60
18-12-2025,87,20,1000m,1°,9,The Arion,Indian Trail,L. Silva,Mario A. Apablaza G.,Tata Tito,2.20
18-12-2025,87,20,1000m,2°,12,Gold Daddy,Grand Daddy,S. González,Juan C. Pichara J.,Cori,5.50
18-12-2025,87,20,1000m,3°,5,El Whisky Cuando,Mayakovsky,F. Medina,Julio Castillo D.,El Gallito,10.40
18-12-2025,87,20,1000m,4°,2,Nosecompare,Sumerio,V. Miranda,Juan C. Pichara J.,Tarantino,6.80
18-12-2025,87,20,1000m,5°,6,Koccia,Mendelssohn,M. Morales,Oscar Donate S.,Antonio Aida,20.60
18-12-2025,87,20,1000m,6°,15,Mountain Monarch,Sahara Spirit,R. Painen,Oscar Donate S.,Francisco Alexandra,8.40
18-12-2025,87,20,1000m,7°,8,Ambrose,Dylan Thomas,B. Troncoso,Alejandro Padovani E.,Matías Alfonso,15.30
18-12-2025,87,20,1000m,8°,7,Indhira,War Command,N. Molina,Ricardo Rojas S.,Con Tanto Esfuerzo,12.40
18-12-2025,87,20,1000m,9°,13,Blessed,Good Samaritan,B. Sancho,Rodrigo Quiroz S.,C.V.D.,11.80
18-12-2025,87,20,1000m,10°,14,Professionals,Grand Daddy,N. Rojas,Patricio Valderrama C.,Santa Veronica,51.50
18-12-2025,87,20,1000m,11°,10,Rica Elegante,Classic Empire,G. Rodríguez,Eduardo Lab R.,Joaquin Andres,16.10
18-12-2025,87,20,1000m,12°,11,Mister Stress,Mendelssohn,M. Galáz,Daniel Contreras A.,Abuela Oca,23.10
18-12-2025,87,20,1000m,13°,4,Puros Cents,Goldencents,N. Santibañez,Claudio Bernal G.,Mar Y Sol,29.20
