Carrera,Hora,Tipo,Lugar,Numero,Caballo,Padrillo,Stud,Peso_Caballo,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
18,21:00Hrs,HANDICAP índice 9 al 5,5,9,INDIA MAULINA,AWESOME PATRIOT,CAMILO OSSES,445,FRANCISCO MORALES,58,RICARDO ROJAS,5 cpos.,9,16.6
18,21:00Hrs,HANDICAP índice 9 al 5,6,15,SISI STAR,MENDELSSOHN (USA),LOS CABEZAS ALVAREZ,425,DIEGO CARRASCO,53,RAUL MONTESINO,7 1/4 cpos.,5,55.5
18,21:00Hrs,HANDICAP índice 9 al 5,7,10,SCANDINAVA,DYLAN THOMAS,JUAN PATRICIO,450,RODOLFO S. DORES,56,ANDRES BERNAL,7 1/2 cpos.,7,5.9
18,21:00Hrs,HANDICAP índice 9 al 5,8,1,CROCKED,FLAMEAWAY (CAN),TOTAL G,444,HUGO OCHOA,57,RODRIGO SANCHEZ,9 cpos.,8,3.6
18,21:00Hrs,HANDICAP índice 9 al 5,9,5,MAKINEN,CLOUD COMPUTING,ROBLEDO'S,420,ROBERTO AVILA,54,THEODORE CACHELY,12 1/4 cpos.,5,34.5
18,21:00Hrs,HANDICAP índice 9 al 5,10,6,DI ALBA,IVAN DENISOVICH,DON ANDRES,387,WILBERT LEON,58,GENARO COVARRUBIAS,13 3/4 cpos.,9,45.6
18,21:00Hrs,HANDICAP índice 9 al 5,11,3,GLAMROCK,TOTAL IMPACT,EL GRAN JOSE,476,JOAQUIN HERRERA,57,WALESKA PEÑA,28 1/2 cpos.,8,8.6
18,21:00Hrs,HANDICAP índice 9 al 5,RT,11,LA TOTE,FLYER,WILLIAM ARA D.,-,N.N.,55,JOAO CASTILLO L.,-,-,6
18,21:00Hrs,HANDICAP índice 9 al 5,RT,14,QUEEN ANY,CLOUD COMPUTING,LOS CABEZAS ALVAREZ,-,JUAN M. SOTO,54,RAUL MONTESINO,-,-,6
18,21:00Hrs,HANDICAP índice 9 al 5,RT,12,CAPITANA MARVEL,INTERNATIONAL STAR (USA),LO CAMPO,-,JOHAN GONZALEZ,56,OLIVERIO MARTINEZ,-,-,7
18,21:00Hrs,HANDICAP índice 9 al 5,RT,16,GUARDA BELLINA,MENDELSSOHN (USA),EL TORO BAYO,-,N.N.,55,MIGUEL MEDINA,-,-,6
18,21:00Hrs,HANDICAP índice 9 al 5,RT,4,LA PALA,FLAMEAWAY (CAN),BOTAFOGO,-,BENJAMIN TRONCOSO,54,OSCAR SILVA S.,-,-,5
