Fecha,Carrera,Hora,Distancia,Numero,Caballo,Padrillo,Peso,Jinete,Preparador,Ultimos_Resultados,DSC,Probable,Pronostico_Ranking
27/12/2025,3,12:35,1200m,13,Juntitos Siempre,Grand Daddy,56,Patricio Zúñiga,Rodrigo López B.,9-7-5-8-8,9,7.9,
27/12/2025,3,12:35,1200m,14,Vine Vide Vinci,Tumblebrutus,56,Benjamin Troncoso,Rodrigo Quiroz S.,4-4-6-4-5,7,14.7,2
27/12/2025,3,12:35,1200m,15,Hacer Por Hacer,Fantasmagorico,56,Sebastián González,Eduardo Lab R.,10-U-U-11-8,14,17.0,1
27/12/2025,4,13:01,1200m,1,Mago De Naipes,Felíz de Vivir,56,Héctor Barrera,Rodrigo Quiroz S.,U-14-U-10-10,7,10.2,4
27/12/2025,4,13:01,1200m,2,Canovanas,Total Impact,56,Felipe Moreno,José Venegas P.,10-12-U-5-12,7,17.2,1
27/12/2025,4,13:01,1200m,3,La Ovalle Negrete,El Farrero,56,Roberto Avila,Jaime Hirmas R.,13-10-8-5-8,12,11.1,2
27/12/2025,4,13:01,1200m,4,India Adorada,Exaggerator,56,Luis D. Menghini,Eugenio Switt V.,13-12-6-10-7,7,7.9,
27/12/2025,4,13:01,1200m,5,Natalino,Seeking The Dia,56,Ariel Zúñiga,Ricardo Rojas S.,8-14-11-7-6,7,8.7,
27/12/2025,4,13:01,1200m,6,La Chipriota,Commemorative,56,David Sánchez,Armando Lab J.,11-7-6-11-12,30,5.3,
27/12/2025,4,13:01,1200m,7,Interception,Ivan Denisovich,56,Rodrigo Varas,Lauro Pérez A.,4-13-6-14-11,16,7.6,
27/12/2025,4,13:01,1200m,8,Du Plesis,Sky Mesa,56,Jorge Vera,Claudio Bernal G.,9-9-10-9-8,7,10.6,3
27/12/2025,4,13:01,1200m,9,Alajja,Indian Trail,56,José Cueto,Juan Aravena M.,12-11-8-6-5,9,3.1,
27/12/2025,4,13:01,1200m,10,Good Morning Red,Morning Red,56,Luis Silva,Hernán Pacheco P.,13-14-6-U-13,12,7.5,
27/12/2025,4,13:01,1200m,11,Infinito Viaje,Viscount Nelson,56,Rodolfo Fuenzalida,Eugenio Switt V.,14-12-8-U-6,9,9.6,
27/12/2025,4,13:01,1200m,12,Keep Dreaming,Hiraboku Deep,56,Georgee Givovich,Ricardo Rojas S.,8-7-7-7-11,9,6.9,
27/12/2025,4,13:01,1200m,13,Gran Beny,Jadada,56,Rodrigo Painen,Armando Lab J.,13-8-12-10-13,28,5.2,
27/12/2025,4,13:01,1200m,14,Zigeuner,Ivan Denisovich,56,Jaime A. Miño,Mario Covarrubias,10-8-10-10-12,16,9.9,
27/12/2025,4,13:01,1200m,15,Exagerada Y Buena,Exaggerator,56,Cathrine Weilby,Armando Lab J.,13-12-13-10-7,9,3.3,
27/12/2025,5,13:26,1000m,1,Polly Gray,Ticket To Run,55,José Cueto,Luis Machulas G.,11-U-9-U-U,8,5.1,
27/12/2025,5,13:26,1000m,2,Bad Romance,Newfoundland,55,Carlos Bustos,Rafael Bernal G.,10-7-13-5-6,7,2.8,
27/12/2025,5,13:26,1000m,3,Poenni,Ivan Denisovich,56,Nelson Rojas,Rodrigo Muñoz M.,8-8-12-5-8,14,9.0,
27/12/2025,5,13:26,1000m,4,Hi Fly,Flyer,55,Nicolás Ramirez,Hernán Pacheco P.,12-3-4-2-5,7,12.0,4
27/12/2025,5,13:26,1000m,5,Tu Mi Cunca,Cunco,55,Felipe Henríquez,Pedro Diaz S.,5-12-3-6-4,7,11.5,
27/12/2025,5,13:26,1000m,6,Para Ti Mi Amor,Spun to Run,55,Sebastián González,Rodrigo Quiroz S.,9-5-10-3-8,35,12.7,2
27/12/2025,5,13:26,1000m,7,La Universitaria,Bad Daddy,55,Luis D. Menghini,Rodrigo Quiroz S.,7-8-9-6-3,7,5.7,
27/12/2025,5,13:26,1000m,8,Bella Chichi,Distorted Economy,55,Andrés Covarrubias,Hernán Pacheco P.,6-7-5-4-6,7,7.0,
27/12/2025,5,13:26,1000m,9,Antonia Francisca,Dubai Sky,55,Jorge Vera,Rodrigo Quiroz S.,8-3-12-8-12,7,11.2,
27/12/2025,5,13:26,1000m,10,Che Away,Flameaway,55,Jaime Medina,Juan Pablo Baeza J.,5-6-3-8,12,27.5,1
27/12/2025,5,13:26,1000m,11,La Cia,International Star,55,Miguel Gutiérrez,Oscar Donate S.,9-13-2-9-4,7,10.9,
27/12/2025,5,13:26,1000m,12,Mixed Emotions,Grand Daddy,55,Alvaro Apablaza,Cristian Quiroz E.,10-8-U-6-2,7,5.0,
27/12/2025,5,13:26,1000m,13,Como La Luna,Patternrecognition,55,Wilbert León,Daniel Contreras A.,10,14,8.1,
27/12/2025,5,13:26,1000m,14,Wittenburg,Dubai Sky,55,Rodolfo S. Dores,Aldo Castagneto U.,8-12-4-2-10,7,12.3,3
27/12/2025,6,13:51,1200m,1,Pistola Velázquez,Hold Me Back,55,Héctor Barrera,Rodrigo Quiroz S.,4-12-7-2-3,21,12.5,
27/12/2025,6,13:51,1200m,2,La Instrumentista,Exaggerator,56,Roberto Avila,Isaac Michea F.,1-3-5-8-2,7,13.5,
27/12/2025,6,13:51,1200m,3,Onda Radial,Omayad,55,Wilbert León,Jaime Espineira C.,10-7-10-1-7,30,10.2,
27/12/2025,6,13:51,1200m,4,Dabke,Spun to Run,55,Alberto Vásquez,Rodrigo López B.,9-6-6-6-10,14,19.2,1
27/12/2025,6,13:51,1200m,5,Rucco,Tourist,55,Marco Morales,Pedro Diaz S.,5-1-3-6-9,14,11.9,
27/12/2025,6,13:51,1200m,6,Hengroen,Dylan Thomas,55,Rodolfo S. Dores,Luis Machulas G.,14-10-4-7-3,9,13.0,
27/12/2025,6,13:51,1200m,7,El Guason,Imperia II,55,Benjamin Sancho,Maritza Pérez A.,6-4-9-11-8,168,11.3,
27/12/2025,6,13:51,1200m,8,Nieto Español,Spun to Run,56,Rodolfo Fuenzalida,Eduardo Lab R.,3-2-1-12-U,9,13.0,
27/12/2025,6,13:51,1200m,9,La Finesse,Exaggerator,56,Bernardo León,Cristián Urbina R.,5-4-14-6-1,14,14.4,4
27/12/2025,6,13:51,1200m,10,Terrible Bruno,Ya Primo,56,Victor Miranda,Juan C. Pichara J.,10-7-U-3-8,7,14.4,
27/12/2025,6,13:51,1200m,11,El Gran Menotti,Hold Me Back,55,Miguel Gutiérrez,Rodrigo Quiroz S.,10-4-3-6-5,7,15.7,2
27/12/2025,6,13:51,1200m,12,Gold Escudero,Goldencents,55,Andrés Covarrubias,Julio Castillo D.,6-2-1-U-13,7,15.4,3
27/12/2025,6,13:51,1200m,13,Vandu,Dubai Sky,56,Patricio Zúñiga,Rodrigo Quiroz S.,12-11-3-10-U,7,9.7,
27/12/2025,7,14:16,1900m,1,El Forastero,Roman Ruler,51,Ignacio Valdivia,Ricardo Rojas S.,11-4-3-4-5,9,14.0,4
27/12/2025,7,14:16,1900m,2,El Puntuo,Good Samaritan,57,Jorge Zúñiga,José Araya B.,12-6-2-U-2,28,16.1,3
27/12/2025,7,14:16,1900m,3,Gran Pepe,Grand Daddy,53,Luis D. Menghini,Eugenio Switt V.,5-3-3-3-13,7,6.8,
27/12/2025,7,14:16,1900m,4,Sueños De Leon,Tapitdoro,55,Felipe Henríquez,Julio Castillo D.,3-4-5-3-5,9,12.3,
27/12/2025,7,14:16,1900m,5,Rasheem,Seeking The Dia,50,Juan Soto,Isaac Michea F.,8-10-9-12-11,7,10.1,
27/12/2025,7,14:16,1900m,6,Good Chief,Good Samaritan,53,José Cueto,Isaac Michea F.,7-8-3-1-11,16,9.4,
27/12/2025,7,14:16,1900m,7,Zulthan,Classic Empire,54,Wilbert León,Jaime Espineira C.,10-8-3-5-10,9,10.2,
27/12/2025,7,14:16,1900m,8,Scar,International Star,57,Joaquín Herrera,José Alvarez D.,8-5-10-5-3,16,17.2,2
27/12/2025,7,14:16,1900m,9,El Florito,Ascot Prince,57,Bernardo León,Rafael Bernal G.,1-4-U-12-11,7,10.5,
27/12/2025,7,14:16,1900m,10,Los Bisnietos,Constitution,55,Rafael Cisternas,Julio Orellana R.,6-7,16,23.6,1
27/12/2025,8,14:42,1200m,1,Guanaquero,Seeking The Dia,55,José Villablanca,Eduardo Lab R.,11-1-7-11-12,9,8.7,
27/12/2025,8,14:42,1200m,2,Lady Bay,Neko Bay,56,Andrés Covarrubias,José Lastra B.,1-8-11-3-8,9,18.1,1
27/12/2025,8,14:42,1200m,3,El Maripepa,Hold Me Back,55,Diego Carrasco,Juan C. Pichara J.,2-4-9-10-11,9,6.3,
27/12/2025,8,14:42,1200m,4,Surprise Box,Bated Breath,56,Nelson Rojas,Hernán Pacheco P.,0-0-0-0-0,0,6.8,
27/12/2025,8,14:42,1200m,5,Josie Girl,El Facha,55,Victor Miranda,Alejandro Padovani E.,10-6-4-6-2,7,14.6,
27/12/2025,8,14:42,1200m,6,Don't Stop Me Now,Ivan Denisovich,55,Alvaro Apablaza,Eugenio Switt V.,12-10-U-9-12,16,12.0,
27/12/2025,8,14:42,1200m,7,Cable A Tierra,Fantasmagorico,55,José Solano,Roberto Toledo M,U-2-9-5-5,8,12.0,
27/12/2025,8,14:42,1200m,8,Lady Chrome,California Chrome,56,Luis Silva,Hernán Pacheco P.,9-9-6-6-5,9,11.4,
27/12/2025,8,14:42,1200m,9,Chiqui Veloz,Gstaad II,56,Jonathan Castillo,Luis Toledo C.,10-3-12-2-5,9,15.9,3
27/12/2025,8,14:42,1200m,10,Paquete Platico,Awesome Patriot,56,Marco Bustamante,Eugenio Switt V.,4-2-12-12-10,7,15.3,4
27/12/2025,8,14:42,1200m,11,Beautiful Moon,Exaggerator,55,Carlos Bustos,Jaime Hirmas R.,13-8-10-6-2,9,7.3,
27/12/2025,8,14:42,1200m,12,Chica De Campeones,Annual Report,55,Benjamin Sancho,Rodrigo Quiroz S.,4-5-3-7-3,9,13.9,
27/12/2025,8,14:42,1200m,13,Red Knight,Ivan Denisovich,56,Jorge Vera,Claudio Bernal G.,6-2-5-10-3,7,16.4,2
27/12/2025,8,14:42,1200m,14,Marrakech,El Milagrito,55,Cathrine Weilby,Genaro J. Covarrubias E.,U-3-5-8-7,7,8.2,
27/12/2025,8,14:42,1200m,15,Me Veras Caer,Iron Clad,56,Jorge Zúñiga,Julio Castillo D.,U-U-2-7-2,16,11.6,
27/12/2025,9,15:07,1200m,1,Power Of Horses,Exaggerator,55,Carlos Bustos,Jaime Hirmas R.,11-2-11-13-1,9,6.4,
27/12/2025,9,15:07,1200m,2,Julia Domna,Rydilluc,56,Jorge Zúñiga,José Venegas P.,3-12-13-5-1,9,17.9,2
27/12/2025,9,15:07,1200m,3,Malva Star,International Star,55,Ariel Zúñiga,Alejandro Martínez C.,11-14-13-7-3,7,8.6,
27/12/2025,9,15:07,1200m,4,Sasuke,Hold Me Back,56,Diego Carrasco,Juan C. Pichara J.,1-7-13-9-7,9,8.4,
27/12/2025,9,15:07,1200m,5,Salud Compadre,Van Nistelrooy,55,José Solano,José Venegas P.,3-14-6-7-8,154,19.6,1
27/12/2025,9,15:07,1200m,6,Francoli,Seeking The Dia,55,José Cueto,Rafael Quiroz F.,8-3-8-1-4,9,7.7,
27/12/2025,9,15:07,1200m,7,El Coigue,Papelon,55,Marco Morales,Leopoldo Parra G.,6-9-3-10-9,7,8.8,
27/12/2025,9,15:07,1200m,8,La Flower,Iron Clad,56,Luis Silva,Hernán Pacheco P.,7-9-10-10-4,9,10.8,
27/12/2025,9,15:07,1200m,9,Arrancate Pairino,California Chrome,56,Gustavo Aros,Mario A. Apablaza G.,7-9-4-9-7,7,17.3,4
27/12/2025,9,15:07,1200m,10,Montes Premium,Exaggerator,56,Joaquín Herrera,José Allende F.,12-12-10-11-4,15,12.8,
27/12/2025,9,15:07,1200m,11,Desert Cat,Newfoundland,55,Rafael Cisternas,Jaime Espineira C.,9-4-5-5-2,16,17.8,3
27/12/2025,9,15:07,1200m,12,Fabrana,Seeking The Dia,55,Piero Reyes,Ricardo Rojas S.,3-6-5-9-3,9,16.1,
27/12/2025,9,15:07,1200m,13,Nurmagomedov,Flameaway,56,Alvaro Apablaza,Oscar Donate S.,14-6-4-12-8,21,13.9,
27/12/2025,9,15:07,1200m,14,Vasca Brava,International Star,55,Wilbert León,Jaime Espineira C.,7-4-1-8-5,7,14.1,
27/12/2025,9,15:07,1200m,15,Mas Amor,Ya Primo,56,Johan González,Juan Ubilla P.,7-10-8-5-9,7,9.1,
27/12/2025,10,15:32,1200m,1,Temaukel,Bad Daddy,55,Rodolfo Fuenzalida,Claudio Bernal G.,1-11-14-9-3,7,14.3,
27/12/2025,10,15:32,1200m,2,Patyta Black,International Star,56,Felipe Henríquez,Manuel Norambuena Ch.,9-13-5-13-8,9,11.7,
27/12/2025,10,15:32,1200m,3,Rucia De Oro,Get Jets,55,Jesus Toro,Juan C. Pichara J.,12-2-5-10-1,16,9.5,
27/12/2025,10,15:32,1200m,4,Gran Nono,Strong Mandate,55,Johan González,Genaro J. Covarrubias E.,3-7-9-5-6,35,11.9,
27/12/2025,10,15:32,1200m,5,Tesorito Mio,Annual Report,55,Nicolás Ramirez,José Araya B.,6-4-3-13-3,9,15.4,4
27/12/2025,10,15:32,1200m,6,Qin Shihuan,Robert Bruce,55,Benjamin Sancho,Carlos Urbina H.,1-8-2-6-7,105,26.7,1
27/12/2025,10,15:32,1200m,7,Mi Nieto Bruno,Grand Daddy,55,Andrés Covarrubias,Hernán Pacheco P.,5-6-8-2-7,14,14.2,
27/12/2025,10,15:32,1200m,8,Vaquita Loira,Viscount Nelson,56,Bernardo León,Mario Covarrubias,8-6-6-14-5,9,10.4,
27/12/2025,10,15:32,1200m,9,Carilo,Treasure Beach,56,Miguel Gutiérrez,Rafael Bernal G.,2-3-1-5-2,16,17.2,3
27/12/2025,10,15:32,1200m,10,Drink's Valley,Stay Thirsty,55,Rodolfo S. Dores,Rodrigo Quiroz S.,8-8-7-5-4,7,13.7,
27/12/2025,10,15:32,1200m,11,Mezzosoprano,Cosmic,55,Ariel Zúñiga,Jaime Hirmas R.,10-4-2-6-6,7,10.2,
27/12/2025,10,15:32,1200m,12,Negrita Pecosa,The Lumber Guy,55,Rodrigo Vergara,Héctor Castillo S.,4-3-12-7-1,9,7.6,
27/12/2025,10,15:32,1200m,13,El Ultimo Queno,The Lumber Guy,55,Jaime Medina,Rodrigo Sánchez Q.,14-5-12-5-1,26,19.6,2
27/12/2025,10,15:32,1200m,14,Tren a Cajon,Dylan Thomas,55,Patricio Zúñiga,Rodrigo López B.,U-11-14-3-7,21,10.1,
27/12/2025,10,15:32,1200m,15,Ya Lo Creo,Hootenanny,56,Jorge Vera,Julio Castillo D.,1-2-11-14-4,9,13.3,
27/12/2025,11,15:57,1200m,1,Stanafuera,Monthir,54,Rodrigo Painen,Maritza Pérez A.,5-10-1-10-10,7,13.7,
