Fecha,Carrera,Hora,Distancia,Numero,Caballo,Padrillo,Peso,Jinete,Preparador,Ultimos_Resultados,DSC,Probable,Pronostico_Ranking
27/12/2025,14,17:15,1400m,1,Sonata Celta,Mo Town,53,Miguel Gutiérrez,Rodrigo Quiroz S.,11-4-13-4-14,7,17.8,
27/12/2025,14,17:15,1400m,2,Chiquito Campeador,Midshipman,56,Bernardo León,Rafael Bernal G.,6-2-8-8-10,7,13.3,
27/12/2025,14,17:15,1400m,3,Sogna Con Me,Ya Primo,53,Roberto Avila,José Venegas P.,4-3-2-2-2,7,23.8,1
27/12/2025,14,17:15,1400m,4,Elegido Con Pinzas,Flameaway,55,Benjamin Troncoso,Alejandro Padovani E.,7-6-7-7-7,7,19.1,4
27/12/2025,14,17:15,1400m,5,Undecided,Good Samaritan,53,Wilbert León,Daniel Contreras A.,3-5-6-6-2,7,8.0,
27/12/2025,14,17:15,1400m,6,Sibila Red,Get Jets,54,José Cueto,Oscar Donate S.,7-9-8-4-3,7,10.7,
27/12/2025,14,17:15,1400m,7,Namrud Tiger,Handsome Tiger,55,Rafael Cisternas,Juan Cavieres A.,6-7-3,22,21.6,2
27/12/2025,14,17:15,1400m,8,Western Film,Annual Report,56,Gustavo Aros,Eduardo Lab R.,10-7-1-2-2,14,13.7,
27/12/2025,14,17:15,1400m,9,Show Paint,Show Card,57,Joaquín Herrera,Eugenio Switt V.,4-5-6-U-9,9,12.5,
27/12/2025,14,17:15,1400m,10,Amanecio Brava,Hiraboku Deep,55,Alberto Vásquez,Maritza Pérez A.,10-11-8-4-7,9,21.2,3
27/12/2025,14,17:15,1400m,11,Gaelia,State Of Play,55,Rodolfo Fuenzalida,Eduardo Lab R.,11-10-9-3-8,9,14.2,
27/12/2025,14,17:15,1400m,12,My Resilience,International Star,54,Jorge Zúñiga,Aldo Castagneto U.,4-3-2-2-4,7,13.7,
27/12/2025,14,17:15,1400m,13,Como El Sol,Spun to Run,55,Nicolás Ramirez,Juan C. Pichara J.,12-9-8-7-13,9,11.5,
27/12/2025,14,17:15,1400m,14,Buen Norte,Lookin At Lucky,51,Héctor Barrera,Alejandro Martínez C.,3-4-13-5-U,7,14.4,
27/12/2025,15,17:43,1200m,1,Fashion Boy,Ya Primo,54,Diego Carrasco,Juan C. Pichara J.,1-3-8-3-11,7,9.1,
27/12/2025,15,17:43,1200m,2,Nagao,Hiraboku Deep,56,Gustavo Aros,Rodrigo López B.,3-10-1-4-4,14,18.2,3
27/12/2025,15,17:43,1200m,3,Dunhill Smoke,Cupid,54,Rodolfo S. Dores,Raúl Montesino S.,5-7-3-3-8,7,11.6,
27/12/2025,15,17:43,1200m,4,Pajoma,Bad Daddy,55,José Cueto,Isaac Michea F.,11-3-1-2-7,7,8.5,
27/12/2025,15,17:43,1200m,5,Ofestivo,Omayad,54,Wilbert León,Jaime Espineira C.,13-14-12-9-7,7,12.6,
27/12/2025,15,17:43,1200m,6,Baby Shak,Kingly,54,Rodolfo Fuenzalida,Juan C. Pichara J.,4-2-1-5-5,8,14.2,
27/12/2025,15,17:43,1200m,7,Sigue Igual,Alfonso,55,Benjamin Sancho,Julio Castillo D.,8-6-2-2-7,7,12.5,
27/12/2025,15,17:43,1200m,8,Risby,Seeking The Dia,56,Piero Reyes,Rodrigo Sánchez Q.,6-2-8-7-9,21,17.9,4
27/12/2025,15,17:43,1200m,9,De Gaulle,Exaggerator,56,Sebastián González,Rodrigo Quiroz S.,6-2-7-9-7,9,18.5,2
27/12/2025,15,17:43,1200m,10,Jinzo,Fallen From Heaven,55,Joaquín Herrera,Aldo Castagneto U.,2-1-15-9-10,42,16.9,
27/12/2025,15,17:43,1200m,11,Petimetre,Competitive Edge,55,Nicolás Ramirez,Rodrigo Pulgar A.,7-5-7-6-3,7,12.5,
27/12/2025,15,17:43,1200m,12,Wild Dabbler,Star Dabbler,55,Rodrigo Painen,Maritza Pérez A.,1-11-3-2-8,21,13.0,
27/12/2025,15,17:43,1200m,13,Lady Astor,Tamarkuz,55,Patricio Zúñiga,Julio Castillo D.,3-1-13-11-7,7,9.7,
27/12/2025,15,17:43,1200m,14,Sinnerman,Grand Daddy,54,Benjamin Troncoso,Alejandro Padovani E.,3-2-4-1-11,9,22.5,1
27/12/2025,15,17:43,1200m,15,El Cobalto,Boboman,55,Luis Silva,Julio Castillo D.,12-11-8-4-3,7,14.7,
27/12/2025,16,18:10,1000m,1,Gran Fiscal,Grand Daddy,53,Ariel Zúñiga,Oscar Donate S.,2-4-3-11-3,16,17.3,
27/12/2025,16,18:10,1000m,2,Blackcrack,Grand Daddy,57,Marco Morales,Juan C. Pichara J.,4-4-14-12-5,9,11.4,
27/12/2025,16,18:10,1000m,3,Pero Pedro,Dylan Thomas,54,Georgee Givovich,Juan C. Pichara J.,10-U-12-10-7,9,8.4,
27/12/2025,16,18:10,1000m,4,Super Fly,Flyer,56,Nicolás Ramirez,Juan C. Pichara J.,7-8-3-8-9,9,14.7,
27/12/2025,16,18:10,1000m,5,Javiera Constanza,Monthir,53,Bernardo León,Juan Aravena M.,1-5-10-7-8,9,10.3,
27/12/2025,16,18:10,1000m,6,Koccia,Mendelssohn,54,Rodrigo Painen,Oscar Donate S.,3-U-11-1-5,9,22.5,2
27/12/2025,16,18:10,1000m,7,Star Magic,International Star,55,Ignacio Valdivia,Pedro Diaz S.,3-5-8-9-6,9,18.2,
27/12/2025,16,18:10,1000m,8,Easy Peasy,Mo Town,57,Gustavo Aros,Rodrigo Pulgar A.,8-12-13-13-6,7,13.6,
27/12/2025,16,18:10,1000m,9,The Arion,Indian Trail,58,Luis Torres,Mario A. Apablaza G.,9-3-2-2-1,9,28.9,1
27/12/2025,16,18:10,1000m,10,Gold Daddy,Grand Daddy,57,Sebastián González,Juan C. Pichara J.,2-1-3-3-2,9,19.8,3
27/12/2025,16,18:10,1000m,11,Salto De Luz,Exaggerator,55,Alvaro Apablaza,Rodrigo Muñoz M.,2-4-4-2-4,16,11.5,
27/12/2025,16,18:10,1000m,12,Ambrose,Dylan Thomas,54,Benjamin Troncoso,Alejandro Padovani E.,7-2-1-1-7,9,19.0,4
27/12/2025,16,18:10,1000m,13,Vida Sabrosa,Gemologist,57,Miguel Gutiérrez,Rafael Bernal G.,14-1-8-8-13,56,17.2,
27/12/2025,16,18:10,1000m,14,Terrible Pancho,Exaggerator,53,Roberto Avila,Isaac Michea F.,1-3-U-4-2,16,13.4,
27/12/2025,17,18:37,1000m,1,Nubes Negras,Endorsement,53,Luis Silva,Alejandro Padovani E.,U-12-1-U-6,7,16.6,
27/12/2025,17,18:37,1000m,2,Soy Bushido,Midshipman,58,Gustavo Aros,Alejandro Padovani E.,11-3-3-10-13,7,19.8,
27/12/2025,17,18:37,1000m,3,Zambian River,Timojin,54,Jaime Medina,Marco Pavez O.,1-3-6-1-1,16,37.6,1
27/12/2025,17,18:37,1000m,4,Volar Sin Alas,Good Samaritan,56,Felipe Henríquez,Pedro Diaz S.,3-5-1-13-2,7,20.1,
27/12/2025,17,18:37,1000m,5,Twisted Gem,Gemologist,52,Alberto Vásquez,Oscar Donate S.,7-7-11-6-3,9,15.2,
27/12/2025,17,18:37,1000m,6,Un Guarito,Tourist,54,Johan González,Genaro J. Covarrubias E.,13-12-9-3-12,7,11.0,
27/12/2025,17,18:37,1000m,7,Quiero Re Truco,Mr Speaker,54,Jorge Zúñiga,Luis Urbina H.,5-6-12-8-4,7,14.6,
27/12/2025,17,18:37,1000m,8,Joya Del Litoral,Spun to Run,58,Bernardo León,José Allende F.,U-1-3-6-3,7,23.0,3
27/12/2025,17,18:37,1000m,9,Elegant Champion,Mendelssohn,58,Victor Miranda,Juan C. Pichara J.,1-4-8-4-3,14,19.0,
27/12/2025,17,18:37,1000m,10,Deeba Spirit,Sahara Spirit,57,Rafael Cisternas,Marco Pavez O.,3-2-5-1-2,7,29.9,2
27/12/2025,17,18:37,1000m,11,Fastlove,Flameaway,55,Ignacio Valdivia,Rodrigo López B.,3-13-6-9-10,9,20.5,
27/12/2025,17,18:37,1000m,12,Sinesio,Gemologist,54,Lesly C. González,Felipe Gonzalez S.,U-12-10-7-U,8,8.5,
27/12/2025,17,18:37,1000m,13,Lucianita,Classic Empire,56,Benjamin Troncoso,Alejandro Padovani E.,1-7-11-4-1,9,20.9,4
27/12/2025,18,19:06,1000m,1,Compadre Cristian,Gstaad II,54,José Villablanca,Genaro J. Covarrubias E.,8-4-9-2-11,9,7.8,
27/12/2025,18,19:06,1000m,2,First Point's,Hootenanny,56,Héctor Barrera,Rodrigo Quiroz S.,12-6-13-5-7,9,12.8,
27/12/2025,18,19:06,1000m,3,Cambiar De Vida,Flyer,54,Roberto Avila,Luis Machulas G.,11-2-7-14-10,9,9.7,
27/12/2025,18,19:06,1000m,4,La Chucky Trini,Stevie Wonderboy,55,Lesly C. González,Genaro J. Covarrubias E.,1-5-6-9-3,9,12.1,
27/12/2025,18,19:06,1000m,5,Novato Contento,Newfoundland,54,Nelson Rojas,Rodrigo Pulgar A.,12-2-1-6-13,14,11.7,
27/12/2025,18,19:06,1000m,6,Ultimo Impacto,Grand Daddy,55,Victor Miranda,Alejandro Padovani E.,U-10-9-13-2,9,17.2,2
27/12/2025,18,19:06,1000m,7,Resisto Bien,Ahora II,55,Nicolás Ramirez,Juan C. Pichara J.,4-1-6-13-4,16,16.7,3
27/12/2025,18,19:06,1000m,8,Like A Prayer,Alfonso,56,José Cueto,Juan Ubilla P.,8-4-12-5-1,9,8.3,
27/12/2025,18,19:06,1000m,9,Bravo Torero,Flameaway,56,Johan González,Genaro J. Covarrubias E.,7-7-5-1,7,15.6,4
27/12/2025,18,19:06,1000m,10,Agustina Sofia,Cunco,55,Rodolfo S. Dores,Aldo Castagneto U.,U-13-8-6-1,35,12.1,
27/12/2025,18,19:06,1000m,11,Mil Copas,Mo Town,55,Felipe Moreno,Harrison Adonis B.,3-7-1-1-7,9,12.7,
27/12/2025,18,19:06,1000m,12,Tetra Goleador Z,Dubai Sky,55,Marco Morales,Oscar Donate S.,3-7-6-11-9,9,14.3,
27/12/2025,18,19:06,1000m,13,Kaunas,Annual Report,55,Patricio Zúñiga,Rodrigo López B.,7-14-10-4-4,9,13.9,
27/12/2025,18,19:06,1000m,14,Wonder Woman,California Chrome,54,Ariel Zúñiga,Oscar Donate S.,5-4-9-6-6,9,13.9,
27/12/2025,18,19:06,1000m,15,Secret Dragon,Tapitdoro,56,Sebastián González,Mario A. Apablaza G.,7-10-3-1-8,9,19.4,1
27/12/2025,19,19:33,1200m,1,Gran Vera,Good Samaritan,55,Benjamin Sancho,Rodrigo Quiroz S.,5-9-5-9-4,7,15.5,
27/12/2025,19,19:33,1200m,2,El Gran Maestro,Lookin At Lucky,56,Benjamin Troncoso,Alejandro Padovani E.,9-7-12-8-2,7,19.9,
27/12/2025,19,19:33,1200m,3,Dubai Wind,Dubai Sky,55,José Villablanca,Genaro J. Covarrubias E.,9-3-3-U-11,7,10.8,
27/12/2025,19,19:33,1200m,4,Lady Manu,State Of Play,56,Patricio Zúñiga,Alejandro Martínez C.,9-7-4-9-9,7,9.4,
27/12/2025,19,19:33,1200m,5,Lo Franco,Seeking The Dia,55,Georgee Givovich,Rodrigo Quiroz S.,1-12-7-10-12,7,11.8,
27/12/2025,19,19:33,1200m,6,Noiprxcs,Spun to Run,56,Jorge Zúñiga,Mario Covarrubias,10-8-4-6-10,14,14.2,
27/12/2025,19,19:33,1200m,7,Negra Perla,Robert Bruce,56,Miguel Gutiérrez,Cristobal Gonzalez M.,4-1-5-3-6,7,17.7,
27/12/2025,19,19:33,1200m,8,Flower Power,Robert Bruce,56,Victor Miranda,Guillermo Peralta P.,10-1-9-3-5,22,13.0,
27/12/2025,19,19:33,1200m,9,Bruno Spiderman,Robert Bruce,56,Joaquín Herrera,Rodrigo Sánchez Q.,4-10-2-2-1,9,20.7,2
27/12/2025,19,19:33,1200m,10,Kalanit,Robert Bruce,56,Jaime Medina,Juan Pablo Baeza J.,6-9-1-U-6,7,23.6,1
27/12/2025,19,19:33,1200m,11,Mercenaria,Classic Empire,56,Felipe Henríquez,Manuel Norambuena Ch.,U-8-1-1-4,14,19.9,4
27/12/2025,19,19:33,1200m,12,No Me Pilla,Seeking The Dia,56,Héctor Barrera,Rafael Quiroz F.,2-3-5-3-10,7,11.4,
27/12/2025,19,19:33,1200m,13,La Que Manda,Exaggerator,56,Sebastián Muñoz,Julio Castillo D.,9-5-2-8-3,7,12.5,
27/12/2025,19,19:33,1200m,14,Vamos De La Mano,Patternrecognition,55,Alberto Vásquez,Rodrigo López B.,7-4-7-6-4,2,20.3,3
27/12/2025,19,19:33,1200m,15,Grozza,Dangerous Midge,56,Rodolfo Fuenzalida,Aldo Castagneto U.,3-1-6-3-5,14,10.8,
27/12/2025,20,20:00,1000m,1,Merengada,Competitive Edge,54,Sebastián González,Mario A. Apablaza G.,1-4-4-8-14,9,19.8,3
27/12/2025,20,20:00,1000m,2,California Daddy,California Chrome,56,José Cueto,Rodrigo Pulgar A.,13-9-13-U-6,7,7.7,
27/12/2025,20,20:00,1000m,3,Chinita Traviesa,Good Samaritan,54,Diego Carrasco,Alejandro Padovani E.,14-14-3-13-5,9,11.3,
27/12/2025,20,20:00,1000m,4,Costamia,Fortify,55,Rodrigo Painen,Maritza Pérez A.,1-8-6-1-9,9,14.7,
27/12/2025,20,20:00,1000m,5,Miel Rubia,Newfoundland,54,Johan González,Juan C. Pichara J.,4-12-1-13-13,9,11.9,
27/12/2025,20,20:00,1000m,6,Top Model,Mo Town,55,Felipe Moreno,José Venegas P.,9-1-6-1-11,9,22.5,2
27/12/2025,20,20:00,1000m,7,Maxiwario,Viscount Nelson,55,Rodrigo Covarrubias,Genaro J. Covarrubias E.,5-12-11-2-5,7,10.8,
27/12/2025,20,20:00,1000m,8,Famosa Luz,Midshipman,56,Wilbert León,Genaro J. Covarrubias E.,11-8-8-2-3,9,16.1,
27/12/2025,20,20:00,1000m,9,Bungabunga,Gran Villano,56,Daniel Medina,José Bravo M.,14-10-U-10-1,9,17.0,
27/12/2025,20,20:00,1000m,10,Amor De Chocolate,Awesome Patriot,55,Rodolfo Fuenzalida,Eduardo Lab R.,7-6-3-2-13,9,15.6,
27/12/2025,20,20:00,1000m,11,Elegant Katze,Good Samaritan,55,Jaime Medina,Claudio Bernal G.,12-11-9-6-3,9,18.3,4
27/12/2025,20,20:00,1000m,12,Nougatini Flower,Indian Trail,55,Rafael Cisternas,Marco Pavez O.,2-2-1,56,28.0,1
27/12/2025,20,20:00,1000m,13,Black Of Panther,Cloud Computing,55,Jesus Toro,José Araya B.,6-4-12-U-9,483,10.9,
27/12/2025,20,20:00,1000m,14,Socio Manuel,Forward March,54,Piero Reyes,Luis Machulas G.,6-U-11-U-11,9,13.3,
27/12/2025,20,20:00,1000m,15,Zoboomafoo,Forever Thing,56,Rodolfo S. Dores,Aldo Castagneto U.,8-10-2-9-5,9,9.8,
27/12/2025,21,20:30,1200m,1,Mountain Monarch,Sahara Spirit,54,Rodrigo Painen,Oscar Donate S.,7-6-6-4-6,9,14.5,
27/12/2025,21,20:30,1200m,2,Stevens For Record,Viscount Nelson,57,Gustavo Aros,Mario A. Apablaza G.,12-2-1-4-4,14,20.9,3
27/12/2025,21,20:30,1200m,3,Lucia De Siracusa,Good Samaritan,54,Benjamin Troncoso,Alejandro Padovani E.,7-2-5-10-2,7,18.5,
27/12/2025,21,20:30,1200m,4,Vieja Chela,Boboman,56,Patricio Zúñiga,Julio Castillo D.,4-2-3-11-12,7,10.2,
27/12/2025,21,20:30,1200m,5,Persevera Siempre,Bernardini,54,Luis D. Menghini,Eugenio Switt V.,4-10-12-1-3,7,7.9,
27/12/2025,21,20:30,1200m,6,Besa Kiss,Hinz,54,Felipe Moreno,Harrison Adonis B.,6-15-2-7-8,14,9.8,
27/12/2025,21,20:30,1200m,7,Royal Dublin,Katmai,55,Rodolfo Fuenzalida,Aldo Castagneto U.,5-6-1-8-U,12,11.7,
27/12/2025,21,20:30,1200m,8,Blessed,Good Samaritan,56,Héctor Barrera,Rodrigo Quiroz S.,10-12-12-2-9,9,14.6,
27/12/2025,21,20:30,1200m,9,Silene,Classic Empire,57,Sebastián González,Juan C. Pichara J.,2-5-6-1-4,16,22.5,1
27/12/2025,21,20:30,1200m,10,Sunam,Mendelssohn,56,Roberto Avila,Mario Covarrubias,5-3-5-13-13,7,15.2,
27/12/2025,21,20:30,1200m,11,Apollonos,Cloud Computing,55,Joaquín Herrera,José Alvarez D.,6-2-1-4-6,148,19.3,
27/12/2025,21,20:30,1200m,12,Ruletazo,Constitution,55,Lesly C. González,Genaro J. Covarrubias E.,13-8-2-8-5,7,12.3,
27/12/2025,21,20:30,1200m,13,Tirrel,Ivan Denisovich,56,Ignacio Valdivia,Pedro Diaz S.,5-4-1-2-10,7,21.9,2
27/12/2025,21,20:30,1200m,14,Zodiakus,Exaggerator,54,Felipe Henríquez,Manuel Norambuena Ch.,10-13-12-11-9,7,16.7,
27/12/2025,21,20:30,1200m,15,Loco Gandhi,Dylan Thomas,56,Alberto Vásquez,Rodrigo López B.,14-7-6-9-1,2,19.5,4
27/12/2025,22,21:00,1000m,1,Luz Oculta,Mendelssohn,51,Wilbert León,Mario Covarrubias,5-2-2-5-9,7,16.2,
27/12/2025,22,21:00,1000m,2,Platon,Grand Daddy,60,Victor Miranda,Juan C. Pichara J.,3-2-1-3-3,7,20.1,4
27/12/2025,22,21:00,1000m,3,Indian Pirate,Indian Trail,51,Alberto Vásquez,Oscar Donate S.,5-3-4-6-5,7,24.1,1
27/12/2025,22,21:00,1000m,4,Guena Petete,Layman,54,Carlos Bustos,Eduardo Lab R.,U-7-12-3-11,7,13.4,
27/12/2025,22,21:00,1000m,5,Monchitocrack,Grand Daddy,51,Jesus Toro,Juan C. Pichara J.,6-2-5-3-1,28,10.3,
27/12/2025,22,21:00,1000m,6,Ventidue,Mendelssohn,53,Joaquín Herrera,Rodrigo Sánchez Q.,8-1-3-2-7,16,19.4,
27/12/2025,22,21:00,1000m,7,Sea Of Gold,Goldencents,54,Patricio Zúñiga,Rodrigo López B.,1-8-5-12-13,7,12.1,
27/12/2025,22,21:00,1000m,8,Presente Cha,Constitution,60,Johan González,Genaro J. Covarrubias E.,9-1-11-7-8,7,18.9,
27/12/2025,22,21:00,1000m,9,Kino,Aragorn II,60,Oscar Meneses,Ricardo Rojas S.,2-9-4-U-4,7,14.8,
27/12/2025,22,21:00,1000m,10,Jarum,Cupid,58,Gustavo Aros,Alejandro Padovani E.,2-3-9-7-8,7,20.6,3
27/12/2025,22,21:00,1000m,11,Ke Pacquiao,International Star,54,Jorge Zúñiga,Rodrigo Pulgar A.,1-1-4-1-7,7,15.9,
27/12/2025,22,21:00,1000m,12,Laburador,Goldencents,53,Jaime Medina,Isaac Michea F.,12-U-2-3-2,7,15.2,
27/12/2025,22,21:00,1000m,13,Badero,Classic Empire,54,Benjamin Troncoso,Alejandro Padovani E.,6-3-4-4-4,12,23.9,2
27/12/2025,22,21:00,1000m,14,Negro Vlady,California One,51,Héctor Barrera,Luis Urbina H.,11-7-8-5-U,16,11.2,
27/12/2025,22,21:00,1000m,15,Sawyer,Practical Joke,59,Rodrigo Covarrubias,Mario Covarrubias,13-12-3-13-6,7,6.5,
27/12/2025,23,21:30,1200m,1,Nob,Exaggerator,54,Lesly C. González,Juan C. Pichara J.,1-5-8-6-11,7,12.2,
27/12/2025,23,21:30,1200m,2,Grande Panchito,Good Samaritan,57,Jonathan Castillo,Ricardo Rojas S.,6-6-8-1-5,9,14.3,
27/12/2025,23,21:30,1200m,3,Indian Tiger,Indian Trail,54,Andrés Covarrubias,Julio Castillo D.,3-14-8-9-1,28,15.8,
27/12/2025,23,21:30,1200m,4,El Joker,Grand Daddy,56,Benjamin Sancho,Rodrigo Quiroz S.,14-4-6-1-5,7,14.3,
27/12/2025,23,21:30,1200m,5,Pachekin,Grand Daddy,54,Jorge Zúñiga,Hernán Pacheco P.,11-11-3-3-4,7,14.2,
27/12/2025,23,21:30,1200m,6,Giorgio Di Capri,Sonoma Band,54,Alberto Vásquez,Maritza Pérez A.,12-6-3-7-1,7,17.8,
27/12/2025,23,21:30,1200m,7,Tito Moro,Forever Thing,55,Jorge Vera,Claudio Bernal G.,2-1-10-2-10,9,20.5,4
27/12/2025,23,21:30,1200m,8,Jimbo,Newfoundland,57,Marco Bustamante,Juan C. Pichara J.,8-11-6-6-4,16,16.3,
27/12/2025,23,21:30,1200m,9,Angeolina,International Star,57,Victor Miranda,Alejandro Padovani E.,7-5-2-13-8,5,19.0,
27/12/2025,23,21:30,1200m,10,Angela Clasica,Classic Empire,56,Sebastián González,Rodrigo Quiroz S.,4-9-1-U-2,9,17.9,
27/12/2025,23,21:30,1200m,11,Seattle Snow,Dubai Sky,56,Nicolás Ramirez,Raúl Montesino S.,3-5-5-3-5,7,17.2,
27/12/2025,23,21:30,1200m,12,Dakhar,Classic Empire,54,Johan González,Mario Covarrubias,4-5-6-2-10,21,14.4,
27/12/2025,23,21:30,1200m,13,Chino Matador,Viscount Nelson,56,Miguel Gutiérrez,Héctor Castillo S.,9-3-4-9-2,7,16.9,
27/12/2025,23,21:30,1200m,14,Seeking The Dolce,Seeking The Dia,54,Wilbert León,Harrison Adonis B.,4-7-8-3-8,9,9.5,
27/12/2025,23,21:30,1200m,15,Tordilla Divina,The Lumber Guy,57,Jaime Medina,Rodrigo Sánchez Q.,8-7-1-2-1,21,22.9,2
