Fecha,Hipodromo,Carrera,Hora,Distancia,Condicion,Lugar,Numero,Ejemplar,Padrillo,Edad,Peso_Fisico,Distancia_Al_Primero,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,5,2,Patyta Black,International Star,3,405k,2½,56k,F. Henríquez.,Manuel Norambuena Ch.,Primo Hermano,37.40
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,6,6,Qin Shihuan,Robert Bruce,4,456k,3,55k,B. Sancho.,Carlos Urbina H.,Haras Convento Viejo,2.50
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,7,15,Ya Lo Creo,Hootenanny,5,380k,3½,56k,J. Vera.,Julio Castillo D.,Sapito,35.60
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,8,1,Temaukel,Bad Daddy,7,474k,4¼,55k,R. Fuenzalida.,Claudio Bernal G.,Viejo Moño,22.50
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,9,4,Gran Nono,Strong Mandate,8,528k,4¾,55k,J. González.,Genaro J. Covarrubias E.,La Corina,8.40
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,10,7,Mi Nieto Bruno,Grand Daddy,4,475k,6¼,55k,A. Covarrubias.,Hernán Pacheco P.,Grande Tio Kiko,14.90
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,11,10,Drink's Valley,Stay Thirsty,9,450k,10,55k,R.S. Dores.,Rodrigo Quiroz S.,Queen´s Valley,8.30
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,12,12,Negrita Pecosa,The Lumber Guy,5,395k,10,55k,A. Apablaza.,Héctor Castillo S.,Corral Quellon,89.00
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,13,8,Vaquita Loira,Viscount Nelson,5,421k,10½,56k,B. León.,Mario Covarrubias,Boril Benito Ch.,23.10
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,14,5,Tesorito Mio,Annual Report,4,405k,12,55k,N. Ramirez.,J. Araya B.,Melany,22.20
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,U,3,Rucia De Oro,Get Jets,4,434k,25½,55k,L. González.,Juan C. Pichara J.,Crisval,36.40
27/12/2025,Hipódromo Chile,11,15:57,1200m,Handicap (Hd) 30 al 22,1,12,Consul Dorado,Malagacy,4,498k,,54k,J. Castillo.,Oscar Donate S.,French Potato,2.30
27/12/2025,Hipódromo Chile,11,15:57,1200m,Handicap (Hd) 30 al 22,2,9,Caramel Frappe,The Lumber Guy,3,478k,6,59k,J. González.,Carlos Urbina H.,Gran Xime,2.80
27/12/2025,Hipódromo Chile,11,15:57,1200m,Handicap (Hd) 30 al 22,3,6,Papito Alfredo,Hold Me Back,5,481k,6,54k,I. Valdivia.,Pedro Diaz S.,Vida Nueva,6.50
27/12/2025,Hipódromo Chile,11,15:57,1200m,Handicap (Hd) 30 al 22,4,5,Ahsoka,Newfoundland,4,465k,6,53k,L. Silva.,Julio Castillo D.,Baemar,57.00
27/12/2025,Hipódromo Chile,11,15:57,1200m,Handicap (Hd) 30 al 22,5,10,Gran Alaska,Patternrecognition,5,453k,7,57k,A. Vásquez.,Maritza Pérez A.,Blanca Adelaida,24.90
27/12/2025,Hipódromo Chile,11,15:57,1200m,Handicap (Hd) 30 al 22,6,1,Stanafuera,Monthir,5,520k,11,54k,R. Painen.,Maritza Pérez A.,Morautos,47.40
27/12/2025,Hipódromo Chile,11,15:57,1200m,Handicap (Hd) 30 al 22,7,7,Bruno El Terrible,Gemologist,6,500k,11,54k,N. Ramirez.,Juan C. Pichara J.,Bruno Alonso,17.40
27/12/2025,Hipódromo Chile,11,15:57,1200m,Handicap (Hd) 30 al 22,8,3,Piter Alfonso,Scat Royal,5,431k,11½,54k,M. Gutiérrez.,Claudio Bernal G.,Maitenal,27.80
27/12/2025,Hipódromo Chile,11,15:57,1200m,Handicap (Hd) 30 al 22,9,13,Esterios,Boboman,8,550k,12¾,56k,M. Morales.,Alejandro Padovani E.,Gaona Hermanos,25.60
27/12/2025,Hipódromo Chile,11,15:57,1200m,Handicap (Hd) 30 al 22,10,8,Okui,Imperia II,6,484k,13,58k,J. Vera.,Claudio Bernal G.,Malcib,29.10
27/12/2025,Hipódromo Chile,11,15:57,1200m,Handicap (Hd) 30 al 22,11,2,Payback,Van Nistelrooy,5,461k,17,59k,O. Meneses.,Leopoldo Parra G.,El Vetero,48.30
27/12/2025,Hipódromo Chile,11,15:57,1200m,Handicap (Hd) 30 al 22,12,11,Badboy,Bad Daddy,7,456k,20¼,54k,D. Sánchez.,Ricardo Rojas S.,Altamira,26.40
27/12/2025,Hipódromo Chile,11,15:57,1200m,Handicap (Hd) 30 al 22,U,4,Ciao Xena,International Star,4,485k,20¾,55k,B. Sancho.,Carlos Urbina H.,Xeneixe,5.30
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,1,1,Bello Encanto,Gstaad II,4,466k,,54k,D. D. Medina.,José Bravo M.,José Bravo M.,9.20
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,2,5,Dalemita,Dubai Sky,4,424k,10¼,54k,P. Zúñiga.,Rodrigo Quiroz S.,Los Carroza,6.90
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,3,2,Moment Of Get,Get Jets,3,447k,11¼,56k,B. León.,Mario Covarrubias,Doña Ester,10.70
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,4,6,Sir Caleb,Business Bay,5,452k,12¼,55k,A. Zúñiga.,Ricardo Rojas S.,Altamira,29.40
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,5,4,Volaste A La Meta,Dylan Thomas,5,468k,13,56k,M. Morales.,Pedro Diaz S.,Pedro Diaz S.,15.90
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,6,10,Sand Thick,Dylan Thomas,4,429k,13½,56k,D. Sánchez.,Oscar Donate S.,El Filete,19.60
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,7,12,Maria Pascuala,Gemologist,6,478k,14¼,55k,J. Vera.,Rodrigo Quiroz S.,Don Alamiro,8.20
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,8,3,Ukiyo,California Chrome,6,459k,17,55k,L. González.,Maritza Pérez A.,Fusta y Poncha,6.50
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,9,8,Princesa Ruby,Admiral,4,486k,17½,56k,G. Aros.,Rodrigo López B.,Per Sempre,2.90
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,10,7,Callahan,Viscount Nelson,6,438k,21¾,55k,R. Covarrubias.,Genaro J. Covarrubias E.,El Mero Mero,50.20
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,11,9,Mal Mirada,Il Rey Ivan,4,445k,21¾,56k,R. Cisternas.,Jaime Espineira C.,Jaime Espineira C.,39.40
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,12,13,Tommy Wonder,Aragorn II,11,498k,24½,56k,R.S. Dores.,Aldo Castagneto U.,Martina Emilia,8.20
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,13,15,Salma Alegre,Gstaad II,6,408k,25¼,56k,P. Reyes.,Eugenio Switt V.,Gallo,21.20
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,14,14,Juniper,Distorted Economy,5,420k,25½,54k,A. Apablaza.,Jaime Hirmas R.,Chamo Candela,50.50
27/12/2025,Hipódromo Chile,12,16:24,1200m,Handicap (Hd) 10 al 8,U,11,Arte De Magia,Van Nistelrooy,4,448k,33¼,55k,V. Miranda.,Alejandro Padovani E.,Los Lokolopulus,10.80
27/12/2025,Hipódromo Chile,13,16:49,1200m,Clásico (Cl) (CH) 55 e Inf.,1,9,Good Traffic,Good Samaritan,5,467k,,60k,J. Herrera.,Oscar Donate S.,El Filete,6.90
27/12/2025,Hipódromo Chile,13,16:49,1200m,Clásico (Cl) (CH) 55 e Inf.,2,2,Practical Sisi,Practical Joke,5,522k,½ cp,59k,I. Valdivia.,Pedro Diaz S.,Los Jeques,4.20
27/12/2025,Hipódromo Chile,13,16:49,1200m,Clásico (Cl) (CH) 55 e Inf.,3,4,Kauto Y Pillo,Katmai,4,499k,1,58k,J. Medina.,Juan Pablo Baeza J.,Haras Santa Loreto,1.80
27/12/2025,Hipódromo Chile,13,16:49,1200m,Clásico (Cl) (CH) 55 e Inf.,4,1,El Batey,Gran Villano,6,487k,1½,51k,A. Vásquez.,Rodrigo López B.,Linares,8.90
27/12/2025,Hipódromo Chile,13,16:49,1200m,Clásico (Cl) (CH) 55 e Inf.,5,5,Lerici,Constitution,7,486k,3¼,50k,J. Zúñiga.,Oscar Donate S.,Guillermo Cordova T.,13.70
27/12/2025,Hipódromo Chile,13,16:49,1200m,Clásico (Cl) (CH) 55 e Inf.,6,6,Rechazado,Cunco,6,489k,6,56k,J. González.,Genaro J. Covarrubias E.,La Corina,13.50
27/12/2025,Hipódromo Chile,13,16:49,1200m,Clásico (Cl) (CH) 55 e Inf.,7,7,Kapichu,Endorsement,6,484k,8,56k,B. Troncoso.,Oscar Silva S.,Monito,26.00
27/12/2025,Hipódromo Chile,13,16:49,1200m,Clásico (Cl) (CH) 55 e Inf.,8,8,Voy Pal Pueblo,Good Samaritan,5,490k,12½,59k,J. González.,Carlos Urbina H.,Zayed,4.60
27/12/2025,Hipódromo Chile,14,17:15,1400m,Handicap (Hd) 11 al 5,1,9,Show Paint,Show Card,4,435k,,57k,J. Herrera.,Eugenio Switt V.,Los Garrido,10.20
27/12/2025,Hipódromo Chile,14,17:15,1400m,Handicap (Hd) 11 al 5,2,4,Elegido Con Pinzas,Flameaway,4,482k,2¾,55k,B. Troncoso.,Alejandro Padovani E.,Work Work Work,6.00
27/12/2025,Hipódromo Chile,14,17:15,1400m,Handicap (Hd) 11 al 5,3,5,Undecided,Good Samaritan,5,506k,3¾,53k,W. León.,Daniel Contreras A.,Abuela Oca,21.00
27/12/2025,Hipódromo Chile,14,17:15,1400m,Handicap (Hd) 11 al 5,3,12,My Resilience,International Star,4,427k,3¾,54k,J. Zúñiga.,Aldo Castagneto U.,Desafio,5.30
27/12/2025,Hipódromo Chile,14,17:15,1400m,Handicap (Hd) 11 al 5,5,2,Chiquito Campeador,Midshipman,4,420k,6¾,56k,B. León.,Rafael Bernal G.,Santa Ana,31.20
27/12/2025,Hipódromo Chile,14,17:15,1400m,Handicap (Hd) 11 al 5,6,10,Amanecio Brava,Hiraboku Deep,4,452k,7,55k,A. Vásquez.,Maritza Pérez A.,Vicentes,11.80
27/12/2025,Hipódromo Chile,14,17:15,1400m,Handicap (Hd) 11 al 5,7,14,Buen Norte,Lookin At Lucky,6,480k,7¾,51k,H. Barrera.,Alejandro Martínez C.,Viña Del Mar,12.40
27/12/2025,Hipódromo Chile,14,17:15,1400m,Handicap (Hd) 11 al 5,8,1,Sonata Celta,Mo Town,5,376k,8¾,53k,M. Gutiérrez.,Rodrigo Quiroz S.,Lucaraste,25.30
27/12/2025,Hipódromo Chile,14,17:15,1400m,Handicap (Hd) 11 al 5,9,3,Sogna Con Me,Ya Primo,3,435k,11¼,53k,R. Avila.,José Venegas P.,Jose Venegas P.,13.20
27/12/2025,Hipódromo Chile,14,17:15,1400m,Handicap (Hd) 11 al 5,10,8,Western Film,Annual Report,6,460k,12½,56k,G. Aros.,Eduardo Lab R.,Francisca Ignacia,6.30
27/12/2025,Hipódromo Chile,14,17:15,1400m,Handicap (Hd) 11 al 5,11,6,Sibila Red,Get Jets,3,440k,14¾,54k,J. Cueto.,Oscar Donate S.,Redbros,18.80
27/12/2025,Hipódromo Chile,14,17:15,1400m,Handicap (Hd) 11 al 5,12,7,Namrud Tiger,Handsome Tiger,3,473k,17¾,55k,R. Cisternas.,Juan Cavieres A.,El Cedro,2.70
27/12/2025,Hipódromo Chile,14,17:15,1400m,Handicap (Hd) 11 al 5,13,11,Gaelia,State Of Play,4,473k,22½,55k,R. Fuenzalida.,Eduardo Lab R.,Agric.Santa Laura,63.20
27/12/2025,Hipódromo Chile,14,17:15,1400m,Handicap (Hd) 11 al 5,U,13,Como El Sol,Spun to Run,3,472k,27,55k,N. Ramirez.,Juan C. Pichara J.,Amor Propio,29.40
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,1,1,Fashion Boy,Ya Primo,3,500k,,54k,D. Carrasco.,Juan C. Pichara J.,Vasquez Retamales,54.10
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,2,2,Nagao,Hiraboku Deep,5,487k,1¾,56k,G. Aros.,Rodrigo López B.,Rodrigo López B.,15.60
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,3,3,Dunhill Smoke,Cupid,5,478k,2¼,54k,R.S. Dores.,Raúl Montesino S.,Bruno Alonso,9.60
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,4,5,Ofestivo,Omayad,4,463k,3,54k,W. León.,Jaime Espineira C.,Jaime Espiñeira C.,18.70
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,5,6,Baby Shak,Kingly,3,483k,4¾,54k,R. Fuenzalida.,Juan C. Pichara J.,Vasquez Retamales,8.50
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,6,11,Petimetre,Competitive Edge,6,487k,5¼,55k,N. Ramirez.,Rodrigo Pulgar A.,Galiano,7.20
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,7,4,Pajoma,Bad Daddy,5,443k,6¾,55k,J. Cueto.,Isaac Michea F.,Bruno Alonso,34.70
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,8,14,Sinnerman,Grand Daddy,3,522k,9½,54k,B. Troncoso.,Alejandro Padovani E.,Keep Walking,4.50
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,9,9,De Gaulle,Exaggerator,4,455k,10,56k,S. González.,Rodrigo Quiroz S.,Filipino,6.30
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,10,8,Risby,Seeking The Dia,7,453k,11,56k,P. Reyes.,Rodrigo Sánchez Q.,Super Super,30.50
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,11,7,Sigue Igual,Alfonso,3,466k,12¼,55k,B. Sancho.,Julio Castillo D.,Baemar,19.70
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,12,15,El Cobalto,Boboman,7,512k,12¾,55k,L. Silva.,Julio Castillo D.,Corral Hipico,7.60
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,13,13,Lady Astor,Tamarkuz,7,458k,15½,55k,P. Zúñiga.,Julio Castillo D.,Mosqueteros De Lis,84.60
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,14,10,Jinzo,Fallen From Heaven,3,465k,17½,55k,J. Herrera.,Aldo Castagneto U.,Ivja,3.90
27/12/2025,Hipódromo Chile,15,17:43,1200m,Handicap (Hd) 16 al 14,U,12,Wild Dabbler,Star Dabbler,7,510k,17½,55k,R. Painen.,Maritza Pérez A.,Alegria De Mi Corazon,22.70
27/12/2025,Hipódromo Chile,16,18:10,1000m,Handicap (Hd) 21 al 16,1,14,Terrible Pancho,Exaggerator,4,453k,,53k,R. Avila.,Isaac Michea F.,Bruno Alonso,8.70
27/12/2025,Hipódromo Chile,16,18:10,1000m,Handicap (Hd) 21 al 16,2,9,The Arion,Indian Trail,3,432k,2¼,58k,L. Silva.,Mario A. Apablaza G.,Tata Tito,2.50
27/12/2025,Hipódromo Chile,16,18:10,1000m,Handicap (Hd) 21 al 16,3,10,Gold Daddy,Grand Daddy,3,443k,3¼,57k,S. González.,Juan C. Pichara J.,Cori,4.40
27/12/2025,Hipódromo Chile,16,18:10,1000m,Handicap (Hd) 21 al 16,4,12,Ambrose,Dylan Thomas,4,480k,3¼,54k,B. Troncoso.,Alejandro Padovani E.,Matías Alfonso,23.80
27/12/2025,Hipódromo Chile,16,18:10,1000m,Handicap (Hd) 21 al 16,5,4,Super Fly,Flyer,4,440k,3½,56k,N. Ramirez.,Juan C. Pichara J.,Tarantino,13.20
27/12/2025,Hipódromo Chile,16,18:10,1000m,Handicap (Hd) 21 al 16,6,8,Easy Peasy,Mo Town,5,428k,5,57k,G. Aros.,Rodrigo Pulgar A.,Los Sarmientos,15.40
27/12/2025,Hipódromo Chile,16,18:10,1000m,Handicap (Hd) 21 al 16,7,1,Gran Fiscal,Grand Daddy,4,467k,5¼,54k,A. Zúñiga.,Oscar Donate S.,El Duende,8.70
27/12/2025,Hipódromo Chile,16,18:10,1000m,Handicap (Hd) 21 al 16,8,11,Salto De Luz,Exaggerator,6,480k,5¼,55k,A. Apablaza.,Rodrigo Muñoz M.,Las Tres Damas,27.60
27/12/2025,Hipódromo Chile,16,18:10,1000m,Handicap (Hd) 21 al 16,9,5,Javiera Constanza,Monthir,6,410k,6¼,53k,J. Cueto.,Juan Aravena M.,Matias Aravena,30.00
27/12/2025,Hipódromo Chile,16,18:10,1000m,Handicap (Hd) 21 al 16,10,2,Blackcrack,Grand Daddy,5,479k,8¼,57k,V. Miranda.,Juan C. Pichara J.,Vasquez Retamales,7.00
27/12/2025,Hipódromo Chile,16,18:10,1000m,Handicap (Hd) 21 al 16,11,7,Star Magic,International Star,4,426k,9¼,55k,I. Valdivia.,Pedro Diaz S.,Las Tres Marias,11.80
27/12/2025,Hipódromo Chile,16,18:10,1000m,Handicap (Hd) 21 al 16,12,13,Vida Sabrosa,Gemologist,6,465k,9¼,57k,M. Gutiérrez.,Rafael Bernal G.,Gran Xime,36.20
27/12/2025,Hipódromo Chile,16,18:10,1000m,Handicap (Hd) 21 al 16,13,3,Pero Pedro,Dylan Thomas,5,533k,9½,54k,G. Givovich.,Juan C. Pichara J.,Roxanita,32.40
27/12/2025,Hipódromo Chile,16,18:10,1000m,Handicap (Hd) 21 al 16,U,6,Koccia,Mendelssohn,4,460k,10¼,54k,R. Painen.,Oscar Donate S.,Antonio Aida,19.10
27/12/2025,Hipódromo Chile,17,18:37,1000m,Handicap (Hd) 29 al 22,1,5,Twisted Gem,Gemologist,6,540k,,52k,A. Vásquez.,Oscar Donate S.,Linea Errazuriz,16.50
27/12/2025,Hipódromo Chile,17,18:37,1000m,Handicap (Hd) 29 al 22,2,1,Nubes Negras,Endorsement,7,483k,2¾,53k,L. Silva.,Alejandro Padovani E.,Ortepal,14.70
27/12/2025,Hipódromo Chile,17,18:37,1000m,Handicap (Hd) 29 al 22,3,2,Soy Bushido,Midshipman,6,485k,3½,58k,G. Aros.,Alejandro Padovani E.,Mameza,23.30
27/12/2025,Hipódromo Chile,17,18:37,1000m,Handicap (Hd) 29 al 22,4,10,Deeba Spirit,Sahara Spirit,3,490k,3¾,57k,R. Cisternas.,Marco Pavez O.,Haras Sumaya,2.30
27/12/2025,Hipódromo Chile,17,18:37,1000m,Handicap (Hd) 29 al 22,5,7,Quiero Re Truco,Mr Speaker,6,491k,3¾,54k,J. Zúñiga.,Luis Urbina H.,G.G.,21.20
27/12/2025,Hipódromo Chile,17,18:37,1000m,Handicap (Hd) 29 al 22,6,3,Zambian River,Timojin,3,473k,4,54k,J. Medina.,Marco Pavez O.,Haras Sumaya,3.50
27/12/2025,Hipódromo Chile,17,18:37,1000m,Handicap (Hd) 29 al 22,7,11,Fastlove,Flameaway,4,458k,4½,55k,I. Valdivia.,Rodrigo López B.,Linlinao,42.00
27/12/2025,Hipódromo Chile,17,18:37,1000m,Handicap (Hd) 29 al 22,8,6,Un Guarito,Tourist,7,459k,5½,54k,J. González.,Genaro J. Covarrubias E.,El Mero Mero,42.60
27/12/2025,Hipódromo Chile,17,18:37,1000m,Handicap (Hd) 29 al 22,9,12,Sinesio,Gemologist,6,502k,6,54k,L. González.,Felipe Gonzalez S.,Milna,70.40
27/12/2025,Hipódromo Chile,17,18:37,1000m,Handicap (Hd) 29 al 22,10,9,Elegant Champion,Mendelssohn,3,453k,6¼,58k,V. Miranda.,Juan C. Pichara J.,Juan Jaque,5.40
27/12/2025,Hipódromo Chile,17,18:37,1000m,Handicap (Hd) 29 al 22,11,4,Volar Sin Alas,Good Samaritan,3,434k,6¼,56k,F. Henríquez.,Pedro Diaz S.,Los Jeques,15.10
27/12/2025,Hipódromo Chile,17,18:37,1000m,Handicap (Hd) 29 al 22,12,8,Joya Del Litoral,Spun to Run,3,473k,6¾,58k,B. León.,José Allende F.,Citral,6.90
27/12/2025,Hipódromo Chile,17,18:37,1000m,Handicap (Hd) 29 al 22,U,13,Lucianita,Classic Empire,4,448k,7,56k,B. Troncoso.,Alejandro Padovani E.,Elephant,25.40
27/12/2025,Hipódromo Chile,18,19:06,1000m,Handicap (Hd) 13 al 11,1,2,First Point's,Hootenanny,5,434k,,56k,H. Barrera.,Rodrigo Quiroz S.,Don Quijote,2.80
27/12/2025,Hipódromo Chile,18,19:06,1000m,Handicap (Hd) 13 al 11,2,4,La Chucky Trini,Stevie Wonderboy,6,420k,1¾,55k,L. González.,Genaro J. Covarrubias E.,El Magico Charly,13.70
27/12/2025,Hipódromo Chile,18,19:06,1000m,Handicap (Hd) 13 al 11,3,12,Tetra Goleador Z,Dubai Sky,3,489k,2,55k,L. Silva.,Oscar Donate S.,Patricio Millar M.,16.60
27/12/2025,Hipódromo Chile,18,19:06,1000m,Handicap (Hd) 13 al 11,4,13,Kaunas,Annual Report,4,472k,2¾,55k,P. Zúñiga.,Rodrigo López B.,Bruno Alonso,5.70
27/12/2025,Hipódromo Chile,18,19:06,1000m,Handicap (Hd) 13 al 11,5,3,Cambiar De Vida,Flyer,3,424k,3¼,54k,R. Avila.,Luis Machulas G.,Los Cuarenta Y Dos,24.80
27/12/2025,Hipódromo Chile,18,19:06,1000m,Handicap (Hd) 13 al 11,6,1,Compadre Cristian,Gstaad II,8,487k,4¼,54k,J. Villablanca.,Genaro J. Covarrubias E.,Janira Elgueta,22.70
27/12/2025,Hipódromo Chile,18,19:06,1000m,Handicap (Hd) 13 al 11,7,6,Ultimo Impacto,Grand Daddy,4,523k,4¾,55k,V. Miranda.,Alejandro Padovani E.,Siete Estrellas,3.00
27/12/2025,Hipódromo Chile,18,19:06,1000m,Handicap (Hd) 13 al 11,8,15,Secret Dragon,Tapitdoro,3,463k,6¼,56k,S. González.,Mario A. Apablaza G.,Mario Apablaza G.,6.70
27/12/2025,Hipódromo Chile,18,19:06,1000m,Handicap (Hd) 13 al 11,9,10,Agustina Sofia,Cunco,3,394k,7,55k,R.S. Dores.,Aldo Castagneto U.,Jamb,24.50
27/12/2025,Hipódromo Chile,18,19:06,1000m,Handicap (Hd) 13 al 11,10,14,Wonder Woman,California Chrome,6,428k,8,54k,A. Zúñiga.,Oscar Donate S.,Margal,14.10
27/12/2025,Hipódromo Chile,18,19:06,1000m,Handicap (Hd) 13 al 11,11,9,Bravo Torero,Flameaway,3,471k,8¾,56k,J. González.,Genaro J. Covarrubias E.,Pepe Elias,19.80
27/12/2025,Hipódromo Chile,18,19:06,1000m,Handicap (Hd) 13 al 11,12,11,Mil Copas,Mo Town,5,452k,11¾,55k,F. Moreno.,Harrison Adonis B.,Margal,24.30
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,1,9,Bruno Spiderman,Robert Bruce,3,448k,,56k,J. Herrera.,Rodrigo Sánchez Q.,Bruno Alonso,3.50
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,2,2,El Gran Maestro,Lookin At Lucky,3,444k,7¼,56k,B. Troncoso.,Alejandro Padovani E.,Carnes Oly,4.90
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,3,8,Flower Power,Robert Bruce,3,425k,8¾,56k,V. Miranda.,Guillermo Peralta P.,Los Jeques,27.20
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,4,11,Mercenaria,Classic Empire,4,456k,9½,56k,F. Henríquez.,Manuel Norambuena Ch.,Charito,9.60
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,5,14,Vamos De La Mano,Patternrecognition,3,430k,10,55k,A. Vásquez.,Rodrigo López B.,Angelica Y Francisco,6.80
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,6,13,La Que Manda,Exaggerator,4,437k,11,56k,S. Muñoz.,Julio Castillo D.,El Gallito,26.60
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,7,1,Gran Vera,Good Samaritan,5,411k,11¼,55k,B. Sancho.,Rodrigo Quiroz S.,C.V.D.,7.00
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,8,3,Dubai Wind,Dubai Sky,5,427k,13¾,55k,J. Villablanca.,Genaro J. Covarrubias E.,Don Andres,75.90
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,9,12,No Me Pilla,Seeking The Dia,7,421k,13¾,56k,H. Barrera.,Rafael Quiroz F.,Los Quirsan,34.50
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,10,15,Grozza,Dangerous Midge,8,500k,15,56k,R. Fuenzalida.,Aldo Castagneto U.,Claro,25.70
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,11,4,Lady Manu,State Of Play,5,498k,15½,56k,P. Zúñiga.,Alejandro Martínez C.,Carlos Nuñez G.,15.90
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,12,7,Negra Perla,Robert Bruce,3,460k,17¼,56k,M. Gutiérrez.,Cristobal. Gonzalez M.,Charito,6.10
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,13,6,Noiprxcs,Spun to Run,3,463k,22¼,56k,J. Zúñiga.,Mario Covarrubias,Kdm,15.20
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,14,5,Lo Franco,Seeking The Dia,5,432k,22¼,55k,G. Givovich.,Rodrigo Quiroz S.,El Kaiser,75.60
27/12/2025,Hipódromo Chile,19,19:33,1200m,Handicap (Hd) 13 al 12,U,10,Kalanit,Robert Bruce,3,495k,27¼,56k,J. Medina.,Juan Pablo Baeza J.,Don Theo,10.80
27/12/2025,Hipódromo Chile,20,20:00,1000m,Handicap (Hd) 15 al 13,1,12,Nougatini Flower,Indian Trail,3,507k,,55k,R. Cisternas.,Marco Pavez O.,Haras Sumaya,1.70
27/12/2025,Hipódromo Chile,20,20:00,1000m,Handicap (Hd) 15 al 13,2,4,Costamia,Fortify,6,443k,1½,55k,R. Painen.,Maritza Pérez A.,Don Amadeo,11.70
27/12/2025,Hipódromo Chile,20,20:00,1000m,Handicap (Hd) 15 al 13,3,15,Zoboomafoo,Forever Thing,5,474k,2¼,56k,R.S. Dores.,Aldo Castagneto U.,Ivja,9.90
