Fecha,Hipodromo,Carrera,Hora,Distancia,Condicion,Lugar,Numero,Ejemplar,Padrillo,Edad,Peso_Fisico,Distancia_Al_Primero,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,1,3,Peluka,Frank Conversation,4,451k,,56k,V. Miranda.,Juan C. Pichara J.,Seguir Soñando,5.90
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,2,10,Indy Jets,Get Jets,4,441k,1,56k,L. González.,Rodrigo Muñoz M.,Savka Hermanos,9.40
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,3,15,Hacer Por Hacer,Fantasmagorico,6,418k,1½,56k,S. González.,Eduardo Lab R.,Mami Chela,10.50
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,4,14,Vine Vide Vinci,Tumblebrutus,11,463k,3½,56k,B. Troncoso.,Rodrigo Quiroz S.,Lusugo,4.10
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,5,7,Meme,Good Samaritan,4,405k,4,56k,M. Gutiérrez.,Rafael Bernal G.,Sema,8.50
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,6,5,Un Dia Contigo,Seeking The Dia,4,431k,4½,56k,R. Varas.,Lauro Pérez A.,Lauro Perez A.,12.30
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,7,13,Juntitos Siempre,Grand Daddy,4,457k,4½,56k,P. Zúñiga.,Rodrigo López B.,Patito,21.70
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,8,8,El Gran Tornado,Newfoundland,8,440k,5¼,56k,N. Rojas.,Mario A. Apablaza G.,Albino,37.70
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,9,9,Bay Good Chiqui,Good Samaritan,4,399k,7½,56k,R. Fuenzalida.,Claudio Bernal G.,Malcib,21.10
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,10,11,Limitless,Hold Me Back,7,475k,8¼,56k,D. Sánchez.,Leopoldo Parra G.,El Vetero,6.40
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,11,4,La Soñe,Midshipman,6,437k,8¾,56k,J. González.,Genaro J. Covarrubias E.,La Corina,16.70
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,12,2,Bhadrak,Newfoundland,4,448k,9¾,56k,D. D. Medina.,José Bravo M.,Cecilia Falconi,30.20
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,13,6,Nanverqui,Neko Bay,7,419k,11,56k,R. Painen.,Maritza Pérez A.,Mama Lila,20.10
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,14,1,Roman War,War Command,9,476k,11¾,56k,R. Covarrubias.,Genaro J. Covarrubias E.,La Corina,9.50
27/12/2025,Hipódromo Chile,3,12:35,1200m,Handicap (Hd) 1,U,12,Mendel Quinta,Mendelssohn,4,442k,16,56k,M. Morales.,Rafael Bernal G.,Paula Ines,9.80
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,1,14,Zigeuner,Ivan Denisovich,6,482k,,56k,A. Covarrubias.,Mario Covarrubias,Felipe Jesus,7.20
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,2,4,India Adorada,Exaggerator,5,459k,1,56k,L.D. Menghini.,Eugenio Switt V.,Florence,14.10
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,3,1,Mago De Naipes,Felíz de Vivir,7,433k,6,56k,H. Barrera.,Rodrigo Quiroz S.,Artigas,6.40
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,4,3,La Ovalle Negrete,El Farrero,6,419k,6½,56k,R. Avila.,Jaime Hirmas R.,Jaime Hirmas R.,4.90
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,5,5,Natalino,Seeking The Dia,10,498k,8¼,56k,A. Zúñiga.,Ricardo Rojas S.,Chamo Candela,5.50
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,6,12,Keep Dreaming,Hiraboku Deep,4,393k,8¼,56k,G. Givovich.,Ricardo Rojas S.,Pequeño Matias,50.40
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,7,7,Interception,Ivan Denisovich,7,457k,8½,56k,R. Varas.,Lauro Pérez A.,Dianita Isabel,21.50
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,8,11,Infinito Viaje,Viscount Nelson,4,413k,9,56k,R. Fuenzalida.,Eugenio Switt V.,Maxicrack,10.60
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,9,8,Du Plesis,Sky Mesa,4,481k,9½,56k,J. Vera.,Claudio Bernal G.,Di Giorgio Dicone,26.80
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,10,15,Exagerada Y Buena,Exaggerator,4,458k,9½,56k,C. Weilby.,Armando Lab J.,Armando Lab J.,40.60
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,11,10,Good Morning Red,Morning Red,5,426k,10¼,56k,L. Silva.,Hernán Pacheco P.,Solin,102.10
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,12,2,Canovanas,Total Impact,10,456k,10¾,56k,F. Moreno.,José Venegas P.,Jose Venegas P.,6.90
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,13,9,Alajja,Indian Trail,5,423k,11,56k,J. Cueto.,Juan Aravena M.,Matias Aravena,6.10
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,14,6,La Chipriota,Commemorative,6,446k,19,56k,D. Sánchez.,Armando Lab J.,Las Estelas,7.80
27/12/2025,Hipódromo Chile,4,13:01,1200m,Handicap (Hd) 1,U,13,Gran Beny,Jadada,15,450k,19¾,56k,R. Painen.,Armando Lab J.,Armando Lab J.,53.20
27/12/2025,Hipódromo Chile,5,13:26,1000m,Condicional Hembras 3 años no ganadoras,1,5,Tu Mi Cunca,Cunco,3,435k,,55k,F. Henríquez.,Pedro Diaz S.,Pedro Diaz S.,11.60
27/12/2025,Hipódromo Chile,5,13:26,1000m,Condicional Hembras 3 años no ganadoras,2,3,Poenni,Ivan Denisovich,3,431k,½ cp,52k,N. Rojas.,Rodrigo Muñoz M.,Cabritis,29.80
27/12/2025,Hipódromo Chile,5,13:26,1000m,Condicional Hembras 3 años no ganadoras,3,8,Bella Chichi,Distorted Economy,3,463k,1¾,55k,A. Covarrubias.,Hernán Pacheco P.,Margal,20.80
27/12/2025,Hipódromo Chile,5,13:26,1000m,Condicional Hembras 3 años no ganadoras,4,10,Che Away,Flameaway,3,430k,1¾,55k,J. Medina.,Juan Pablo Baeza J.,Identic,5.50
27/12/2025,Hipódromo Chile,5,13:26,1000m,Condicional Hembras 3 años no ganadoras,5,14,Wittenburg,Dubai Sky,3,439k,2,55k,R.S. Dores.,Aldo Castagneto U.,Las Araucarias,7.60
27/12/2025,Hipódromo Chile,5,13:26,1000m,Condicional Hembras 3 años no ganadoras,6,12,Mixed Emotions,Grand Daddy,3,490k,2½,55k,A. Apablaza.,Cristian Quiroz E.,De Quiva's,13.80
27/12/2025,Hipódromo Chile,5,13:26,1000m,Condicional Hembras 3 años no ganadoras,7,6,Para Ti Mi Amor,Spun to Run,3,400k,5¼,55k,S. González.,Rodrigo Quiroz S.,Santa Olga,2.30
