Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
6,1,13:00,1000,1°,4,Bless White Legs,Daddy Long Legs,448,55,V. Miranda,Alejandro Padovani E.,Ferfon,2.00
6,1,13:00,1000,2°,5,Fabrana,Seeking The Dia,465,56,R. Fuenzalida,Ricardo Rojas S.,Altamira,10.60
6,1,13:00,1000,3°,3,Queen Any,Cloud Computing,437,57,F. Morales,Raúl Montesino S.,Los Cabezas Alvarez,5.40
6,1,13:00,1000,4°,8,Rodelindo Crack,Exaggerator,463,55,R. Avila,Enrique A. Carreño R.,Enrique Carreño R.,32.30
6,1,13:00,1000,5°,9,Tia Marta,Viscount Nelson,387,56,J. Cueto,Juan Ubilla P.,Valentín Ubilla C.,15.90
6,1,13:00,1000,6°,14,Markinabizkaia,Annual Report,453,57,M. Herrera,Daniel Contreras A.,Daniel Contreras A.,9.50
6,1,13:00,1000,7°,12,Azalea India,Indian Trail,447,55,R. Cisternas,Oscar Donate S.,Antonio Aida,4.00
6,1,13:00,1000,8°,6,Amar Azul,Flameaway,450,55,L.D. Menghini,Eugenio Switt V.,Carlos Cavieres,25.80
6,1,13:00,1000,9°,2,No Me Canso,Goldencents,461,56,A. Morales,Genaro J. Covarrubias E.,El Mero Mero,20.10
6,1,13:00,1000,10°,11,Sin Miedo,Grand Daddy,511,55,J. González,Juan C. Pichara J.,Seguir Soñando,11.10
6,1,13:00,1000,11°,13,Marulina,Dylan Thomas,416,55,M. Galáz,Genaro J. Covarrubias E.,El Magico Charly,27.90
6,1,13:00,1000,12°,10,Mamita Pinina,Distorted Economy,432,56,I. Vargas,Daniel Contreras A.,El Duke,95.00
6,2,13:26,1200,1°,4,Sibila Red,Get Jets,447,56,J. Herrera,Oscar Donate S.,Redbros,5.10
6,2,13:26,1200,2°,6,Regia Piba,Robert Bruce,460,55,F. Henríquez,Manuel Norambuena Ch.,Charito,5.30
6,2,13:26,1200,3°,15,Ragazza Viziata,Palm Springs,429,51,F. Medina,Cristián Urbina R.,Auguri,3.00
6,2,13:26,1200,4°,7,Diosa Kali,Spun to Run,0,55,I. Vargas,José Bravo M.,José Bravo M.,16.70
6,2,13:26,1200,5°,1,Sogna Con Me,Ya Primo,437,55,N. Ramirez,José Venegas P.,Jose Venegas P.,5.60
6,2,13:26,1200,6°,11,Wielka,Ivan Denisovich,447,55,B. León,Juan Pablo Baeza J.,Stud La Nonna Ltda.,4.90
6,2,13:26,1200,7°,3,Bella Chichi,Distorted Economy,471,55,P. Galáz,Hernán Pacheco P.,Margal,20.70
6,2,13:26,1200,8°,5,Guagua Feliz,Newfoundland,406,52,N. Rojas,Rodrigo Sánchez Q.,Azurri,14.40
6,2,13:26,1200,9°,8,Song Song Blue,Dubai Sky,426,55,J. Villablanca,Cristian Quiroz E.,Fos,55.40
6,2,13:26,1200,10°,9,La Universitaria,Bad Daddy,403,55,J. Eyzaguirre,Rodrigo Quiroz S.,Lucaraste,70.00
6,2,13:26,1200,11°,12,Serket,Bilzerian,435,55,N. Santibañez,Mario A. Apablaza G.,Raices De Codegua,59.70
6,2,13:26,1200,12°,10,La Cia,International Star,395,55,M. Gutiérrez,Oscar Donate S.,Mario Andrés,15.00
6,2,13:26,1200,13°,2,La Jeshu,Distorted Economy,435,55,R. Fuenzalida,Daniel Contreras A.,Ja,81.10
6,2,13:26,1200,14°,13,Sinag,Good Samaritan,413,55,J. Cueto,Rodrigo Quiroz S.,Malcib,32.70
6,3,13:52,1000,1°,9,El Chico Richard,Forward March,409,55,L. González,Alejandro Martínez C.,Gran Pacha,4.60
6,3,13:52,1000,2°,7,Patyta Black,International Star,402,56,F. Henríquez,Manuel Norambuena Ch.,Primo Hermano,4.10
6,3,13:52,1000,3°,3,Cachorrita Mia,Long River,452,56,J. Medina,Patricio Valderrama C.,El Patron,2.60
6,3,13:52,1000,4°,1,Callahan,Viscount Nelson,438,54,W. León,Genaro J. Covarrubias E.,El Mero Mero,16.70
6,3,13:52,1000,5°,8,Casper Inn,Dylan Thomas,405,54,J. Eyzaguirre,Luis Machulas G.,Pepeluche,27.70
6,3,13:52,1000,6°,2,Ayusa,Gstaad II,427,55,B. Ayala,Enrique M. Becar B.,Lujabor,28.20
6,3,13:52,1000,7°,5,Power Girl,Mendelssohn,434,56,B. León,Mario Covarrubias,Quarter Dollar,3.70
6,3,13:52,1000,8°,6,Juniper,Distorted Economy,403,55,F. Morales,Jaime Hirmas R.,Chamo Candela,15.40
6,3,13:52,1000,9°,10,Vivimos Soñando,Dylan Thomas,469,56,S. González,Juan C. Pichara J.,Marete,7.40
6,4,14:19,1000,1°,9,Canovanas,Total Impact,461,56,A. Varas,José Venegas P.,Jose Venegas P.,14.60
6,4,14:19,1000,2°,7,La Tostadora,Cupid,472,57,P. Galáz,Hernán Pacheco P.,Grande Tio Kiko,3.60
6,4,14:19,1000,3°,4,Nanverqui,Neko Bay,414,56,R. Painen,Maritza Pérez A.,Mama Lila,19.80
6,4,14:19,1000,4°,3,Palabra Cierta,Gemologist,482,58,D. Carvacho,Rodrigo Quiroz S.,Peter Ecso,2.10
6,4,14:19,1000,5°,14,Soy Enriqueta,State Of Play,480,59,G. Aros,Alejandro Padovani E.,Mameza,7.60
