Carrera,Hora,Nombre_Premio,Lugar,Partida,Caballo,Padrillo,Stud,Peso_Final,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
14,19:47,FIGURATE TU,11,9,RAIRET,DYLAN THOMAS,CHARITO,432,RONALD FOURNET,57,CRISTOBAL GONZALEZ M.,7 3/4 cpos.,15,111.3
14,19:47,FIGURATE TU,12,16,REINA EGIPCIA,SPUN TO RUN (USA),BARTI,0,DIEGO CARRASCO,53,FRANCISCO PINOCHET,14 1/2 cpos.,11,157.6
14,19:47,FIGURATE TU,13,8,BESOS DE MIEL,FLAMEAWAY (CAN),LOS BRUJOS,427,RAFAEL CISTERNAS,54,JUAN RODRIGUEZ R.,15 cpos.,12,6.4
14,19:47,FIGURATE TU,14,14,CAMELOT,INTERNATIONAL STAR (USA),CHARITO,445,RODOLFO FUENZALIDA,53,CRISTOBAL GONZALEZ M.,19 1/2 cpos.,11,34.8
14,19:47,FIGURATE TU,15,5,EN HONOR A TITO,PATTERNRECOGNITION,MILNA,468,RODRIGO COVARRUBIAS,54,FELIPE GONZALEZ S.,23 3/4 cpos.,12,159.3
15,20:19,FIJADERA,1,3,YO SOY YI,GRAND DADDY,SAVKA HERMANOS,435,GERARD RODRIGUEZ,56,HECTOR MANRIQUEZ,Ganador,8,9.6
15,20:19,FIJADERA,2,11,SASSI,CONSTITUTION,MV JR.,430,BENJAMIN TRONCOSO,55,CARLOS GARCIA,1 cpo.,7,12.4
15,20:19,FIJADERA,3,10,FUEGO Y HIERRO,HINZ,BUCAREST,470,GUSTAVO AROS,56,ALEJANDRO PADOVANI E.,1 1/2 cpos.,8,2.2
15,20:19,FIJADERA,4,1,MANKIND,GOLDENCENTS,FACUNDO SANTIAGO,436,RODRIGO PAINEN,56,HECTOR MANRIQUEZ,1 3/4 cpos.,9,18.5
15,20:19,FIJADERA,5,6,QUIEN ME PILLO,MIDSHIPMAN,EL MERO MERO,434,FELIPE HENRIQUEZ,55,SERGIO MORALES,3 3/4 cpos.,7,4.3
15,20:19,FIJADERA,6,7,MECEDOR,HOLD ME BACK,NANAO,481,WLADIMIR QUINTEROS,56,ANGEL JAQUE S.,4 1/2 cpos.,8,33
15,20:19,FIJADERA,7,9,PRIMA TOWN,MO TOWN,HECTOR MANRIQUEZ F.,405,VICTOR BRACETTI,57,HECTOR MANRIQUEZ,4 3/4 cpos.,9,8.9
15,20:19,FIJADERA,8,5,SISI STAR,MENDELSSOHN (USA),LOS CABEZAS ALVAREZ,428,DIEGO CARRASCO,53,RAUL MONTESINO,7 cpos.,6,47.4
15,20:19,FIJADERA,9,15,BEHIND THE SUN,PATTERNRECOGNITION,GARAGE JCS,400,RODOLFO FUENZALIDA,55,FELIPE GONZALEZ S.,7 1/2 cpos.,7,8.9
15,20:19,FIJADERA,10,8,TANGERINE TANGO,CONSTITUTION,EL GUATI,407,ANDRES CASTILLO,55,HARRISON ADONIS,10 1/4 cpos.,7,89.7
15,20:19,FIJADERA,11,14,VUELVE LA FARRA,EL FARRERO,JOTABE,445,RAFAEL CISTERNAS,54,RODRIGO SILVA S.,12 1/2 cpos.,6,6.2
15,20:19,FIJADERA,12,12,PLANETA FELIZ,DANCE BRIGHTLY,AS,434,RODRIGO COVARRUBIAS,56,SERGIO ALVARADO P.,15 cpos.,8,80.4
15,20:19,FIJADERA,13,4,PEDRINHO,GSTAAD II,TETITO IGNACIO,482,BENJAMIN AYALA,54,CLAUDIO NAVARRO A.,21 cpos.,6,16.9
16,20:50,FEBO APOLO,1,13,QUEEN TIGER,HANDSOME TIGER,EL CEDRO,457,RAFAEL CISTERNAS,58,JUAN CAVIERES,Ganador,14,3.7
16,20:50,FEBO APOLO,2,7,TWEETY,VISCOUNT NELSON,BUREO,376,FRANCISCO MORALES,56,ROBERTO TOLEDO M.,1 cpo.,12,15.6
16,20:50,FEBO APOLO,3,4,KORPER,MIDSHIPMAN,JOSE LUIS,483,NICOLAS MOLINA,54,RAUL MONTESINO,3 1/4 cpos.,10,9.8
16,20:50,FEBO APOLO,4,8,JUNO,CLASSIC EMPIRE (USA),C.H.C.,478,SEBASTIAN GONZALEZ,53,HERNAN ULLOA,4 1/4 cpos,17,3.2
16,20:50,FEBO APOLO,5,12,A MI EDAD DIFICIL,PATTERNRECOGNITION,LOS PRIMOS TARIFEÑO,524,RODRIGO COVARRUBIAS,55,SERGIO ALVARADO P.,4 3/4 cpos.,11,16.1
16,20:50,FEBO APOLO,6,10,REY DEL ESTERO,PATTERNRECOGNITION,EL ESTERO L.C.A.,539,BENJAMIN TRONCOSO,56,HERNAN ULLOA,6 1/4 cpos.,12,4.7
16,20:50,FEBO APOLO,7,14,RUCIA DEL DOC,EXAGGERATOR,FERNANDEZ L ALVARO,428,JESUS TORO,54,ALVARO FERNANDEZ,9 3/4 cpos.,10,24.3
16,20:50,FEBO APOLO,8,9,EL KING,MEGLIORE DI TUTTI,AJSA,440,BENJAMIN AYALA,55,HERNAN ULLOA,10 3/4 cpos.,12,139.6
16,20:50,FEBO APOLO,9,1,SABIO MENTOR,IMPERIA II,MILLAR M PATRICIO,468,PEDRO ROBLES,58,JOHN PINOCHET,11 1/4 cpos.,14,5.5
16,20:50,FEBO APOLO,10,5,QUICOTE,VISCOUNT NELSON,MILNA,486,WILBERT LEON,54,FELIPE GONZALEZ S.,13 3/4 cpos.,10,141.7
16,20:50,FEBO APOLO,11,3,ARTHUR SHELBY,GRAND DADDY,EL MERO MERO,449,RODRIGO PAINEN,54,JOSE ARAYA B.,14 1/4 cpos.,11,29.5
16,20:50,FEBO APOLO,12,15,REO POR LINDO,LAST BEST PLACE,MARQUES,467,JONATHAN A. CASTILLO,55,ALDO PARRA D.,15 3/4 cpos.,11,11.4
16,20:50,FEBO APOLO,13,2,CHINITA TRAVIESA,GOOD SAMARITAN (USA),LOS BRUJOS,442,PIERO REYES P.,58,ALEJANDRO PADOVANI E.,26 1/4 cpos.,14,18.3
