Carrera,Hora,Nombre_Premio,Lugar,Partida,Caballo,Padrillo,Stud,Peso_Final,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
4,14:50,FUNDACION JINETES POR SIEMPRE,4,2,HEY JOKE,PRACTICAL JOKE,CHARITO,510,HECTOR BERRIOS,64,CRISTOBAL GONZALEZ M.,4 cpos.,56,3
4,14:50,FUNDACION JINETES POR SIEMPRE,5,5,PRIETO AZABACHE,CONSTITUTION,BARBASTRO,531,WILBERT LEON,50,ANDRES BERNAL,7 cpos.,23,21.6
4,14:50,FUNDACION JINETES POR SIEMPRE,6,6,KAREV,CONSTITUTION,HERMANOS,530,IGNACIO VALDIVIA,53,PATRICIO BAEZA A.,11 1/4 cpos.,43,3.9
5,15:20,FEUDALERO,1,6,LITTLE GASPI,WAR COMMAND,ROXANITA,499,FRANCISCO MORALES,56,RAUL MONTESINO,Ganador,1,5
5,15:20,FEUDALERO,2,4,PESO DORADO,GOLDENCENTS,MISTER LIMBO,463,RODOLFO FUENZALIDA,56,CLAUDIO NAVARRO A.,3 1/2 cpos.,1,3.1
5,15:20,FEUDALERO,3,1,MUY SOLO AQUI,LOOKIN AT LUCKY,NANOS,474,RAFAEL CISTERNAS,57,CLAUDIO NAVARRO A.,5 1/4 cpos.,2,2.4
5,15:20,FEUDALERO,4,11,MARULINA,DYLAN THOMAS,MARIO ANDRES,426,NICOLAS SANTIBAÑEZ,56,CRISTIAN URBINA,5 1/4 cpos.,1,28.3
5,15:20,FEUDALERO,5,7,BICAMPEON CHILENO,DYLAN THOMAS,EL MERO MERO,427,RODRIGO PAINEN,56,JOSE ARAYA B.,6 1/4 cpos.,1,7.2
5,15:20,FEUDALERO,6,5,TAN DECORATIVA,DADDY LONG LEGS,MIS TRES AMORES,439,WLADIMIR QUINTEROS,56,RODRIGO SILVA S.,8 cpos.,1,12.7
5,15:20,FEUDALERO,7,2,PITTIRANGA,DYLAN THOMAS,LOS PINCHEIRA,483,AXEL ALVAREZ,58,GABRIEL MELEJ,9 1/2 cpos.,3,8.6
5,15:20,FEUDALERO,8,9,STRATA,LOOKIN AT LUCKY,EL ROSARINO,464,VICTOR MIRANDA,57,OSCAR SILVA S.,10 cpos.,2,26.4
5,15:20,FEUDALERO,9,3,GRAN TOURIST,TOURIST,SAGARDIA HNOS.,406,MOISES A. DONOSO,56,OSCAR SILVA G.,10 1/4 cpos.,1,107
5,15:20,FEUDALERO,10,10,WALKA,SHANGHAI BOBBY,FUENTES DE M CARMEN,473,ROBERTO AVILA,57,CARLOS MELERO,12 1/4 cpos.,2,34.6
5,15:20,FEUDALERO,11,8,PEQUEÑA CHENOA,DISTORTED ECONOMY,MV JR.,380,DIEGO CARRASCO,56,CARLOS GARCIA,16 1/2 cpos.,1,15.6
6,15:49,CUERPO DE BOMBEROS DE SANTIAGO,1,2,GRIEZMANN,MASTERCRAFTSMAN,MATTE D. DOMINGO,453,NICOLAS MOLINA,60,DOMINGO MATTE,Ganador,26,3.6
6,15:49,CUERPO DE BOMBEROS DE SANTIAGO,2,4,BALDER EL NORUEGO,STEVIE WONDERBOY,SOL DE NORUEGA,479,RODOLFO FUENZALIDA,53,ANDRES BERNAL,1 1/4 cpos.,17,8.9
6,15:49,CUERPO DE BOMBEROS DE SANTIAGO,3,6,BREGO,BAD DADDY,SHOT MENZEL,463,BASTIAN SOTO,55,JOSE ARAYA B.,2 cpos,19,9.9
6,15:49,CUERPO DE BOMBEROS DE SANTIAGO,4,3,LIMATOWN,MO TOWN,LOS MAGUITOS,445,AXEL ALVAREZ,57,ALDO PARRA D.,2 cpos,21,5.4
6,15:49,CUERPO DE BOMBEROS DE SANTIAGO,5,9,NALALA,EXAGGERATOR,SUPER SUPER,428,HECTOR BERRIOS,59,RODRIGO SANCHEZ,2 1/4 cpos,25,1.8
6,15:49,CUERPO DE BOMBEROS DE SANTIAGO,6,7,DISMAI,KATMAI,RIO QUILIMARI,488,BENJAMIN TRONCOSO,58,JUAN RODRIGUEZ R.,4 cpos.,22,11.4
6,15:49,CUERPO DE BOMBEROS DE SANTIAGO,7,1,SINESIO,GEMOLOGIST,MILNA,496,RODOLFO S. DORES,60,FELIPE GONZALEZ S.,4 1/2 cpos.,26,47.1
6,15:49,CUERPO DE BOMBEROS DE SANTIAGO,8,8,NAVIDAD VELOZ,VERRAZANO (USA),QUARTER DOLLAR,459,RODRIGO COVARRUBIAS,55,MARIO COVARRUBIAS,4 3/4 cpos.,19,12
6,15:49,CUERPO DE BOMBEROS DE SANTIAGO,9,5,DON'T CRY DADDY,GRAND DADDY,SILVA G. OSCAR E.,546,WILBERT LEON,51,OSCAR SILVA G.,6 1/4 cpos.,15,46.2
7,16:16,SOLARIA,1,7,GOOD DECISIONS,GOOD SAMARITAN (USA),MATRIARCA,425,SEBASTIAN GONZALEZ,55,MARIO RABAJILLE D.,Ganador,15,14.2
7,16:16,SOLARIA,2,5,YA VA,MENDELSSOHN (USA),STUD DOÑA ELIANA,460,AXEL ALVAREZ,55,PATRICIO BAEZA A.,1 1/2 cpos.,19,2.9
7,16:16,SOLARIA,3,8,SELVA BELLA,MENDELSSOHN (USA),STUD LA NONNA LTDA.,453,RAFAEL CISTERNAS,55,JULIO ORELLANA,1 3/4 cpos.,15,7.1
7,16:16,SOLARIA,4,3,MI MAMA INES,CLASSIC EMPIRE (USA),BOTAFOGO,440,IGNACIO VALDIVIA,55,GUILLERMO AGUIRRE,2 1/4 cpos,17,13
7,16:16,SOLARIA,5,6,ON LOOK,LOOKIN AT LUCKY,STUD MARENGA,432,JOAQUIN HERRERA,55,JULIO ORELLANA,2 3/4 cpos.,18,11.5
