Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador
1,12:45,JOVEN DE ALMA,1000,ARENA,1,ESTEPHANIA,57,B. Sancho,T. Cachely
1,12:45,JOVEN DE ALMA,1000,ARENA,2,KEPKA,57,N. Rojas,D. Donate S.
1,12:45,JOVEN DE ALMA,1000,ARENA,3,GRAN LALITO,57,Seb Gonzalez,J. C. Pichara J.
1,12:45,JOVEN DE ALMA,1000,ARENA,4,UNO CERO,57,L. C. Gonzalez,F. Gonzalez S.
1,12:45,JOVEN DE ALMA,1000,ARENA,5,VINNALIA,57,M. Galaz,A. Jaque S.
1,12:45,JOVEN DE ALMA,1000,ARENA,6,DANITA FIRST,57,W. Quinteros,C. Garcia V.
1,12:45,JOVEN DE ALMA,1000,ARENA,7,NIETA DEL MONTY,57,R. Cisternas,D. Matte D.
1,12:45,JOVEN DE ALMA,1000,ARENA,8,MANANO,57,Js. Solano,O. E. Silva G.
1,12:45,JOVEN DE ALMA,1000,ARENA,9,DIMITRA,57,Js. Cueto,R. Muñoz M.
1,12:45,JOVEN DE ALMA,1000,ARENA,10,MANCHITA DEL NUBLE,57,G. Rodriguez,C. Melero F.
1,12:45,JOVEN DE ALMA,1000,ARENA,11,PRAIA DO FORTE,57,R. Fuenzalida,C. Garcia V.
1,12:45,JOVEN DE ALMA,1000,ARENA,12,LUDMILA,57,B. Soto,W. Peña P.
1,12:45,JOVEN DE ALMA,1000,ARENA,13,TORNADO DE BULI,57,R. Solorza,F. Gonzalez S.
1,12:45,JOVEN DE ALMA,1000,ARENA,14,RAYO VELOZ,57,B. Ayala,L. Machulas G.
1,12:45,JOVEN DE ALMA,1000,ARENA,15,WILLIAM FAULKNER,57,Cl. Jorquera,Fco. Pinochet P.
2,13:12,KEITEL,1400,ARENA,1,MECEDOR,57,W. Quinteros,A. Jaque S.
2,13:12,KEITEL,1400,ARENA,2,CONOCIENDOTE,56,G. Rodriguez,W. Peña P.
2,13:12,KEITEL,1400,ARENA,3,PESO DORADO,57,R. Fuenzalida,Cl. Navarro A.
2,13:12,KEITEL,1400,ARENA,4,VUELVE LA FARRA,55,Cl. Jorquera,R. Silva S.
2,13:12,KEITEL,1400,ARENA,5,NATALINO,53,D. Sanchez,R. Rojas S.
2,13:12,KEITEL,1400,ARENA,6,GRAND CASABLANCA,58,Gva. Aros,G. Melej R.
2,13:12,KEITEL,1400,ARENA,7,TANGERINE TANGO,56,Fel. Moreno,H. Adonis B.
2,13:12,KEITEL,1400,ARENA,8,PEDRINHO,56,Jr. A. Mora,Cl. Navarro A.
2,13:12,KEITEL,1400,ARENA,9,EN CAPILLA,57,B. Sancho,R. Silva S.
2,13:12,KEITEL,1400,ARENA,10,QUIEN ME PILLO,56,F. Henriquez,S. Morales G.
3,13:39,KALTRU,1800,PASTO,1,BALDER EL NORUEGO,57,R. Fuenzalida,A. Bernal G.
3,13:39,KALTRU,1800,PASTO,2,INDHIRA,56,D. Sanchez,R. Rojas S.
3,13:39,KALTRU,1800,PASTO,3,SAPIRONGO,57,O. Ulloa,P. Baeza A.
3,13:39,KALTRU,1800,PASTO,4,ARTHUR SHELBY,52,J. Toro,Js. Araya B.
3,13:39,KALTRU,1800,PASTO,5,MATE AMARGO,51,Jn. M. Soto,H. E. Ulloa P.
3,13:39,KALTRU,1800,PASTO,6,FERLUISI,58,J. Herrera,Js. Araya B.
3,13:39,KALTRU,1800,PASTO,7,KANDOZI,55,Seb. Gonzalez,R. Montesino S.
3,13:39,KALTRU,1800,PASTO,8,MISTER STRESS,56,M. Galaz,D. Contreras A.
3,13:39,KALTRU,1800,PASTO,9,PLUMA DE MAR,58,R. Solorza,C. Garcia V.
3,13:39,KALTRU,1800,PASTO,10,RAUCO,56,Fco. Morales,R. Montesino S.
3,13:39,KALTRU,1800,PASTO,11,WONDERFUL STAR,55,B. Troncoso,R. Pulgar A.
4,14:07,JOVEN AS,1200,PASTO,1,MONARCA,57,G. Givovich,G. Peralta P.
4,14:07,JOVEN AS,1200,PASTO,2,EL BIGOTE,56,A. Alvarez,R. Silva S.
4,14:07,JOVEN AS,1200,PASTO,3,PERFECTA ACTITUD,57,Js. Villablanca,H. Adonis B.
4,14:07,JOVEN AS,1200,PASTO,4,SUEÑO REALIDAD,53,R. Cisternas,W. Peña P.
4,14:07,JOVEN AS,1200,PASTO,5,TURQUESA DORADA,53,A. Villagra,W. Peña P.
4,14:07,JOVEN AS,1200,PASTO,6,AMPAWAN,58,B. Soto,Js. Araya B.
4,14:07,JOVEN AS,1200,PASTO,7,REINA DEL MONTE,55,R. Painen,Js. Araya B.
4,14:07,JOVEN AS,1200,PASTO,8,EXTROVERTIDA,55,G. Rodriguez,H. Manriquez F.
4,14:07,JOVEN AS,1200,PASTO,9,LITTLE GASPI,57,Fco. Morales,R. Montesino S.
4,14:07,JOVEN AS,1200,PASTO,10,MARULINA,55,N. Santibañez,Cr. Urbina R.
4,14:07,JOVEN AS,1200,PASTO,11,OJO DE HALCON,54,A. Apablaza,R. Toledo M.
4,14:07,JOVEN AS,1200,PASTO,12,SEE YOU AGAIN,58,L. C. Gonzalez,F. Gonzalez S.
4,14:07,JOVEN AS,1200,PASTO,13,MOSASAURUS,53,L. D. Menghini,O. E. Silva G.
4,14:07,JOVEN AS,1200,PASTO,14,CABLE A TIERRA,55,Js. Solano,R. Toledo M.
5,14:33,KAFTAN,1200,ARENA,1,CONQUISTADO,57,Seb Gonzalez,Js. Araya B.
5,14:33,KAFTAN,1200,ARENA,2,EL ATREVIDO,57,B. Troncoso,D. Silva S.
5,14:33,KAFTAN,1200,ARENA,3,CRUZA EL RIO,57,R. Fournet,R. Toledo M.
5,14:33,KAFTAN,1200,ARENA,4,TIO SALCHICHA,57,V. Miranda,D. Silva S.
