Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador
1,17:00,"GENEROSO AMIGO",1100,,1,SURICATA,58,R. Vásquez,C.A. Rojas
1,17:00,"GENEROSO AMIGO",1100,,2,EL MANOLO,55,J.A. Miño,C. Córdova
1,17:00,"GENEROSO AMIGO",1100,,3,THE LANCE,59,G. Pereda,C. Norambuena
1,17:00,"GENEROSO AMIGO",1100,,4,FRESCO,58,Jn.A. Campos,F. Acevedo
1,17:00,"GENEROSO AMIGO",1100,,5,LA SEPTIMA LUNA,58,E. González,J.P. Torres
1,17:00,"GENEROSO AMIGO",1100,,6,JUDGE ROOM,58,C. Norambuena,A. Pereda
1,17:00,"GENEROSO AMIGO",1100,,7,YERKO,59,E. González,G. Vera
1,17:00,"GENEROSO AMIGO",1100,,8,DOBLE NEGRO,56,B. Cordero,E. Alarcón
1,17:00,"GENEROSO AMIGO",1100,,9,CHARMING STAR,55,C. Norambuena,C. Cordero
1,17:00,"GENEROSO AMIGO",1100,,10,FURIA DE TROYA,55,C. Pavez,A. Navarrete
1,17:00,"GENEROSO AMIGO",1100,,11,STROKE OF LUCK,56,R. Vásquez,J. Olate
2,17:30,"GALOPADOR",1100,,1,ASSADI,56,H. Arteaga,G. Pereda
2,17:30,"GALOPADOR",1100,,2,MISS LADY CLASSIC,55,A. Pereda,J. Espinosa
2,17:30,"GALOPADOR",1100,,3,JOVENTURFMAN,61,L.G. Soto,J.P. Torres
2,17:30,"GALOPADOR",1100,,4,CORAZON PENQUISTA,58,G. Vera,E. González
2,17:30,"GALOPADOR",1100,,5,NIÑA SAMARITANA,57,J. Olate,H. Arteaga
2,17:30,"GALOPADOR",1100,,6,QUIERO RE TRUCO,59,L. Rojas,G. Melo
2,17:30,"GALOPADOR",1100,,7,PECADO INCONFESABLE,61,V. Mardones,C. Córdova
2,17:30,"GALOPADOR",1100,,8,EL REGENTO,55,H. Arteaga,C.A. Rojas
3,18:00,"GOLD CHEESE",1300,,1,DESERT WIN,56,I. Cárcamo,H. Arteaga
3,18:00,"GOLD CHEESE",1300,,2,UN GRAN PENQUISTA,54,E. González,G. Pereda
3,18:00,"GOLD CHEESE",1300,,3,MONJITA DULCE,58,C.A. Rojas,C. Córdova
3,18:00,"GOLD CHEESE",1300,,4,GOLDEN WARRIOR,57,H. Arteaga (AP),J. Olate
3,18:00,"GOLD CHEESE",1300,,5,HUICHAMILLA,57,L. Rojas,C. Córdova
3,18:00,"GOLD CHEESE",1300,,6,EL GRAN TORNADO,57,B. Cordero,F. Acevedo
3,18:00,"GOLD CHEESE",1300,,7,VICTORY DAVID,58,G. Vera,F. Acevedo
3,18:00,"GOLD CHEESE",1300,,8,CATEDRAL DEL MAR,54,1.A. Inostroza,A. Cea
3,18:00,"GOLD CHEESE",1300,,9,PUMARA,54,A. Pereda,A. Cea
4,18:30,"GRAN SUREÑO",1000,,1,GUERRERO MAZAI,56,F. Acevedo,B. Cordero
4,18:30,"GRAN SUREÑO",1000,,2,REINA FILETE,56,Jn.A. Campos,R. Vásquez
4,18:30,"GRAN SUREÑO",1000,,3,ASTROAZURRO,56,M. Urzúa,E. Alarcón
4,18:30,"GRAN SUREÑO",1000,,4,GANDHI REPORT,56,H. Arteaga (AP),J. Olate
4,18:30,"GRAN SUREÑO",1000,,5,GOOD VICTORY,56,C. Norambuena,A. Pereda
4,18:30,"GRAN SUREÑO",1000,,6,FRANKIPAULA,56,C. Cordero,C. Córdova
4,18:30,"GRAN SUREÑO",1000,,7,CORRE CALATO,56,H. Arteaga,G. Pereda
4,18:30,"GRAN SUREÑO",1000,,8,HEY NINA,56,J.A. Inostroza,R. Bello
4,18:30,"GRAN SUREÑO",1000,,9,NIÑA VIAJERA,56,V. Gallardo,V. Mardones
4,18:30,"GRAN SUREÑO",1000,,10,ROBBEN,56,J. Espinosa,C.A. Rojas
4,18:30,"GRAN SUREÑO",1000,,11,IBIRAY,56,R. Bello,J.P. Torres
4,18:30,"GRAN SUREÑO",1000,,12,SHE IS SO NICE,56,C. Córdova,L. Rojas
4,18:30,"GRAN SUREÑO",1000,,13,SUZZANNE,56,J.A. Miño,R. Bello
5,19:00,"GRITO SALVAJE",1000,,1,ULTRASONIDO,56,G. Vera,F. Acevedo
5,19:00,"GRITO SALVAJE",1000,,2,PANTEU,55,Jn.A. Campos,N. Norambuena
5,19:00,"GRITO SALVAJE",1000,,3,FUERA DE MI,56,Cárcamo,E. González
5,19:00,"GRITO SALVAJE",1000,,4,PUEDO Y MAS,56,I. Pereda,J. Espinosa
5,19:00,"GRITO SALVAJE",1000,,5,SCHNELLER,56,J.P. Torres,R. Bello
5,19:00,"GRITO SALVAJE",1000,,6,LOYALTY,56,1. Olate,N. Norambuena
5,19:00,"GRITO SALVAJE",1000,,7,GULFO,56,J.A. Inostroza,A. Cea
5,19:00,"GRITO SALVAJE",1000,,8,BAD BUNNY,55,J.A. Miño,R. Bello
5,19:00,"GRITO SALVAJE",1000,,9,DARLING,55,L. Rojas,Ev. Alarcón
6,19:30,"GOLFO DE MEXICO",1000,,1,TROMBONCITO,57,L.G. Soto,J.P. Torres
6,19:30,"GOLFO DE MEXICO",1000,,2,FLASH STREAK,55,E. Alarcón,C. Pavez
6,19:30,"GOLFO DE MEXICO",1000,,3,IL IMPERATORE,58,C. Córdova,B. Cordero
6,19:30,"GOLFO DE MEXICO",1000,,4,GITANA GUAPA,57,Ev. Alarcón,V. Gallardo
6,19:30,"GOLFO de MEXICO",1000,,5,MAXIMO EMPERADOR,57,G. Vera,V. Mardones
6,19:30,"GOLFO DE MEXICO",1000,,6,PERLA INVASORA,58,1. Cárcamo,A. Cea
6,19:30,"GOLFO DE MEXICO",1000,,7,MANO DE BRONCE,58,A. Pereda,M. Apablaza
6,19:30,"GOLFO DE MEXICO",1000,,8,BUMPY,56,L. Rojas,N. Norambuena
6,19:30,"GOLFO DE MEXICO",1000,,9,PAKITO,56,R. Bello,1.A. Miño
6,19:30,"GOLFO DE MEXICO",1000,,10,GRAN KEVIN,55,C.A. Rojas,A. Cea
6,19:30,"GOLFO DE MEXICO",1000,,11,CALIFORNIA QUEEN,56,E. Alarcón,M. Urzúa
