Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador
1a,12:30,,1.200 Mts,Arena,1,MESTIZA FLOR,54,Jaime Hirmas R.,J.HirmasR
1a,12:30,,1.200 Mts,Arena,2,POWER OF HORSES,54,M.Gutierrez,L.MicheaF
1a,12:30,,1.200 Mts,Arena,3,GAMORRA,54,L.Rivera,R.QuirozF
1a,12:30,,1.200 Mts,Arena,4,SONATA CELTA,56,J.Toro,R.QuirozS
1a,12:30,,1.200 Mts,Arena,5,YA MAGICO,55,B.Gonzalez,G.CovarrubiasE
1a,12:30,,1.200 Mts,Arena,6,SILVESTRIN,55,J.Solano,M.ApablazaG
1a,12:30,,1.200 Mts,Arena,7,DESERT CAT,55,R.Cisternas,J.EspineiraC
1a,12:30,,1.200 Mts,Arena,8,RASHEEM,53,J.M.Soto,I.MicheaF
1a,12:30,,1.200 Mts,Arena,9,FRANCOLI,55,J.Cueto,R.QuirozS
1a,12:30,,1.200 Mts,Arena,10,MEME,55,J.Herrera,R.BernalG
1a,12:30,,1.200 Mts,Arena,11,DON PICHO,55,F.Morales,J.EspineiraC
1a,12:30,,1.200 Mts,Arena,12,MONTEPIEDRA,55,D.Carvacho,R.QuirozS
1a,12:30,,1.200 Mts,Arena,13,ZIGEUNER,55,And.Covarrubias,M.CovarrubiasE
1a,12:30,,1.200 Mts,Arena,14,ME VERAS CAER,58,F.Henriquez,J.CastilloD
1a,12:30,,1.200 Mts,Arena,15,RAYO VELOZ,56,B.Ayala,L.MachulasG
2a,12:55,Duendecito,1.000 Mts,Arena,1,SHYUANNA,55,N.Ramirez,J.PicharaJ
2a,12:55,Duendecito,1.000 Mts,Arena,2,SONG SONG BLUE,55,J.Eyzaguirre,C.QuirozE
2a,12:55,Duendecito,1.000 Mts,Arena,3,MIXED EMOTIONS,56,(NoCorre),C.QuirozE
2a,12:55,Duendecito,1.000 Mts,Arena,4,GET GIRLS,55,D.Carvacho,R.QuirozS
2a,12:55,Duendecito,1.000 Mts,Arena,5,TIGUARDA,55,F.Soto,H.PachecoP
2a,12:55,Duendecito,1.000 Mts,Arena,6,FOLLOW YOUR DREAMS,55,R.Avila,I.MicheaF
2a,12:55,Duendecito,1.000 Mts,Arena,7,LA CIA,55,M.Gutierrez,O.DonateS
2a,12:55,Duendecito,1.000 Mts,Arena,8,WITTENBURG,55,N.Rojas,A.CastagnetoU
2a,12:55,Duendecito,1.000 Mts,Arena,9,BELLA CHICHI,55,P.Galaz,H.PachecoP
2a,12:55,Duendecito,1.000 Mts,Arena,10,PARA TI MI AMOR,55,N.Molina,R.QuirozS
2a,12:55,Duendecito,1.000 Mts,Arena,11,LA UNIVERSITARIA,55,P.Zuniga,R.QuirozS
2a,12:55,Duendecito,1.000 Mts,Arena,12,SINAG,55,J.Cueto,R.QuirozS
2a,12:55,Duendecito,1.000 Mts,Arena,13,KATIE MELUA,55,A.Alvarez,O.DonateS
2a,12:55,Duendecito,1.000 Mts,Arena,14,BIANCA MIA,55,J.Herrera,R.BernalG
2a,12:55,Duendecito,1.000 Mts,Arena,15,DIOSA CHOCOLATE,55,F.Medina,J.EspineiraC
3a,13:20,,1.300 Mts,Arena,1,SANSSITA,55,And.Covarrubias,L.PerezA
3a,13:20,,1.300 Mts,Arena,2,SMILE QUEEN,55,A.Alvarez,C.A.UrbinaR
3a,13:20,,1.300 Mts,Arena,3,ME DAS OTRO BESO,55,B.Troncoso,P.MolinaI
3a,13:20,,1.300 Mts,Arena,4,LA QUE MAS CHAE,55,M.Morales,J.PinochetP
3a,13:20,,1.300 Mts,Arena,5,SOGNA CON ME,55,N.Rojas,J.VenegasP
3a,13:20,,1.300 Mts,Arena,6,EMPERIFOLLADA,55,A.Villagra,R.RojasS
3a,13:20,,1.300 Mts,Arena,7,MARIADYNIS,56,R.Fournet,J.ArayaB
3a,13:20,,1.300 Mts,Arena,8,TSUKIMI,55,F.Medina,J.P.BaezaJ
3a,13:20,,1.300 Mts,Arena,9,BAD ROMANCE,55,C.Bustos,R.BernalG
3a,13:20,,1.300 Mts,Arena,10,REGIA PIBA,55,F.Henriquez,M.NorambuenaCh
3a,13:20,,1.300 Mts,Arena,11,MAS AMOR,55,J.Cueto,J.UbillaP
4a,13:46,,1.200 Mts,Arena,1,MI SUENO SECRETO,56,J.Eyzaguirre,L.ParraG
4a,13:46,,1.200 Mts,Arena,2,NATALINO,56,F.Henriquez,R.RojasS
4a,13:46,,1.200 Mts,Arena,3,MENDEL QUINTA,56,M.Morales,R.BernalG
4a,13:46,,1.200 Mts,Arena,4,JOHN WAYNE,56,W.Leon,G.CovarrubiasE
4a,13:46,,1.200 Mts,Arena,5,SOY ENRIQUETA,56,G.Aros,A.PadovaniE
4a,13:46,,1.200 Mts,Arena,6,INTERCEPTION,56,And.Covarrubias,L.PerezA
4a,13:46,,1.200 Mts,Arena,7,KIASTRELO,56,B.Leon,M.CovarrubiasE
4a,13:46,,1.200 Mts,Arena,8,UN DIA CONTIGO,56,R.Varas,L.PerezA
4a,13:46,,1.200 Mts,Arena,9,ALAJJA,57,N.Santibanez,J.AravenaM
4a,13:46,,1.200 Mts,Arena,10,MI DIEZ POR CIENTO,56,G.Rodriguez,O.DonateS
4a,13:46,,1.200 Mts,Arena,11,LEGION DE HONOR,56,P.Zuniga,R.LopezB
4a,13:46,,1.200 Mts,Arena,12,MONTE HUA,56,M.Gutierrez,O.DonateS
4a,13:46,,1.200 Mts,Arena,13,KEEP DREAMING,56,M.Galaz,R.RojasS
4a,13:46,,1.200 Mts,Arena,14,DESCREIDA,56,R.Fournet,C.GonzalezM
