fecha,hipodromo,nro_carrera,hora,premio,distancia,superficie,numero,caballo,padrillo,peso,jinete,preparador
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,1,MOSASAURUS,Dylan Thomas,55,P. Reyes,Fco. Pinochet P.
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,2,MARULINA,Dylan Thomas,55,G. Rodriguez,G. Covarrubias E
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,3,QUIMBARA,War Command,56,F. Medina,Fco. Pinochet P.
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,4,EL BOHEMIO,Midshipman,57,B. Trancoso,A. Padovani E.
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,5,VAN DER SAR,Bad Daddy,55,M. Morales,G. Melej R.
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,6,POMBITO,Constitution,57,R. Painen,J. C. Pichara J.
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,7,LUCE PERICOLOSO,Midshipman,55,M. A. Bustamar,Js. Araya B.
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,8,LADY FRANKY,Frank Conv,56,V. Miranda,J. C. Pichara J.
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,9,GEROMILO,Bad Daddy,55,D. Alvarado,Cl. Bernal G.
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,10,TANGO Y COMPAS,Seeking The,57,V. Bracetti,H. Manriquez F.
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,11,THE GRUNGE,Exaggerator,55,P. Galaz,D. Donate S.
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,12,LA VILLA ALEGRE,Gran Villano,55,R. S. Dores,D. Matte D.
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,13,PITTIRANGA,Dylan Thomas,56,R. Cisternas,G. Melej R.
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,14,VIVIMOS SOÑANDO,Dylan Thom,57,N. Ramirez,J. C. Pichara J.
23-02-2026,CLUB HIPICO DE SANTIAGO,1,13:30,YOUNG MODEL,1000,PASTO,15,TICKET GOOD,Good Samaritan,55,R. Solorza,Js. Araya B.
23-02-2026,CLUB HIPICO DE SANTIAGO,2,13:59,YES LADY,1000,PASTO,1,SIRENA SOLITARIA,Mendelssohı,55,B. Sancho,Cl. Bernal G.
23-02-2026,CLUB HIPICO DE SANTIAGO,2,13:59,YES LADY,1000,PASTO,2,NORITA ROMATICA,Awesome P,55,R. Cisternas,Cr. Urbina R.
23-02-2026,CLUB HIPICO DE SANTIAGO,2,13:59,YES LADY,1000,PASTO,3,KATIE MELUA,Flameaway (Can),55,N. Ramirez,J. Castillo L.
23-02-2026,CLUB HIPICO DE SANTIAGO,2,13:59,YES LADY,1000,PASTO,4,AMALFI SONG,Mendelssohn (Us,55,F. Medina,J. Orellana R.
23-02-2026,CLUB HIPICO DE SANTIAGO,2,13:59,YES LADY,1000,PASTO,5,TRANQUILA NIÑA,Mendelssohn,55,D. Cheuque,R. Toledo M.
23-02-2026,CLUB HIPICO DE SANTIAGO,2,13:59,YES LADY,1000,PASTO,6,CHE AWAY,Flameaway (Can),55,H. Ochoa,M. Velarde B.
23-02-2026,CLUB HIPICO DE SANTIAGO,2,13:59,YES LADY,1000,PASTO,7,MI PORTEÑA,Good Samaritan,55,G. Rodriguez,A. Perez D.
23-02-2026,CLUB HIPICO DE SANTIAGO,2,13:59,YES LADY,1000,PASTO,8,DULCITA,Dangerous Midge,55,M. Morales,A. Perez D.
23-02-2026,CLUB HIPICO DE SANTIAGO,2,13:59,YES LADY,1000,PASTO,9,MI JARDIN,Robert Bruce,55,N. Rojas,Fco. Pinochet P.
23-02-2026,CLUB HIPICO DE SANTIAGO,3,14:28,YAMANA,1000,PASTO,1,PLUMA DE MAR,Mendelssohn,53,V. Miranda,C. Garcia V.
23-02-2026,CLUB HIPICO DE SANTIAGO,3,14:28,YAMANA,1000,PASTO,2,COKE SPIRIT,Ivan Denisovich,53,N. Rojas,P. Lopez P.
23-02-2026,CLUB HIPICO DE SANTIAGO,3,14:28,YAMANA,1000,PASTO,3,PALACETE,Ticket To Run,56,G. Rodriguez,A. Parra D.
23-02-2026,CLUB HIPICO DE SANTIAGO,3,14:28,YAMANA,1000,PASTO,4,DARKJACK (USA),Into Misc,61,L. Torres,P. Baeza A.
23-02-2026,CLUB HIPICO DE SANTIAGO,3,14:28,YAMANA,1000,PASTO,5,STRAY KIDS,Tourist,53,L. C. Gonzalez,A. Parra D.
23-02-2026,CLUB HIPICO DE SANTIAGO,3,14:28,YAMANA,1000,PASTO,6,PIANTAO,Zawraq (Ire),60,R. S. Dores,A. Bermal G.
23-02-2026,CLUB HIPICO DE SANTIAGO,3,14:28,YAMANA,1000,PASTO,7,ARAKI,Lookin At Lucky,53,J. Toro,A. Padovani E.
23-02-2026,CLUB HIPICO DE SANTIAGO,3,14:28,YAMANA,1000,PASTO,8,SEE ME,Cloud Computing,58,J. Herrera,H. E. Ulloa P.
23-02-2026,CLUB HIPICO DE SANTIAGO,3,14:28,YAMANA,1000,PASTO,9,ONIX BLUE,Le Blues,54,R. Fuenzalida,S. Morales G.
23-02-2026,CLUB HIPICO DE SANTIAGO,4,14:52,I. MUNICIPALIDAD ESTACION CENTRAL,1600,PASTO,1,LA DICHA,Good Samaritan,51,I. Valdivia,G. Aguirre A.
23-02-2026,CLUB HIPICO DE SANTIAGO,4,14:52,I. MUNICIPALIDAD ESTACION CENTRAL,1600,PASTO,2,ALCIDES,Midshipman,51,A. Rivera,J. Orellana R.
23-02-2026,CLUB HIPICO DE SANTIAGO,4,14:52,I. MUNICIPALIDAD ESTACION CENTRAL,1600,PASTO,3,MITOU,Good Samaritan,53,N. Ramirez,M. Rabajille D.
23-02-2026,CLUB HIPICO DE SANTIAGO,4,14:52,I. MUNICIPALIDAD ESTACION CENTRAL,1600,PASTO,4,LONWHITE,Mendelssohn,60,L. Torres,C. Gonzalez M.
23-02-2026,CLUB HIPICO DE SANTIAGO,4,14:52,I. MUNICIPALIDAD ESTACION CENTRAL,1600,PASTO,5,SETANTA,Mendelssohn,51,J. Medina,P. Baeza A.
23-02-2026,CLUB HIPICO DE SANTIAGO,4,14:52,I. MUNICIPALIDAD ESTACION CENTRAL,1600,PASTO,6,FLYNG HEARTS,Constitution,58,J. Herrera,C. Raby V.
23-02-2026,CLUB HIPICO DE SANTIAGO,5,15:22,YACOLEN,1200,PASTO,1,NEGRETINO,Ivan Denisovich,57,B. Soto,Js. Araya B.
23-02-2026,CLUB HIPICO DE SANTIAGO,5,15:22,YACOLEN,1200,PASTO,2,MORANTE,Seeking The Dia,57,R. Cisternas,P. Baeza A.
23-02-2026,CLUB HIPICO DE SANTIAGO,5,15:22,YACOLEN,1200,PASTO,3,LIGHT AND DARK,Tacitus (Usa),57,B. Troncoso,A. Parra D.
23-02-2026,CLUB HIPICO DE SANTIAGO,5,15:22,YACOLEN,1200,PASTO,4,ALEGREMENTE,Seeking The Dia,57,D. Cheuque,H. Manriquez F.
23-02-2026,CLUB HIPICO DE SANTIAGO,5,15:22,YACOLEN,1200,PASTO,5,TATA ROCA,Flyer,57,M. Morales,O. Martinez L.
23-02-2026,CLUB HIPICO DE SANTIAGO,5,15:22,YACOLEN,1200,PASTO,6,CHITORO,Tacitus (Usa),57,N. Santibañez,P. Valderrama C.
23-02-2026,CLUB HIPICO DE SANTIAGO,5,15:22,YACOLEN,1200,PASTO,7,MERCANDINO,Spun To Run,57,H. Ochoa,R. Sanchez Q.
23-02-2026,CLUB HIPICO DE SANTIAGO,5,15:22,YACOLEN,1200,PASTO,8,FERBLACK,International Star,57,Jr. Zuñiga,O. Martinez L.
23-02-2026,CLUB HIPICO DE SANTIAGO,5,15:22,YACOLEN,1200,PASTO,9,MAJOR TOM,Hiraboku Deep,57,I. Valdivia,M. Rabajille D.
23-02-2026,CLUB HIPICO DE SANTIAGO,5,15:22,YACOLEN,1200,PASTO,10,EL GLORIOSO,Seeking The Dia,57,R. Fuenzalida,S. Morales G.
23-02-2026,CLUB HIPICO DE SANTIAGO,5,15:22,YACOLEN,1200,PASTO,11,SECRETO DE AMOR,Kingly (Usa),57,V. Miranda,Js. Araya B.
23-02-2026,CLUB HIPICO DE SANTIAGO,5,15:22,YACOLEN,1200,PASTO,12,MEJOR QUE YO,Flyer,57,G. Rodriguez,A. Parra D.
23-02-2026,CLUB HIPICO DE SANTIAGO,5,15:22,YACOLEN,1200,PASTO,13,GERET,Ivan Denisovich,57,J. Medina,P. Baeza A.
23-02-2026,CLUB HIPICO DE SANTIAGO,6,15:49,YO Y TU,1400,ARENA,1,KASHGAR,Sahara Spirit,54,J. Medina,R. Montesino S.
23-02-2026,CLUB HIPICO DE SANTIAGO,6,15:49,YO Y TU,1400,ARENA,2,IMANOL,Good Samaritan,54,B. Troncoso,Js. Araya B.
23-02-2026,CLUB HIPICO DE SANTIAGO,6,15:49,YO Y TU,1400,ARENA,3,MR CASPER,Cupid,57,R. Fuenzalida,C. Gonzalez M.
23-02-2026,CLUB HIPICO DE SANTIAGO,6,15:49,YO Y TU,1400,ARENA,4,DOCTORA MILAGRO,Good Sama,58,T. Seith,D. Matte D.
23-02-2026,CLUB HIPICO DE SANTIAGO,6,15:49,YO Y TU,1400,ARENA,5,KORPER,Midshipman,54,R. Avila,R. Montesino S.
23-02-2026,CLUB HIPICO DE SANTIAGO,6,15:49,YO Y TU,1400,ARENA,6,FLIGHT OF ICARUS,Midshipman,58,A. I. Maureira,S. Morales G.
23-02-2026,CLUB HIPICO DE SANTIAGO,6,15:49,YO Y TU,1400,ARENA,7,SOUK,Bad Daddy,55,N. Molina,T. Cachely
23-02-2026,CLUB HIPICO DE SANTIAGO,6,15:49,YO Y TU,1400,ARENA,8,RED AND RED,Good Samari,58,J. Herrera,O. Donate S.
23-02-2026,CLUB HIPICO DE SANTIAGO,6,15:49,YO Y TU,1400,ARENA,9,ODESSA,Flyer,55,I. Valdivia,G. Aguirre A.
23-02-2026,CLUB HIPICO DE SANTIAGO,6,15:49,YO Y TU,1400,ARENA,10,PEGASUS FANTASIS,Mendelsso,58,P. Reyes,Fco. Pinochet P.
23-02-2026,CLUB HIPICO DE SANTIAGO,7,16:15,YUCAM,1400,ARENA,1,CUARTO C,Constitution,54,B. Leon,P. Baeza A.
23-02-2026,CLUB HIPICO DE SANTIAGO,7,16:15,YUCAM,1400,ARENA,2,QUE BONITO QUE SOY,Mendelss,55,R. Fuenzalida,S. Morales G.
23-02-2026,CLUB HIPICO DE SANTIAGO,7,16:15,YUCAM,1400,ARENA,3,MR YO,Mr Speaker,59,B. Troncoso,C. Gonzalez M.
23-02-2026,CLUB HIPICO DE SANTIAGO,7,16:15,YUCAM,1400,ARENA,4,PERTINAX,Classic Empire,60,L. Torres,C. Gonzalez M.
23-02-2026,CLUB HIPICO DE SANTIAGO,7,16:15,YUCAM,1400,ARENA,5,LA MARRE,Seeking The Dia,53,Jr. Zuñiga,Js. Araya B.
