Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador
1,12:00,Esmaltado,1200,Arena,1,MARKINABIZKAIA,55,M.Herrera,D.Contreras A.
1,12:00,Esmaltado,1200,Arena,2,SILVESTRIN,54,J.Mino,M.Apablaza G.
1,12:00,Esmaltado,1200,Arena,3,QUEEN ANY,54,R.Dores,R.Montesino S.
1,12:00,Esmaltado,1200,Arena,4,MARRAKECH,56,N.Rojas,L.Toledo C.
1,12:00,Esmaltado,1200,Arena,5,SATISFY MY SOUL,55,J.Villablanca,C.Bernal G.
1,12:00,Esmaltado,1200,Arena,6,DU PLESIS,54,B.Ayala,L.Machulas G.
1,12:00,Esmaltado,1200,Arena,7,KIRSCH ROYAL,54,R.Avila,M.Covarrubias E.
1,12:00,Esmaltado,1200,Arena,8,THE LAST WOLF,56,And.Covarrubias,M.Covarrubias E.
1,12:00,Esmaltado,1200,Arena,9,ZIGEUNER,54,M.Gutierrez,R.Quiroz S.
1,12:00,Esmaltado,1200,Arena,10,SONATA CELTA,54,R.Cisternas,J.Espineira C.
1,12:00,Esmaltado,1200,Arena,11,DESERT CAT,54,J.Cueto,R.Quiroz S.
1,12:00,Esmaltado,1200,Arena,12,FRANCOLI,55,L.Urrejola,M.Apablaza G.
1,12:00,Esmaltado,1200,Arena,13,VICARIA AMELIA,55,P.Galaz,H.Pacheco P.
1,12:00,Esmaltado,1200,Arena,14,CUANDO LLEGO GANO,55,G.Rodriguez,C.Bernal G.
1,12:00,Esmaltado,1200,Arena,15,RED KNIGHT,55,G.Rodriguez,C.Bernal G.
2,12:25,Ejecutor,1000,Arena,1,ESCOPETA RECORTADA,57,R.Varas,L.Perez A.
2,12:25,Ejecutor,1000,Arena,2,SEVEN POINTS,57,N.Santibanez,R.Quiroz S.
2,12:25,Ejecutor,1000,Arena,3,MI NIETO FACUNDO,57,T.Seith,A.Castagneto U.
2,12:25,Ejecutor,1000,Arena,4,APAPACHADOR,57,R.Fournet,C.A.Urbina R.
2,12:25,Ejecutor,1000,Arena,5,REAL ENVIDO,57,N.Ramirez,L.Urbina H.
2,12:25,Ejecutor,1000,Arena,6,CUAL ES TU LEY,57,B.Ayala,L.Machulas G.
2,12:25,Ejecutor,1000,Arena,7,MACHINE HEAD,57,N.Rojas,J.Pinochet P.
2,12:25,Ejecutor,1000,Arena,8,ASTON,57,Jo.A.Gonzalez,R.Munoz M.
2,12:25,Ejecutor,1000,Arena,9,TEEN WOLF,57,J.Eyzaguirre,L.Parra G.
2,12:25,Ejecutor,1000,Arena,10,INDIAN BLITZ,57,F.Medina,O.Donate S.
2,12:25,Ejecutor,1000,Arena,11,KING EOLO,57,P.Galaz,H.Pacheco P.
2,12:25,Ejecutor,1000,Arena,12,LAROMPE,57,V.Miranda,E.Lab R.
2,12:25,Ejecutor,1000,Arena,13,JETS DADDY,57,R.Fuenzalida,A.Castagneto U.
2,12:25,Ejecutor,1000,Arena,14,BIG CARBONCILLO,57,F.Morales,R.Montesino S.
2,12:25,Ejecutor,1000,Arena,15,HUGO EL TERRIBLE,57,M.Gutierrez,O.Donate S.
3,12:50,Estudioso,1200,Arena,1,EL MARIPEPA,56,M.A.Bustamante,J.Pichara J.
3,12:50,Estudioso,1200,Arena,2,TEMPORAL DE AMOR,56,C.Ortega,E.Lab R.
3,12:50,Estudioso,1200,Arena,3,SAHARA CHROME,56,R.Fuenzalida,E.Switt V.
3,12:50,Estudioso,1200,Arena,4,ALAJJA,56,R.Varas,J.Aravena M.
3,12:50,Estudioso,1200,Arena,5,SU MERCI,56,T.Seith,D.Contreras A.
3,12:50,Estudioso,1200,Arena,6,BEAUTIFUL CHAMPION,56,D.Carvacho,R.Quiroz S.
3,12:50,Estudioso,1200,Arena,7,POWER OF HORSES,56,F.Morales,J.Hirmas R.
3,12:50,Estudioso,1200,Arena,8,AVISPATE COMADRE,56,M.Gutierrez,R.Bernal G.
3,12:50,Estudioso,1200,Arena,9,WALKA,56,N.Santibanez,C.Melero F.
3,12:50,Estudioso,1200,Arena,10,GAMORRA,56,B.Sancho,R.Quiroz S.
3,12:50,Estudioso,1200,Arena,11,INDIA ADORADA,56,L.Menghini,E.Switt V.
3,12:50,Estudioso,1200,Arena,12,LADY BAY,56,M.Galaz,J.Lastra B.
3,12:50,Estudioso,1200,Arena,13,HACER POR HACER,56,F.Medina,E.Lab R.
4,13:16,Esmeltico,1200,Arena,1,GRAN NONO,56,Jo.A.Gonzalez,G.Covarrubias E.
4,13:16,Esmeltico,1200,Arena,2,MI NIETO BRUNO,55,Js.Vera B.,H.Pacheco P.
4,13:16,Esmeltico,1200,Arena,3,GRAND CASABLANCA,55,R.Fuenzalida,G.Melej R.
4,13:16,Esmeltico,1200,Arena,4,CACHORRITA MIA,56,J.Medina,P.Valderrama C.
