fecha,hipodromo,nro_carrera,hora,premio,distancia,superficie,numero,caballo,padrillo,peso,jinete,preparador
24-02-2026,CLUB HIPICO DE CONCEPCION,1,13:30,HARAS LA REINA,1000,ARENA,1,TE ANDAN BUSCANDO,Palm Springs,57,A. Pereda,F. Acevedo
24-02-2026,CLUB HIPICO DE CONCEPCION,1,13:30,HARAS LA REINA,1000,ARENA,2,EL PERRO NEGRO,Exaggerator,57,D. Sánchez,H. Arteaga
24-02-2026,CLUB HIPICO DE CONCEPCION,1,13:30,HARAS LA REINA,1000,ARENA,3,FUERA DE MI,Exaggerator,57,R.S. Dores,A. Cea
24-02-2026,CLUB HIPICO DE CONCEPCION,1,13:30,HARAS LA REINA,1000,ARENA,4,LIKE SON,Cassini,57,M. Urzúa,E. Alarcón
24-02-2026,CLUB HIPICO DE CONCEPCION,1,13:30,HARAS LA REINA,1000,ARENA,5,TREN BALA,El Manu,57,B. Díaz,L.G. Soto
24-02-2026,CLUB HIPICO DE CONCEPCION,1,13:30,HARAS LA REINA,1000,ARENA,6,TIO SALCHICHA,Imperia II,57,J. Moya,F. Acevedo
24-02-2026,CLUB HIPICO DE CONCEPCION,1,13:30,HARAS LA REINA,1000,ARENA,7,SEVEN POINTS,Dubai Sky,57,J.A. Inostroza,A. Cea
24-02-2026,CLUB HIPICO DE CONCEPCION,1,13:30,HARAS LA REINA,1000,ARENA,8,ARANTES,Newfoundland,57,Jn.A. Campos,E. Alarcón
24-02-2026,CLUB HIPICO DE CONCEPCION,1,13:30,HARAS LA REINA,1000,ARENA,9,VIAJE A CARMEL,Forward March,57,G. Vera,J. Espinosa
24-02-2026,CLUB HIPICO DE CONCEPCION,1,13:30,HARAS LA REINA,1000,ARENA,10,OLIMPIC BLUE,El Milagrito,57,G. Pereda,Ev. Alarcón
24-02-2026,CLUB HIPICO DE CONCEPCION,1,13:30,HARAS LA REINA,1000,ARENA,11,SMALL SHY,El Piñon,57,C. Cordero,C. Córdova
24-02-2026,CLUB HIPICO DE CONCEPCION,1,13:30,HARAS LA REINA,1000,ARENA,12,TEATRO GRIEGO,Viscount Nelson,57,J. Olate,A. Navarrete
24-02-2026,CLUB HIPICO DE CONCEPCION,1,13:30,HARAS LA REINA,1000,ARENA,13,RAPID,Father Of Science,57,A. Soto,L.G. Soto
24-02-2026,CLUB HIPICO DE CONCEPCION,1,13:30,HARAS LA REINA,1000,ARENA,14,BLACK MANTA,Caesarion,57,V. Mardones,A. Cea
24-02-2026,CLUB HIPICO DE CONCEPCION,2,14:00,ESTUDIO JURIDICO LEAL Y ASOCIADOS,1000,ARENA,2,INDIA PRESUMIDA,Imperia II,55,B. Cordero,A. Cea
24-02-2026,CLUB HIPICO DE CONCEPCION,2,14:00,ESTUDIO JURIDICO LEAL Y ASOCIADOS,1000,ARENA,3,LA PECORA,Flyer,55,A. Pereda,E. González
24-02-2026,CLUB HIPICO DE CONCEPCION,2,14:00,ESTUDIO JURIDICO LEAL Y ASOCIADOS,1000,ARENA,4,LA SCHIFFER,El Manu,55,V. Mardones,A. Cea
24-02-2026,CLUB HIPICO DE CONCEPCION,2,14:00,ESTUDIO JURIDICO LEAL Y ASOCIADOS,1000,ARENA,5,PRINCESA LAURA,Get Jets,55,M. Urzúa,E. Alarcón
24-02-2026,CLUB HIPICO DE CONCEPCION,2,14:00,ESTUDIO JURIDICO LEAL Y ASOCIADOS,1000,ARENA,6,PIMIENTA NEGRA,Good Samaritan,55,J. Olate,A. Navarrete
24-02-2026,CLUB HIPICO DE CONCEPCION,2,14:00,ESTUDIO JURIDICO LEAL Y ASOCIADOS,1000,ARENA,7,LANNA,Ya Primo,55,G. Pereda,A. Cea
24-02-2026,CLUB HIPICO DE CONCEPCION,2,14:00,ESTUDIO JURIDICO LEAL Y ASOCIADOS,1000,ARENA,9,VIDEL,Tapitdoro,55,P. Robles,F. Acevedo
24-02-2026,CLUB HIPICO DE CONCEPCION,3,14:30,ASOCIACION DE PERIODISTAS Y TECNICOS HIPICOS,1000,ARENA,1,GANO Y VUELVO,Competitive Edge,55,C. Pavez,Ev. Alarcón
24-02-2026,CLUB HIPICO DE CONCEPCION,3,14:30,ASOCIACION DE PERIODISTAS Y TECNICOS HIPICOS,1000,ARENA,2,ALCAZAR DE SEGOVIA,Daddy Long Legs,60,L. Rojas,C. Córdova
24-02-2026,CLUB HIPICO DE CONCEPCION,3,14:30,ASOCIACION DE PERIODISTAS Y TECNICOS HIPICOS,1000,ARENA,3,JOUMA,Midshipman,58,D. Sánchez,Ev. Alarcón
24-02-2026,CLUB HIPICO DE CONCEPCION,3,14:30,ASOCIACION DE PERIODISTAS Y TECNICOS HIPICOS,1000,ARENA,4,GIOCATORE,Competitive Edge,57,G. Pereda,H. Arteaga
24-02-2026,CLUB HIPICO DE CONCEPCION,3,14:30,ASOCIACION DE PERIODISTAS Y TECNICOS HIPICOS,1000,ARENA,5,JOVENTURFMAN,Cloud Computing,53,A. Pereda,L.G. Soto
24-02-2026,CLUB HIPICO DE CONCEPCION,3,14:30,ASOCIACION DE PERIODISTAS Y TECNICOS HIPICOS,1000,ARENA,6,CAMBUCHA,Goldencents,54,A. Soto,L.G. Soto
24-02-2026,CLUB HIPICO DE CONCEPCION,3,14:30,ASOCIACION DE PERIODISTAS Y TECNICOS HIPICOS,1000,ARENA,7,DON PACHALO,Mayakovsky,55,G. Vera,E. González
24-02-2026,CLUB HIPICO DE CONCEPCION,4,15:00,UNICA PERFUMERIA ARABE,1300,ARENA,1,THE LANCE,Viscount Nelson,58,P. Robles,C. Norambuena
24-02-2026,CLUB HIPICO DE CONCEPCION,4,15:00,UNICA PERFUMERIA ARABE,1300,ARENA,2,KIRINO,Verrazano,59,D. Sánchez,E. González
24-02-2026,CLUB HIPICO DE CONCEPCION,4,15:00,UNICA PERFUMERIA ARABE,1300,ARENA,3,COFFEE BAY,Constitution,58,A. Pereda,E. González
