Carrera,Lugar,Numero,Caballo,Padrillo,Stud,Peso_Caballo,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
16,5,7,DON MIGUE,GOOD SAMARITAN (USA),EL TORO BAYO,455,BENJAMIN TRONCOSO,58,MIGUEL MEDINA,6 3/4 cpos.,23,7.6
16,6,8,BESO AL CIELO,GRAND DADDY,LEGACY,494,RODRIGO PAINEN,58,JOSE ARAYA B.,8 1/2 cpos.,23,7.4
16,7,6,MISTERIO LUMINOSO,GRAND DADDY,UNIVERSO EQUINO,474,RODOLFO S. DORES,59,SERGIO MORALES,10 3/4 cpos.,25,6.1
16,8,10,HARRY GO,CUNCO (IRE),LOS LAURELES,484,JOHAN GONZALEZ,54,JOHN PINOCHET,12 3/4 cpos.,19,10.2
16,9,3,CRISTALINO,MENDELSSOHN (USA),MARITA,525,JONATHAN A. CASTILLO,55,ALDO PARRA D.,24 1/4 cpos.,20,12.5
16,10,5,TENGO UN SUEÑO,GOOD SAMARITAN (USA),HERMANOS DIAZ,422,ROBERTO AVILA,57,RAUL MONTESINO,37 3/4 cpos.,22,28.9
16,RT,9,EL ARRUGAO,DISTORTED ECONOMY,EL AROMO,-,VICTOR BRACETTI,56,HECTOR MANRIQUEZ,-,21,-
17,1,13,MAGUIRE,MO TOWN,LEGACY,529,RODRIGO PAINEN,54,JOSE ARAYA B.,Ganador,13,8.6
17,2,3,ALCABONTA,PATTERNRECOGNITION,KDM,512,JORGE A. GONZALEZ,56,GABRIEL MELEJ,2 1/4 cpos,14,2.7
17,3,1,VERSE BIEN,ADMIRAL,EL GANCHITO,477,SEBASTIAN GONZALEZ,57,ENRIQUE CARREÑO,8 3/4 cpos,16,4.4
17,4,15,DOCTORA MILAGRO,GOOD SAMARITAN (USA),MILLONARIO,477,NELSON ROJAS,55,DOMINGO MATTE,11 1/4 cpos.,14,12.8
17,5,10,TWEETY,VISCOUNT NELSON,BUREO,371,JAIME MEDINA,54,ROBERTO TOLEDO M.,13 1/4 cpos.,13,13.5
17,6,5,SABIONDO,PATTERNRECOGNITION,MAMAJELU,477,JONATHAN A. CASTILLO,56,ALDO PARRA D.,14 1/4 cpos.,15,29.6
17,7,14,MATE AMARGO,AHORA II,MI CHICA MAÑOSA,431,JESUS TORO,54,JOSE ARAYA B.,15 cpos.,13,36.5
17,8,9,SEÑOR AMANTE,GRAND DADDY,ROGER WELLMANN H.,441,BASTIAN SOTO,56,JOSE ARAYA B.,15 1/4 cpos.,19,6
17,9,8,SUBI,PASSION FOR GOLD,AS,468,RICARDO SOLORZA,57,SERGIO ALVARADO P.,15 1/4 cpos.,16,121.6
17,10,12,MISTER HEAD,DYLAN THOMAS,MARITA,528,AXEL ALVAREZ,55,ALDO PARRA D.,18 cpos.,14,21.1
17,11,6,SAIKOU,LOOKIN AT LUCKY,JAQUE S ANGEL,465,CRISTIAN FUENZALIDA,57,ANGEL JAQUE S.,18 3/4 cpos.,16,14.3
17,12,7,ACEPTO SEÑOR,GSTAAD II,XIMENA MONICA,503,ARIEL ZUÑIGA,56,PEDRO MOLINA,22 1/4 cpos.,15,8.1
17,13,11,YO SOY YI,GRAND DADDY,SAVKA HERMANOS,443,GERARD RODRIGUEZ,54,HECTOR MANRIQUEZ,27 cpos.,13,21.4
17,14,2,ARAGONERO,THE LUMBER GUY,STUD HARAS LIZZIE,449,PIERO REYES P.,55,RODRIGO SANCHEZ,31 1/4 cpos.,14,25.6
17,15,4,TINTA ETERNA,DYLAN THOMAS,MIS DOS AMORES,496,JOSE CUETO,56,SERGIO ALVARADO P.,39 cpos.,15,101.6
18,1,15,BEHIND THE SUN,PATTERNRECOGNITION,GARAGE JCS,399,RODOLFO FUENZALIDA,55,FELIPE GONZALEZ S.,Ganador,5,5.9
18,2,8,ASTRO SOL,GOOD SAMARITAN (USA),LOS MAGUITOS,463,NICOLAS SANTIBAÑEZ,57,ALDO PARRA D.,1/2 cpo.,7,11.3
18,3,5,VUELA EL AMOR,GEMOLOGIST,MONIQUE,469,CRISTIAN FUENZALIDA,58,ANGEL JAQUE S.,1 1/2 cpos.,7,5.5
18,4,1,MUY TEMPERADA,DISTORTED ECONOMY,PANADERO,426,JOHAN GONZALEZ,57,FELIPE GONZALEZ S.,2 1/2 cpos.,7,11.5
18,5,14,CABLE A TIERRA,FANTASMAGORICO,LOR KEDIMAR,431,ALVARO APABLAZA,54,ROBERTO TOLEDO M.,3 1/2 cpos.,4,8.1
18,6,12,PEDRINHO,GSTAAD II,TETITO IGNACIO,487,JORGE A. MORA,55,CLAUDIO NAVARRO A.,6 3/4 cpos.,5,13.1
18,7,2,MECEDOR,HOLD ME BACK,NANAO,482,WLADIMIR QUINTEROS,56,ANGEL JAQUE S.,7 cpos.,6,12.6
18,8,11,VUELVE LA FARRA,EL FARRERO,JOTABE,446,CLAUDIO JORQUERA,54,RODRIGO SILVA S.,7 1/4 cpos.,4,30.5
18,9,3,LITTLE GASPI,WAR COMMAND,ROXANITA,496,DIEGO CARRASCO,56,RAUL MONTESINO,8 1/4 cpos.,6,57.9
18,10,6,ACHAPLINA,SEEKING THE DIA,PEÑA P. WALESKA,407,LESLY C. GONZALEZ,57,WALESKA PEÑA,9 3/4 cpos.,7,38.5
18,11,7,QUEEN ANY,CLOUD COMPUTING,LOS CABEZAS ALVAREZ,450,AGUSTIN VILLAGRA,57,RAUL MONTESINO,11 cpos.,7,38.5
18,12,13,QUIEN ME PILLO,MIDSHIPMAN,EL MERO MERO,432,CARLOS ORTEGA,55,SERGIO MORALES,12 3/4 cpos.,5,2.8
18,13,10,FINAU,DADDY LONG LEGS,CHACHA,432,LUIS GONZALEZ,54,RODRIGO SANCHEZ,18 1/4 cpos.,4,6.6
18,14,4,JARDIN OLVIDADO,EXAGGERATOR,SAGARDIA HNOS.,494,PIERO REYES P.,56,OSCAR SILVA G.,21 cpos.,6,40.9
18,RT,9,EL FELICIDAD,IVAN DENISOVICH,NANAO,-,BENJAMIN TRONCOSO,56,ALDO PARRA D.,-,6,-
19,1,4,RAPIDO Y VELOZ,GOOD SAMARITAN (USA),MAR Y SOL,456,GERARD RODRIGUEZ,57,CLAUDIO BERNAL,Ganador,12,16.5
19,2,12,ANFIELD ROAD,DISTORTED ECONOMY,FERNANDEZ L ALVARO,476,JESUS TORO,56,ALVARO FERNANDEZ,pczo.,11,7.3
19,3,6,BOY SCOUT,HINZ,BUCAREST,432,JONATHAN A. CASTILLO,57,ALDO PARRA D.,1 1/2 cpos.,12,8.6
19,4,9,PUNTO QUIEBRE,ANNUAL REPORT,EL VETERO,474,BENJAMIN TRONCOSO,57,LEOPOLDO PARRA,1 3/4 cpos.,12,8.6
19,5,11,REY DEL ESTERO,PATTERNRECOGNITION,EL ESTERO L.C.A.,541,JOAQUIN HERRERA,56,HERNAN ULLOA,2 cpos,11,2.3
19,6,15,TERCIADOR,CLASSIC EMPIRE (USA),SAVKA HERMANOS,516,AXEL ALVAREZ,57,HECTOR MANRIQUEZ,2 3/4 cpos.,12,4.7
19,7,14,GRAN KURU,EXAGGERATOR,SANTICO,501,LESLY C. GONZALEZ,56,ALDO PARRA D.,3 1/4 cpos.,11,16
19,8,10,JE T'AIME,CUPID,TAMARA AGUSTINA,425,JOHAN GONZALEZ,56,SERGIO MORALES,3 3/4 cpos.,11,37.3
19,9,5,PATMAHO,GRAND DADDY,BENVIC,523,BASTIAN SOTO,57,JOSE ARAYA B.,4 1/4 cpos,12,8.9
19,10,3,REY HOTU,MO TOWN,AIMANI,438,CARLOS ORTEGA,57,PATRICIO LOPEZ,9 1/2 cpos.,12,26.8
19,11,13,EN HONOR A TITO,PATTERNRECOGNITION,MILNA,459,RODOLFO FUENZALIDA,56,FELIPE GONZALEZ S.,11 1/2 cpos.,11,97.1
19,12,2,SOY EL CANTANTE,PATTERNRECOGNITION,SUPER SUPER,514,LUIS GONZALEZ,57,RODRIGO SANCHEZ,31 1/2 cpos.,12,11.2
