Carrera,Lugar,Numero,Caballo,Padrillo,Stud,Peso_Caballo,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
5,8,11,TRANQUILA NIÑA,MENDELSSOHN (USA),RUFO,434,ALVARO APABLAZA,55,ROBERTO TOLEDO M.,9 1/2 cpos.,-,32
5,9,1,JEFA DE JEFAS,GET JETS,BUREO,471,JOSE SOLANO,55,ROBERTO TOLEDO M.,12 3/4 cpos.,-,92.1
5,10,9,LIORA,DANGEROUS MIDGE,FRITZI,464,DIEGO CARRASCO,55,JUAN RODRIGUEZ R.,15 1/4 cpos.,-,159.4
5,11,12,PASCUERA,IVAN DENISOVICH,OSCARITO,415,PIERO REYES P.,56,OSCAR SILVA G.,19 cpos.,-,39.4
5,12,13,POLLY GRAY,TICKET TO RUN,EL MERO MERO,439,JOSE CUETO,54,LUIS MACHULAS G.,22 1/2 cpos.,-,199.3
5,RT,10,SERKET,BILZERIAN,RAICES DE CODEGUA,-,N.N.,55,MARIO APABLAZA,-,-,-
6,1,4,SONRISA DULCE,SEEKING THE DIA,NONO,467,PEDRO ROBLES,55,JOHN PINOCHET,Ganador,23,4.1
6,2,3,BREGO,BAD DADDY,SHOT MENZEL,467,BASTIAN SOTO,53,JOSE ARAYA B.,3 1/2 cpos.,21,11.9
6,3,8,STRAY KIDS,TOURIST,ALDEDO,466,JONATHAN A. CASTILLO,60,ALDO PARRA D.,3 1/2 cpos.,30,7.3
6,4,5,LIMATOWN,MO TOWN,LOS MAGUITOS,447,BERNARDO LEON,55,ALDO PARRA D.,6 cpos.,23,10.9
6,5,2,LOU ARMSTRONG,ROBERT BRUCE,FILIPINO,434,WILBERT LEON,51,OLIVERIO MARTINEZ,6 cpos.,19,3
6,6,1,GALWAY GIRL,SEEKING THE DIA,SANCHEZ Q. RODRIGO,454,PIERO REYES P.,58,RODRIGO SANCHEZ,7 3/4 cpos.,27,21.6
6,7,9,SIETE DE ABRIL,CONSTITUTION,SUPER SUPER,442,IGNACIO VALDIVIA,55,RODRIGO SANCHEZ,8 cpos.,23,4.6
6,8,6,SEE ME,CLOUD COMPUTING,MILLAR M PATRICIO,512,JOAQUIN HERRERA,61,HERNAN ULLOA,10 1/2 cpos.,33,3.7
