Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador
8,18:30,FOLICULO,1000,,6,LA LETE,59,A. Soto,G. Melo
8,18:30,FOLICULO,1000,,7,MISS SPRING,55,V. Mardones,C. Córdova
8,18:30,FOLICULO,1000,,8,RAYMI,57,L. Rojas,Ev. Alarcón
9,19:00,FIORDO,1100,,1,GRAN TAITA,57,A. Pereda,F. Acevedo
9,19:00,FIORDO,1100,,2,PATRON DE MUSKIZ,57,L. Rojas,N. Norambuena
9,19:00,FIORDO,1100,,3,NEF TRAIL,57,C. Cordero,J. Espinosa
9,19:00,FIORDO,1100,,4,RAPID,57,A. Soto,L.G. Soto
9,19:00,FIORDO,1100,,5,TAPITO,57,G. Pereda,H. Arteaga
9,19:00,FIORDO,1100,,6,OLIMPIC BLUE,57,J.P. Torres,Ev. Alarcón
9,19:00,FIORDO,1100,,7,TREN BALA,57,J. Olate,L.G. Soto
9,19:00,FIORDO,1100,,8,SENSEI DE FRANKLIN,57,G. Vera,F. Saavedra
9,19:00,FIORDO,1100,,9,SMALL SHY,57,B. Díaz,C. Córdova
9,19:00,FIORDO,1100,,10,CLAVERIA,57,J. Barril,E. Alarcón
10,19:30,FIJATE CABRO,1100,,1,CHE NOVA,56,M. Urzúa,Ev. Alarcón
10,19:30,FIJATE CABRO,1100,,2,IL IMPERATORE,56,B. Díaz,C. Córdova
10,19:30,FIJATE CABRO,1100,,3,EL GRAN TORNADO,56,B. Cordero,F. Acevedo
10,19:30,FIJATE CABRO,1100,,4,JASPER PARK,56,C. Pavez,E. Alarcón
10,19:30,FIJATE CABRO,1100,,5,ROGER RED,56,J.P. Torres,E. González
10,19:30,FIJATE CABRO,1100,,6,GRAN AMOR ETERNO,56,R. Vásquez,C. Cordero
10,19:30,FIJATE CABRO,1100,,7,TROMBONCITO,55,G. Vera,L.G. Soto
10,19:30,FIJATE CABRO,1100,,8,MANO DE BRONCE,56,J.A. Miño,M. Apablaza
10,19:30,FIJATE CABRO,1100,,9,PERLA INVASORA,56,I. Cárcamo,A. Cea
10,19:30,FIJATE CABRO,1100,,10,BOMBASTICO,56,J. Barril,E. Alarcón
10,19:30,FIJATE CABRO,1100,,11,DESERT WIN,55,G. Pereda,H. Arteaga
10,19:30,FIJATE CABRO,1100,,12,GITANA GUAPA,55,Js. Vera,Ev. Alarcón
10,19:30,FIJATE CABRO,1100,,13,KASCLARITO,56,A. Pereda,F. Acevedo
11,20:00,FLAÑO,1100,,1,CHECOMAN,56,I. Olate,R. Vásquez
11,20:00,FLAÑO,1100,,2,GANDHI REPORT,56,J.A. Inostroza,H. Arteaga
11,20:00,FLAÑO,1100,,3,EL BARRERO,56,B. Cordero,C. Córdova
11,20:00,FLAÑO,1100,,4,I AM BLACKLIST,56,C. Cordero,C. Córdova
11,20:00,FLAÑO,1100,,5,PIAZZA DI ROMA,56,G. Pereda,H. Arteaga
11,20:00,FLAÑO,1100,,6,FRAY LEON,56,J. Barril,E. Alarcón
11,20:00,FLAÑO,1100,,7,UN GRAN PENQUISTA,56,G. Vera,E. González
11,20:00,FLAÑO,1100,,8,MI BARCO VELERO,56,C. Pavez,N. Norambuena
