CHC 01-12-2025

Carrera,Hora,Nombre Premio,Distancia,Condición Principal,Premio al Ganador,Cab. N°,Nombre Ejemplar,Peso,Jinete
17,20:33,DE FACTO,1000m,"Handicap INDICE 7 AL 3","CLP $1.710.000",14,GRAN TANO,54,RODOLFO FUENZALIDA
17,20:33,DE FACTO,1000m,"Handicap INDICE 7 AL 3","CLP $1.710.000",15,EL CUBANO,54,JESUS PIMENTEL
18,21:00,DELICADO,1000m,"Condicional MACHOS Y HEMBRAS DE 4 AÑOS NO GANADORES","N/D",1,BREGO,59,NICOLAS RAMIREZ
18,21:00,DELICADO,1000m,"Condicional MACHOS Y HEMBRAS DE 4 AÑOS NO GANADORES","N/D",2,ROSY L'AMORE,59,VICTOR TOLEDO
18,21:00,DELICADO,1000m,"Condicional MACHOS Y HEMBRAS DE 4 AÑOS NO GANADORES","N/D",3,VALIENTE Y BELLO,57,BENJAMIN TRONCOSO
18,21:00,DELICADO,1000m,"Condicional MACHOS Y HEMBRAS DE 4 AÑOS NO GANADORES","N/D",4,DON CRISTOBAL,57,WLADIMIR QUINTEROS
18,21:00,DELICADO,1000m,"Condicional MACHOS Y HEMBRAS DE 4 AÑOS NO GANADORES","N/D",5,VALLE VERDE,57,JESUS PIMENTEL
18,21:00,DELICADO,1000m,"Condicional MACHOS Y HEMBRAS DE 4 AÑOS NO GANADORES","N/D",6,NO ME GUSTA,57,RODRIGO PAINEN
18,21:00,DELICADO,1000m,"Condicional MACHOS Y HEMBRAS DE 4 AÑOS NO GANADORES","N/D",7,EL LOCO MAX,57,NICOLAS SANTIBAÑEZ
18,21:00,DELICADO,1000m,"Condicional MACHOS Y HEMBRAS DE 4 AÑOS NO GANADORES","N/D",8,LUCE TU MAGIA,57,JOSE VILLABLANCA
18,21:00,DELICADO,1000m,"Condicional MACHOS Y HEMBRAS DE 4 AÑOS NO GANADORES","N/D",9,BABA YAGA,57,HUGO OCHOA
18,21:00,DELICADO,1000m,"Condicional MACHOS Y HEMBRAS DE 4 AÑOS NO GANADORES","N/D",10,MISTERIO,57,LUIS MENGHINI
18,21:00,DELICADO,1000m,"Condicional MACHOS Y HEMBRAS DE 4 AÑOS NO GANADORES","N/D",11,MI GUAPO,57,RODOLFO FUENZALIDA
18,21:00,DELICADO,1000m,"Condicional MACHOS Y HEMBRAS DE 4 AÑOS NO GANADORES","N/D",12,PERO QUÉ DICHA,57,JONATHAN TORO
18,21:00,DELICADO,1000m,"Condicional MACHOS Y HEMBRAS DE 4 AÑOS NO GANADORES","N/D",13,LA FINA,57,DARIEN CHEUQUE
18,21:00,DELICADO,1000m,"Condicional MACHOS Y HEMBRAS DE 4 AÑOS NO GANADORES","N/D",14,SOY MARÍTIMA,57,JOSE CUETO
