fecha,hipodromo,nro_carrera,hora,premio,distancia,superficie,numero,caballo,padrillo,peso,jinete,preparador
26/02/2026,Hipódromo Chile,1,13:00,Norte Florido,1000,Arena,1,NANVERQUI,Neko Bay,56,J. Villablanca,M. Perez A.
26/02/2026,Hipódromo Chile,1,13:00,Norte Florido,1000,Arena,2,LA CHULA,Hinz,56,L. C. Gonzalez,M. Perez A.
26/02/2026,Hipódromo Chile,1,13:00,Norte Florido,1000,Arena,3,MARULINA,Dylan Thomas,56,Jo. A. Gonzalez,G. Covarrubias E.
26/02/2026,Hipódromo Chile,1,13:00,Norte Florido,1000,Arena,4,SATISFY MY SOUL,Sumerio,58,J. Castillo,L. Toledo C.
26/02/2026,Hipódromo Chile,1,13:00,Norte Florido,1000,Arena,5,JULIA DOMNA,Rydilluc,56,J. Solano,J. Venegas P.
26/02/2026,Hipódromo Chile,1,13:00,Norte Florido,1000,Arena,6,RUCIA DE ORO,Get-Jets,56,J. Toro,J. Pichara J.
26/02/2026,Hipódromo Chile,1,13:00,Norte Florido,1000,Arena,7,BEAUTIFUL MOON,Exaggerator,56,N. Rojas,J. Hirmas R.
26/02/2026,Hipódromo Chile,1,13:00,Norte Florido,1000,Arena,8,SASUKE,Hold Me Back,56,A. Apablaza,J. Pichara J.
26/02/2026,Hipódromo Chile,1,13:00,Norte Florido,1000,Arena,9,BETONE,Van Nistelrooy,56,R. Covarrubias,P. Valderrama C.
26/02/2026,Hipódromo Chile,1,13:00,Norte Florido,1000,Arena,10,GOOD MORNING RED,Morning Red,56,F. Taun,Jn. Gonzalez M.
26/02/2026,Hipódromo Chile,1,13:00,Norte Florido,1000,Arena,11,KEPKA,Katmai,56,W. Quinteros,O. Donate S.
26/02/2026,Hipódromo Chile,1,13:00,Norte Florido,1000,Arena,12,VARESE,Flyer,56,R. Fuenzalida,M. Contreras L.
26/02/2026,Hipódromo Chile,1,13:00,Norte Florido,1000,Arena,13,JOHN WAYNE,Aragorn II,56,L. P. Silva,G. Covarrubias E.
26/02/2026,Hipódromo Chile,1,13:00,Norte Florido,1000,Arena,14,VINE VIDE VINCI,Tumblebrutus,59,N. Molina,R. Quiroz S.
