fecha,hipodromo,nro_carrera,hora,distancia,superficie,numero,caballo,jinete,preparador,posicion,tiempo,dividendo,peso
01/03/2026,Club Hípico de Santiago,1,14:00,,Pasto,11,BEHIND THE SUN,LESLY C. GONZALEZ,FELIPE GONZALEZ S.,1,,31.8,58
01/03/2026,Club Hípico de Santiago,1,14:00,,Pasto,14,LATEN GOOD,BENJAMÍN SANCHO,GUILLERMO PERALTA,2,,26.6,57
01/03/2026,Club Hípico de Santiago,1,14:00,,Pasto,9,AKISI,JOHAN GONZALEZ,ANGEL JAQUE S.,3,,35.3,58
01/03/2026,Club Hípico de Santiago,1,14:00,,Pasto,3,JOLTIN JOE,ALVARO APABLAZA,ANGEL JAQUE S.,4,,130.1,56
01/03/2026,Club Hípico de Santiago,1,14:00,,Pasto,12,EL KICHAN,JOSE VILLABLANCA,MANUEL VELARDE,5,,126.6,56
01/03/2026,Club Hípico de Santiago,1,14:00,,Pasto,5,KING NICOLAS,WLADIMIR QUINTEROS,MANUEL VELARDE,6,,110.5,56
01/03/2026,Club Hípico de Santiago,1,14:00,,Pasto,10,MY CLAUDIA,BENJAMÍN TRONCOSO,WALESKA PEÑA,7,,37.9,58
01/03/2026,Club Hípico de Santiago,1,14:00,,Pasto,8,SCROOGE,NELSON ROJAS,JOAO CASTILLO L.,8,,317,58
01/03/2026,Club Hípico de Santiago,1,14:00,,Pasto,7,DI LA VERDAD ROSA,JUAN MUÑOZ,FRANCISCO FAUNDEZ LL,9,,218.3,57
01/03/2026,Club Hípico de Santiago,1,14:00,,Pasto,2,HAMM GOOD,RODOLFO FUENZALIDA,SERGIO MORALES,10,,18.1,56
01/03/2026,Club Hípico de Santiago,1,14:00,,Pasto,13,MISIA GOGUITA,RICARDO SOLORZA,FRANCISCO FAUNDEZ LL,11,,166.5,56
01/03/2026,Club Hípico de Santiago,2,14:30,,Pasto,5,PATMAHO,BASTIAN SOTO,JOSE ARAYA B.,1,,33.7,55
01/03/2026,Club Hípico de Santiago,2,14:30,,Pasto,8,ARTHUR SHELBY,RODRIGO PAINEN,JOSE ARAYA B.,2,,52.3,60
01/03/2026,Club Hípico de Santiago,2,14:30,,Pasto,7,BLACK KINGLY,LENNART P. SILVA,GENARO COVARRUBIAS,3,,54.6,56
01/03/2026,Club Hípico de Santiago,2,14:30,,Pasto,2,GRAN SAMIR,BENJAMÍN TRONCOSO,WALESKA PEÑA,4,,48.9,56
01/03/2026,Club Hípico de Santiago,2,14:30,,Pasto,6,TIA GUACOLDA,WLADIMIR QUINTEROS,RAUL MONTESINO,5,,67,58
01/03/2026,Club Hípico de Santiago,2,14:30,,Pasto,9,CAMELOT,RODOLFO FUENZALIDA,CRISTOBAL GONZALEZ M.,6,,66.1,57
01/03/2026,Club Hípico de Santiago,2,14:30,,Pasto,10,ACHAPLINA,RAFAEL CISTERNAS,WALESKA PEÑA,7,,514,56
01/03/2026,Club Hípico de Santiago,2,14:30,,Pasto,3,NO TIENE PALABRA,ROBERTO AVILA,RAUL MONTESINO,8,,427,56
