Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo,Fecha
5,17,21:00Hrs.,,3,2,HIER ANCORE,MENDELSSOHN (USA),414,56,RICARDO SOLORZA,CARLOS GARCIA,KIÑEUKELEIÑ,10143.7,2026-01-23
5,17,21:00Hrs.,,4,7,LA KIKI BELLA,SEEKING THE DIA,427,56,VICTOR MIRANDA,JOSE ARAYA B.,LEGACY,1012.4,2026-01-23
5,17,21:00Hrs.,,5,15,SISI STAR,MENDELSSOHN (USA),422,55,JESUS REYES,RAUL MONTESINO,LOS CABEZAS ALVAREZ,9119.7,2026-01-23
5,17,21:00Hrs.,,6,1,ARTHUR SHELBY,GRAND DADDY,447,55,RODRIGO PAINEN,JOSE ARAYA B.,EL MERO MERO,910.2,2026-01-23
5,17,21:00Hrs.,,7,6,ASTRO SOL,GOOD SAMARITAN (USA),466,56,JESUS TORO,ALDO PARRA D.,LOS MAGUITOS,109.3,2026-01-23
5,17,21:00Hrs.,,8,12,TWO FLAGS,SEEKING THE DIA,505,57,RODRIGO COVARRUBIAS,ALEXIS PEREZ,AS,11190.1,2026-01-23
5,17,21:00Hrs.,,9,11,PETIROSSA,IVAN DENISOVICH,439,57,JAIME MEDINA,RAUL MONTESINO,MONTESINO S. RAUL,116.3,2026-01-23
5,17,21:00Hrs.,,10,13,IVY QUEEN,EXAGGERATOR,439,57,NICOLAS MOLINA,THEODORE CACHELY,MAMITA QUERIDA,119.7,2026-01-23
5,17,21:00Hrs.,,11,10,ULTIMO IMPACTO,GRAND DADDY,520,57,ARIEL VARAS,ALEJANDRO PADOVANI E.,SIETE ESTRELLAS,114.6,2026-01-23
5,17,21:00Hrs.,,12,3,PARTNER QUERIDO,GET JETS,438,57,BENJAMIN SANCHO,CLAUDIO BERNAL,MASAIVA,113.5,2026-01-23
5,17,21:00Hrs.,,13,5,ACHAPLINA,SEEKING THE DIA,400,56,LESLY C. GONZALEZ,WALESKA PEÑA,PEÑA P. WALESKA,1019.9,2026-01-23
5,17,21:00Hrs.,,14,9,BAMBO LUKAS,COMMEMORATIVE,524,56,RAFAEL CISTERNAS,DOMINGO MATTE,TATA CARLOS,1023.9,2026-01-23
5,17,21:00Hrs.,,15,14,INTRIGANT,BOBOMAN,455,56,JOSE CUETO,ALEXIS PEREZ,FRENCH FRIES,1098.3,2026-01-23
5,18,21:30Hrs.,,1,1,YULITZKA,KINGLY (USA),513,56,NICOLAS RAMIREZ,ALEXIS PEREZ,P Y P,122,2026-01-23
5,18,21:30Hrs.,,2,7,TOP KING,CLOUD COMPUTING,505,56,RODOLFO FUENZALIDA,ANDRES BERNAL,BARBASTRO,1212.1,2026-01-23
5,18,21:30Hrs.,,3,14,SAIKOU,LOOKIN AT LUCKY,464,56,JOSE CUETO,ANGEL JAQUE S.,JAQUE S ANGEL,1241.5,2026-01-23
5,18,21:30Hrs.,,4,4,WONDER SUMMER,GEMOLOGIST,468,56,MARCO A. BUSTAMANTE,JOSE ARAYA B.,LABRADOR,2312.5,2026-01-23
5,18,21:30Hrs.,,5,11,ANFIELD ROAD,DISTORTED ECONOMY,475,56,JESUS TORO,ALVARO FERNANDEZ,FERNANDEZ L ALVARO,1220.4,2026-01-23
5,18,21:30Hrs.,,6,15,CINDARA,DYLAN THOMAS,423,55,VICTOR MIRANDA,JOSE ARAYA B.,FRANCIA,1128.3,2026-01-23
5,18,21:30Hrs.,,7,2,PROFESSIONALS,GRAND DADDY,472,56,NICOLAS SANTIBAÑEZ,PATRICIO VALDERRAMA C.,SANTA VERONICA,1270.8,2026-01-23
5,18,21:30Hrs.,,8,8,DON'T CRY DADDY,GRAND DADDY,534,57,BENJAMIN SANCHO,OSCAR SILVA G.,SILVA G. OSCAR E.,1316.2,2026-01-23
5,18,21:30Hrs.,,9,9,MISTER HEAD,DYLAN THOMAS,535,56,AXEL ALVAREZ,ALDO PARRA D.,MARITA,129.7,2026-01-23
5,18,21:30Hrs.,,10,6,MARIA SUREÑA,GOOD SAMARITAN (USA),440,56,GERARD RODRIGUEZ,CRISTOBAL GONZALEZ M.,MORALES O VERONICA,125.7,2026-01-23
5,18,21:30Hrs.,,11,12,DEAR SISTER,MO TOWN,453,56,RICARDO SOLORZA,FELIPE GONZALEZ S.,SOBARZO DE G MONICA,1272,2026-01-23
5,18,21:30Hrs.,,12,10,GOOD TERRY,GOOD SAMARITAN (USA),388,56,JOHAN GONZALEZ,JUAN C. PICHARA,CHRISTIAN Y COTY,1217.5,2026-01-23
5,18,21:30Hrs.,,13,13,SIN PREJUICIOS,GOOD SAMARITAN (USA),449,57,JESUS REYES,RAUL MONTESINO,LOS CABEZAS ALVAREZ,1347.7,2026-01-23
5,18,21:30Hrs.,,14,5,LA PUPPE,GRAND DADDY,484,56,BERNARDO LEON,PATRICIO BAEZA A.,SAN JOSE,-,2026-01-23
