Carrera,Hora,Distancia,Superficie,Condicion,Numero,Caballo,Jinete,Peso
5,14:24,1400m,Arena,Handicap Indice 43 al 31,4,ANALOGO,DAVID SANCHEZ,59
5,14:24,1400m,Arena,Handicap Indice 43 al 31,5,GRAN RAI,JONATHAN A. CASTILLO,61
5,14:24,1400m,Arena,Handicap Indice 43 al 31,6,EL MERLUZO,GUSTAVO AROS,60
5,14:24,1400m,Arena,Handicap Indice 43 al 31,7,NA NI NA,RODOLFO S. DORES,54
5,14:24,1400m,Arena,Handicap Indice 43 al 31,8,LUCKY EMPIRE,JOAQUIN HERRERA,56
5,14:24,1400m,Arena,Handicap Indice 43 al 31,9,MILTEO,RAFAEL CISTERNAS,54
6,14:49,1400m,Arena,Handicap Indice 26 al 22,1,PRIETO AZABACHE,JOAQUIN HERRERA,53
6,14:49,1400m,Arena,Handicap Indice 26 al 22,2,STATE OF GRACE,MIGUEL GUTIERREZ,55
6,14:49,1400m,Arena,Handicap Indice 26 al 22,3,GONE STAR,RODOLFO FUENZALIDA,56
6,14:49,1400m,Arena,Handicap Indice 26 al 22,4,ONIX BLUE,RODRIGO PAINEN,56
6,14:49,1400m,Arena,Handicap Indice 26 al 22,5,FREUD WISH,BERNARDO LEON,57
6,14:49,1400m,Arena,Handicap Indice 26 al 22,6,SOY DEL CICLON (ARG),JESUS TORO,57
6,14:49,1400m,Arena,Handicap Indice 26 al 22,7,BENTINCK,JAIME MEDINA,53
7,15:19,1000m,Arena,Condicional Machos 3 años no ganadores,1,VOY A PALERMO,BENJAMIN SANCHO,57
7,15:19,1000m,Arena,Condicional Machos 3 años no ganadores,2,MACHINE HEAD,PEDRO ROBLES,57
7,15:19,1000m,Arena,Condicional Machos 3 años no ganadores,3,GUNDOGAN,NICOLAS RAMIREZ,57
7,15:19,1000m,Arena,Condicional Machos 3 años no ganadores,4,LUQUITAS,JOSE VILLABLANCA,57
7,15:19,1000m,Arena,Condicional Machos 3 años no ganadores,5,CONQUISTADO,SEBASTIAN GONZALEZ,57
7,15:19,1000m,Arena,Condicional Machos 3 años no ganadores,6,FLY STELLAS,JOAQUIN HERRERA,57
7,15:19,1000m,Arena,Condicional Machos 3 años no ganadores,7,SENSEI DE FRANKLIN,GUSTAVO AROS,57
7,15:19,1000m,Arena,Condicional Machos 3 años no ganadores,8,MI GIGANTE,RODOLFO FUENZALIDA,57
7,15:19,1000m,Arena,Condicional Machos 3 años no ganadores,9,REY SALOMON,BENJAMIN TRONCOSO,57
7,15:19,1000m,Arena,Condicional Machos 3 años no ganadores,10,PARA TI DOCTOR,GIVOVICH GEORGEE,57
7,15:19,1000m,Arena,Condicional Machos 3 años no ganadores,11,TIO SALCHICHA,VICTOR MIRANDA,57
7,15:19,1000m,Arena,Condicional Machos 3 años no ganadores,12,ELSEBAAHORRATODO,NICOLAS MOLINA,57
8,15:47,1000m,Pasto,Handicap Indice 36 al 28,1,GALWAY GIRL,VICTOR MIRANDA,54
8,15:47,1000m,Pasto,Handicap Indice 36 al 28,2,PAYBACK,NICOLAS RAMIREZ,57
8,15:47,1000m,Pasto,Handicap Indice 36 al 28,3,BADERO,GUSTAVO AROS,59
8,15:47,1000m,Pasto,Handicap Indice 36 al 28,4,GRIEZMANN,NICOLAS MOLINA,57
8,15:47,1000m,Pasto,Handicap Indice 36 al 28,5,PIANTAO,RODOLFO S. DORES,60
8,15:47,1000m,Pasto,Handicap Indice 36 al 28,6,VAMOS AL NOA NOA,BERNARDO LEON,60
8,15:47,1000m,Pasto,Handicap Indice 36 al 28,7,DESENFRENADO,LESLY C. GONZALEZ,54
8,15:47,1000m,Pasto,Handicap Indice 36 al 28,8,SEE ME,JOAQUIN HERRERA,55
8,15:47,1000m,Pasto,Handicap Indice 36 al 28,9,STRAY KIDS,JONATHAN A. CASTILLO,55
9,16:15,1300m,Pasto,Clásico Condicional Hembras 3 años y más,1,YA VA,JAIME MEDINA,52
9,16:15,1300m,Pasto,Clásico Condicional Hembras 3 años y más,2,ROSY L'AMORE,GERARD RODRIGUEZ,54
9,16:15,1300m,Pasto,Clásico Condicional Hembras 3 años y más,3,ON LOOK,JOAQUIN HERRERA,54
9,16:15,1300m,Pasto,Clásico Condicional Hembras 3 años y más,4,QUIET MOON,SEBASTIAN GONZALEZ,52
9,16:15,1300m,Pasto,Clásico Condicional Hembras 3 años y más,5,ADICTIVA,RODOLFO S. DORES,58
9,16:15,1300m,Pasto,Clásico Condicional Hembras 3 años y más,6,CAMBIA EL SWITCH,RAFAEL CISTERNAS,52
9,16:15,1300m,Pasto,Clásico Condicional Hembras 3 años y más,7,SORRISI,BERNARDO LEON,53
10,16:45,1000m,Pasto,Handicap Indice 15 al 12,1,JE T'AIME,JOHAN GONZALEZ,55
10,16:45,1000m,Pasto,Handicap Indice 15 al 12,2,MI TIO POLO,CARLOS ORTEGA,57
10,16:45,1000m,Pasto,Handicap Indice 15 al 12,3,MATE AMARGO,BASTIAN SOTO,57
10,16:45,1000m,Pasto,Handicap Indice 15 al 12,4,MI NIETO FRANK,RODOLFO S. DORES,57
10,16:45,1000m,Pasto,Handicap Indice 15 al 12,5,TODAS MIENTEN,JOSE PAREDES,58
10,16:45,1000m,Pasto,Handicap Indice 15 al 12,6,FERLUISI,JOAQUIN HERRERA,57
10,16:45,1000m,Pasto,Handicap Indice 15 al 12,7,FRAMING (ARG),JAIME MEDINA,56
10,16:45,1000m,Pasto,Handicap Indice 15 al 12,8,RAIRET,RICARDO SOLORZA,57
10,16:45,1000m,Pasto,Handicap Indice 15 al 12,9,EL LEGENDARIO,BENJAMIN SANCHO,56
10,16:45,1000m,Pasto,Handicap Indice 15 al 12,10,DOBLE NEGRO,MAURICIO GALAZ,56
10,16:45,1000m,Pasto,Handicap Indice 15 al 12,11,CHICA DEL LUCERO,NICOLAS MOLINA,55
10,16:45,1000m,Pasto,Handicap Indice 15 al 12,12,BARBIE DREAMS,GUSTAVO AROS,57
11,17:15,1000m,Pasto,Handicap Indice 11 al 8,1,VALKYRIE LEGEND,BASTIAN SOTO,55
11,17:15,1000m,Pasto,Handicap Indice 11 al 8,2,AMPAWAN,JOSE PAREDES,56
11,17:15,1000m,Pasto,Handicap Indice 11 al 8,3,EL KING,JOSE CUETO,57
11,17:15,1000m,Pasto,Handicap Indice 11 al 8,4,REINA EGIPCIA,JOHAN GONZALEZ,57
11,17:15,1000m,Pasto,Handicap Indice 11 al 8,5,BESOS DE MIEL,BENJAMIN SANCHO,58
11,17:15,1000m,Pasto,Handicap Indice 11 al 8,6,CHOW CHOW,PIERO REYES P.,58
11,17:15,1000m,Pasto,Handicap Indice 11 al 8,7,CAPITANA MARVEL,LESLY C. GONZALEZ,55
11,17:15,1000m,Pasto,Handicap Indice 11 al 8,8,ARTHUR SHELBY,RODRIGO PAINEN,56
11,17:15,1000m,Pasto,Handicap Indice 11 al 8,9,UNDER THE LIGHT,MARCO MORALES,56
11,17:15,1000m,Pasto,Handicap Indice 11 al 8,10,BRUJO DORADO,GIVOVICH GEORGEE,56
11,17:15,1000m,Pasto,Handicap Indice 11 al 8,11,TEA AND MILK,ROBERTO AVILA,55
12,17:45,1000m,Pasto,Handicap Indice 23 al 17,1,WONDERFUL STAR,BENJAMIN TRONCOSO,53
12,17:45,1000m,Pasto,Handicap Indice 23 al 17,2,BREGO,BASTIAN SOTO,56
12,17:45,1000m,Pasto,Handicap Indice 23 al 17,3,LIMATOWN,BERNARDO LEON,57
12,17:45,1000m,Pasto,Handicap Indice 23 al 17,4,PLUMA DE MAR,RICARDO SOLORZA,57
12,17:45,1000m,Pasto,Handicap Indice 23 al 17,5,SONRISA DULCE,PEDRO ROBLES,58
12,17:45,1000m,Pasto,Handicap Indice 23 al 17,6,DISMAI,BENJAMIN SANCHO,57
12,17:45,1000m,Pasto,Handicap Indice 23 al 17,7,ROYAL DUBLIN,JUAN TAPIA,54
12,17:45,1000m,Pasto,Handicap Indice 23 al 17,8,PALACETE,JONATHAN A. CASTILLO,56
12,17:45,1000m,Pasto,Handicap Indice 23 al 17,9,EL QUE LA LLEVA,ALVARO APABLAZA,54
12,17:45,1000m,Pasto,Handicap Indice 23 al 17,10,BALDER EL NORUEGO,RODOLFO FUENZALIDA,55
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,1,PONTE TU,NICOLAS SANTIBAÑEZ,55
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,2,LA INTIFADA,BERNARDO LEON,55
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,3,FIOR DI LATTE,JOAQUIN HERRERA,55
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,4,HILDITA MIA,JOHAN GONZALEZ,55
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,5,EUSKERA,BENJAMIN TRONCOSO,56
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,6,DAMA DE LA LUZ,JOSE VILLABLANCA,55
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,7,PARA SIEMPRE,NICOLAS MOLINA,55
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,8,LA QUE MAS CHAE,PEDRO ROBLES,55
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,9,NAHUEN,AGUSTIN VILLAGRA,55
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,10,LIVIA DRUSA,LESLY C. GONZALEZ,55
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,11,PASION ALBA,BENJAMIN SANCHO,55
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,12,CHE AWAY,NELSON ROJAS,55
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,13,DARLING,NICOLAS RAMIREZ,55
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,14,GRAN COMPAÑERA,CARLOS ORTEGA,55
13,18:15,1000m,Arena,Condicional Hembras 3 años no ganadoras,15,LUGA,JONATHAN A. CASTILLO,55
14,18:45,1000m,Arena,Condicional Hembras 3 años ganadoras 1 y 2,1,TIA GUACOLDA,JOHAN GONZALEZ,54
14,18:45,1000m,Arena,Condicional Hembras 3 años ganadoras 1 y 2,2,LA ITALIA MIA,JOAQUIN HERRERA,54
14,18:45,1000m,Arena,Condicional Hembras 3 años ganadoras 1 y 2,3,GOLFISTA,MIGUEL GUTIERREZ,54
14,18:45,1000m,Arena,Condicional Hembras 3 años ganadoras 1 y 2,4,GONE RITAN,NELSON ROJAS,58
14,18:45,1000m,Arena,Condicional Hembras 3 años ganadoras 1 y 2,5,BULLA BLUE,WILBERT LEON,54
14,18:45,1000m,Arena,Condicional Hembras 3 años ganadoras 1 y 2,6,CUKUCHI,VICTOR MIRANDA,54
14,18:45,1000m,Arena,Condicional Hembras 3 años ganadoras 1 y 2,7,RICONDITA,JAIME MEDINA,54
14,18:45,1000m,Arena,Condicional Hembras 3 años ganadoras 1 y 2,8,NIÑITA POR DIOS,AGUSTIN VILLAGRA,54
14,18:45,1000m,Arena,Condicional Hembras 3 años ganadoras 1 y 2,9,RAPILLANA,MAURICIO CHAMORRO,54
14,18:45,1000m,Arena,Condicional Hembras 3 años ganadoras 1 y 2,10,RANI,PEDRO ROBLES,54
14,18:45,1000m,Arena,Condicional Hembras 3 años ganadoras 1 y 2,11,TAUHERE,SEBASTIAN GONZALEZ,54
14,18:45,1000m,Arena,Condicional Hembras 3 años ganadoras 1 y 2,12,CITLALLI,RODOLFO FUENZALIDA,54
14,18:45,1000m,Arena,Condicional Hembras 3 años ganadoras 1 y 2,13,DADDYS BABY,NICOLAS RAMIREZ,54
15,19:15,1000m,Arena,Clásico Handicap Libre 3 años y más,1,SINGLE BARREL,IGNACIO VALDIVIA,51
15,19:15,1000m,Arena,Clásico Handicap Libre 3 años y más,2,CARLITOS YUSTI,JORGE ZUÑIGA,53
15,19:15,1000m,Arena,Clásico Handicap Libre 3 años y más,3,CHIANA,BERNARDO LEON,58
15,19:15,1000m,Arena,Clásico Handicap Libre 3 años y más,4,KNESEET,GUSTAVO AROS,57
15,19:15,1000m,Arena,Clásico Handicap Libre 3 años y más,5,HEROICO,JAIME MEDINA,60
15,19:15,1000m,Arena,Clásico Handicap Libre 3 años y más,6,TATANKA,LUIS TORRES,60
15,19:15,1000m,Arena,Clásico Handicap Libre 3 años y más,7,CASTOR TROY,NICOLAS MOLINA,52
15,19:15,1000m,Arena,Clásico Handicap Libre 3 años y más,8,JAZZ ROCK,RODOLFO S. DORES,53
15,19:15,1000m,Arena,Clásico Handicap Libre 3 años y más,9,STRONG DAIKIRI,JOSE PAREDES,53
15,19:15,1000m,Arena,Clásico Handicap Libre 3 años y más,10,PALTOCITO,RODOLFO FUENZALIDA,53
15,19:15,1000m,Arena,Clásico Handicap Libre 3 años y más,11,KAPICHU (ARG),BENJAMIN TRONCOSO,52
15,19:15,1000m,Arena,Clásico Handicap Libre 3 años y más,12,JOHNNY DOGS,NICOLAS RAMIREZ,60
15,19:15,1000m,Arena,Clásico Handicap Libre 3 años y más,13,CAPITAN ROBLES,WLADIMIR QUINTEROS,58
16,19:50,1400m,Arena,Handicap Indice 19 al 14,1,TOP KING,JOAQUIN HERRERA,53
16,19:50,1400m,Arena,Handicap Indice 19 al 14,2,ENTRE NEGROS,JAIME MEDINA,55
16,19:50,1400m,Arena,Handicap Indice 19 al 14,3,REY ESCOCES,BERNARDO LEON,57
16,19:50,1400m,Arena,Handicap Indice 19 al 14,4,SABIONDO,JONATHAN A. CASTILLO,56
16,19:50,1400m,Arena,Handicap Indice 19 al 14,5,GENIUS,RAFAEL CISTERNAS,58
16,19:50,1400m,Arena,Handicap Indice 19 al 14,6,SE PREPARO,JESUS TORO,58
16,19:50,1400m,Arena,Handicap Indice 19 al 14,7,MISTER HEAD,BENJAMIN TRONCOSO,53
