Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,1,FERNANDOIS,54,R. Fuenzalida,Cl. Navarro A.
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,2,SULTAN GUERRERO,58,Fco. Morales,R. Montesino S.
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,3,VUELVE LA FARRA,54,H. Ochoa,R. Silva S.
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,4,TORNADO DE BULI,54,A. Apablaza,F. Gonzalez S.
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,5,TICKET GOOD,56,M. A. Bustamante,Js. Araya B.
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,6,PRAIA DO FORTE,56,R. Solorza,C. Garcia V.
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,7,RUCIA DEL DOC,56,J. Toro,A. Fernandez L.
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,8,MAGNUS AURELIUS,55,B. Ayala,Cl. Navarro A.
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,9,DISPARO LETAL,54,N. Ramirez,J. Castillo L.
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,10,CHURCHILL,55,P. Reyes,Cl. Navarro A.
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,11,NEGRITO CUMBA,57,C. Ortega,D. Donate S.
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,12,DI LA VERDAD ROSA,54,M. Morales,Fco. Faundez LL.
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,13,MUY TEMPERADA,56,Joh. Gonzalez,F. Gonzalez S.
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,14,ANTUMBRA,55,R. Painen,R. Montesino S.
1,12:30,Pr. QUIEN TE QUIERE,1000,PISTA 2 ARENA,15,AMAYNA,54,L. C. Gonzalez,F. Gonzalez S.
2,12:57,Pr. QUANDARY,1000,PISTA 1 PASTO,1,GRIEZMANN,57,R. S. Dores,D. Matte D.
2,12:57,Pr. QUANDARY,1000,PISTA 1 PASTO,2,PIANTAD,59,J. Herrera,A. Bernal G.
2,12:57,Pr. QUANDARY,1000,PISTA 1 PASTO,3,PALACETE,53,Jan. A. Castillo,A. Parra D.
2,12:57,Pr. QUANDARY,1000,PISTA 1 PASTO,4,STRAY KIDS,54,A. Alvarez,A. Parra D.
2,12:57,Pr. QUANDARY,1000,PISTA 1 PASTO,5,EL PITIN,54,B. Sancho,Cl. Bernal G.
2,12:57,Pr. QUANDARY,1000,PISTA 1 PASTO,6,LIMATOWN,58,B. Leon,A. Parra D.
2,12:57,Pr. QUANDARY,1000,PISTA 1 PASTO,7,SUPERAME,58,J. Medina,P. Baeza A.
3,13:24,Pr. PALINO,1200,PISTA 1 PASTO,1,YA ERA HORA,59,I. Valdivia,J. Pinochet P.
3,13:24,Pr. PALINO,1200,PISTA 1 PASTO,2,DON MATIAS,60,Jr. Zuñiga,O. Martinez L.
3,13:24,Pr. PALINO,1200,PISTA 1 PASTO,3,AQUIMBAO,52,J. Medina,P. Baeza A.
3,13:24,Pr. PALINO,1200,PISTA 1 PASTO,4,CELTIC DAD,57,B. Leon,P. Baeza A.
3,13:24,Pr. PALINO,1200,PISTA 1 PASTO,5,CAROLITO,57,B. Troncoso,C. Gonzalez M.
3,13:24,Pr. PALINO,1200,PISTA 1 PASTO,6,NUNCA PERDONA,60,L. Torres,Js. Araya B.
3,13:24,Pr. PALINO,1200,PISTA 1 PASTO,7,CANTICIO,59,Jr. A. Gonzalez,Js. Araya B.
4,13:54,Pr. QUANTIC,1000,PISTA 1 PASTO,1,MUSICO Y SOLDADO,57,R. Cisternas,Cr. Urbina R.
