Warning: No position column in exports/RESULTADO_VAL2026-01-11..csv

## Club Hípico de Santiago
|   Lugar | Jinete               |   Carreras Ganadas |   Segundos |   Terceros |   Eficiencia (%) |
|      15 | P. Zúñiga      |                  1 |          2 |          1 |             6.67 |
|      16 | G. Aros        |                  1 |          1 |          1 |             5.88 |
|      17 | B. González    |                  1 |          1 |          0 |             7.69 |
|      18 | N. Venegas     |                  1 |          1 |          0 |             6.67 |
|      19 | A. Alvarez     |                  1 |          0 |          3 |             5.56 |
|      20 | C. Ortega      |                  1 |          0 |          1 |             8.33 |
|      21 | J. Villablanca |                  1 |          0 |          1 |            11.11 |
|      22 | L. González    |                  1 |          0 |          1 |             5.26 |
|      23 | M. Morales     |                  1 |          0 |          1 |             5.26 |
|      24 | R. Cisternas   |                  1 |          0 |          1 |             6.67 |
|      25 | A. Apablaza    |                  1 |          0 |          0 |             9.09 |
|      26 | A. Covarrubias |                  1 |          0 |          0 |             5.56 |
|      27 | M. Bustamante  |                  1 |          0 |          0 |            20    |
|      28 | B. Ayala       |                  0 |          2 |          0 |             0    |
|      29 | F. Medina      |                  0 |          2 |          0 |             0    |
|      30 | N. Rojas       |                  0 |          1 |          3 |             0    |
|      31 | S. González    |                  0 |          1 |          2 |             0    |
|      32 | F. Henríquez   |                  0 |          1 |          1 |             0    |
|      33 | J. Cueto       |                  0 |          1 |          1 |             0    |
|      34 | L. Silva       |                  0 |          1 |          1 |             0    |
|      35 | B. Troncoso    |                  0 |          1 |          0 |             0    |
|      36 | D. Sánchez     |                  0 |          1 |          0 |             0    |
|      37 | J. Medina      |                  0 |          1 |          0 |             0    |
|      38 | J. Soto        |                  0 |          1 |          0 |             0    |
|      39 | J. Toro        |                  0 |          1 |          0 |             0    |
|      40 | O. Ulloa       |                  0 |          1 |          0 |             0    |
|      41 | W. León        |                  0 |          1 |          0 |             0    |
|      42 | J. Solano      |                  0 |          0 |          1 |             0    |
|      43 | J.A. Miño      |                  0 |          0 |          1 |             0    |
|      44 | M. Cordero     |                  0 |          0 |          1 |             0    |
|      45 | N. Santibañez  |                  0 |          0 |          1 |             0    |
|      46 | R. Avila       |                  0 |          0 |          1 |             0    |
|      47 | B. Soto        |                  0 |          0 |          0 |             0    |
|      48 | C. Alegría     |                  0 |          0 |          0 |             0    |
|      49 | C. Bustos      |                  0 |          0 |          0 |             0    |
|      50 | C. C. Bustos   |                  0 |          0 |          0 |             0    |
|      51 | C. Hernández   |                  0 |          0 |          0 |             0    |
|      52 | D. Carrasco    |                  0 |          0 |          0 |             0    |
|      53 | D. D. Medina   |                  0 |          0 |          0 |             0    |
|      54 | F. Moreno      |                  0 |          0 |          0 |             0    |
|      55 | G. Covarrubias |                  0 |          0 |          0 |             0    |
|      56 | G. Givovich    |                  0 |          0 |          0 |             0    |
|      57 | G. Ulloa       |                  0 |          0 |          0 |             0    |
|      58 | H. Jiménez     |                  0 |          0 |          0 |             0    |
|      59 | I. Urrejola    |                  0 |          0 |          0 |             0    |
|      60 | J. Castillo    |                  0 |          0 |          0 |             0    |
|      61 | J. Eyzaguirre  |                  0 |          0 |          0 |             0    |
|      62 | J. Pimentel    |                  0 |          0 |          0 |             0    |
|      63 | J. Rodríguez   |                  0 |          0 |          0 |             0    |
|      64 | J. Vera        |                  0 |          0 |          0 |             0    |
